Nome: BURITIS
Codigo Estacao: A544
Latitude: -15.52416666
Longitude: -46.43555555
Altitude: 894
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1,6;911,258333;28,6;22,95;19,2;74,875;2,2;
2023-01-02;,2;909,9375;29,5;23,525;19,6;64,833333;2,154167;
2023-01-03;,8;909,770833;27,2;21,795833;19,3;81,208333;1,570833;
2023-01-04;4,2;910,2625;27;21,55;18;83,458333;2,083333;
2023-01-05;9;909,8625;27,3;21,875;19,2;83,458333;2,1125;
2023-01-06;6,8;910,666667;27,1;22,158333;19,8;78,916667;3,995833;
2023-01-07;2,6;912,1125;25,6;21,283333;19,1;86,958333;,8;
2023-01-08;4,6;911,958333;23,8;20,7625;19,1;89,625;1,1625;
2023-01-09;33,6;911,841667;26,5;21,541667;17,9;80,833333;1,916667;
2023-01-10;,2;911,966667;28,3;22,025;17,8;81,291667;1,058333;
2023-01-11;1;912,1;26,8;21,958333;18,7;80,875;,9125;
2023-01-12;,4;910,804167;26,3;21,558333;18,2;84,958333;,854167;
2023-01-13;4,2;910,266667;23,9;20,629167;18,9;88,375;1,116667;
2023-01-14;10,6;911,233333;26,8;21,708333;18;81,25;1,845833;
2023-01-15;0;911,554167;28,2;22,979167;18,8;77,125;2,066667;
2023-01-16;0;910,466667;28,5;23,454167;18,1;71,25;2,295833;
2023-01-17;0;910,7875;27,5;22,3875;17,7;68,625;2,845833;
2023-01-18;0;911,654167;28,8;22,9875;17,8;70,25;2,5375;
2023-01-19;,4;911,8625;29,5;22,391667;17,6;73,625;2,470833;
2023-01-20;0;911,270833;27,5;21,2625;17,7;80,5;2,325;
2023-01-21;1,6;910,204167;27,6;20,8625;18,4;85,333333;2,195833;
2023-01-22;40,6;909,575;27,3;21,729167;18,7;83;2,241667;
2023-01-23;4,4;909,945833;27,3;21,866667;18,4;80,666667;3,1625;
2023-01-24;0;909,283333;27,9;23,066667;18,8;73,666667;3,795833;
2023-01-25;0;908,316667;28,6;23,1125;18,7;77,125;2,575;
2023-01-26;21;908,754167;24,5;20,470833;19,3;88,25;2,108333;
2023-01-27;7,4;910,204167;26;20,3375;18,2;88,708333;1,8;
2023-01-28;27,4;911,645833;27,2;21,816667;18;83,916667;1,75;
2023-01-29;0;911,070833;27,6;21,745833;17,7;78,958333;1,920833;
2023-01-30;,2;909,820833;28,2;22,408333;17,8;75,833333;2,208333;
2023-01-31;,2;910,145833;28,4;22,85;17,2;73,375;2,091667;
2023-02-01;0;910,8;28,7;23,2875;16,5;65,375;2,429167;
2023-02-02;0;911,420833;30;23,641667;18,9;63,416667;1,95;
2023-02-03;0;911,545833;29,9;23,4;18,5;67,583333;1,920833;
2023-02-04;1,2;912,454167;30,4;23,5375;20,2;75,708333;2,195833;
2023-02-05;5,4;912,158333;29,8;22,654167;17,4;78,125;2,516667;
2023-02-06;,2;910,916667;28,4;22,875;19,8;79,875;1,929167;
2023-02-07;,2;910,595833;29,3;23,641667;19,2;74,083333;2,5625;
2023-02-08;0;909,983333;30;24,066667;18,9;66,75;1,7375;
2023-02-09;0;910,6625;29,8;24,391667;18,4;63,875;1,741667;
2023-02-10;0;910,525;29,5;23,908333;20,1;68;2,279167;
2023-02-11;0;910,229167;30;23,591667;18,5;63,291667;1,858333;
2023-02-12;0;910,004167;29,7;24,458333;20,1;65,25;2,475;
2023-02-13;0;910,225;31,1;24,258333;18,1;66,416667;1,854167;
2023-02-14;0;909,9125;30,4;24,575;18,6;64,583333;2,145833;
2023-02-15;0;908,8125;31,5;25,008333;18;57,125;1,7375;
2023-02-16;0;907,108333;32,1;24,966667;18,3;61,5;1,958333;
2023-02-17;0;907,720833;31,3;23,6375;18,6;71,166667;2,383333;
2023-02-18;9,6;909,841667;25,7;21,2875;18,9;83,625;2,616667;
2023-02-19;,4;910,0875;27,8;22,779167;19,5;77,791667;3,275;
2023-02-20;0;910,645833;27,3;21,6625;17,9;74,333333;2,516667;
2023-02-21;8,6;911,495833;27,8;21,3875;16,2;80,75;2,154167;
2023-02-22;0;912,995833;28,6;23,241667;19,1;75,541667;2,341667;
2023-02-23;0;913,129167;29,4;23,375;18,6;75,791667;2,583333;
2023-02-24;0;911,758333;30;23,2625;18,1;74;2,558333;
2023-02-25;0;910,916667;30,7;24,395833;17,9;67,166667;2,270833;
2023-02-26;0;911,970833;31,1;24,766667;18,3;62,833333;2,4375;
2023-02-27;0;912,7125;30,8;24,525;19,3;62,208333;2,775;
2023-02-28;0;912,929167;31,2;24,683333;18,6;62,041667;3,266667;
2023-03-01;0;912,4875;30,6;24,0625;18,3;66,166667;2,283333;
2023-03-02;0;911,508333;30,9;21,829167;17,6;77,791667;2,058333;
2023-03-03;52,4;910,908333;29,9;23,325;18,1;73,5;2,733333;
2023-03-04;0;911,2875;29,8;23,766667;18,7;59,875;2,5;
2023-03-05;0;910,308333;30,6;23,529167;16,5;58,541667;1,75;
2023-03-06;0;908,916667;32,1;25,0375;18,5;54,166667;1,779167;
2023-03-07;28;910,316667;27,8;22,4;17,8;78,541667;2,1625;
2023-03-08;51,6;911,533333;25,2;20,616667;18,6;87,75;2,0375;
2023-03-09;2,6;911,445833;29,4;23,025;18,8;77,5;2,279167;
2023-03-10;0;911,116667;29,9;23,808333;20;68;2,641667;
2023-03-11;0;910,45;29,8;22,925;18,7;76,625;2,445833;
2023-03-12;2,2;910,758333;28,3;22,4625;19,3;81,208333;1,504167;
2023-03-13;0;911,116667;27,7;22,870833;19,9;77,083333;1,858333;
2023-03-14;0;911,316667;28,4;23,116667;19,8;71,708333;2,725;
2023-03-15;0;910,608333;28,3;22,954167;19,2;74,875;2,175;
2023-03-16;1,6;910,070833;28,2;22,258333;19,2;79,541667;2,116667;
2023-03-17;0;910,054167;29,1;21,570833;17,1;77,25;2,008333;
2023-03-18;1,8;911,15;27,9;21,570833;17,7;76,833333;1,629167;
2023-03-19;,2;911,491667;29,4;21,3;16,7;77,625;2,295833;
2023-03-20;17,4;911,645833;27,8;20,520833;17,6;83,25;2,066667;
2023-03-21;1,8;911,991667;29,1;20,841667;18,6;84,166667;2,45;
2023-03-22;22,6;912,966667;27,7;20,870833;17,1;84,291667;1,6375;
2023-03-23;,6;912,829167;29,1;22,7375;18,5;72,666667;2,291667;
2023-03-24;0;912,420833;29;22,9875;18,3;64,083333;2,554167;
2023-03-25;0;911,933333;30,3;22,8125;16,8;57,791667;2,125;
2023-03-26;0;912,091667;31;23,975;17,9;57,958333;2,595833;
2023-03-27;0;911,133333;31,5;24,679167;19,1;59,583333;2,7875;
2023-03-28;0;911,095833;30,3;24,375;19,4;65,25;2,808333;
2023-03-29;0;911,966667;28,6;23,691667;19,1;54,666667;3,295833;
2023-03-30;0;912,541667;30,3;22,933333;15,3;54,666667;2,725;
2023-03-31;0;911,533333;31,4;24,491667;17,8;55,375;2,4625;
2023-04-01;0;910,1125;32,6;25,304167;18,9;52,875;1,5125;
2023-04-02;0;909,8;32,7;24,016667;18,5;59,666667;2,670833;
2023-04-03;6,8;911,333333;26;20,116667;17,5;83,375;2,325;
2023-04-04;19,4;910,879167;26,9;21,004167;17,2;78,708333;1,9875;
2023-04-05;0;909,816667;28,7;22,275;18,3;75,833333;1,741667;
2023-04-06;0;909,6375;31,1;23,3875;18,6;72,458333;2,5875;
2023-04-07;,6;910,245833;30,9;23,595833;18,7;74,125;2,008333;
2023-04-08;7,8;910,766667;32;24,1875;19,7;74,166667;2,633333;
2023-04-09;0;911,654167;30;23,495833;19;73,833333;3,191667;
2023-04-10;0;912,375;28,1;22,975;19,2;77,666667;2,395833;
2023-04-11;32,2;912,208333;26,6;21,925;19,3;84,75;2,3375;
2023-04-12;0;911,0625;29;22,841667;19,1;77,625;1,554167;
2023-04-13;0;909,541667;30,9;24,083333;19,3;71,75;2,125;
2023-04-14;,8;909,770833;30,3;23,658333;20,1;77,291667;1,4125;
2023-04-15;0;910,8875;31,1;23,920833;19,5;75,416667;2,2625;
2023-04-16;,2;910,379167;31,9;24,05;18,3;69,833333;2,604167;
2023-04-17;0;908,066667;30,5;23,7125;18,8;72,958333;1,629167;
2023-04-18;0;906,870833;32,4;24,245833;18,8;72,416667;2,125;
2023-04-19;0;909,179167;31,5;24,25;20;69,541667;4,5;
2023-04-20;0;911,095833;30,5;22,845833;17,9;74,458333;2,933333;
2023-04-21;0;910,8125;30,3;22,075;17,4;75,958333;3,033333;
2023-04-22;28,8;911,95;24,8;20,85;18,1;84,708333;3,508333;
2023-04-23;0;912,595833;25,9;20,879167;17,3;79,541667;3,379167;
