Nome: SALINAS
Codigo Estacao: A552
Latitude: -16.16027777
Longitude: -42.31027777
Altitude: 487.14
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;959,191667;31,7;24,775;20,8;69,166667;1,354167;
2023-01-02;0;958,158333;30,9;24,1875;18,8;74,041667;1,120833;
2023-01-03;6,8;957,5875;30,9;24,0625;19,3;77,583333;1,254167;
2023-01-04;5,2;957,304167;30,5;23,745833;21,7;85,166667;,8625;
2023-01-05;16,4;957,120833;30;23,5625;20,9;85,583333;,925;
2023-01-06;44,6;958,3;28,7;23,408333;20,9;84,291667;,795833;
2023-01-07;,2;959,233333;30,8;24,808333;20,9;78,75;,570833;
2023-01-08;,2;959,016667;32;24,829167;20,8;77,541667;,908333;
2023-01-09;3,2;958,833333;32,6;24,9625;20,5;76,583333;1,258333;
2023-01-10;2,8;959,266667;32;24,725;20,7;76,583333;1,083333;
2023-01-11;0;958,9625;32,8;25,629167;21,3;74,208333;1,1125;
2023-01-12;0;957,754167;32,2;24,883333;20,3;76,875;1,325;
2023-01-13;0;957,0375;32,7;25,3625;21,2;75,916667;,983333;
2023-01-14;1,6;957,908333;32,4;25,466667;21,3;75;,8625;
2023-01-15;,2;959,091667;32,9;25,208333;20;70,625;1,020833;
2023-01-16;0;958,3875;32,5;25,170833;20,7;66,458333;1,220833;
2023-01-17;0;958,920833;31,2;24,454167;20,4;72,375;1,025;
2023-01-18;0;959,416667;32,4;25,404167;20,6;67,833333;1,108333;
2023-01-19;2;959,008333;32,3;25,629167;21,1;69,958333;1,2375;
2023-01-20;19,6;958,491667;30,9;24,108333;21,5;80,083333;1,045833;
2023-01-21;16,2;957,170833;30,6;22,5875;20,1;86,791667;,9625;
2023-01-22;51,4;956,279167;31,1;23,983333;19,3;79,666667;,845833;
2023-01-23;,2;956,65;32,7;24,745833;20,1;75,041667;,675;
2023-01-24;0;955,533333;32,4;24,879167;20,1;78,875;,858333;
2023-01-25;1,4;954,7;31,8;25,125;20,7;79,791667;,645833;
2023-01-26;79,4;956,0125;27;22,7625;19,3;86,25;1,054167;
2023-01-27;2,4;957,625;29,5;23,741667;20,1;81,291667;,695833;
2023-01-28;0;958,8625;32,4;25,3375;20,4;74,458333;,904167;
2023-01-29;0;958,325;31,4;24,975;20,2;72,833333;,933333;
2023-01-30;0;957,329167;31,7;25,016667;21;72,791667;,966667;
2023-01-31;0;958,308333;32,2;23,85;18,1;71,541667;,879167;
2023-02-01;0;958,6125;32,3;24,1375;19,1;72,583333;,795833;
2023-02-02;0;959,170833;31,9;24,920833;19,7;72,375;1,0125;
2023-02-03;0;959,095833;32,7;24,883333;19,5;72,75;,8875;
2023-02-04;0;959,5125;34;24,754167;18,4;73,416667;,979167;
2023-02-05;0;958,383333;34,9;25,458333;19,1;73;,904167;
2023-02-06;0;956,975;35;26,104167;19,4;70,041667;,820833;
2023-02-07;0;957,204167;34,6;25,120833;18,2;70,833333;1,120833;
2023-02-08;0;957,366667;33,4;25,129167;18,9;71,291667;,6375;
2023-02-09;0;958,241667;33,2;24,429167;18,2;71,458333;,820833;
2023-02-10;0;958,208333;32,9;24,416667;17,5;68,541667;,883333;
2023-02-11;0;958,195833;33,2;25,2875;20,3;72,416667;,941667;
2023-02-12;0;957,617391;34,3;26,130435;19;67;1,13913;
2023-02-13;0;958,0625;32;24,279167;19,3;75,125;,808333;
2023-02-14;0;957,095833;34,4;24,945833;18,4;68,916667;,841667;
2023-02-15;0;956,2;33,3;24,554167;18,5;70,875;,779167;
