Nome: JANUARIA
Codigo Estacao: A559
Latitude: -15.44805555
Longitude: -44.36638888
Altitude: 468
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;958,938095;30,1;null;20,1;81,714286;1,985714;
2023-01-02;0;957,621739;31,1;24,708696;18,5;80,695652;1,917391;
2023-01-03;0;957,329167;30,3;23,2625;20;92,958333;1,979167;
2023-01-04;36,8;957,986364;31,3;23,854545;18,8;91,045455;1,913636;
2023-01-05;48,4;957,85;29,9;23,122727;19,9;95,363636;1,645455;
2023-01-06;15;958,854545;29,2;23,472727;20,6;95,363636;1,872727;
2023-01-07;null;959,65;31;24,927273;19,3;84,636364;1,527273;
2023-01-08;25,2;959,504348;30,4;23,895652;20,2;91,478261;1,752174;
2023-01-09;0;959,315;30,7;null;20,2;87,45;2,03;
2023-01-10;null;959,295455;32,3;25,481818;20,4;83,909091;1,272727;
2023-01-11;0;959,438095;31,3;24,545455;20,3;87,952381;1,790476;
2023-01-12;null;958,2;31,2;23,659091;20,1;93,454545;1,213636;
2023-01-13;null;957,381818;30,5;25,127273;20,9;88,181818;1,518182;
2023-01-14;0;958,5;31,8;null;21,4;87,238095;1,390476;
2023-01-15;null;959,033333;31,4;null;20,6;81,571429;1,919048;
2023-01-16;0;958,078261;31;24,747826;18,6;79,73913;1,843478;
2023-01-17;0;958,518182;30,8;24,595455;18,2;79,363636;1,754545;
2023-01-18;null;959,245;31,1;null;19;79,571429;1,73;
2023-01-19;null;959,047619;31,7;null;18,8;78,428571;1,619048;
2023-01-20;0;958,859091;30;23,336364;20,8;93,545455;1,695455;
2023-01-21;72,4;957,854167;29,7;22,566667;19,3;96,125;1,6125;
2023-01-22;25;957,6;28,8;22,890909;19,6;93,454545;1,990909;
2023-01-23;0;957,745455;30,3;23,422727;20,1;92,545455;1,640909;
2023-01-24;19,8;956,456522;32,4;25,934783;20,3;84;1,13913;
2023-01-25;2,8;955,3;31,8;25,873913;21,7;86,782609;1,391304;
2023-01-26;10,8;956,526087;27,3;23,16087;20,2;93,521739;1,565217;
2023-01-27;,2;957,447619;30,1;null;20,5;86,142857;2,071429;
2023-01-28;null;958,990476;32,1;null;20,5;83,428571;1,780952;
2023-01-29;0;958,275;30,9;24,858333;19,8;85,708333;1,704167;
2023-01-30;2,4;957,243478;30,9;25,408696;20,7;84,73913;1,591304;
2023-01-31;0;957,745833;31,4;25,283333;19,7;81,541667;1,795833;
2023-02-01;0;958,254167;31,8;24,583333;18,4;80,208333;1,745833;
2023-02-02;0;959,031818;31,8;24,995455;18,8;78,5;1,85;
2023-02-03;0;959,072727;31,7;24,813636;17,5;80,136364;1,704545;
2023-02-04;0;959,575;32,9;26,291667;20,3;79,166667;1,545833;
2023-02-05;0;958,895455;33,7;26,854545;20,2;77,954545;1,345455;
2023-02-06;null;957,533333;33,1;null;21,4;77,047619;1,419048;
2023-02-07;0;957,195833;33,9;26,704167;19,5;75,875;1,458333;
2023-02-08;0;957,127273;33,1;26,363636;19,1;74,818182;1,863636;
2023-02-09;0;958,073913;33,2;26,008696;19;75,695652;1,895652;
2023-02-10;0;958,030435;32,8;25,421739;18;72,608696;1,721739;
2023-02-11;null;957,585;33,6;null;18,4;73,45;1,8;
2023-02-12;0;957,5;33,1;26,318182;20,5;75,409091;2,068182;
2023-02-13;0;957,395455;34,3;26,281818;19,3;75,136364;1,622727;
2023-02-14;null;957,152381;33,7;null;17,7;73,333333;1,833333;
2023-02-15;null;955,880952;34,1;null;16,6;67,904762;1,490476;
2023-02-16;0;953,929167;34,5;25,9375;17;72,916667;1,733333;
2023-02-17;0;954,56087;34,7;27,491304;21,2;75,913043;1,665217;
2023-02-18;0;956,795455;32,5;26,145455;21,4;79,818182;1,668182;
2023-02-19;null;957,404762;33,4;null;19,2;68,857143;2,142857;
2023-02-20;0;958,195652;32,2;25,926087;19,9;71,130435;2,13913;
2023-02-21;0;958,963636;33,4;25,531818;17,9;73,136364;1,763636;
2023-02-22;0;960,233333;33,1;25,779167;18,8;76,416667;1,5875;
2023-02-23;0;960,047826;33,4;26,052174;19,9;75,73913;1,243478;
2023-02-24;0;958,879167;33,2;25,570833;18,9;76,125;1,279167;
2023-02-25;0;958,082609;34,2;26,082609;18,1;72,304348;1,591304;
2023-02-26;0;959,245833;34,8;26,941667;20,7;68,708333;1,883333;
2023-02-27;0;959,795833;34,4;26,279167;18,9;70,875;1,658333;
2023-02-28;0;960,370833;34,3;26,816667;21;71,5;2,2625;
2023-03-01;2;959,745455;33,8;26,136364;19,4;77,090909;1,595455;
