Nome: POMPEU
Codigo Estacao: A560
Latitude: -19.23249999
Longitude: -44.96416666
Altitude: 705
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;938,3;27,8;22,745833;19,6;84,75;2,2375;
2023-01-02;0;936,958333;27,9;22,483333;19,4;81,291667;2,429167;
2023-01-03;0;935,758333;27,7;22,854167;20,2;82,875;1,991667;
2023-01-04;0;935,691667;26,8;22,245833;21,1;90,291667;2,025;
2023-01-05;0;935,2625;26,6;22,683333;19,2;88,791667;1,816667;
2023-01-06;0;936,579167;27,7;22,741667;20,1;88;2,626087;
2023-01-07;null;938,145833;29,5;22,920833;20,1;84,916667;2,395833;
2023-01-08;null;938,533333;24,3;21,8625;20,1;90,958333;1,979167;
2023-01-09;null;938,05;28,4;22,441667;19,8;86,416667;1,625;
2023-01-10;null;938,3125;30,6;23,658333;19,5;82,166667;1,404167;
2023-01-11;null;938,066667;30,7;23,1875;19,1;81,625;1,391667;
2023-01-12;null;937,104167;28,9;23,433333;19,8;81;1,770833;
2023-01-13;null;936,008333;32,2;24,791667;19,7;76,208333;1,833333;
2023-01-14;null;937,370833;31;24,716667;21;79,791667;1,516667;
2023-01-15;null;937,633333;32,6;25,95;20,6;74,583333;1,483333;
2023-01-16;null;937,0625;31,6;25,925;20,7;63,791667;2,166667;
2023-01-17;null;937,554167;30,9;24,945833;18,7;63,666667;2,258333;
2023-01-18;null;938,345833;32;25,641667;19,6;67,541667;1,929167;
2023-01-19;null;938,5125;27,4;22,358333;18;82,583333;1,458333;
2023-01-20;null;937,166667;27,5;22,558333;18,4;83,791667;1,633333;
2023-01-21;null;935,152174;27,6;22,591304;20,1;84,391304;2,273913;
2023-01-22;null;934,254167;28,4;22,708333;20;84,5;1,7375;
2023-01-23;null;935,070833;27,5;23,275;20,5;83,458333;2,279167;
2023-01-24;null;934,520833;28,6;22,570833;20,4;90,291667;1,745833;
2023-01-25;null;934,3625;29,4;22,7125;19,6;86,583333;1,508333;
2023-01-26;null;934,845833;29,3;23,233333;18,8;82;2,704167;
2023-01-27;null;936,491667;30,6;24,0625;20,3;78,708333;1,995833;
2023-01-28;null;938,279167;30,4;23,795833;19,9;82,791667;1,525;
2023-01-29;null;937,254167;31,5;23,825;18,9;80,791667;1,841667;
2023-01-30;null;936,375;29,6;22,7125;18,2;82,125;1,795833;
2023-01-31;null;936,991667;31,1;24,425;20,7;78,833333;1,520833;
2023-02-01;null;937,183333;32;24,354167;18;72,5;1,379167;
2023-02-02;null;937,725;32,2;24,8875;19,9;67,541667;1,317391;
2023-02-03;null;937,3625;32,9;25,295833;18,6;70,958333;1,645833;
2023-02-04;0;937,970833;33;25,7375;18,9;70,791667;1,5;
2023-02-05;0;937,591667;33,1;26,054167;20,6;73,583333;1,495833;
2023-02-06;0;936,633333;32,9;24,920833;21,2;79,458333;1,429167;
2023-02-07;0;936,8;32;24,845833;19,9;76,125;1,829167;
2023-02-08;0;937,004348;31,3;22,682609;19,1;81,347826;2,173913;
2023-02-09;30,4;937,833333;27,8;21,279167;16,6;88,25;1,541667;
2023-02-10;5,8;937,254167;33,6;24,216667;17,5;75,708333;1,666667;
