Nome: PATOS DE MINAS
Codigo Estacao: A562
Latitude: -18.52055554
Longitude: -46.44055555
Altitude: 950
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;6,4;909,0375;29,1;21,979167;18,2;82,5;1,816667;
2023-01-02;11,4;907,625;27,1;21,654167;18,8;84,833333;1,945833;
2023-01-03;50;907,004167;26,7;20,858333;18,4;89;1,772727;
2023-01-04;1,4;906,916667;24,2;20,679167;18,4;87,75;2,095833;
2023-01-05;6,4;906,433333;28,6;21,566667;18,9;86,625;1,813636;
2023-01-06;38,8;907,595833;24,7;20,558333;19;91,916667;null;
2023-01-07;37;908,9875;27,4;21,691667;18,6;86,833333;null;
2023-01-08;49,4;909,279167;24;19,625;18,1;95,25;null;
2023-01-09;54;908,970833;28;21,254167;18,5;86,875;null;
2023-01-10;,4;909,2375;29,7;22,133333;17,2;78,666667;null;
2023-01-11;27;909,179167;29,8;22,491667;17,4;80,166667;null;
2023-01-12;8,2;907,983333;29;22,25;18,8;80,875;null;
2023-01-13;,2;907,233333;31,1;23,045833;19,8;78,333333;null;
2023-01-14;17,8;908,504167;30,5;22,775;18,1;78,708333;null;
2023-01-15;,2;908,941667;32,6;24,895833;19,6;72,208333;null;
2023-01-16;0;908,104167;31,4;23,945833;19;73,5;null;
2023-01-17;0;908,45;31,7;24,033333;18,6;63,583333;null;
2023-01-18;1,4;909,466667;31,8;23,025;17,6;72,041667;null;
2023-01-19;1,2;909,4625;26,5;20,975;18,3;83,208333;null;
2023-01-20;7,4;908,325;26,2;20,829167;18,6;85,666667;null;
2023-01-21;20,6;906,875;26,6;20,704167;17,8;84,291667;null;
2023-01-22;0;905,854167;27,6;21,5;18,1;81,041667;null;
2023-01-23;1,2;906,266667;28,2;21,3625;19,1;87,375;null;
2023-01-24;12,4;905,866667;26,9;22,1;19,1;85,708333;null;
2023-01-25;4,8;905,529167;29,5;22,054167;19,5;86;null;
2023-01-26;17,6;905,595833;28,6;21,816667;19,4;87;null;
2023-01-27;1,2;907,45;28,1;21,345833;19,1;86,416667;null;
2023-01-28;3,8;909,3125;28,4;22,170833;19,3;82,916667;null;
2023-01-29;0;908,683333;31,4;21,108333;18,2;85,5;null;
2023-01-30;4,6;907,495833;29,1;20,995833;16,5;83,125;null;
2023-01-31;,6;908,108333;27,2;21,758333;18,3;84,625;null;
2023-02-01;,2;908,304167;30,9;23,945833;19,4;71,416667;null;
2023-02-02;,2;908,866667;31,4;24,633333;19,8;63,916667;null;
2023-02-03;0;908,7;32,7;25,1125;18,8;60,833333;null;
2023-02-04;0;909,483333;32,2;23,75;17,5;70,666667;null;
2023-02-05;1,8;909,320833;30,4;23,725;19,3;77,291667;null;
2023-02-06;0;908,2375;31,4;23,154167;18,9;76,791667;null;
2023-02-07;0;908,120833;31,7;23,55;18,7;72,916667;null;
2023-02-08;0;907,654167;31,7;22,841667;18,2;74,666667;null;
2023-02-09;6;908,841667;25,8;21,0375;18,3;87,625;null;
2023-02-10;1,8;908,4125;31,2;21,604167;18;82,416667;null;
2023-02-11;15;908,404167;30,3;22,866667;18,9;79,083333;null;
2023-02-12;,4;907,658333;30,3;23,191667;19,3;74,708333;null;
2023-02-13;0;908,183333;31;22,904167;17,1;76,625;null;
2023-02-14;0;907,533333;33,7;24,316667;19,1;72,416667;null;
2023-02-15;2,4;906,379167;31,7;24,695833;19,7;70,333333;null;
2023-02-16;0;904,5125;31,8;24,029167;19,8;73,666667;null;
2023-02-17;3,6;905,2375;31,9;23,433333;18,2;74,333333;null;
2023-02-18;1,8;907,466667;29,1;22,116667;18,5;80,708333;null;
2023-02-19;,2;908,225;30,3;22,283333;18,9;80,958333;null;
2023-02-20;8,8;908,645833;30,4;21,45;17,4;81,375;null;
2023-02-21;21;909,195833;30,3;22,416667;17,6;77,375;null;
2023-02-22;,2;910,766667;32,4;22,904167;17,6;75,041667;null;
2023-02-23;8,2;911,141667;27,7;21,154167;18,6;86,875;null;
2023-02-24;2,6;909,295833;29,6;21,275;18,3;88;null;
2023-02-25;5,2;908,425;31,8;24,133333;18,9;73;null;
2023-02-26;0;909,804167;33,3;25,2125;19,1;68,5;null;
2023-02-27;0;910,695833;32,4;24,891667;19,2;65,875;null;
2023-02-28;0;910,883333;32,2;24,491667;17,6;61,708333;null;
2023-03-01;0;910,120833;30,7;24,3125;19,5;64,875;null;
2023-03-02;0;909,379167;30,7;22,5;17,5;76,125;null;
2023-03-03;0;908,520833;32,2;23,95;18,7;75,75;null;
2023-03-04;10,6;909,004167;32,2;23,95;17,8;68,666667;null;
2023-03-05;,2;907,666667;31,4;24,620833;18,5;61,083333;null;
2023-03-06;0;906,4125;32,7;23,891667;19,2;67,375;null;
2023-03-07;8,4;908,204167;27,3;20,5625;18,4;84,625;null;
2023-03-08;6;909,083333;27,5;20,879167;18,5;84,875;null;
2023-03-09;9,2;909,5;29,4;21,9625;17,5;82,416667;null;
2023-03-10;,2;909,05;30,8;22,5375;20,3;79,333333;null;
2023-03-11;20,4;908,666667;29;21,670833;18,2;85,416667;null;
2023-03-12;5,6;908,55;29,1;22,7;18,1;78,25;null;
2023-03-13;0;909,025;28,7;22,658333;19,2;79,625;null;
2023-03-14;0;909,220833;28,9;22,704167;18,5;76,583333;null;
2023-03-15;0;908,579167;28,4;22,241667;18,7;78,916667;null;
2023-03-16;0;907,733333;30,2;23,1125;18,7;71,25;null;
2023-03-17;0;908,016667;31,1;23,245833;19,5;69,041667;null;
2023-03-18;0;908,645833;29,9;23,0875;18,3;69,583333;null;
2023-03-19;0;908,9875;28,3;22,55;18,3;69,541667;null;
2023-03-20;0;909,2375;28,4;22,541667;18,5;73,583333;null;
2023-03-21;0;909,5875;31,3;23,641667;17,6;67,166667;null;
2023-03-22;0;910,383333;31,3;23,708333;18,2;62,583333;null;
2023-03-23;0;910,6875;31,3;23,795833;18,5;61,125;null;
2023-03-24;0;910,116667;31,1;23,725;17,4;62,25;null;
2023-03-25;0;909,454167;31,6;24,204167;18;56,291667;null;
2023-03-26;0;909,708333;33,2;24,433333;18,2;55,666667;null;
2023-03-27;0;908,641667;33,1;24,745833;18,5;55,75;null;
2023-03-28;0;908,916667;30,9;24,145833;18,6;64,5;null;
2023-03-29;0;909,6;30,1;23,370833;19,2;68,333333;null;
2023-03-30;0;910,170833;32,2;24,195833;17,9;57,791667;null;
2023-03-31;0;909,158333;33,2;24,679167;17,9;49,5;null;
2023-04-01;0;907,7;31,9;24,125;18,2;62,208333;null;
2023-04-02;0;907,429167;30,5;22,1625;19,1;72,541667;null;
2023-04-03;17,4;908,691667;26,5;20,454167;17,3;79,75;null;
2023-04-04;,4;908,345833;29,6;21,083333;16,3;75,916667;null;
