Nome: NOVA PORTEIRINHA (JANAUBA)
Codigo Estacao: A563
Latitude: -15.80277777
Longitude: -43.29694444
Altitude: 532
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;953,33913;32,5;26,004348;19,4;68,521739;null;
2023-01-02;0;952,166667;32,9;25,491667;17,9;70,083333;null;
2023-01-03;0;951,73913;31,1;25,56087;20,1;72,869565;null;
2023-01-04;null;952,447619;30,1;null;21,1;81,142857;null;
2023-01-05;,2;952,061905;30,4;null;21,9;85,666667;null;
2023-01-06;null;953,322727;27,9;23,972727;21,3;89,090909;null;
2023-01-07;null;953,922727;32,1;25,845455;20;77,636364;null;
2023-01-08;0;953,782609;29,5;24,904348;20,2;82,434783;null;
2023-01-09;13,2;953,540909;31,2;25,35;21,2;80,909091;null;
2023-01-10;0;953,830435;30,8;25,191304;20,6;81,608696;null;
2023-01-11;0;953,777273;31,2;24,913636;20,1;80,181818;null;
2023-01-12;0;952,540909;31,2;25,104545;20,5;82,409091;null;
2023-01-13;null;951,509524;32,2;null;20,5;80,47619;null;
2023-01-14;13,8;952,652381;32,4;null;20,9;81,380952;null;
2023-01-15;null;953,340909;32,3;26,472727;20,3;67,045455;null;
2023-01-16;0;952,520833;31,8;25,8625;18,6;65,458333;null;
2023-01-17;0;952,986364;32;26,222727;20,1;62,681818;null;
2023-01-18;0;953,672727;31,9;26,031818;21,1;68,090909;null;
2023-01-19;0;953,404545;32,4;26,068182;20,3;70,409091;null;
2023-01-20;12;953,204545;30,4;24,431818;20,1;82,363636;null;
2023-01-21;17,6;952,134783;31,5;24,004348;20,1;87;null;
2023-01-22;67;952,0875;29,5;23,266667;19,7;87,916667;null;
2023-01-23;,2;952,226087;31,2;24,404348;20,2;82,869565;null;
2023-01-24;,2;950,830435;33;25,86087;20,1;79,913043;null;
2023-01-25;0;949,759091;31,4;25,422727;20,8;83,272727;null;
2023-01-26;0;950,630435;27,2;24,143478;22,8;82,73913;null;
2023-01-27;null;951,79;32,3;null;19,9;79,25;null;
2023-01-28;null;953,177273;33,5;25,981818;19;73,636364;null;
2023-01-29;0;952,665217;32,2;25,382609;20,1;76,086957;null;
2023-01-30;0;951,721739;32,6;25,643478;19;72,782609;null;
2023-01-31;0;952,254167;33,3;25,933333;18,4;65,625;null;
2023-02-01;0;952,673913;32,7;26,208696;18,3;63,217391;null;
2023-02-02;null;953,515;32,5;null;18,3;68,8;null;
2023-02-03;0;953,620833;32,3;24,9;19,3;76,666667;null;
2023-02-04;0;953,9875;34,4;25,625;18,5;74;null;
2023-02-05;0;953,090476;34,8;null;19;70,47619;null;
2023-02-06;0;951,76087;34,2;26,947826;19,7;71,086957;null;
2023-02-07;0;951,478261;34,9;26,9;19;65,478261;null;
2023-02-08;null;951,671429;34;null;19,7;61,857143;null;
2023-02-09;0;952,643478;33,5;26,743478;19,1;63,608696;null;
2023-02-10;0;952,478261;33,4;27,369565;20,3;54,304348;null;
2023-02-11;0;952,186364;34,3;27,018182;18,9;65,590909;null;
2023-02-12;null;951,966667;34,1;null;20,5;60,761905;null;
2023-02-13;null;952,085714;33,9;null;18,2;65,952381;null;
2023-02-14;0;951,536364;34,3;27,145455;20,6;58,863636;null;
2023-02-15;0;950,434783;34,1;26,882609;18,1;60,869565;null;
2023-02-16;0;948,458333;34,8;27,316667;19,4;64,083333;null;
2023-02-17;0;949,178261;34,4;27,626087;20,6;67,391304;null;
2023-02-18;0;950,913043;33;27,617391;22,3;60,956522;null;
2023-02-19;0;951,991304;34,3;26,547826;21;64,043478;null;
2023-02-20;,6;952,8125;33,7;26,3;19,8;63,541667;null;
2023-02-21;0;953,56087;33,5;26,3;20,2;63,782609;null;
2023-02-22;0;954,752174;33,6;27,004348;20,5;62,26087;null;
2023-02-23;0;954,5375;33,7;27,179167;20,6;61,625;null;
2023-02-24;0;953,2125;33,3;27,2375;20,6;57,666667;null;
2023-02-25;0;952,633333;34,5;27,2875;19,6;56,666667;null;
2023-02-26;0;953,769565;35,2;28,256522;21,6;56,695652;null;
2023-02-27;0;954,229167;35;28,108333;19,7;55,833333;null;
2023-02-28;0;954,8125;34,6;27,891667;21,7;60,375;null;
2023-03-01;0;954,243478;35;27,952174;21,2;60,782609;null;
2023-03-02;null;952,790476;34,5;null;20,9;61,714286;null;
2023-03-03;0;952,782609;34,2;27,356522;20,6;58,217391;null;
2023-03-04;0;952,982609;34,1;27,247826;21,2;57;null;
2023-03-05;0;951,7875;34,7;26,816667;18;58,666667;null;
2023-03-06;0;950,582609;35,8;27,5;17,3;56,608696;null;
2023-03-07;0;951,481818;34,1;27,645455;20,4;60,5;null;
2023-03-08;null;952,736842;33,6;null;21,5;60,578947;null;
2023-03-09;null;953,363636;32,9;26,872727;22,7;63,772727;null;
2023-03-10;,4;952,96087;35,2;27,717391;21;59;null;
2023-03-11;0;951,904762;34,3;null;22,4;56,047619;null;
2023-03-12;0;952,159091;34,5;28,245455;23;53,318182;null;
2023-03-13;null;952,914286;32,9;null;21,5;57,666667;null;
2023-03-14;0;952,943478;33,2;26,695652;20,1;62;null;
2023-03-15;0;952,286364;34,3;27,75;22,7;54,954545;null;
2023-03-16;0;951,72381;33,3;null;21,8;56,904762;null;
2023-03-17;0;951,977273;33,2;27,063636;21,9;56,363636;null;
2023-03-18;null;952,74;34,7;null;20,5;54,85;null;
2023-03-19;0;953,395238;33,3;null;21,6;60,857143;null;
2023-03-20;null;953,359091;32,7;25,481818;19,1;65,681818;null;
2023-03-21;0;953,268182;34,9;27,327273;19,5;58,5;null;
2023-03-22;0;954,9;33,5;26,572727;20,3;62,227273;null;
2023-03-23;null;954,852174;34,2;27,104348;21;56,521739;null;
2023-03-24;0;954,159091;33,8;27,05;19,4;50,318182;null;
2023-03-25;0;953,266667;35,2;27,345833;18,8;51,125;null;
2023-03-26;0;953,454167;35,4;27,5125;20,6;58,916667;null;
2023-03-27;0;952,608333;35;28,183333;22,2;59,333333;null;
2023-03-28;0;953;34,2;27,008333;19,8;59,833333;null;
2023-03-29;0;953,854167;34,3;26,3875;17,9;52,708333;null;
2023-03-30;0;954,125;34,9;27,358333;18,4;50,041667;null;
2023-03-31;0;952,883333;35,7;28;17,1;45,416667;null;
2023-04-01;0;951,152174;36,8;26,33913;15,7;50,434783;null;
2023-04-02;0;950,6;36,9;26,678261;18;55,391304;null;
2023-04-03;17,6;952,8125;31,9;24,954167;21;69,625;null;
2023-04-04;0;952,529167;30,8;25,6125;22,1;63,791667;null;
2023-04-05;0;951,316667;33;26,6125;22,1;60,708333;null;
2023-04-06;0;951,320833;33,7;26,958333;20;61,375;null;
2023-04-07;0;951,726087;34,8;27,465217;20,2;57,782609;null;
2023-04-08;0;951,566667;35,9;27,391667;18,3;61;null;
2023-04-09;0;952,191667;35,5;28,504167;22,1;58,875;null;
2023-04-10;,8;953,820833;32,1;26,441667;22,8;71,166667;null;
2023-04-11;,2;954,116667;31,4;25,891667;22,6;64,875;null;
2023-04-12;0;952,804348;32,9;26,534783;22,4;63,956522;null;
2023-04-13;0;950,8875;34,3;27,445833;22,5;63,666667;null;
2023-04-14;0;950,933333;35,6;27,320833;19,7;62,666667;null;
2023-04-15;0;951,233333;36,8;27,55;19,8;58,5;null;
2023-04-16;0;950,8125;36,1;28,225;22;58,291667;null;
2023-04-17;0;949,308333;33,8;26,891667;22,3;63,166667;null;
2023-04-18;0;947,495833;36,6;28,2875;19,7;56,791667;null;
2023-04-19;0;949,866667;33,6;26,8;20,7;67,625;null;
2023-04-20;0;951,845833;34,7;27,179167;21,3;68,875;null;
2023-04-21;0;952,9;29,2;25,25;23,3;70;null;
