Nome: MACHADO
Codigo Estacao: A567
Latitude: -21.680722
Longitude: -45.944389
Altitude: 969
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;3;906,534783;26,8;20,995652;17,2;86,782609;1,386957;
2023-01-02;0;904,891667;25,8;20,325;17,8;90,5;1,533333;
2023-01-03;15,8;903,434783;23,4;19,573913;17,2;97,304348;1,156522;
2023-01-04;null;902,472727;24,9;20,745455;18,8;92,545455;1,695455;
2023-01-05;30;902,645833;23,9;19,908333;18,2;97,333333;1,425;
2023-01-06;35,4;904,982609;20;17,869565;16,5;99,782609;2,804348;
2023-01-07;19;906,913636;20,6;17,55;15,2;98,045455;2,072727;
2023-01-08;6,4;906,904167;20,3;17,983333;16,5;98,958333;1,270833;
2023-01-09;2,6;905,75;24,9;19,85;17,8;96,208333;1,791667;
2023-01-10;67,2;906,168182;25,7;20,640909;17,8;92,590909;1,059091;
2023-01-11;10;906,204348;20,9;19,152174;18,4;100;1,573913;
2023-01-12;44,6;904,381818;27,2;20,577273;18,1;92,590909;2,118182;
2023-01-13;null;904,340909;26,1;20,259091;17,6;96,454545;,959091;
2023-01-14;2,6;905,404167;28,7;22,429167;19;85,166667;1,6125;
2023-01-15;,2;906,230435;31,3;24,904348;19,8;76;1,665217;
2023-01-16;2;905,6;30,2;23,8375;17,6;78,391304;2,347826;
2023-01-17;0;906,25;29,9;24,033333;19,5;72,666667;1,629167;
2023-01-18;2,6;907,221739;29,9;23,395652;18,5;75,913043;2,226087;
2023-01-19;2,6;906,775;28,9;22,170833;18,9;84;1,9375;
2023-01-20;4;905,013043;22,6;18,930435;17,5;98,608696;1,378261;
2023-01-21;24,8;901,591304;27,4;21,486957;18,3;87,869565;1,704348;
2023-01-22;0;901,495652;28,9;22,704348;18,6;81,478261;1,9;
2023-01-23;9,8;902,518182;27,5;21,627273;18,8;91,045455;,85;
2023-01-24;54;901,96087;26,6;21,369565;18,6;94,217391;,665217;
2023-01-25;8,6;902,769565;29,1;22,947826;18,1;79,826087;1,313043;
2023-01-26;0;903,575;29,2;23,154167;17,6;65,791667;1,920833;
2023-01-27;0;904,881818;28,1;22,431818;18,6;81,318182;1,795455;
2023-01-28;25,6;906,652174;24,9;20,013043;18,9;98,565217;1,778261;
2023-01-29;33,4;905,843478;27,1;20,282609;18;94,217391;1,034783;
2023-01-30;42;904,595833;27,7;20,95;17,8;89,791667;1,1125;
2023-01-31;4,8;905,334783;26,9;20,886957;17,5;92,695652;,943478;
2023-02-01;12,2;905,866667;25,6;20,8375;19,3;96,666667;1,216667;
2023-02-02;36;906,454545;26,8;20,981818;18,4;95,227273;1,195455;
2023-02-03;12,2;905,704167;28,4;21,4625;17,6;89,041667;,695833;
2023-02-04;9;906,15;29,9;22,795833;18,3;84,291667;1,691667;
2023-02-05;,2;905,790909;30,8;24,15;18,8;80,363636;1,736364;
2023-02-06;0;905,266667;28,1;22,9125;18,9;87,166667;1,329167;
2023-02-07;1,4;905,404167;28,2;22,108333;18;85,875;1,845833;
2023-02-08;,2;904,947826;28,7;21,578261;19,6;88,173913;1,604348;
2023-02-09;11,2;905,7125;28,3;22,370833;17,9;83,791667;1,120833;
2023-02-10;4,4;905,991667;26,8;20,454167;18,1;94,625;1,195833;
2023-02-11;28;906,013043;25,3;20,647826;17,2;92,217391;1,03913;
2023-02-12;19;905,56087;21,7;19,234783;17,7;99,347826;,856522;
2023-02-13;8,2;905,6;27,6;20,795652;17,3;92,826087;1,386957;
2023-02-14;null;904,818182;28,7;21,190909;17,8;92,272727;1,013636;
2023-02-15;10;903,191304;30,3;22,356522;19,7;89,086957;1,395652;
2023-02-16;1,2;901,5;27,3;21,125;18,2;93,333333;1,141667;
2023-02-17;3,4;902,4;28,7;21,9375;18,2;86,541667;1,075;
2023-02-18;4,4;904,795652;29,4;22,626087;19;87,826087;1,573913;
2023-02-19;28,2;906,545833;27,7;21,370833;18,1;90,541667;2,833333;
2023-02-20;4,6;906,5875;28;22,379167;18,3;82,625;1,820833;
2023-02-21;11,6;906,878261;28,2;21,7;17,9;87,608696;1,813043;
2023-02-22;,2;908,459091;28,6;21,172727;17,6;88,090909;1,522727;
2023-02-23;6,2;908,556522;26,4;20,647826;18,1;90,217391;1,104348;
2023-02-24;12,2;906,508333;29;21,175;18;91;1,633333;
2023-02-25;7,2;905,483333;28,8;22,108333;18,5;89,708333;1,3375;
2023-02-26;20,2;907,258333;30,9;22,8625;17,6;86,041667;1,5875;
2023-02-27;0;908,347826;31,5;23,73913;18,9;79,043478;2,191304;
2023-02-28;0;909,2625;29,7;23,3375;19,3;76,625;1,8625;
2023-03-01;0;907,8625;29,7;23,395833;18,3;72,875;1,091667;
2023-03-02;0;906,213636;29,3;23,040909;19,8;80,363636;1,9;
2023-03-03;5,4;906,2;30,2;22,770833;18,1;84,5;1,5;
2023-03-04;1,2;906,43913;30,3;23,365217;19,5;81,434783;1,856522;
2023-03-05;11,8;905,170833;26,9;20,45;17,4;92,958333;1,370833;
2023-03-06;3,2;904,345455;23,7;19,368182;17,5;94,727273;1,859091;
2023-03-07;19,4;905,704348;27,5;19,578261;15,4;87,521739;1,66087;
2023-03-08;,6;906,652174;26,6;21;16,6;87,608696;,673913;
2023-03-09;,2;906,9375;28,5;22,1875;19,4;88,458333;1,529167;
2023-03-10;19,4;906,66087;28,6;22,021739;18,2;84,391304;2,417391;
2023-03-11;6,8;906,043478;26,3;20,608696;18,1;92,521739;1,213043;
2023-03-12;12,2;906,214286;26,7;null;18,6;89;1,095238;
2023-03-13;null;907,163636;25,7;21,240909;18,7;91,454545;1,263636;
2023-03-14;,2;907,372727;27,4;21,863636;19,6;86,545455;1,490909;
2023-03-15;0;906,709091;28,9;23,054545;18,9;77,272727;1,25;
2023-03-16;0;906,154167;28,8;22,720833;18,2;74,375;2,0625;
2023-03-17;0;906,530435;28,3;22,095652;17,2;73,043478;1,517391;
2023-03-18;null;906,909091;28;22,763636;17,9;69,909091;1,286364;
2023-03-19;0;906,6375;29,6;23,3625;18,8;74,166667;,820833;
2023-03-20;0;906,718182;28,1;22,004545;17,9;82,363636;,145455;
2023-03-21;0;907,33913;29,3;22,121739;16,5;78,130435;0;
2023-03-22;9;908,654167;28,9;22,545833;17,8;79,208333;0;
2023-03-23;2,2;909,045455;28,3;23,004545;18,6;76,863636;0;
2023-03-24;0;907,886364;29;23,772727;18,5;69,863636;0;
2023-03-25;0;906,833333;30,2;23,933333;19,4;71,041667;0;
2023-03-26;0;907,020833;30,3;23,7875;18,8;74;0;
