Nome: SEROPEDICA-ECOLOGIA AGRICOLA
Codigo Estacao: A601
Latitude: -22.75777777
Longitude: -43.68472221
Altitude: 35
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;1010,2;31,6;24,866667;20,3;77,875;1,604167;
2023-01-02;23,4;1007,75;33,7;26,020833;20,5;66,083333;2,216667;
2023-01-03;0;1004,6375;35,6;28,4875;24,5;56,25;3,054167;
2023-01-04;0;1004,075;32,7;27,029167;25;68,625;2,1875;
2023-01-05;10,4;1007,045833;24,5;22,8375;21,9;87,333333;1,679167;
2023-01-06;8,4;1011,675;22,2;20,725;21;90,25;2,004167;
2023-01-07;35,6;1014,616667;21,5;19,429167;18;89,458333;,958333;
2023-01-08;5;1013,375;25,6;21,254167;18,9;85,25;1,075;
2023-01-09;9;1011,308333;25,4;21,933333;20,6;88,916667;,691667;
2023-01-10;16,4;1010,05;29,4;23,983333;21,3;84,583333;,7875;
2023-01-11;,2;1008,754167;31,6;25,379167;22,7;80,083333;1,666667;
2023-01-12;22,6;1006,25;34,9;27,016667;21,8;70,541667;1,708333;
2023-01-13;,2;1005,916667;36,8;27,204167;22,7;70,791667;1,866667;
2023-01-14;4,6;1006,620833;35,3;28,675;23;68,666667;1,754167;
2023-01-15;,2;1007,9;38,3;29,558333;24;70,25;1,866667;
2023-01-16;0;1008;35,6;28,383333;23,8;73,083333;1,591667;
2023-01-17;0;1009,725;34,2;27,579167;23,8;75,625;1,291667;
2023-01-18;,2;1010,975;33,5;26,991667;22,6;74,041667;1,6;
2023-01-19;0;1010,408333;34,4;27,1875;23;72,125;1,766667;
2023-01-20;10,6;1008,3625;28,7;25,0875;21,4;77,458333;1,654167;
2023-01-21;4;1004,7125;29,6;24,829167;22,1;76,458333;1,4875;
2023-01-22;0;1003,575;34,2;26,754167;21,8;69,208333;1,9625;
2023-01-23;0;1004,45;35,3;26,870833;22,5;71,291667;2,091667;
2023-01-24;3,8;1004,820833;31,6;25,575;23,1;80,291667;1,1;
2023-01-25;9,2;1007,2;31;25,5625;20,9;76,916667;1,266667;
2023-01-26;,2;1009,0375;31,9;24,825;19;73,75;1,2625;
