Nome: RESENDE
Codigo Estacao: A609
Latitude: -22.45138888
Longitude: -44.44499999
Altitude: 438.83
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;6,4;964,233333;32,5;23,075;19,6;77,625;1,608333;
2023-01-02;11,6;962,041667;31,5;23,4625;18,3;72,083333;1,958333;
2023-01-03;,2;959,604167;31,7;24,370833;19;70,125;1,395833;
2023-01-04;0;958,729167;27,8;23,991667;21,6;80,916667;1,166667;
2023-01-05;3,8;960,675;23,9;21,579167;20,1;86,666667;3,0125;
2023-01-06;11,6;964,833333;22,3;20,0625;19,2;87,458333;2,583333;
2023-01-07;23,8;967,370833;23,4;18,895833;16,9;86,583333;1,5375;
2023-01-08;7,8;966,375;24,7;20,054167;17,9;85,083333;1,433333;
2023-01-09;20;964,554167;24,7;21,091667;19,3;86,5;1,2125;
2023-01-10;11,6;963,8;28,4;22,770833;20,3;82,166667;1,383333;
2023-01-11;27,6;963,2875;28,6;22,770833;20,2;85,291667;1,258333;
2023-01-12;3,4;960,995833;32,2;24,2625;20,7;78,083333;1,608333;
2023-01-13;4,6;960,895833;33,9;24,2375;21,2;79,916667;1,45;
2023-01-14;25,8;961,829167;32,8;25,191667;20,1;76;1,370833;
2023-01-15;0;962,920833;35,6;26,345833;20,3;69;1,733333;
2023-01-16;,8;962,541667;34,4;27,204167;21,5;67,875;2,070833;
2023-01-17;,2;963,65;34,3;27,241667;23,2;66,5;2,245833;
2023-01-18;0;964,983333;33,8;25,033333;21,9;72,791667;1,941667;
2023-01-19;11,2;964,670833;30,8;24,070833;19,9;74,958333;1,775;
2023-01-20;0;962,625;26,7;22,483333;20;80,25;1,525;
2023-01-21;2,4;958,916667;28,8;22,720833;20,4;82;1,658333;
2023-01-22;12,4;958,145833;33,9;24,825;19,9;73,75;1,554167;
2023-01-23;0;959,3625;30,4;24,520833;20,3;75,833333;1,6;
2023-01-24;18,8;959,220833;28;23,258333;20,8;83,416667;1,454167;
2023-01-25;16;961,1125;31,2;24,3875;20,1;72,791667;2,25;
2023-01-26;,2;962,716667;30,6;23,658333;16,5;62,666667;2,7625;
2023-01-27;0;963,1125;31,8;24;19;73;2,05;
2023-01-28;9;963,816667;31,9;24,445833;21,1;77,75;1,525;
2023-01-29;3,6;962,883333;31,5;23,329167;21;82,375;1,570833;
2023-01-30;20;961,541667;31,5;23,345833;20,5;81,166667;1,895833;
2023-01-31;7,6;962,416667;33,1;23,85;20,8;81,5;1,429167;
2023-02-01;5;963,116667;30,9;23,879167;21;81,875;1,920833;
2023-02-02;17,4;963,395833;30,3;24,329167;20,8;78,541667;1,479167;
2023-02-03;,2;962,366667;29,2;24,229167;20,6;79,416667;1,408333;
2023-02-04;2,8;961,8625;35,2;26,970833;21;65,375;1,691667;
2023-02-05;0;962,158333;34,1;24,870833;21,2;74;1,783333;
2023-02-06;0;962,383333;32,7;24,066667;20,2;81,791667;1,425;
2023-02-07;15,8;962,958333;29,1;23,7;21,6;83,791667;1,595833;
2023-02-08;7;963,116667;27,8;23,395833;20,9;81,541667;1,458333;
2023-02-09;2,2;963,604167;30,8;23,808333;20,2;79,125;1,779167;
2023-02-10;,6;963,458333;30,4;23,883333;21,3;78,791667;1,6125;
2023-02-11;,4;963,383333;31,3;23,583333;20,1;80,125;1,5;
2023-02-12;12,6;962,983333;27,1;22,495833;20,3;86,916667;1,291667;
2023-02-13;1,4;962,283333;32,1;23,975;20,2;79,958333;1,375;
