Nome: VALENCA
Codigo Estacao: A611
Latitude: -22.35805555
Longitude: -43.69555555
Altitude: 370
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1,4;973,308333;32,3;23,466667;19,8;80,708333;1,65;
2023-01-02;1,2;971,529167;29,9;22,295833;18,5;80,791667;2,4;
2023-01-03;5,2;969,166667;31,3;24,058333;19,2;77,083333;2,620833;
2023-01-04;,6;968,033333;30,3;24,65;21,8;80,083333;1,958333;
2023-01-05;5,4;969,525;25,9;22,354167;21,9;91;1,641667;
2023-01-06;35,2;973,7625;22;19,920833;19,5;92,583333;1,754167;
2023-01-07;43,8;976,3625;20,5;18,258333;16,6;92,75;1,775;
2023-01-08;10,8;975,4125;23,4;19,645833;17,7;91,125;1,2375;
2023-01-09;19,6;973,516667;28;21,479167;19,2;90,25;1,108333;
2023-01-10;33,8;972,891667;28,9;23,154167;20,4;87,541667;1,595833;
2023-01-11;6;972,341667;29,6;23,391667;22,2;87,458333;1,829167;
2023-01-12;8,4;970,15;32,2;25,1875;20,8;76,583333;1,9125;
2023-01-13;0;970,016667;32,4;24,3625;21,6;82,625;1,616667;
2023-01-14;19,6;970,691667;33,8;26,5875;21,5;77,208333;1,475;
2023-01-15;0;971,695833;35,3;28,141667;22,6;72,25;1,875;
2023-01-16;0;971,491667;34,2;27,958333;23,6;72,166667;1,608333;
2023-01-17;0;972,925;32;26,041667;22;81,916667;1,458333;
2023-01-18;0;974,1125;32,5;25,2625;20,9;78,541667;1,883333;
2023-01-19;0;973,558333;31,8;25,066667;21,3;75,416667;1,691667;
2023-01-20;4,6;971,8375;25,6;22,204167;20,7;88,083333;1,566667;
2023-01-21;47,2;968,066667;26,4;22,266667;19,8;89,791667;1,404167;
2023-01-22;11,6;967,1375;32,9;24,745833;19,2;79,791667;1,45;
2023-01-23;0;968,416667;32;24,533333;21,5;81,666667;1,720833;
2023-01-24;8;968,145833;26,9;23,270833;21,3;88,75;1,016667;
2023-01-25;30,6;970,05;29,7;23,733333;19,6;85,208333;1,745833;
2023-01-26;0;971,591667;29,7;23,204167;17,7;76,916667;1,654167;
2023-01-27;0;972,154167;31,3;24,229167;20,2;79,333333;1,35;
2023-01-28;8;973,004167;32;24,1;20,4;83,083333;1,670833;
2023-01-29;2,8;971,654167;31,8;24,0375;21,2;83,791667;1,520833;
2023-01-30;4;970,775;31,5;23,716667;20,5;82,541667;2,108333;
2023-01-31;3,2;971,420833;31,7;24,708333;20,4;80,875;2,1;
2023-02-01;0;971,8125;32,1;25,320833;20,5;77,75;1,708333;
2023-02-02;10,2;972,25;31,6;24,733333;21;79,708333;1,7125;
2023-02-03;0;971,183333;33,5;24,491667;20,1;79,958333;1,291667;
2023-02-04;,4;970,779167;35,8;27,316667;21,2;74,083333;1,5;
2023-02-05;0;971,141667;34,8;23,925;20,8;79,125;1,366667;
2023-02-06;19,8;971,291667;32,6;24,5625;20,6;83,5;1,283333;
2023-02-07;1,8;971,908333;30,6;23,754167;19,3;81,541667;1,3875;
2023-02-08;113,4;972,208333;27,6;22,8125;20,2;85,958333;1,225;
2023-02-09;,6;972,595833;30,9;24,4625;21,4;81,416667;1,508333;
2023-02-10;0;972,325;32,4;23,991667;19,6;77,833333;1,645833;
2023-02-11;6;972,516667;29,4;23,295833;20,5;84,416667;1,895833;
2023-02-12;28,4;971,8125;28,2;23,283333;20,3;87,125;1,341667;
2023-02-13;0;971,291667;31,8;24,004167;20,4;82,541667;1,4;
2023-02-14;33,4;970,633333;31,9;23,6625;19,5;85;1,391667;
2023-02-15;1,2;968,725;33;24,575;20,2;81,5;2,2125;
2023-02-16;11,4;967,041667;31,2;24,895833;21;81,125;2,170833;
2023-02-17;,6;967,879167;33,9;24,958333;21,8;78,375;1,9625;
2023-02-18;13,8;970,841667;32,2;24,975;21,4;81,791667;1,9875;
2023-02-19;0;973,629167;31,6;24,954167;21,7;80,708333;1,345833;
2023-02-20;5,4;973,545833;31,2;25,025;20,9;78,208333;1,645833;
2023-02-21;0;973,054167;31,8;25,691667;21,1;75,208333;2,075;
2023-02-22;7,6;975,4625;32,3;23,8;19,1;78,958333;1,425;
2023-02-23;1;975,55;30,6;24,433333;21;81,708333;1,2125;
2023-02-24;0;972,654167;30,9;25,466667;21,7;78,166667;1,808333;
