Nome: RIO DE JANEIRO - VILA MILITAR
Codigo Estacao: A621
Latitude: -22.86138888
Longitude: -43.41138888
Altitude: 30.43
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;6,6;1010,904167;32,4;25,475;20,4;79,916667;,945833;
2023-01-02;0;1008,395833;34,1;26,195833;20;72,75;1,170833;
2023-01-03;0;1005,183333;34,6;27,3625;20,8;70,208333;1,133333;
2023-01-04;0;1004,575;33,2;27,604167;24,3;73;1,383333;
2023-01-05;1,4;1007,654167;24,9;23,141667;22,5;90,708333;2,341667;
2023-01-06;35,6;1012,195833;22,8;21,329167;21,2;95,458333;1,858333;
2023-01-07;38,2;1015,270833;21,5;19,645833;18,2;94,708333;1,204167;
2023-01-08;8,8;1014,108333;25,2;21,5;19,4;90,333333;,508333;
2023-01-09;7;1012,029167;24,8;22,195833;20,9;93,541667;,3;
2023-01-10;13;1010,745833;30,8;24,7125;21,3;87,791667;,741667;
2023-01-11;,2;1009,366667;32,7;26,254167;22,7;84,166667;,8375;
2023-01-12;11;1006,845833;33,1;27,320833;22,5;76,5;,9375;
2023-01-13;13,2;1006,491667;36,5;27,425;22,8;78,833333;1,258333;
2023-01-14;2,4;1007,3625;36,8;29,141667;23,3;75,5;1,120833;
2023-01-15;3;1008,6625;36,9;29,8125;23,9;74,833333;1,054167;
2023-01-16;,2;1008,616667;35,4;29,0375;24;75,291667;1,095833;
2023-01-17;0;1010,441667;33,6;28,208333;23,7;74,666667;1,175;
2023-01-18;0;1011,75;33,4;27,154167;22,6;76,125;1,120833;
2023-01-19;1,4;1011,179167;32,6;27,8625;23,3;73,291667;1,258333;
2023-01-20;0;1009,120833;30,6;25,408333;22,4;83,541667;,7875;
2023-01-21;7,4;1005,291667;29,9;24,970833;21,8;82,375;1,05;
2023-01-22;0;1004,279167;33,6;26,166667;20;76,041667;,929167;
2023-01-23;0;1005,241667;35,5;25,970833;22;82,375;,8625;
2023-01-24;81;1005,45;31,2;26,008333;20,8;84,666667;1,391667;
2023-01-25;1,8;1008;30,5;25,983333;21,3;80,166667;1,266667;
2023-01-26;,2;1009,858333;30,6;24,85;19,7;77,416667;1,254167;
2023-01-27;0;1010,070833;32,6;26,9375;22,3;74,541667;1,366667;
2023-01-28;0;1010,458333;34,5;26,625;22,3;79,25;1,1625;
2023-01-29;26,4;1008,7125;34,5;25,854167;22,4;84,875;1,416667;
2023-01-30;33;1007,441667;35;26,745833;22,1;80,833333;1,070833;
2023-01-31;2,8;1008,008333;35,6;28,0375;22,2;73,916667;1,145833;
2023-02-01;,2;1008,658333;35,3;28,379167;22,9;69,458333;1,495833;
2023-02-02;1,6;1009,079167;34,5;27,191667;22,9;78;1,195833;
2023-02-03;,4;1007,870833;35;27,408333;23;77,083333;,8625;
2023-02-04;,2;1007,3;37,7;29,691667;23,5;71,083333;1,554167;
2023-02-05;0;1008,091667;36,5;28,0875;23,8;76,25;,854167;
2023-02-06;,8;1008,258333;33,3;27,013043;22,7;78,583333;,733333;
2023-02-07;,2;1009,454167;32,1;26,566667;23,8;84,833333;,783333;
2023-02-08;72,4;1009,956522;30,2;24,921739;22,5;86,695652;,826087;
2023-02-09;,4;1010,404167;31,3;26,320833;21,4;79,75;1,279167;
2023-02-10;0;1009,729167;34,5;26,1875;21,6;78,708333;1,225;
2023-02-11;39,2;1009,779167;31,8;25,75;21,4;83,708333;1,258333;
2023-02-12;14;1009,195833;31,7;25,366667;22,5;86,666667;,816667;
2023-02-13;3;1008,45;33,7;26,733333;22,9;82,208333;1,091667;
2023-02-14;2,6;1007,454167;36,1;27,083333;22,3;80,166667;,629167;
2023-02-15;,4;1004,504167;37;29,425;23,4;67,875;1,845833;
2023-02-16;12,8;1003,020833;35;27,8625;22;77,041667;1,145833;
2023-02-17;0;1003,925;37,4;29,441667;24,7;68,666667;1,675;
2023-02-18;9,8;1007,666667;32,9;27,3;23,4;79,125;1,808333;
2023-02-19;0;1011,5;30,8;26,804167;24,7;83,583333;1,070833;
2023-02-20;4,2;1011,375;32,2;27,429167;23,7;77,458333;1,179167;
2023-02-21;0;1010,066667;35,9;28,075;22,3;72,583333;1,620833;
2023-02-22;25,4;1013,170833;32,4;25,966667;22;80,375;1,254167;
2023-02-23;0;1013,325;32,6;26,754167;23,7;80,958333;1,091667;
2023-02-24;0;1009,920833;33,9;28,0125;23,6;76,25;,945833;
2023-02-25;0;1007,65;36,8;29,2375;22,6;69,333333;1,366667;
2023-02-26;0;1009,395833;38,1;30,683333;24,2;65,708333;1,733333;
2023-02-27;0;1012,8625;32,7;28,204167;23,6;71,541667;1,679167;
2023-02-28;0;1014,0625;32,6;27,483333;23,5;78,958333;1,5875;
2023-03-01;1,8;1013,025;32,2;25,820833;21;78,291667;1,270833;
2023-03-02;,2;1010,108333;35,9;27,0625;21,3;76,125;1,033333;
2023-03-03;0;1009,475;35,6;28,379167;22,8;74,666667;1,029167;
2023-03-04;0;1009,216667;36,4;28,770833;24,2;74,625;1,408333;
2023-03-05;0;1007,091667;35,4;28,595833;24,5;71,541667;1,479167;
2023-03-06;0;1007,016667;31,6;26,729167;24,2;72,875;1,125;
2023-03-07;1;1008,604167;36,5;26,208333;22,1;79,708333;1,233333;
2023-03-08;52,4;1009,983333;33,7;26,429167;21,1;78,041667;,6;
2023-03-09;,2;1009,941667;36,2;28,020833;22,7;74,75;,6875;
2023-03-10;0;1010,3;34;27,770833;22,6;74,666667;1,091667;
2023-03-11;,4;1010,241667;30;25,945833;23,6;84,583333;1,270833;
2023-03-12;61,8;1011,291667;31,7;25,004167;21,5;87,25;,5875;
2023-03-13;1,6;1012,433333;31,2;26,6875;23,3;79,75;,783333;
2023-03-14;0;1012,695833;32,2;27,079167;21,9;73,083333;1,4125;
2023-03-15;0;1012,554167;31,5;26,225;21;75,375;1,15;
