Nome: ECOPORANGA
Codigo Estacao: A631
Latitude: -18.29138888
Longitude: -40.73638888
Altitude: 224
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;989,625;31,9;25,9125;22;75,083333;null;
2023-01-02;0;988,641667;29,1;24,504167;22,3;81,75;null;
2023-01-03;0;987,216667;30,5;24,829167;20,2;78,458333;null;
2023-01-04;,8;986,279167;32,4;25,845833;21,3;78,25;null;
2023-01-05;1,2;985,941667;32,9;25,558333;23,1;84,333333;null;
2023-01-06;,2;986,8;32,6;25,683333;23,4;83,25;null;
2023-01-07;3,4;989,008333;31;25,566667;22,4;83,416667;null;
2023-01-08;1,8;988,983333;32;25,6;22,8;84,75;null;
2023-01-09;35;988,479167;31,3;25,579167;22,2;85,041667;null;
2023-01-10;11,2;988,841667;32,2;25,929167;21,8;79,375;null;
2023-01-11;0;988,383333;32,7;26,954167;23;76,375;null;
2023-01-12;0;987,1;32,3;26,6125;23,2;77,583333;null;
2023-01-13;3,6;986,554167;32,4;26,85;23;75,833333;null;
2023-01-14;0;987,895833;32,8;26,75;23,3;73,583333;null;
2023-01-15;1,2;989,4;31,1;25,5625;21,2;76,75;null;
2023-01-16;0;988,895833;30,2;24,6125;20,4;81,541667;null;
2023-01-17;3,8;989,291667;30,4;24,429167;21,8;86,125;null;
2023-01-18;,6;989,8125;30,9;24,354167;21,9;88,916667;null;
2023-01-19;1,2;989,3125;29,5;24,295833;22,5;89,291667;null;
2023-01-20;13,4;988,108333;30;24,766667;22,6;87,416667;null;
2023-01-21;12;985,679167;30,6;24,1625;20,6;84,333333;null;
2023-01-22;1,2;983,866667;32,3;25,345833;21,9;81,875;null;
2023-01-23;9,8;984,429167;33,4;27,2625;23,1;77,791667;null;
2023-01-24;0;984,025;33,4;26,55;23,3;81,041667;null;
2023-01-25;12,2;984,433333;26,3;23,608333;21,8;91,291667;null;
2023-01-26;2,8;985,570833;28,4;24,791667;22,6;86,958333;null;
2023-01-27;1,2;987,4375;32;25,920833;23;79,833333;null;
2023-01-28;,2;988,983333;31,8;25,025;21,3;83,333333;null;
2023-01-29;2;988,091667;32;25,679167;21,6;81,666667;null;
2023-01-30;0;987,683333;31,1;25,4125;21;77,75;null;
2023-01-31;0;988,379167;31,3;25,408333;21,1;78,041667;null;
2023-02-01;0;988,591667;32,4;25,983333;21,9;76,166667;null;
2023-02-02;0;988,929167;32,2;26,308333;21,5;73,75;null;
2023-02-03;0;988,591667;33,6;26,108333;20,4;71,916667;null;
2023-02-04;0;988,533333;34,2;27,045833;22,1;72,958333;null;
2023-02-05;0;986,895833;35,3;28,283333;22,4;73,333333;null;
2023-02-06;0;985,904167;35,4;27,841667;21,7;72,125;null;
2023-02-07;0;986,675;34;27,3125;23,2;74,458333;null;
2023-02-08;0;987,025;33,7;27,345833;23,6;68,416667;null;
2023-02-09;0;988,175;32,5;26,241667;21,8;72,333333;null;
2023-02-10;0;988,45;33,3;26,341667;21,9;68,791667;null;
2023-02-11;,2;988,354167;34,1;26,733333;22,2;76,291667;null;
2023-02-12;1;987,7125;35;27,058333;23;74,083333;null;
2023-02-13;,2;987,4625;34,3;27,375;22,1;69,041667;null;
2023-02-14;0;986,983333;33,7;26,795833;21,8;73,125;null;
2023-02-15;0;985,495833;34,9;27,4125;21,3;68,375;null;
2023-02-16;0;983,516667;34,4;26,979167;22,8;75,375;null;
2023-02-17;0;984,575;33,8;27,129167;22,9;74,416667;null;
2023-02-18;0;986,770833;33,5;26,35;22,7;77;null;
2023-02-19;5;988,766667;29,6;23,754167;22,8;91,583333;null;
2023-02-20;24,4;989,375;30,2;23,975;20,5;90,041667;null;
2023-02-21;7,6;989,754167;30,6;24,341667;21,6;88,958333;null;
2023-02-22;4,8;990,604167;31,1;25,579167;22,2;79,791667;null;
2023-02-23;,2;990,4875;31,4;25,545833;20,8;78,833333;null;
2023-02-24;0;989,108333;31,7;25,779167;21,3;74,958333;null;
2023-02-25;0;988,608333;33;26,191667;21,2;78,041667;null;
2023-02-26;0;990,05;32,5;26,65;21,2;74,375;null;
2023-02-27;0;990,654167;32,9;26,395833;22,1;77,291667;null;
2023-02-28;0;991,229167;32,6;26,495833;22;75,625;null;
2023-03-01;0;990,4125;32,4;26,5875;23,1;76,875;null;
2023-03-02;0;988,979167;32,4;26,0375;21,3;75,791667;null;
2023-03-03;0;988,95;32,5;25,808333;20,7;75,375;null;
2023-03-04;,8;989,220833;32,7;25,958333;21,8;74,5;null;
2023-03-05;0;987,3375;33,4;26,083333;20,5;73,208333;null;
2023-03-06;0;986,4;33,7;26,354167;20,2;75,125;null;
2023-03-07;0;988,1625;31,8;26,2375;23,1;79,041667;null;
2023-03-08;8;988,9375;31,7;26,020833;22,6;79,125;null;
2023-03-09;2;989,5625;29,5;24,595833;22;89,375;null;
2023-03-10;9,8;989,395833;32,1;25,983333;22,3;76,791667;null;
2023-03-11;0;988,354167;31,9;25,595833;21,6;77;null;
2023-03-12;0;988,604167;32,7;25,733333;21,2;76,166667;null;
2023-03-13;0;989,2625;31,7;25,008333;20,9;80,083333;null;
2023-03-14;0;989,129167;32,1;25,470833;21,1;77,666667;null;
2023-03-15;,4;988,245833;32,4;25,45;20,8;77,833333;null;
2023-03-16;0;987,4375;32,5;26,245833;21,6;73,375;null;
2023-03-17;0;987,704167;30,7;24,329167;19,7;79,916667;null;
2023-03-18;5,8;988,229167;32,9;25,85;21,4;78,208333;null;
2023-03-19;6,6;988,783333;32,2;26,295833;22,1;77,125;null;
2023-03-20;0;988,729167;33,3;26,345833;21,6;76,125;null;
2023-03-21;0;989,15;33,9;26,783333;21,7;75,375;null;
2023-03-22;0;990,470833;33,6;26,366667;22;77,458333;null;
2023-03-23;0;990,933333;33,6;26,370833;22,4;72,75;null;
2023-03-24;0;989,929167;33,2;25,470833;19,4;72,708333;null;
2023-03-25;0;988,8625;34,4;26,525;20,9;72,458333;null;
2023-03-26;0;989,35;34;26,929167;21,1;75,75;null;
2023-03-27;0;988,108333;35,1;27,291667;21,5;71,291667;null;
2023-03-28;0;989,058333;33,2;26,6375;21,7;69,625;null;
2023-03-29;0;989,695833;34,1;26,791667;22;69,25;null;
2023-03-30;0;990,195833;33,8;26,05;19,5;69;null;
2023-03-31;0;988,441667;34,7;26,9125;21,5;71,291667;null;
2023-04-01;0;985,404167;36,1;27,441667;20,2;70,416667;null;
2023-04-02;0;987,133333;29,1;23,708333;22,6;90;null;
2023-04-03;5,8;989,0125;28,3;23,116667;19,5;79,208333;null;
2023-04-04;0;988,1625;31,3;24,883333;20,8;74,875;null;
2023-04-05;0;987,141667;32,1;25,458333;20,8;74,291667;null;
2023-04-06;0;987,445833;32;25,025;22;81,125;null;
2023-04-07;0;987,641667;31,7;25,483333;22,3;81;null;
2023-04-08;,4;986,95;34,1;26,775;22,1;75,125;null;
2023-04-09;0;987,825;32,3;25,708333;22,5;81,666667;null;
2023-04-10;0;990,108333;29,4;24,733333;21,6;75,875;null;
2023-04-11;,2;990,254167;28,5;24,004167;20,4;73,458333;null;
2023-04-12;0;988,845833;30,1;25,108333;22,4;74,291667;null;
2023-04-13;0;986,466667;32,8;25,2625;20,1;75,666667;null;
2023-04-14;0;985,679167;34,3;27,316667;22,2;72,375;null;
2023-04-15;0;985,583333;36,7;27,6125;22,2;72,875;null;
2023-04-16;4,2;986,895833;31;25,6875;22,4;75,083333;null;
2023-04-17;0;984,8;31,9;25,0875;20,1;73,416667;null;
2023-04-18;0;981,008333;35,4;26,054167;19,4;72,166667;null;
2023-04-19;0;981,175;38,3;29,004167;21,6;64,416667;null;
2023-04-20;0;984,9875;36,7;27,725;23,8;71,916667;null;
2023-04-21;1,8;990,554167;23,6;21,866667;20,6;80,166667;null;
2023-04-22;0;991,229167;27,7;22,7375;20,1;77,75;null;
2023-04-23;,2;991,225;26,8;22,679167;20,7;80,666667;null;
2023-04-24;0;992,145833;28,8;24,05;21,2;70,458333;null;
2023-04-25;0;991,820833;25,8;22,6;20,1;84,291667;null;
2023-04-26;2,8;990,2625;30,9;24,654167;21,2;80,625;null;
2023-04-27;,2;987,291667;33,7;26,604167;21,1;71,666667;null;
2023-04-28;0;987,5125;34,7;26,2625;20,1;75,875;null;
2023-04-29;28,8;990,75;24,5;22,466667;19,3;92,375;null;
2023-04-30;,8;990,7125;26,7;23,2625;21,2;89,041667;null;
2023-05-01;5,6;989,1625;30,8;24,1375;20,7;81,583333;null;
2023-05-02;4,2;988,166667;29,3;23,1375;18,2;77,958333;null;
2023-05-03;,2;988,675;30,2;23,95;19,8;79,416667;null;
2023-05-04;0;990,133333;31,2;25,325;22;77,5;null;
2023-05-05;0;991,629167;30,7;24,429167;20;79,583333;null;
2023-05-06;0;991,45;29,7;24,25;20,3;78,541667;null;
2023-05-07;0;990,954167;28,9;23,595833;19,5;77,916667;null;
2023-05-08;0;990,941667;29,8;24,075;19,7;78,541667;null;
2023-05-09;0;990,4625;27,4;23,05;21,2;90,833333;null;
2023-05-10;,2;989,041667;28,7;23,2625;19;83,125;null;
2023-05-11;,2;986,816667;30,1;23,733333;19,3;81,208333;null;
2023-05-12;0;988,054167;28,5;23,995833;22,1;82,5;null;
2023-05-13;0;990,108333;27,8;23,091667;20,8;77,833333;null;
2023-05-14;0;992,633333;27,2;22,608333;19,1;79,458333;null;
2023-05-15;0;991,4;30,7;24,3375;21;78,458333;null;
2023-05-16;0;989,5875;28,4;23,704167;21;81,875;null;
2023-05-17;0;990,079167;28,7;23,3375;18,6;68,375;null;
2023-05-18;0;992,2875;27,6;21,516667;16,3;74,083333;null;
2023-05-19;0;992,541667;27,5;20,341667;15,3;69,083333;null;
2023-05-20;0;992,420833;26,1;20,029167;13,7;73,916667;null;
2023-05-21;0;991,8;25,8;20,85;16,3;81,666667;null;
2023-05-22;0;992,916667;28,2;22,254167;16,5;70,083333;null;
2023-05-23;0;993,045833;26,8;22,7125;19,7;77,125;null;
2023-05-24;15,6;992,975;23,9;21,179167;20,1;93,583333;null;
2023-05-25;2,8;994,029167;27,7;21,954167;18,4;78,791667;null;
2023-05-26;3,2;993,958333;27,2;22,1375;19,6;80,75;null;
2023-05-27;0;993,029167;28,2;21,575;16,3;79,25;null;
2023-05-28;0;990,629167;28,6;21,416667;15,6;80,375;null;
2023-05-29;0;989,895833;30,5;22,708333;18;81,25;null;
2023-05-30;0;993,879167;27;22,133333;17,8;75,333333;null;
2023-05-31;0;993,633333;28,4;22,579167;18,8;74,291667;null;
2023-06-01;0;991,7625;26,2;21,675;17,8;84,958333;null;
2023-06-02;0;991,620833;28,3;21,841667;17,6;78,666667;null;
2023-06-03;0;993,7;27,4;20,275;14,3;77,875;null;
2023-06-04;0;994,9875;27,4;19,9625;14,1;76,75;null;
2023-06-05;0;994,083333;30,8;20,845833;14,7;73,666667;null;
2023-06-06;0;993,5375;27,3;20,879167;16,7;74,791667;1,1;
2023-06-07;0;994,958333;28,4;20,254167;13,3;76;1,170833;
2023-06-08;0;995,125;28,6;21,7125;17;77,666667;1,095833;
2023-06-09;0;994,254167;26,4;20,466667;14,9;81,375;,8;
2023-06-10;0;992,683333;30,3;23,741667;18,1;78,083333;1,241667;
2023-06-11;0;991,720833;30,6;24,129167;18,9;74,708333;1,433333;
2023-06-12;0;991,825;30;23,125;18,2;80,75;1,15;
2023-06-13;0;993,008333;29,6;23,15;18;78,083333;1,358333;
2023-06-14;0;993,016667;28,5;22,895833;18,5;80;1,245833;
2023-06-15;0;992,666667;28,3;22,7;17,9;80,916667;1,008333;
2023-06-16;0;992,445833;29,6;23,3375;20,2;81;,945833;
2023-06-17;0;991,679167;30,5;24,233333;19,9;77,5;1,016667;
2023-06-18;1,2;993,275;27,1;21,895833;18,7;83,791667;2,108333;
2023-06-19;0;995,7;27,3;21,575;17,8;72,791667;2,345833;
2023-06-20;0;996,65;26,4;20,229167;14,2;71,208333;2,295833;
2023-06-21;0;995,595833;26,3;19,85;13,9;70,708333;1,7875;
2023-06-22;0;995,2375;24,8;20,091667;16,3;74,958333;1,404167;
2023-06-23;0;994,095833;24,5;19,883333;15;82,666667;,8875;
2023-06-24;0;993,479167;27,7;21,504167;18,4;86,625;1,183333;
2023-06-25;,2;994,083333;28,2;22,366667;19,5;77,5;1,179167;
2023-06-26;5,4;994,354167;24,8;20,770833;18,1;93,208333;1,154167;
2023-06-27;6;994,5125;28;21,733333;17,4;82,958333;1,075;
