Nome: VILA VELHA
Codigo Estacao: A634
Latitude: -20.46694443
Longitude: -40.40388888
Altitude: 25
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1011,808333;28,4;25,325;23,1;81,916667;3,5125;
2023-01-02;3,4;1010,645833;28,3;24,266667;22,5;86,666667;2,9125;
2023-01-03;1,8;1008,3125;31,1;25,575;21,4;77,458333;4,558333;
2023-01-04;0;1006,65;32,4;26,825;24,1;75,333333;5,375;
2023-01-05;,4;1006,604167;32;26,5125;24,4;81,375;4,35;
2023-01-06;0;1008,908333;27,7;24,491667;23,3;92,416667;2,775;
2023-01-07;10,2;1011,6875;27,4;23,529167;22,3;94,125;2,05;
2023-01-08;5,6;1012,05;27,1;23,625;21,8;91,166667;1,825;
2023-01-09;,2;1010,408333;31,3;25,804167;22,5;86,166667;2,383333;
2023-01-10;0;1010,725;32;25,879167;23,1;83,791667;2,975;
2023-01-11;0;1009,845833;32,4;26,95;23,5;83,625;4,2625;
2023-01-12;,2;1008,470833;32,6;26,558333;24,8;79,416667;4,6125;
2023-01-13;15,6;1007,9125;32;26,608333;22;82,166667;4,708333;
2023-01-14;,2;1009,554167;31,7;26,991667;24;75,958333;4,9125;
2023-01-15;0;1011,1625;30,7;26,566667;23,4;76,083333;4,225;
2023-01-16;0;1010,683333;30,6;26,141667;20,9;75,541667;3,983333;
2023-01-17;,6;1011,5125;30,7;25,875;21,7;81;3,133333;
2023-01-18;,6;1012,1375;30,7;25,75;21,9;84,125;2,570833;
2023-01-19;2,6;1011,675;30,9;25,629167;21,7;81,916667;2,466667;
2023-01-20;1;1009,841667;31,4;24,620833;21,9;89,916667;2,9375;
2023-01-21;30,2;1006,329167;26,4;24,183333;21,4;95,625;3;
2023-01-22;41,4;1004,516667;30,9;24,941667;21;91,875;2,208333;
2023-01-23;4,8;1005,220833;31,7;26,1375;23,5;92,166667;2,0875;
2023-01-24;37;1005,491667;29,7;25,375;22;94,75;3,125;
2023-01-25;8,8;1006,279167;28,4;24,395833;23,1;96,541667;1,225;
2023-01-26;3,8;1007,95;27,6;24,520833;22,2;90,25;1,875;
2023-01-27;,2;1009,679167;30,1;25,7;22,6;85,75;1,516667;
2023-01-28;0;1010,495833;31,9;27,0125;23,8;84,041667;3,704167;
2023-01-29;0;1009,45;31,7;27,175;24;79,541667;4,2375;
2023-01-30;0;1009,391667;30,4;26,2875;23,3;78,125;4,341667;
2023-01-31;0;1010,258333;31,1;25,7;20,6;78,75;3,7375;
2023-02-01;0;1010,016667;31,7;26,45;21,6;75;4,204167;
2023-02-02;0;1009,958333;32,5;27,158333;23,6;73,583333;4,516667;
2023-02-03;0;1009,433333;33,5;27,245833;22,1;69,166667;4,7625;
2023-02-04;0;1009,1875;33,9;27,575;23;71,541667;4,6625;
2023-02-05;0;1007,6375;35;27,966667;24,2;76,291667;4,0625;
2023-02-06;0;1007,345833;32,1;26,675;24,4;78,416667;3,458333;
2023-02-07;0;1008,404167;33,5;26,441667;21,8;82,291667;2,9125;
2023-02-08;0;1008,7625;33,6;25,520833;22,3;82,458333;2,358333;
2023-02-09;8,2;1009,904167;32,5;25,9125;22,3;83,333333;2,470833;
2023-02-10;0;1010,108333;32,4;26,645833;22,8;74,791667;4,170833;
2023-02-11;0;1009,991667;33;27,4375;23,4;76,625;4,166667;
2023-02-12;0;1009,020833;32,4;27,608333;25,1;73,25;4,6375;
2023-02-13;0;1008,6375;33,4;27,629167;23,9;72,5;4,633333;
2023-02-14;0;1008,154167;33,9;27,4625;24,2;70,875;4,25;
2023-02-15;0;1006,375;33,7;27,7;24,8;69,458333;4,720833;
2023-02-16;0;1004,566667;33,5;27,570833;24,3;72,458333;4,591667;
2023-02-17;0;1006,016667;33,3;27,8375;25,6;72,291667;5,1875;
2023-02-18;0;1008,745833;32,9;27,133333;23,8;77,625;3,770833;
2023-02-19;0;1011,145833;31,9;26,608333;22,6;79,791667;2,6;
2023-02-20;4,4;1011,525;31,8;25,8625;21,9;82,25;2,445833;
2023-02-21;0;1011,408333;32,4;26,320833;21,5;79,125;3,1;
2023-02-22;0;1012,258333;32,7;26,770833;22,7;77,125;3,6;
2023-02-23;0;1012,6125;32,9;26,566667;21,6;77,041667;2,120833;
2023-02-24;0;1011,008333;31,9;26,15;21,6;78,875;2,545833;
2023-02-25;0;1010,120833;33,8;26,658333;20,5;76,25;3,979167;
2023-02-26;0;1011,441667;34,2;27,566667;23;71,666667;4,6875;
2023-02-27;0;1012,416667;34;27,425;22,5;72,291667;3,995833;
2023-02-28;0;1013,4625;33,5;27,070833;21,9;76,666667;2,2125;
2023-03-01;0;1012,3375;33,5;26,570833;21,4;78,75;3,129167;
2023-03-02;0;1010,654167;33,4;27,020833;21,9;75,708333;3,441667;
2023-03-03;0;1010,616667;33,6;27,2;22,1;71,791667;4,104167;
2023-03-04;0;1011,05;33,2;26,929167;21,7;72,125;3,733333;
2023-03-05;0;1008,641667;34,4;26,741667;21,2;70,5;4,183333;
2023-03-06;0;1007,908333;34,3;27,3875;22,5;71,5;4,716667;
2023-03-07;1,2;1010,579167;32,2;26,416667;23,7;79,458333;3,691667;
2023-03-08;,2;1011,15;33,2;25,991667;21,4;81,583333;2,475;
2023-03-09;0;1011,391667;32,6;26,654167;22,3;80,5;2,995833;
2023-03-10;0;1011,283333;32,8;26,633333;21,2;76,416667;3,316667;
2023-03-11;0;1010,158333;33,3;26,4625;21,3;75,291667;3,404167;
2023-03-12;0;1010,8625;33,2;26,1125;21,4;78,666667;2,329167;
2023-03-13;,4;1011,745833;33,1;25,625;21,7;83,541667;1,216667;
2023-03-14;0;1011,654167;33,6;26,216667;21,5;79,708333;1,566667;
2023-03-15;14,4;1010,875;30,6;25,6;22,8;87,333333;2,083333;
2023-03-16;5;1010,508333;31,3;25,016667;21,6;85,083333;2,1125;
2023-03-17;16;1010,5375;29;24,529167;22,6;91,125;2,233333;
2023-03-18;25;1010,929167;31,2;25,604167;22,6;88,458333;1,4375;
2023-03-19;0;1011,041667;32,2;25,979167;21,6;83,791667;2,033333;
2023-03-20;0;1010,420833;32,4;26,2375;21,3;81,375;3,0125;
2023-03-21;0;1010,591667;33,3;26,875;21,9;77,958333;3,7625;
2023-03-22;0;1012,554167;31,4;26,545833;21,6;81,636364;2,241667;
2023-03-23;0;1013,416667;31,1;25,766667;21,7;86,25;1,041667;
2023-03-24;0;1011,670833;32,1;25,929167;20,8;79,916667;2,745833;
2023-03-25;0;1010,370833;33,4;26,408333;20,5;77,541667;3,0125;
2023-03-26;0;1010,654167;33;26,558333;21,1;80,041667;3,3625;
2023-03-27;0;1009,708333;33,8;27,733333;24,1;73,083333;3,05;
2023-03-28;,2;1011,604167;30,1;26,15;24,2;82,125;2,2375;
2023-03-29;,2;1011,8125;32;26,220833;22,1;82,083333;1,816667;
2023-03-30;0;1011,583333;34,2;26,5125;21,3;76;3,470833;
2023-03-31;0;1009,445833;34,5;26,616667;21,6;74,291667;3,404167;
2023-04-01;0;1007,008333;33,3;26,129167;21,3;80,75;2,183333;
2023-04-02;1,2;1009,920833;28,2;24,854167;22,4;79,083333;2,829167;
2023-04-03;0;1011,445833;29,8;24,904167;20,9;65,25;2,858333;
2023-04-04;0;1010,75;30,5;24,266667;21,3;76,791667;1,816667;
2023-04-05;,8;1009,895833;29,6;24,195833;21,4;91,083333;1,454167;
2023-04-06;2,2;1010,0375;26,5;24,008333;22,5;94,708333;1,820833;
2023-04-07;16;1009,833333;30,6;25,320833;21,7;87,458333;1,329167;
2023-04-08;0;1008,45;32,9;26,116667;23,1;86;2,895833;
2023-04-09;30,4;1010,666667;28,3;24,754167;22,3;85,458333;3,483333;
2023-04-10;3,8;1013,395833;27,6;23,75;21,5;79,875;3,15;
2023-04-11;6,2;1013,345833;28,2;23,558333;20,8;87,666667;1,945833;
2023-04-12;2;1011,475;28,5;23,883333;21,3;88,083333;1,458333;
2023-04-13;0;1008,133333;30,7;25,516667;21,8;82,875;2,245833;
2023-04-14;0;1006,845833;32,6;27,008333;23,2;83,75;3,283333;
2023-04-15;14,2;1007,579167;30,5;24,975;22,2;89,625;2,045833;
2023-04-16;10,6;1009,8875;28,9;24,291667;20,8;81,666667;2,908333;
2023-04-17;,2;1005,958333;30,3;24,758333;20,6;80,125;3,1;
2023-04-18;0;1000,941667;34,1;26,504167;21,7;80,125;3,079167;
2023-04-19;0;1001,7125;34,9;27,625;24,8;77,166667;3,079167;
2023-04-20;0;1007,95;28,8;25,1875;22,3;78,625;2,958333;
2023-04-21;0;1013,845833;26,1;23,154167;21,8;71,541667;3,354167;
2023-04-22;5,8;1014,441667;24,8;22,083333;20,5;90,291667;1,958333;
2023-04-23;3,2;1014,558333;26,5;22,458333;20,4;89,416667;2,408333;
2023-04-24;,4;1015,25;28,9;23,208333;19,3;82,458333;1,9125;
2023-04-25;3;1014,820833;27,9;23,383333;20,8;90,666667;1,825;
2023-04-26;2;1012,470833;29,8;24,341667;21,1;89,75;1,5375;
2023-04-27;,2;1008,3125;33,1;25,975;22,7;83,291667;2,995833;
2023-04-28;7,8;1010,6375;29,2;23,675;21,9;88;2,029167;
2023-04-29;5,8;1013,083333;26,1;23,1875;21,5;95,583333;1,616667;
2023-04-30;,8;1013,1375;27,1;22,6875;21,8;97;1,641667;
2023-05-01;4,2;1011,633333;27,9;22,8;20,3;90,083333;1,658333;
2023-05-02;1,2;1010,266667;29,3;22,220833;19,4;87,75;1,983333;
2023-05-03;,2;1010,833333;28,6;22,65;18,3;81,416667;1,991667;
2023-05-04;,2;1012,283333;29,3;23,45;19,2;85,875;1,666667;
2023-05-05;0;1013,820833;29,6;23,9;19,8;87,041667;1,1625;
2023-05-06;,2;1014,133333;28,2;23,366667;19,8;86,458333;2,0625;
2023-05-07;4,8;1013,466667;28,8;23,420833;20;89,166667;1,8125;
2023-05-08;1;1013,625;26,8;22,8;20,8;96,416667;1,570833;
2023-05-09;13,2;1012,654167;28,6;23,7625;21,7;89,875;1,6625;
2023-05-10;,2;1010,925;30;23,479167;19,4;86,826087;1,233333;
2023-05-11;0;1009,1;27,8;23,429167;21,3;86,583333;2,045833;
2023-05-12;4;1010,891667;24,9;22,308333;20,2;86,166667;1,808333;
2023-05-13;,2;1013,016667;26;21,820833;18;80,375;2,375;
2023-05-14;0;1015,3125;27,2;22,358333;19,6;84,541667;1,416667;
2023-05-15;0;1013,654167;28,4;22,883333;17,9;84,583333;1,508333;
2023-05-16;0;1012,275;27,3;22,870833;19;74,625;1,9125;
2023-05-17;0;1012,608333;27,4;21,191667;14,3;69,166667;3,258333;
2023-05-18;0;1015,1875;25,6;21,466667;17;66,291667;3,266667;
2023-05-19;0;1015,320833;26,1;21,170833;18;64,958333;3,020833;
2023-05-20;0;1015,033333;27,5;20,858333;16,1;73,541667;2,5875;
2023-05-21;4,8;1014,4625;27,6;21,7;18,5;86,083333;1,720833;
2023-05-22;,2;1015,7625;27,7;21,083333;17,8;86,5;2,029167;
2023-05-23;4,8;1016,295833;26,5;21,591667;19,1;93,5;2,079167;
2023-05-24;24,8;1016,325;27,3;21,6625;19,8;91,333333;1,779167;
2023-05-25;,4;1017,204167;27,7;22,220833;18,5;88,208333;1,545833;
2023-05-26;5;1017,275;27,6;22,354167;19,5;88,791667;1,233333;
2023-05-27;,2;1015,154167;28,3;22,004167;18,7;85;2,104167;
2023-05-28;0;1012,091667;29;21,779167;16,2;84,958333;1,6375;
2023-05-29;,2;1012,2875;25,6;21,241667;16,7;85,166667;2,533333;
2023-05-30;,4;1017,020833;26,2;21,508333;18,7;79,875;2,820833;
2023-05-31;2,2;1016,25;25,5;21,1125;18;90,875;1,858333;
2023-06-01;0;1013,445833;29;22,75;19;86,416667;1,566667;
2023-06-02;0;1014,6125;26,2;22,491667;19,8;73,958333;3,820833;
2023-06-03;,8;1016,566667;25,8;20,95;17,4;84,25;2,266667;
2023-06-04;,2;1017,3875;27,7;20,908333;17;79,25;2,258333;
2023-06-05;0;1016,258333;28;20,991667;16,4;78,5;2,783333;
2023-06-06;0;1016,258333;26,6;20,295833;15,8;81,708333;2,166667;
2023-06-07;0;1017,441667;27,4;20,858333;17,2;79,416667;2,104167;
2023-06-08;0;1017,470833;27,8;21,108333;16,2;78,916667;2,625;
2023-06-09;0;1016,070833;28;21,3125;16,9;79,208333;3,1125;
2023-06-10;0;1014,0875;30,3;22,65;16,5;84,083333;2,629167;
2023-06-11;0;1012,7125;30,8;24,329167;19,5;79,333333;3,529167;
2023-06-12;0;1012,9125;30,4;24,483333;20,2;80,166667;3,65;
2023-06-13;0;1015,091667;29,7;23,833333;20;81,666667;2,8;
2023-06-14;0;1015,183333;28,1;22,266667;17,4;86,375;2,241667;
2023-06-15;0;1014,720833;27,7;22,245833;17,9;85,666667;2,370833;
2023-06-16;0;1013,866667;29,6;23,254167;18,6;85,791667;2,85;
2023-06-17;0;1014,020833;29;22,85;18,8;87,375;2,225;
2023-06-18;16;1016,395833;24,9;21,2;18,4;83,041667;2,341667;
2023-06-19;,2;1019,095833;24,9;21,308333;17,6;75,708333;2,858333;
2023-06-20;0;1019,8375;25,2;20,104167;16,4;73,5;2,120833;
2023-06-21;0;1018,316667;26,8;20;15,9;72,625;2,354167;
2023-06-22;0;1017,625;26,3;20,091667;16;69,5;2,508333;
2023-06-23;0;1015,945833;26,7;20,05;14,1;78,041667;2,766667;
2023-06-24;0;1015,4875;27,4;21,3125;17,8;87,458333;2,254167;
2023-06-25;0;1016,066667;26,6;21,529167;16,6;87,125;2,15;
2023-06-26;0;1016,779167;27,3;21,8625;18,5;89,583333;1,783333;
2023-06-27;0;1016,516667;27,9;21,475;16,3;84,208333;2,6375;
2023-06-28;0;1016,054167;28,8;21,708333;16,9;81,333333;2,583333;
2023-06-29;0;1016,308333;28,8;20,854167;14,8;81,166667;1,475;
2023-06-30;0;1018,6125;25,6;21,491667;18,9;86,416667;2,333333;
2023-07-01;9,8;1017,129167;26,1;20,75;18,1;87,041667;1,804167;
2023-07-02;0;1013,166667;26,7;20,066667;15,1;83,666667;1,733333;
2023-07-03;,2;1016,35;23,3;19,8875;17;69,625;3,975;
2023-07-04;,2;1019,7;22,5;17,829167;16;82,625;2,095833;
2023-07-05;,6;1020,325;24,3;18,825;16;81,333333;2,133333;
2023-07-06;0;1017,5625;25,3;19,725;15,8;77,5;2,354167;
2023-07-07;0;1014,641667;28,1;20,454167;15,3;78,666667;2,883333;
2023-07-08;0;1012,0625;29,6;21,354167;14,4;72,791667;3,079167;
2023-07-09;0;1012,270833;27,6;21,9;17,1;74,125;2,766667;
2023-07-10;0;1014,875;27,4;22,079167;18,4;85;1,675;
