Nome: CAMPOS DO JORDAO
Codigo Estacao: A706
Latitude: -22.75027777
Longitude: -45.60388888
Altitude: 1662.95
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;836,408333;21,8;16,275;12,9;85,208333;null;
2023-01-02;28,8;834,554167;24,4;16,9875;13,2;84,958333;null;
2023-01-03;3,4;832,975;19,9;16,354167;14,7;90,75;null;
2023-01-04;5,2;832,145833;21,2;16,8;15,3;88,875;null;
2023-01-05;18;832,808333;16,5;14,754167;13,2;94,041667;null;
2023-01-06;19,8;835,2875;15,2;12,8;12,2;92,666667;null;
2023-01-07;1,2;836,7875;17,5;12,9875;10,4;91,458333;null;
2023-01-08;,6;836,5375;18,5;14,633333;12;91,333333;null;
2023-01-09;4,6;835,620833;18,4;15,495833;14;93,583333;null;
2023-01-10;17,2;835,716667;21,9;16,341667;14,2;89,458333;null;
2023-01-11;1,8;835,758333;20,5;16,154167;14,6;90,041667;null;
2023-01-12;6,6;833,982609;22,6;16,552174;14,8;90,478261;null;
2023-01-13;6,4;834,016667;23,1;16,725;15,5;89,333333;null;
2023-01-14;2,8;835,379167;25,4;18,533333;14,9;82,25;null;
2023-01-15;11;837,033333;26,6;18,725;14,6;85,666667;null;
2023-01-16;25,4;836,433333;26,1;19,0625;14,2;84;null;
2023-01-17;4,8;836,879167;24,6;18,233333;13;82,583333;null;
2023-01-18;0;837,675;23,1;17,425;13,6;84,916667;null;
2023-01-19;1,6;836,85;24,4;16,8125;12,9;85;null;
2023-01-20;5,6;834,583333;16,5;14,891667;13,7;92,666667;null;
2023-01-21;13,8;831,6625;21,3;16,441667;13,4;88,166667;null;
2023-01-22;14,8;831,883333;24,8;17,808333;13,4;80,833333;null;
2023-01-23;0;832,841667;26,2;18,15;13,9;81,5;null;
2023-01-24;5,2;832,2875;24,6;17,425;15,3;89,041667;null;
2023-01-25;46,2;833,491667;23,2;17,8625;13,1;77,375;null;
2023-01-26;0;834,145833;24;17,1375;10,7;71,833333;null;
2023-01-27;0;835,129167;25;16,966667;10,9;80,125;null;
2023-01-28;1;836,366667;21,6;17,8875;15,6;86,541667;null;
2023-01-29;6,2;835,6125;24,4;17,925;14,6;84,291667;null;
2023-01-30;3;834,366667;24,6;17,7125;14,3;83,291667;null;
2023-01-31;,6;835,083333;25,4;17,779167;15;84,208333;null;
2023-02-01;15,4;836,025;23;17,558333;14,9;88,958333;null;
2023-02-02;20,6;836,333333;25,6;17,683333;14,5;86,541667;null;
2023-02-03;,6;835,7;22,3;17,729167;14,7;86,375;null;
2023-02-04;11;835,908333;24,5;18,508333;14,2;80,041667;null;
2023-02-05;,2;836,091667;25,9;19,429167;16,5;79;null;
2023-02-06;,6;835,65;25,6;18,266667;16,3;84,75;null;
2023-02-07;15,8;835,770833;22;16,8625;15,3;90,083333;null;
2023-02-08;9,2;835,243478;25,1;16,26087;14,5;90,086957;null;
2023-02-09;28,6;835,85;24,7;17,483333;12,5;84,458333;null;
2023-02-10;1,2;836,004167;25,2;17,283333;13,8;84,833333;null;
2023-02-11;6,8;835,904167;22;16,15;13,3;89,583333;null;
2023-02-12;11,2;835,1625;20,5;16,6125;14,9;89,708333;null;
2023-02-13;2,4;835,3625;23,7;17,5125;14,7;84,083333;null;
2023-02-14;5;834,983333;23,9;18,408333;14,2;84,333333;null;
2023-02-15;8,2;833,466667;25,4;18,4125;14,5;83,291667;null;
2023-02-16;2,6;831,354167;24;18,575;16;80,083333;null;
2023-02-17;3,2;832,6625;21,8;17,629167;15,4;88;null;
2023-02-18;4,4;835,35;26,1;17,95;15,6;87,541667;null;
2023-02-19;2;837,275;17,6;15,354167;14,3;94,791667;null;
2023-02-20;1,4;836,7;23,2;17,7;13,3;82,375;null;
2023-02-21;3,6;836,820833;23,6;16,908333;14,1;86,583333;null;
2023-02-22;5,8;838,508333;22,6;16,608333;13,1;85,875;null;
2023-02-23;36;838,629167;23,8;17,1625;12,8;84,875;null;
2023-02-24;9,2;836,4125;24,6;17,975;14;84,166667;null;
2023-02-25;4;835,608333;24,6;18,2;15,6;85,708333;null;
2023-02-26;16,2;837,708333;25,9;18,65;14,3;84,125;null;
2023-02-27;3,4;839,283333;24,4;18,429167;15,5;84,666667;null;
2023-02-28;,8;839,733333;24,3;17,670833;13,7;84,416667;null;
2023-03-01;3,2;838,025;25;17,691667;11,9;76,5;null;
2023-03-02;0;836,7125;26,1;18,241667;14,8;83,708333;null;
2023-03-03;2,2;836,495833;25,6;18,904167;14,4;80,5;null;
2023-03-04;0;836,9375;24,2;18,641667;16,4;82,708333;null;
2023-03-05;3,6;835,020833;23;16,491667;13,1;85,625;null;
2023-03-06;21,2;833,8875;21,9;16,4125;13;85,5;null;
2023-03-07;,2;835,654167;24,9;16,554167;13,4;75,416667;null;
2023-03-08;10,6;836,725;21,7;16,225;12,2;87,125;null;
2023-03-09;0;837,325;23,8;17,1375;14,6;88,25;null;
2023-03-10;30;836,991667;24;17,158333;13,9;86,083333;null;
2023-03-11;2,4;836;21,9;16,175;14,1;91,291667;null;
2023-03-12;2;836,216667;20,7;16,395833;15,1;92,041667;null;
2023-03-13;29;837,054167;20,8;16,5;14,1;90,875;null;
2023-03-14;23;837,4875;19,7;16,491667;14,3;89,833333;null;
2023-03-15;5,6;837,141667;21,8;16,920833;11,8;84,083333;null;
2023-03-16;0;836,520833;24,6;16,925;11;75,75;null;
2023-03-17;0;836,613043;22,5;16,217391;10,5;75,565217;null;
2023-03-18;0;837,008333;23,8;16,483333;9,8;76,541667;null;
2023-03-19;,2;837,0625;25,5;17,158333;12,3;82,333333;null;
2023-03-20;0;837,058333;24,9;17,091667;12,2;83,041667;null;
2023-03-21;5,8;837,658333;24,3;16,916667;11,4;81,583333;null;
2023-03-22;12;839,041667;23,5;16,633333;12;84,791667;null;
2023-03-23;2,2;839,154167;24;17,195833;10,4;76,625;null;
2023-03-24;0;838,170833;24,7;17,370833;12;80,25;null;
2023-03-25;0;837,45;25,1;17,320833;11,9;79,291667;null;
2023-03-26;7,2;837,5125;25,1;17,979167;13,2;83,5;null;
2023-03-27;,2;837,058333;23,7;17,529167;14,8;89,333333;null;
2023-03-28;1,6;837,213043;23,7;17,53913;13,3;85,652174;null;
2023-03-29;0;837,5375;22,1;17,395833;15;88,875;null;
2023-03-30;null;837,783333;25,2;18,008333;15,3;85,291667;null;
2023-03-31;null;836,916667;23,8;15,779167;12;90,75;null;
2023-04-01;null;835,233333;22,6;16,720833;11;77,5;null;
2023-04-02;null;836,091667;21,1;15,495833;13;87,208333;null;
2023-04-03;null;836,220833;23,1;15,854167;9,8;81,5;null;
2023-04-04;null;835,745833;23,6;17,0125;13,6;83,041667;null;
2023-04-05;null;835,620833;23,1;16,341667;12;84,875;null;
2023-04-06;null;835,875;20,9;15,370833;11,9;88,708333;null;
2023-04-07;null;835,229167;16,4;14,991667;13,9;93,541667;null;
2023-04-08;null;835,829167;21,2;15,65;13,3;91,333333;null;
2023-04-09;null;837,604167;15,2;14,041667;13,4;92,208333;null;
2023-04-10;null;838,3375;20,4;14,445833;10,4;83,333333;null;
2023-04-11;null;837,316667;21,9;14,545833;9,4;87,125;null;
2023-04-12;null;836,120833;21;15,070833;10,5;86,875;null;
2023-04-13;null;834,479167;23,7;17,179167;13,9;83,5;null;
2023-04-14;null;834,5125;19,9;16,2;14,2;90,208333;null;
2023-04-15;null;835,491667;18,9;15,404167;14,4;92,666667;null;
