Nome: FRANCA
Codigo Estacao: A708
Latitude: -20.58444444
Longitude: -47.38249999
Altitude: 1002.74
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;6,2;903,508333;29,2;22,054167;18,6;76,333333;1,708333;
2023-01-02;13,8;901,929167;26,2;21,5125;18,3;79,25;2,120833;
2023-01-03;25;900,854167;26,6;20,7625;18,5;82,958333;3,054167;
2023-01-04;19,2;900,5375;25,3;20,554167;17,8;84,625;3,158333;
2023-01-05;38,4;900,391667;25,2;20,3;18;89,083333;2,254167;
2023-01-06;17,2;901,795833;21,6;19,408333;18,6;94,291667;1,2125;
2023-01-07;61,2;903,7625;22,9;19,091667;17,3;93,583333;,979167;
2023-01-08;40,4;903,745833;21,5;19,2375;18,4;93,416667;1,3875;
2023-01-09;26,8;902,895833;26;20,5625;18,3;84,333333;2,608333;
2023-01-10;17,6;903,8375;25;20,558333;18;83,875;2,308333;
2023-01-11;2;903,6125;27,9;22,6;20;77,125;1,879167;
2023-01-12;26,4;902,083333;27,7;20,879167;18;82,458333;3,1125;
2023-01-13;14,8;901,633333;27,8;21,8625;17;80,791667;2,345833;
2023-01-14;27,6;902,879167;30;21,795833;17,7;80,291667;2,6375;
2023-01-15;6,6;904,025;29,5;23,454167;20;73,125;1,875;
2023-01-16;,4;903,166667;28,2;22,470833;20;79,791667;1,479167;
2023-01-17;0;903,508333;30,8;24,166667;18,8;62,791667;1,520833;
2023-01-18;0;904,445833;29,7;23,104167;19,1;67,666667;1,620833;
2023-01-19;16;904,133333;28,7;21,379167;16,5;77,708333;2,3625;
2023-01-20;25,4;902,445833;26,5;20,745833;17,9;82,583333;1,745833;
2023-01-21;14,8;900,483333;23,5;19,816667;17,6;86,666667;2,533333;
2023-01-22;13,2;900,083333;26,8;21,120833;17,4;83,416667;1,508333;
2023-01-23;12,2;900,6;26,8;21,195833;18,2;85,416667;1,058333;
2023-01-24;6,8;900,1625;25,9;21,2375;18,6;84,625;1,233333;
2023-01-25;,2;900,4;30,2;23,729167;18,5;71,166667;,829167;
2023-01-26;0;900,404167;29,7;24,1375;19,5;62,875;1,458333;
2023-01-27;0;901,729167;27,9;22,05;18,4;76,75;,941667;
2023-01-28;1,2;903,7875;27,5;22,5875;19,5;75,083333;1,829167;
2023-01-29;0;903,516667;28,3;21,2375;19,1;77,25;2,104167;
2023-01-30;16,4;902,025;28,3;21,566667;17,8;79,375;1,258333;
2023-01-31;15,4;902,708333;27,8;20,891667;18,4;84,958333;1,245833;
2023-02-01;83,4;903,475;28,1;21,4875;17,8;83,375;,816667;
2023-02-02;35,4;903,825;27,8;21,195833;18,5;84,666667;,95;
2023-02-03;23;903,245833;30,1;23,704167;18,4;67,333333;2,1125;
2023-02-04;,2;904,270833;29,1;23,175;18,7;71,125;1,608333;
2023-02-05;0;904,229167;28,5;23,145833;19,5;70,375;,879167;
2023-02-06;0;903,291667;29,6;23,766667;19,6;71,791667;,658333;
2023-02-07;1,6;903,325;28,7;22,958333;17,9;65,958333;1,2875;
2023-02-08;0;902,495833;29,7;23,416667;20,1;70,125;1,2625;
2023-02-09;13,8;903,104167;30;22,520833;18,6;74,458333;1,616667;
2023-02-10;5,8;903,366667;26,8;21,954167;18,5;76,625;1,295833;
2023-02-11;5;903,3375;26,8;21,358333;18,3;78,75;1,758333;
2023-02-12;13,2;902,875;22,8;20,1625;18,5;85,916667;,620833;
2023-02-13;15,6;903,075;28,9;22,891667;18,1;71,375;1,25;
2023-02-14;3;902,641667;29,7;23,795833;19,3;71,25;,779167;
2023-02-15;0;900,958333;28,9;23,004167;20,9;72,875;2,204167;
2023-02-16;19,4;899,045833;29,4;23,158333;17,8;72,833333;1,870833;
2023-02-17;,2;899,941667;30,3;23,233333;19,6;72,083333;2,05;
2023-02-18;,4;902,05;28,3;22,666667;20,3;74,333333;1,770833;
2023-02-19;53,8;903,533333;29,2;21,516667;17,6;83,833333;1,479167;
2023-02-20;3,4;903,620833;29;22,291667;17,8;74,791667;1,75;
2023-02-21;4,4;904,5;27;20,091667;18,1;86,166667;1,154167;
2023-02-22;26,8;905,8;28,4;21,225;16,8;79,625;,879167;
2023-02-23;1,2;906,004167;27,7;21,7625;19,4;78,25;1,329167;
2023-02-24;12,8;904,154167;27,6;22,570833;18,4;76,166667;1,533333;
2023-02-25;0;903,029167;29,4;22,4875;20,6;75,416667;2,5125;
2023-02-26;10;904,775;31;23,041667;19,2;74,041667;2,354167;
2023-02-27;12,8;905,879167;31;24,270833;18,5;68,958333;1,2125;
2023-02-28;0;906,2875;30,3;24,533333;19,1;63;1,841667;
2023-03-01;0;905,166667;30;23,454167;18,6;67,291667;1,6625;
2023-03-02;3,2;904,008333;29,6;22,6;18,1;69,333333;1,875;
2023-03-03;1,6;903,370833;28,8;23,491667;18,9;67,25;2,441667;
2023-03-04;2;903,933333;28,1;22,408333;19,6;75,333333;2,2125;
2023-03-05;32,8;902,820833;28,4;21,870833;18,5;78,791667;1,725;
2023-03-06;43,4;901,366667;25,8;20,004167;16,9;83,708333;2,5;
2023-03-07;23,2;902,504167;25,7;20,983333;16,2;73,458333;2,545833;
2023-03-08;3,8;903,8875;27,8;21,3125;18,7;79,416667;1,920833;
2023-03-09;14,8;904,270833;28,9;22,1625;17,4;75,708333;1,775;
2023-03-10;13,2;904,291667;26,6;20,616667;18,2;84,916667;1,1625;
2023-03-11;22;903,55;26,6;21,504167;18,5;79,208333;1,7125;
