Nome: PARANAIBA
Codigo Estacao: A710
Latitude: -19.69555555
Longitude: -51.18166666
Altitude: 408.06
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;null;32,5;26,916667;23;72,666667;0;
2023-01-02;0;null;32,2;24,825;22,6;80,833333;,220833;
2023-01-03;15,2;null;30;24,241667;21,3;79,958333;,025;
2023-01-04;29,2;null;28,9;23,470833;20,4;85,541667;,2;
2023-01-05;19,2;null;28,5;23,25;20,5;84,041667;0;
2023-01-06;1,6;null;27,5;23,0375;20,6;83,041667;0;
2023-01-07;36,4;null;28,9;23,225;19,8;83,416667;,016667;
2023-01-08;0;null;27,3;23,883333;20,3;77,708333;0;
2023-01-09;0;null;31;24,741667;21,9;79,625;,008333;
2023-01-10;0;null;31;24,570833;22,2;80,916667;0;
2023-01-11;2;null;29,6;24,0375;21,6;83;0;
2023-01-12;4,4;null;31,3;24,458333;21,7;80,125;0;
2023-01-13;13,6;null;31,6;24,791667;21,7;80,041667;,316667;
2023-01-14;2;null;32,8;25,545833;22;75,833333;,041667;
2023-01-15;,4;null;33,1;26,533333;21,3;71,916667;,004167;
2023-01-16;0;null;33;26,704167;22,4;72,875;,283333;
2023-01-17;16,8;null;32,4;24,916667;20,6;75,041667;,195833;
2023-01-18;22;null;33,3;25,504167;19,4;72,625;,008333;
2023-01-19;0;null;32,5;24,820833;21,5;78,291667;,004167;
2023-01-20;0;null;31,6;24,8875;22,4;80,916667;,008333;
2023-01-21;26,8;null;27;22,616667;19,9;85,75;0;
2023-01-22;6;null;30,2;23,0125;20,8;85;,104167;
2023-01-23;,4;null;32,3;25,075;21,2;77,5;,0375;
2023-01-24;0;null;32,2;26,020833;22,8;76,041667;0;
2023-01-25;0;null;32,3;26,725;22,1;74,916667;0;
