Nome: SOROCABA
Codigo Estacao: A713
Latitude: -23.4261111
Longitude: -47.58555555
Altitude: 609.33
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;945,691667;30,7;23,5875;18,7;77,25;1,183333;
2023-01-02;5;943,279167;31,2;24,2125;18,7;73,25;1,45;
2023-01-03;7,2;941,408333;29;23,495833;19,8;78,75;1,7625;
2023-01-04;15,8;941,041667;27,1;21,6875;20,7;88,541667;1,920833;
2023-01-05;28,4;943,9625;21;18,033333;16,8;89,416667;2,2125;
2023-01-06;8,8;947,004167;23,3;19,508333;17;72,458333;3,833333;
2023-01-07;0;948,8;24;19,633333;16,4;71,833333;3,916667;
2023-01-08;0;947,766667;25,2;20,545833;16;74,583333;3,0375;
2023-01-09;0;946,033333;26,2;21,225;17,4;77,166667;2,383333;
2023-01-10;0;945,475;27,8;21,608333;18,9;84,208333;1,329167;
2023-01-11;13;944,933333;27,5;22,266667;19,3;83,125;1,75;
2023-01-12;26,8;943,229167;29,5;21,829167;18,3;83,291667;1,1625;
2023-01-13;6,4;942,433333;29,5;22,820833;19,6;84,041667;1,808333;
2023-01-14;21;943,9125;29;23,0375;19,5;82,791667;1,683333;
2023-01-15;0;945,354167;31,8;24,129167;21;82;1,145833;
2023-01-16;4,4;945,045833;31,8;24,241667;21,3;80,958333;1,25;
2023-01-17;0;946,016667;32;24,216667;20,1;76,291667;1,6375;
2023-01-18;0;947,1625;32;24,179167;19,3;73,708333;2,291667;
2023-01-19;0;946,583333;30,9;23,354167;18,3;75,75;1,8375;
2023-01-20;0;944,191667;25,7;21,55;19,5;86,958333;,854167;
2023-01-21;51,6;941,370833;29,4;22,866667;18,2;78,916667;,908333;
2023-01-22;0;940,791667;29;24,020833;20,9;79,75;1,191667;
2023-01-23;0;941,5625;27,5;22,520833;20,2;86;1,2625;
2023-01-24;8;941,533333;30,1;23,316667;18,7;77,916667;1,645833;
2023-01-25;,2;942,895833;31,7;24,020833;18;70,875;1,9625;
2023-01-26;0;943,341667;32;23,779167;18,4;65,125;2,179167;
2023-01-27;0;944,304167;31,3;22,9375;15,9;67,583333;1,929167;
2023-01-28;0;945,308333;30,4;23,208333;19;79,25;1,679167;
2023-01-29;34,8;944,55;29,7;23,420833;19,3;82,416667;1,370833;
2023-01-30;14,6;943,425;27,2;21,966667;18,2;82,75;1,729167;
2023-01-31;27,2;943,970833;29,8;22,954167;19,6;83,166667;,3625;
2023-02-01;11,6;945,133333;28,8;23,175;19,8;83,125;,008333;
2023-02-02;2,8;945,083333;30,9;24,233333;20,3;79,875;,1;
2023-02-03;3,4;944,508333;29,3;23,108333;19,7;81,541667;,820833;
2023-02-04;12,2;944,895833;28,3;22,204167;19,2;86,333333;,629167;
2023-02-05;24,8;944,820833;29,4;23,625;20,8;84,958333;,404167;
2023-02-06;6,4;944,6375;28,4;22,908333;20;85,375;,016667;
2023-02-07;,8;945,275;29,8;22,579167;18,8;83,375;,179167;
2023-02-08;6,8;944,741667;30,6;23,475;18,7;75,416667;,033333;
2023-02-09;0;945,0125;32;23,883333;17,4;71,375;,004167;
2023-02-10;0;945,066667;30,3;23,070833;18,5;77,625;,083333;
2023-02-11;3,4;945,483333;24,9;21,729167;20,2;89,041667;,020833;
2023-02-12;18,4;944,4625;28,5;22,391667;19,6;85,5;,195833;
2023-02-13;87,4;944,791667;29,6;21,795833;18,1;86,875;0;
2023-02-14;5,6;943,825;30;23,058333;20;85,833333;,158333;
2023-02-15;12,4;941,4375;32,6;23,35;18,6;81,583333;,608333;
2023-02-16;2,6;939,129167;29,6;23,125;19,7;83,25;1,279167;
2023-02-17;36,2;940,370833;28,3;22,591667;19,6;85,666667;,425;
2023-02-18;7,2;944,533333;28,9;22,1875;20,4;85,541667;1,016667;
2023-02-19;1,8;948,245833;20,6;19,3;18;87;,0375;
2023-02-20;5,8;946,279167;30,5;22,325;17,6;78,5;,229167;
2023-02-21;0;946,3;27,6;22,066667;17,6;81,333333;,020833;
2023-02-22;2;948,191667;29,5;23,095833;18,5;78,291667;0;
2023-02-23;0;948,375;27,3;22,991667;19,5;79,791667;,004167;
2023-02-24;0;945,441667;29,4;23,025;18,5;80,708333;,433333;
2023-02-25;0;943,895833;31,7;24,2125;19,8;78,583333;,775;
2023-02-26;7,4;946,358333;30,2;24,379167;19,8;77,958333;,295833;
2023-02-27;0;948,670833;30,9;24,641667;21;74,708333;,595833;
2023-02-28;0;949,920833;27;22,108333;19,6;79,875;,475;
2023-03-01;11;947,841667;29,2;21,720833;17,1;79,833333;,091667;
2023-03-02;7,8;945,7125;31,1;23,191667;17;77,208333;,0125;
2023-03-03;0;945,008333;31,7;25,316667;21;73,416667;,008333;
2023-03-04;15,2;945,729167;26,8;21,758333;20,7;87,041667;,170833;
2023-03-05;8,4;943,895833;28,3;22,016667;18,1;83,416667;,066667;
2023-03-06;18,2;942,004167;29,8;22,941667;18,1;78,916667;,833333;
2023-03-07;3,8;943,920833;30,2;23,3125;17,8;73,375;,495833;
2023-03-08;0;945,554167;31;24,320833;17,8;69,333333;,004167;
2023-03-09;0;946,45;30,7;22,95;19,5;78,916667;,070833;
2023-03-10;14,6;946,408333;29,3;22,208333;19,3;83,708333;0;
2023-03-11;40;945,670833;26,6;21,5625;18,5;86,458333;0;
2023-03-12;,2;946,133333;26,7;21,7125;20,6;89,291667;0;
2023-03-13;29,8;946,608333;27,9;22,820833;19,4;81,333333;0;
2023-03-14;0;947,25;30,2;22,545833;20,3;84,166667;,004167;
2023-03-15;23,6;946,8;29,5;23,379167;19,7;77,375;,004167;
2023-03-16;,8;946,1375;31,4;23,333333;18,9;73;0;
2023-03-17;0;946,6375;30,2;22,666667;17,7;72,166667;0;
2023-03-18;,2;946,783333;30,8;22,945833;17,5;72,333333;0;
2023-03-19;0;946,270833;31,4;23,808333;17;72,458333;0;
2023-03-20;0;945,9875;32,1;23,883333;18,1;74,291667;,004167;
2023-03-21;,4;947,333333;31,2;23,395833;18,2;73,416667;,004167;
2023-03-22;0;948,758333;32,1;23,75;17,5;72,791667;,0125;
2023-03-23;0;948,804167;31,5;23,95;18,1;69,458333;,0125;
2023-03-24;0;947,283333;31,6;24,279167;17,2;69,208333;,004167;
2023-03-25;0;946,691667;31,7;24,416667;18,4;71,083333;,004167;
2023-03-26;0;945,7875;32,6;25,116667;19,4;73,125;,054167;
2023-03-27;,6;946,916667;26,9;22,758333;20,4;77,791667;1,1125;
2023-03-28;0;947,158333;29,6;22,441667;17,4;75,833333;,025;
2023-03-29;0;946,470833;31,6;23,654167;17,9;74,458333;,0375;
2023-03-30;3,4;947,066667;30,3;23,308333;18,3;76,75;,05;
2023-03-31;,2;945,483333;32;24,620833;19,3;72,833333;,0875;
2023-04-01;0;944,895833;29,8;22,8125;17;78,083333;,008333;
2023-04-02;0;947,033333;26,3;20,816667;16,1;72,416667;,391667;
2023-04-03;0;946,770833;28,9;20,758333;15,1;73,291667;,016667;
2023-04-04;,2;945,666667;29,3;21,170833;14,8;72,5;0;
2023-04-05;0;945,7;29;20,8875;13,8;69,833333;,391667;
2023-04-06;0;946,041667;28,5;21,670833;16,2;72,708333;,0375;
2023-04-07;1,2;945,425;23;20,433333;19,4;83,666667;0;
2023-04-08;5,2;946,6;26,5;21,045833;18,7;82,541667;,004167;
2023-04-09;0;948,741667;25,6;20,945833;18;75,041667;,045833;
2023-04-10;0;949,679167;27,8;20,708333;14,9;67,875;,045833;
2023-04-11;0;947,8625;28,4;20,345833;14,1;73,916667;0;
2023-04-12;0;945,520833;28,6;21,833333;16;78,291667;0;
2023-04-13;11,4;943,695833;29,6;22,7375;18,1;80,833333;,008333;
2023-04-14;12,2;943,904167;25,3;20,904167;17,9;88,083333;,033333;
2023-04-15;2,2;946,4;26,7;21,654167;18,9;81,041667;,104167;
2023-04-16;0;946,141667;29,3;22,066667;17,2;74,958333;0;
2023-04-17;0;940,833333;29,3;21,245833;16,8;84,625;,133333;
2023-04-18;21,8;937,183333;25,4;21,316667;19,3;91,791667;,254167;
2023-04-19;35,6;939,829167;25,7;20,520833;16,4;72,125;,020833;
2023-04-20;0;946,683333;22,5;17,191667;11,6;62,791667;0;
2023-04-21;0;949,441667;24,6;16,1125;8,8;74,583333;,075;
2023-04-22;0;949,125;26,6;18,958333;13,6;70,166667;,0125;
2023-04-23;0;949,891667;27,4;19,545833;14,8;75,208333;,016667;
2023-04-24;0;950,625;27,3;19,908333;15,1;70,375;,0125;
2023-04-25;0;949,879167;27,3;19,441667;12,8;72,625;0;
2023-04-26;1;947,229167;22,1;19,3125;17,1;86,375;0;
2023-04-27;2,2;945,595833;24,2;19,1625;17,8;91,041667;0;
2023-04-28;7,4;947,345833;20,7;18,0875;17,1;87,666667;,004167;
2023-04-29;,2;948,254167;26;19,083333;14,9;79,416667;,025;
2023-04-30;,2;947,675;27,3;20,404167;16;77,625;,016667;
2023-05-01;0;946,816667;27,2;20,883333;16,6;77,958333;0;
2023-05-02;0;945,841667;27,3;20,970833;15,9;77,416667;,045833;
2023-05-03;,2;946,2125;27,8;21,041667;15;78,125;,0375;
2023-05-04;,2;947,55;28,7;21,145833;14,8;76,875;,008333;
2023-05-05;0;949,391667;30;22,491667;16,1;73,208333;0;
2023-05-06;0;949,479167;28,3;21,970833;17,8;78,833333;0;
2023-05-07;0;948,179167;28,1;21,470833;16,7;78,5;0;
2023-05-08;,2;948,404167;28,1;21,720833;16,1;78,208333;0;
2023-05-09;0;948,466667;26,7;20,166667;15;82,916667;,0125;
2023-05-10;0;947,725;25,3;21,091667;19;81,333333;0;
2023-05-11;0;945,804167;25,1;19,2625;15,2;76,291667;,0125;
2023-05-12;0;947,8625;21,8;16,658333;13,7;76,166667;,029167;
2023-05-13;0;949,333333;22,6;15,458333;8,8;74,083333;,004167;
