Nome: SAO MIGUEL ARCANJO
Codigo Estacao: A715
Latitude: -23.89083333
Longitude: -47.99916666
Altitude: 710
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;938,766667;31,3;22,9125;18,4;83,333333;1,175;
2023-01-02;,2;936,145833;31,3;23,775;18,1;77,833333;1,616667;
2023-01-03;0;933,854167;28,4;23,166667;19,5;78,666667;2,883333;
2023-01-04;17,8;933,9;23,8;19,7125;19,4;92,875;2,695833;
2023-01-05;18;937,170833;19,6;17,070833;15,7;89,958333;2,641667;
2023-01-06;6;940,204167;23,2;18,208333;16,1;83,125;4,129167;
2023-01-07;0;942;23;18,404167;15,6;80,25;3,954167;
2023-01-08;0;941,145833;23,6;18,804167;15,6;84,791667;3,420833;
2023-01-09;0;939,45;24,1;19,3375;16,7;86,75;3,195833;
2023-01-10;0;938,4625;24,4;20,4125;18,2;88,708333;1,95;
2023-01-11;,4;937,466667;30,6;22,75;19,6;81,625;1,75;
2023-01-12;,6;935,925;26,6;21,145833;19,1;90,75;1,8125;
2023-01-13;17,2;934,7625;28,9;22,825;19,7;86,583333;2,091667;
2023-01-14;5,8;936,195833;29,2;23,283333;20,1;84,083333;3,208333;
2023-01-15;,2;938,025;29,6;23,4;19,7;87,041667;1,666667;
2023-01-16;1,6;938,158333;30,2;24,475;21,8;84,666667;1,325;
2023-01-17;14,2;939,0875;30,8;24,495833;20,2;83,083333;1,883333;
2023-01-18;0;940,341667;30,5;23,854167;19,7;79,625;2,704167;
2023-01-19;,2;939,7375;30,5;23,095833;18,2;78,833333;2,008333;
2023-01-20;0;937,070833;27,1;21,766667;19,2;86,125;1,675;
2023-01-21;3,8;934,316667;29,5;21,820833;17,5;84;1,079167;
2023-01-22;,2;933,358333;30,3;23,525;19;81,916667;1,441667;
2023-01-23;0;934,329167;30,5;22,741667;19,6;84,75;1,920833;
2023-01-24;22,4;934,65;30,6;23,025;17,7;79,5;1,175;
2023-01-25;0;936,254167;30,3;23,141667;16,9;76,125;2,091667;
2023-01-26;0;936,754167;29,4;22,554167;16,8;76,375;2,495833;
2023-01-27;0;937,645833;29,6;21,575;15,7;80,625;2,2;
2023-01-28;0;938,220833;31;23,258333;17,2;80,958333;1,533333;
2023-01-29;0;937,091667;31,9;23,875;17,6;79,458333;1,6875;
2023-01-30;9,2;935,925;26,3;21,6125;18,6;86,666667;2,704167;
2023-01-31;18;936,475;29,1;22,529167;19,9;87,875;1,870833;
2023-02-01;2,6;937,6125;28,5;22,691667;20;88,041667;1,291667;
2023-02-02;11,6;937,720833;29,1;22,908333;20,4;88,416667;1,254167;
2023-02-03;34,6;936,608333;28,9;23;19,5;82,333333;2,754167;
2023-02-04;16,4;937,020833;26,9;22,495833;19,4;83,333333;2,108333;
2023-02-05;0;937,454167;28,5;23,020833;19,5;85,916667;1,6875;
2023-02-06;1,4;937,279167;30,4;23,5875;20,1;80,958333;1,3;
2023-02-07;0;938,316667;28,6;22,366667;20;87,708333;1,370833;
2023-02-08;3,2;937,983333;29,9;22,379167;17,1;81,333333;1,983333;
2023-02-09;0;938,041667;31,7;22,3;14,9;78,458333;1,5375;
2023-02-10;,2;938,004167;31,1;22,525;17,3;83,458333;1,5;
2023-02-11;7;938,270833;25;21,3375;19,9;91,666667;1,425;
2023-02-12;7,6;937,204167;28,2;22,183333;19,3;87,666667;1,5625;
2023-02-13;0;937,366667;29,2;22,258333;18,8;84,166667;1,629167;
2023-02-14;,4;936,354167;30,6;23,616667;19,6;83,125;1,979167;
2023-02-15;10;933,7625;30,4;23,304167;19,2;84,291667;2,6;
2023-02-16;6;931,395833;28,8;22,433333;20;86,625;2,6875;
2023-02-17;20,2;932,3125;28;22,545833;19,7;87,583333;3,65;
2023-02-18;2,2;937,7125;24,5;20,854167;20,5;90,791667;2,7125;
2023-02-19;3;941,641667;21,2;17,841667;15,9;88,416667;3,904167;
2023-02-20;,4;939,333333;29,7;21,3125;17,3;86,041667;2,104167;
2023-02-21;2,6;939,145833;26,2;21,25;18,1;89,125;1,266667;
2023-02-22;1;941,079167;29,7;22,366667;18,6;85;2,016667;
2023-02-23;0;941,475;24,1;21,195833;19,8;90,625;1,708333;
2023-02-24;7,4;938,066667;29;22,045833;18,8;88,416667;2,195833;
2023-02-25;,8;936,529167;30,7;23,925;19;79,166667;1,970833;
2023-02-26;0;938,9625;30,6;23,970833;18,1;79,416667;2,004167;
2023-02-27;5,8;942,270833;26,3;22,029167;20;85,75;2,858333;
2023-02-28;,6;943,275;24,7;20,4125;19,6;87,833333;2,466667;
2023-03-01;14,2;940,904167;26,8;20,6625;17,5;88,166667;1,495833;
2023-03-02;1,8;938,6125;31,5;22,954167;16,3;79,875;1,1375;
2023-03-03;14;937,875;31;23,908333;19;83,25;1,533333;
2023-03-04;23,4;938,295833;27,4;22,095833;19,7;88,833333;1,516667;
2023-03-05;16,8;936,266667;28,8;22,1625;18,1;85,041667;2,108333;
2023-03-06;1,2;934,4625;28,8;22,3375;19,5;84,375;2,358333;
2023-03-07;4,4;936,266667;29,7;23,225;18,4;75,625;2,766667;
2023-03-08;0;938,141667;30,9;23,945833;18,4;74,875;1,583333;
2023-03-09;0;939,175;30,1;23,4875;19;77,666667;1,7875;
2023-03-10;,2;939,4375;26,2;21,704167;19,6;87,833333;1,629167;
2023-03-11;1,2;938,5125;25,4;21,2625;19,4;89,833333;1,475;
2023-03-12;4,4;939,125;26,2;21,3875;19,7;89,958333;2,05;
2023-03-13;1;939,7;27,6;22,270833;19,3;85,375;1,741667;
2023-03-14;0;940,254167;29,1;22,054167;20,3;88,416667;1,7125;
2023-03-15;24,4;940,091667;27,8;22,195833;19,5;85,75;2,4875;
