Nome: SAO GABRIEL DO OESTE
Codigo Estacao: A732
Latitude: -19.42027777
Longitude: -54.55305555
Altitude: 646
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;6,4;938,695833;30,8;25,158333;20,6;80,541667;1,8375;
2023-01-02;0;937,695833;29,5;23,895833;21,3;85,625;1,404167;
2023-01-03;41,8;936,666667;27,3;22,129167;20,1;89,833333;2,570833;
2023-01-04;16,8;936,358333;25,1;22,191667;21;92,166667;2,591667;
2023-01-05;17,2;937,441667;26,5;21,904167;19,1;86,333333;1,391667;
2023-01-06;0;938,4625;27,7;21,983333;18,3;82,166667;1,383333;
2023-01-07;,2;939,429167;29,4;23,7;19,7;78,5;1,270833;
2023-01-08;0;939,6875;29,5;23,508333;19,3;79,25;1,366667;
2023-01-09;2,6;938,533333;30,4;23,695833;18,8;79,333333;1,558333;
2023-01-10;12,6;939,029167;28,7;23,6;20,1;84,125;1,804167;
2023-01-11;2;939,716667;28,7;22,583333;19,8;85,375;1,683333;
2023-01-12;14,4;937,879167;28,4;22,566667;19,5;87,041667;2,029167;
2023-01-13;19,2;937,075;25,2;21,325;19,1;90,708333;2,191667;
2023-01-14;12,2;938,070833;26,1;21,170833;19,2;90,291667;2,558333;
2023-01-15;,2;940,329167;29,2;22,829167;17,5;83,833333;1,325;
2023-01-16;0;939,545833;30,3;23,741667;20,2;83,125;1,079167;
2023-01-17;1,2;939,8125;27,3;22,804167;20,3;86,458333;1,541667;
2023-01-18;6;941,05;30,1;23,708333;18,6;80,875;1,2375;
2023-01-19;,6;941,079167;31,4;23,254167;20;83,541667;1,2375;
2023-01-20;25,2;938,816667;30;23,55;18,8;84,041667;1,758333;
2023-01-21;1;936,745833;30,3;24,4625;20;79,375;2,375;
2023-01-22;,2;936,741667;29,8;24,016667;20,2;83,25;2,675;
2023-01-23;49,4;937,791667;23,1;20,929167;19,9;94,458333;1,7625;
2023-01-24;15;937,208333;28,5;22,529167;18,8;86,125;1,825;
2023-01-25;,2;937,029167;31,4;23,466667;18,9;84,875;,9375;
2023-01-26;16,8;936,008333;32,1;24,716667;20,3;80,958333;,829167;
2023-01-27;0;936,241667;30,7;25,104167;20,9;77,416667;1,4375;
2023-01-28;21,6;938,6625;28,4;23,725;20,7;83,25;2,208333;
2023-01-29;1;939,433333;29;23,954167;20,9;81,5;1,8;
2023-01-30;10,6;937,825;28;22,729167;20,2;87,583333;1,6;
