Nome: PRADOPOLIS
Codigo Estacao: A747
Latitude: -21.33833333
Longitude: -48.11388888
Altitude: 540.41
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;6,6;952,045833;32,4;24,925;18,7;72,875;1,725;
2023-01-02;0;950,2375;31,2;24,229167;20,3;76,625;2,283333;
2023-01-03;6;949,379167;26,2;22,029167;19,9;87,25;2,0125;
2023-01-04;37,2;948,983333;27,3;21,6375;19,3;88,916667;2,3875;
2023-01-05;16;949,354167;26,4;21,7125;20,3;88,041667;2,879167;
2023-01-06;7,8;951,6625;25,3;21,225;18,6;77,541667;3,8875;
2023-01-07;1,2;953,4375;27,7;20,975;17;78,458333;3,7125;
2023-01-08;2,6;953,125;22,7;20,575;18,2;85,166667;2,3625;
2023-01-09;18,8;951,833333;26,2;21,745833;20;89,208333;2,029167;
2023-01-10;35,4;952,479167;27;22,6;20,4;83,708333;2,391667;
2023-01-11;41,8;952,275;27,6;22,166667;18,9;86,458333;1,7625;
2023-01-12;42;950,358333;29,3;23,458333;19,6;81,5;1,845833;
2023-01-13;5,2;949,933333;29,6;23,7625;20,4;79,708333;2,720833;
2023-01-14;6;951,3;30,7;24,3875;20;77,666667;2,4625;
2023-01-15;0;952,45;32,3;26,083333;21,5;73,041667;1,854167;
2023-01-16;,4;951,729167;32,8;25,004167;21,1;75,916667;1,725;
2023-01-17;0;952,441667;32,8;24,6875;19,7;72,583333;1,725;
2023-01-18;14,6;953,266667;32,8;24,245833;19,3;73,708333;2,1625;
2023-01-19;0;952,820833;32,3;24,395833;19,8;73,166667;2,579167;
2023-01-20;1,4;950,945833;28,8;22,45;20,3;85,208333;2,154167;
2023-01-21;9,2;949,058333;26;21,604167;19,8;89,708333;2,3;
2023-01-22;43,6;948,416667;31;24,3625;20;78,875;1,791667;
2023-01-23;0;949,158333;29,9;23,779167;20,5;79,833333;2,016667;
2023-01-24;47,2;948,6625;30,1;23,9;19,6;80,791667;1,729167;
2023-01-25;24,6;948,966667;32,6;25,2375;19,3;70,291667;1,745833;
2023-01-26;0;948,7375;33,4;25,816667;19,5;67,375;1,858333;
2023-01-27;0;950,233333;32,7;25,1625;19,9;70,875;1,904167;
2023-01-28;33,2;952,695833;27,7;23,25;20,5;84,125;1,320833;
2023-01-29;5;951,995833;28,4;22,958333;20,8;83,458333;2,041667;
2023-01-30;5,2;950,816667;29,4;23,125;20,1;81,583333;1,716667;
2023-01-31;3;951,154167;31,7;24,191667;18,8;75,625;1,908333;
2023-02-01;2;952,291667;31;23,6875;20,6;82,25;1,841667;
2023-02-02;8,6;952,508333;29,2;22,9125;21,1;86,541667;1,945833;
2023-02-03;27,6;951,966667;31,6;24,066667;19,1;79,541667;2,608333;
2023-02-04;8,6;952,870833;30,1;24,204167;20,3;77,416667;2,516667;
2023-02-05;0;952,7;30,9;24,695833;20,1;76,458333;1,929167;
2023-02-06;0;951,925;30,9;25,183333;20,9;72,333333;1,508333;
2023-02-07;0;952,15;30,6;23,525;20,1;79,541667;2,058333;
2023-02-08;15,2;951,033333;32,6;24,825;19,3;75,708333;1,533333;
2023-02-09;19;951,558333;32,2;24,770833;19,7;76,833333;1,854167;
2023-02-10;32;952,041667;31,3;23,970833;18,9;77,416667;1,691667;
2023-02-11;1,4;952,1625;28,9;23;20,7;82,291667;1,891667;
2023-02-12;56,8;951,729167;25,4;21,325;19,2;88,833333;1,766667;
2023-02-13;21,8;951,683333;31,2;24,191667;18,8;76,833333;,979167;
2023-02-14;,2;950,9375;31,8;25,508333;20,2;72;1,908333;
2023-02-15;0;948,791667;33,2;25,383333;20,7;76,083333;2,075;
2023-02-16;8,2;947,170833;31;23,841667;19,9;78,791667;2,304167;
2023-02-17;1,8;947,9875;31,4;25,116667;21;74,25;2,7375;
2023-02-18;0;950,866667;31,3;24,066667;21;79,333333;1,841667;
2023-02-19;13;953,154167;29,7;23,825;19,9;75,5;4,804167;
2023-02-20;1,4;952,4;31,7;24,533333;19,1;71,916667;2,320833;
2023-02-21;0;953,454167;29,7;23,575;18,4;74,041667;2,1625;
2023-02-22;,4;954,645833;33;24,783333;18,6;71,083333;,983333;
2023-02-23;0;954,854167;30,5;24,375;20,2;77;1,6125;
2023-02-24;43,8;952,7375;30;23,875;19,5;78,833333;1,7125;
2023-02-25;0;951,391667;32,4;25,458333;20,2;73,958333;2,141667;
2023-02-26;0;953,508333;33,3;24,129167;20,6;79,375;1,445833;
2023-02-27;1,6;954,595833;34;26,204167;19,9;71,708333;1,529167;
2023-02-28;1,6;955,145833;33,5;25,891667;21,1;68,25;2,554167;
2023-03-01;0;954,0375;32;24,441667;19,3;70,666667;1,891667;
2023-03-02;0;952,645833;32,3;24,825;19,6;70,083333;2;
2023-03-03;0;951,708333;32,9;25,7625;20,2;67,25;1,675;
2023-03-04;,2;952,5;32;25,495833;22,2;73,083333;2,1375;
2023-03-05;,2;951,141667;31,5;24,625;20,5;74,125;1,783333;
2023-03-06;0;949,4625;31,3;23,170833;18,3;76,708333;1,7625;
2023-03-07;5,8;951,304167;31,3;23,616667;18;70,5;2,454167;
2023-03-08;0;952,475;32,2;23,654167;18,1;74,041667;1,766667;
2023-03-09;,6;953,1125;31,1;24,279167;20,7;75,75;1,520833;
2023-03-10;2,2;953,183333;31,7;22,583333;20,1;83,708333;1,579167;
2023-03-11;60,2;952,441667;28,7;22,775;19,9;83,875;1,229167;
2023-03-12;46,4;952,604167;29,6;23,654167;19,8;81,25;1,05;
2023-03-13;,4;953,195833;28,9;22,883333;19,9;83,041667;1,395833;
2023-03-14;8,8;953,679167;27,8;22,5875;20,7;86,083333;1,333333;
2023-03-15;3,6;952,870833;29,8;24,004167;20,5;78,916667;1,475;
2023-03-16;,6;951,8125;30,9;24,808333;20,7;74,833333;1,55;
2023-03-17;0;952,595833;28,3;23,35;19,5;77,833333;,779167;
2023-03-18;,2;952,808333;32,1;24,404167;18,1;70,416667;1,333333;
2023-03-19;0;952,641667;32,3;24,866667;19,5;71,541667;1,25;
2023-03-20;0;953,066667;32,6;24,208333;19;71,5;2,008333;
2023-03-21;8,4;953,679167;32;24,270833;18,5;72,208333;1,358333;
2023-03-22;0;954,691667;31,8;24,291667;20,1;74,458333;1,779167;
2023-03-23;,4;954,670833;32,7;25,0375;19,6;70,75;1,791667;
2023-03-24;0;953,816667;32,8;25,975;20,8;69,208333;1,120833;
2023-03-25;0;952,85;33,4;25,895833;19,6;68,458333;,9625;
2023-03-26;0;952,866667;34,2;25,991667;19,7;70,125;,820833;
2023-03-27;0;952,358333;34,3;24,841667;20;73,833333;1,491667;
2023-03-28;0;952,845833;33,6;24,454167;19,4;73,958333;1,845833;
2023-03-29;20;953,075;32,3;24,345833;19;76,416667;2,354167;
2023-03-30;44,4;954,075;31,5;24,7;19,6;77,375;1,445833;
2023-03-31;,2;952,566667;32,5;25,404167;19,7;74,291667;1,05;
2023-04-01;0;951,4375;32,5;24,8875;19,3;69,375;1,270833;
