Nome: JUTI
Codigo Estacao: A749
Latitude: -22.85722222
Longitude: -54.60555555
Altitude: 375.18
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;967,5;34,6;28,570833;21,3;70,958333;1,454167;
2023-01-02;0;967,004167;30,1;24,158333;23,4;85,875;1,8875;
2023-01-03;0;965,1625;29,1;24,066667;20,3;85,958333;1,941667;
2023-01-04;0;965,625;28,6;23,241667;20,4;86,291667;1,779167;
2023-01-05;0;968,733333;29,9;23,766667;18,7;66,291667;1,720833;
2023-01-06;0;970,583333;29,1;23,608333;18,5;68,291667;2,345833;
2023-01-07;0;971,6375;29,7;24,375;19,2;64,458333;3,058333;
2023-01-08;0;971,204167;30,6;24,841667;19,7;66;1,904167;
2023-01-09;0;969,1375;29,7;24,1;20,6;76,791667;1,479167;
2023-01-10;0;968,358333;31,2;25,0625;20,4;77,208333;1,4125;
2023-01-11;0;968,383333;31,6;24,35;20,1;80,916667;1,2;
2023-01-12;0;966,291667;32,1;25,6125;20;74,041667;1,758333;
2023-01-13;0;964,85;31,9;25,233333;21,7;78,125;2,629167;
2023-01-14;0;966,545833;29,2;24,2125;21;84,041667;1,733333;
2023-01-15;0;969,529167;30,5;24,766667;21;79,166667;,820833;
2023-01-16;0;969,154167;32,7;26,820833;20,8;72,666667;,404167;
2023-01-17;0;969,483333;32,6;27,170833;22,9;72,166667;1,595833;
2023-01-18;0;971,241667;31,3;24,529167;21,5;82,208333;1,304167;
2023-01-19;0;970,675;33,9;25,154167;20,2;79,666667;,983333;
2023-01-20;0;967,145833;34,2;27,170833;21,8;73,333333;1,504167;
2023-01-21;0;964,929167;34,4;26,725;22,2;74,25;2,104167;
2023-01-22;0;965,354167;30,9;23,920833;22,3;88,041667;1,454167;
2023-01-23;0;966,55;31,4;25,104167;20,1;81,666667;,9;
2023-01-24;0;965,783333;34,3;27,441667;21,7;74,333333;,891667;
2023-01-25;0;966,2;34,9;27,875;22,2;70,333333;,529167;
2023-01-26;0;966,033333;35;28,55;22,9;59,833333;1,275;
2023-01-27;0;966,183333;35,8;28,108333;20;57,208333;1,566667;
2023-01-28;0;967,75;35,1;28,641667;23,1;64,916667;1,816667;
2023-01-29;0;968,0875;33,5;27,583333;22,3;73,083333;1,45;
2023-01-30;0;966,054167;32;26,491667;22,8;73,916667;1,345833;
2023-01-31;,2;966,391667;26,5;23,583333;21,8;89,791667;1,420833;
2023-02-01;2,4;967,995833;30,1;24,254167;20,9;88,458333;1,441667;
2023-02-02;2;968,383333;32,3;24,391667;21,7;90,916667;1,45;
2023-02-03;1,4;968,2375;26,2;22,304167;21,3;94,5;1,3;
2023-02-04;2,4;969,816667;31,2;25,133333;21,2;79,125;1,270833;
2023-02-05;,2;969,933333;33,5;26,254167;19,7;66,625;,645833;
2023-02-06;0;968,666667;34;26,8125;20,3;67,375;,6625;
2023-02-07;,2;968,979167;33,7;26,570833;21,9;73,583333;,845833;
2023-02-08;0;968,183333;33,9;27,441667;21,7;69,791667;1,033333;
2023-02-09;0;968,170833;35,2;27,125;22,4;73;1,445833;
2023-02-10;,2;968,283333;31,3;25,4875;20,6;76,916667;1,475;
2023-02-11;,6;967,895833;31,1;25,141667;21,7;80,041667;,116667;
2023-02-12;,4;967,375;31,9;25,145833;21,8;83,416667;,345833;
2023-02-13;,8;967,329167;30,2;24,320833;21;84,833333;,679167;
2023-02-14;,2;966,620833;33,2;26,266667;22,2;80,25;1,766667;
2023-02-15;0;964,491667;30,4;25,5375;21,4;79;1,6375;
2023-02-16;0;961,629167;30,2;24,5625;21,3;87,083333;1,008333;
2023-02-17;,2;964,370833;27,1;21,579167;18,7;88,375;1,991667;
2023-02-18;0;972,033333;27,4;20,9125;14,5;59,041667;2,525;
2023-02-19;0;971,95;26,9;20,7875;15,5;71,458333;1,8625;
2023-02-20;0;970,575;24;21,245833;19,2;91,583333;1,9375;
2023-02-21;,2;969,916667;27,6;22,5375;19,8;89,958333;1,2625;
2023-02-22;0;970,895833;31,2;25,016667;21,2;82,958333;1,641667;
2023-02-23;0;971,070833;29,3;23,825;21,7;86,416667;1,4;
