Nome: BARUERI
Codigo Estacao: A755
Latitude: -23.52388888
Longitude: -46.86944443
Altitude: 776.5
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;21,8;927,529167;28,6;21,958333;17,2;82,75;1,191667;
2023-01-02;0;924,9875;30,9;23,7875;17,7;71,458333;1,283333;
2023-01-03;1,6;922,9875;28,2;22,795833;19,2;80,375;1,616667;
2023-01-04;5,2;922,775;25,7;20,633333;19,7;89,416667;1,4375;
2023-01-05;62,6;925,595833;18,5;16,920833;16,1;95,958333;1,704167;
2023-01-06;8;928,790909;19,2;16,768182;15,6;87,363636;1,827273;
2023-01-07;,8;930,5875;19,4;17,308333;16;83,791667;1,875;
2023-01-08;,2;929,575;23,6;19,120833;16,3;84,125;1,483333;
2023-01-09;,4;927,995652;22,3;19,26087;16,9;86,826087;1,369565;
2023-01-10;0;927,2;25,8;20,395833;18,6;88,541667;,925;
2023-01-11;13,2;926,495833;26,6;21,633333;18,7;85,666667;1,054167;
2023-01-12;14;924,65;28,1;21,566667;18,1;84,875;1,245833;
2023-01-13;1,6;923,975;28,8;23,033333;19,8;83,041667;1,3125;
2023-01-14;29,2;925,6;28;22,579167;18,7;81,583333;1,166667;
2023-01-15;1;927,06087;32,1;24,565217;20,6;78,869565;,230435;
2023-01-16;2,4;926,833333;33,1;23,575;20,4;83,791667;,283333;
2023-01-17;20;927,786957;32,9;23,852174;19,8;81,73913;,065217;
2023-01-18;,6;929,016667;32,3;23,245833;19;80,791667;,3875;
2023-01-19;,6;928,308333;30,7;22,470833;18,5;81,125;,125;
2023-01-20;,8;925,8;24;20,9625;19,2;87,833333;,008333;
2023-01-21;5,8;922,808696;28,5;22,186957;18;81;,273913;
2023-01-22;0;922,391667;29,5;23,516667;20,1;77,916667;,15;
2023-01-23;0;923,241667;29,3;22,758333;20,2;83,958333;,0125;
2023-01-24;3,6;923,030435;29,4;22,904348;19,2;82,652174;,126087;
2023-01-25;2,6;924,669565;29,3;23,03913;18;75,782609;,186957;
2023-01-26;0;925,4875;30,4;23,2125;18,7;58,5;,304167;
2023-01-27;0;926,334783;31,2;22,091304;15,9;72,217391;,134783;
2023-01-28;0;927,165217;30,7;23,13913;19;77,73913;,095652;
2023-01-29;35,6;926,083333;29,6;23,170833;19,7;80,916667;,241667;
2023-01-30;10;924,873913;27,1;22,234783;16,9;79;,321739;
2023-01-31;,2;925,341667;28,8;23,691667;20,4;77,166667;,108333;
2023-02-01;32;926,591667;27,7;22,729167;19,5;83,333333;,008333;
2023-02-02;41,8;926,621739;30,2;23,986957;20;78,391304;,113043;
2023-02-03;4,6;925,883333;28,9;22,783333;19,2;80,833333;,366667;
2023-02-04;8,8;926,095833;27,2;22,529167;19,5;80,416667;,7625;
2023-02-05;1,4;926,329167;28,3;23,325;20,9;82,25;,366667;
2023-02-06;7,6;926,281818;28,2;22,604545;18,8;83,681818;,1;
2023-02-07;0;926,9625;28,7;21,741667;18,8;86,375;,120833;
2023-02-08;26,8;926,569565;28,5;22,469565;18,9;79,304348;,1;
2023-02-09;0;926,854167;31,2;22,970833;17,1;76,25;,179167;
2023-02-10;0;926,6875;29,9;23,195833;18,5;77,833333;,1;
2023-02-11;1,4;926,968182;25;21,068182;19,1;90,318182;,009091;
2023-02-12;13,8;926,0875;28,7;22,054167;19,1;85,541667;,075;
2023-02-13;67;926,1;28,3;22,3;18,6;83,434783;,052174;
2023-02-14;1,4;925,265217;29,7;23,578261;19,4;79,826087;,343478;
2023-02-15;9,2;922,929167;30,7;23,345833;18,9;82,291667;,55;
2023-02-16;8,2;920,616667;29;23,654167;20,6;77,625;,279167;
2023-02-17;22,8;921,847826;28,6;23,486957;19,6;78,086957;,417391;
2023-02-18;9,6;926,379167;27,2;21,595833;20,1;89,833333;,470833;
2023-02-19;12,4;930,056522;19,4;18,1;17,2;95,73913;,23913;
