Nome: COSTA RICA
Codigo Estacao: A760
Latitude: -18.49277777
Longitude: -53.17138888
Altitude: 727.34
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;4,2;930,75;32,4;24,495833;20,2;79,416667;3,75;
2023-01-02;3,4;929,545833;29,3;23,4125;20,8;87,625;2,379167;
2023-01-03;91,4;928,954167;28,8;22,258333;18,3;86,625;3,895833;
2023-01-04;7,4;928,675;28,6;22,004167;20,3;92,583333;3,666667;
2023-01-05;32,8;929,045833;25,8;22,05;20;90,166667;2,775;
2023-01-06;,8;929,504167;27;22,054167;19,9;90,666667;3,416667;
2023-01-07;27;930,3625;28,8;22,366667;20,3;91,333333;2,9125;
2023-01-08;15,2;931,195833;28,4;21,729167;19,1;91;2,508333;
2023-01-09;14,4;930,304167;29,7;23,695833;20,3;82,75;3,208333;
2023-01-10;0;931,008333;28,7;22,666667;19,2;86,208333;3,45;
2023-01-11;22,4;931,533333;30,2;22,991667;19,6;85,583333;3,8875;
2023-01-12;13,4;929,895833;29,5;22,579167;19,1;86,208333;3,8125;
2023-01-13;,8;929,441667;27,4;21,2125;19,5;90,833333;3,970833;
2023-01-14;23;930,3625;26,3;21,858333;19,1;85,75;4,404167;
2023-01-15;0;932,104167;30,9;23,129167;18,4;81,916667;2,904167;
2023-01-16;,6;931,141667;30,9;23,083333;20,5;85,458333;2,758333;
2023-01-17;4,6;931,279167;31,8;22,7;18,6;82,083333;2,654167;
2023-01-18;,8;932,7375;31,7;23,158333;18,3;80,375;2,4875;
2023-01-19;,6;932,6125;31,6;23,425;19,6;80,416667;2,358333;
2023-01-20;,2;930,620833;31,5;24,716667;20,2;76,291667;3,120833;
2023-01-21;0;929,120833;30,3;24,033333;20,6;78,041667;3,558333;
2023-01-22;,4;928,875;31,2;23,054167;20,2;84,541667;3,170833;
2023-01-23;1,2;929,729167;30,1;22,295833;19,7;91,125;3,2375;
2023-01-24;17;929;28,9;22,8625;18,7;85,083333;3,325;
2023-01-25;0;928,625;31,8;23,454167;20;88;2,1375;
2023-01-26;1,6;927,595833;32,6;24,529167;19,1;82,875;2,375;
2023-01-27;5;928,345833;29,8;23,133333;20,7;86,916667;3,479167;
2023-01-28;11,4;930,716667;29,5;23,908333;20,1;77,791667;4,525;
2023-01-29;0;931,320833;29,8;23,154167;19,8;81,125;2,316667;
2023-01-30;13,8;930,1;29,4;22,9375;19,5;83,291667;3,591667;
2023-01-31;1,2;929,95;29,3;22,883333;19,8;84,666667;3,941667;
2023-02-01;5,4;931,041667;31;23,720833;19,4;81,958333;2,2875;
2023-02-02;1;931,075;32;24,579167;20,3;77,5;2,666667;
2023-02-03;19;931,6;30,1;23,395833;20,3;85;3,566667;
2023-02-04;17,2;932,7625;30,3;23,070833;19,6;86,833333;3,070833;
2023-02-05;3,6;932,8375;29,9;23,120833;20,4;88,833333;2,4;
2023-02-06;9,6;931,416667;30,6;23,6875;20;85,041667;2,9125;
2023-02-07;68,4;931,979167;29,8;22,833333;19,1;84,916667;2,65;
2023-02-08;2,6;930,65;31;24,25;20,8;83,875;2,691667;
2023-02-09;14,4;930,845833;31,5;24,6875;19,8;77,708333;2,229167;
2023-02-10;8,4;931,358333;27,2;22,0375;19,3;90,75;2,7875;
2023-02-11;13,2;930,404167;30,9;24,025;19,2;79,75;2,516667;
2023-02-12;5,8;930,15;30,3;22,825;19,9;87;3,229167;
2023-02-13;2,6;930,445833;32;22,9875;19,4;84,541667;3,495833;
2023-02-14;3,6;930,416667;32,2;22,795833;19,8;86,375;3,029167;
2023-02-15;,6;929,129167;32,3;23,65;19,7;82,041667;3,5125;
2023-02-16;,8;927,145833;30,5;22,925;19,9;86,333333;3,075;
2023-02-17;39,2;927,8875;28;21,795833;19,8;88,25;4,191667;
2023-02-18;3,2;931,095833;25,8;21,783333;19,1;87,416667;2,725;
2023-02-19;0;930,583333;29,2;22,725;19,9;84,875;2,783333;
2023-02-20;43,4;931,066667;28,7;22,204167;18,8;88,375;2,825;
2023-02-21;4;932,075;26,5;22,066667;18,7;87,375;2,945833;
2023-02-22;0;933,579167;31,1;22,808333;19,9;84,791667;3;
2023-02-23;4,6;934,008333;29,4;23,108333;19,5;85,541667;3,3;
2023-02-24;5,4;932,420833;30,9;22,766667;19,4;85,375;3,15;
2023-02-25;0;931,1125;31,2;23,704167;18,6;77,666667;3,179167;
2023-02-26;0;932,679167;31;23,529167;20,3;82,125;2,633333;
2023-02-27;,6;933,816667;33,9;25,075;19;75,583333;2,783333;
2023-02-28;0;933,525;34,7;26,55;21,6;70,25;2,2875;
2023-03-01;12,8;933,179167;30,8;22,9625;19;79,708333;2,629167;
2023-03-02;0;931,404167;32,4;23,720833;19,4;75,208333;3,120833;
2023-03-03;,4;931,0375;30,8;22,1125;19,4;88,416667;2,833333;
2023-03-04;20,8;931,745833;31,7;24,05;19,4;81,125;2,970833;
2023-03-05;0;930,745833;32,4;25,4125;20,4;75,333333;2,708333;
2023-03-06;15,8;928,745833;32;24,8;19,8;79,666667;3,3625;
2023-03-07;5,6;929,758333;26,9;22,608333;20,4;88,333333;3,125;
2023-03-08;1,2;930,529167;31,5;23,979167;19,6;82,125;3,15;
2023-03-09;0;931,654167;26,5;22,316667;21;89,708333;2,204167;
2023-03-10;3,2;931,491667;30,8;22,508333;20,4;89,541667;2,525;
2023-03-11;20,6;931,195833;26,1;21,658333;19,7;88,791667;3,016667;
2023-03-12;2,2;931,241667;28,6;22,095833;19,9;89,458333;2,854167;
2023-03-13;4,6;931,320833;30,2;23,391667;20,4;83,75;2,5375;
2023-03-14;24,6;931,6875;29,7;22,720833;18,9;85,833333;3,120833;
2023-03-15;,2;931,0625;29,3;23,125;20;86,25;3,095833;
2023-03-16;71;929,975;28,8;23,029167;19,1;86,083333;2,833333;
2023-03-17;34,2;930,4;28,8;21,741667;19,2;92,916667;2,916667;
2023-03-18;16,4;931,345833;28,7;21,945833;20;90,125;2,979167;
2023-03-19;13,8;931;28,5;22,770833;19,7;82,083333;4,1;
2023-03-20;2,8;931,183333;30,1;22,754167;19;81,791667;3,8875;
2023-03-21;,8;931,8;30,2;23,25;19,6;78,458333;4;
2023-03-22;0;932,795833;32,3;23,845833;19,8;79;3,320833;
2023-03-23;3,6;933,183333;32,7;25,1875;20,4;73,166667;3,158333;
2023-03-24;0;933,295833;32,4;24,0375;19;76,375;2,225;
2023-03-25;0;932,275;33,9;25,220833;20;72,458333;2,445833;
2023-03-26;0;932,941667;34,8;25,733333;19;66,875;1,966667;
2023-03-27;0;932,0625;34,5;26,383333;19,7;63,75;2,433333;
2023-03-28;0;931,375;34,4;26,454167;19,4;63,875;2,3375;
2023-03-29;0;931,729167;33,4;24,9625;20,3;71,166667;2,854167;
2023-03-30;,2;933,170833;34;23,9875;20,3;76,208333;2,245833;
2023-03-31;8,6;933,245833;32;22,291667;19,4;86,916667;2,35;
2023-04-01;19,8;932,033333;31,3;23,033333;19,5;81,208333;2,766667;
2023-04-02;0;930,983333;33,3;24,5125;17,3;66,041667;2,4875;
2023-04-03;0;931,0875;31,9;23,658333;16,8;69,958333;2,8375;
2023-04-04;21,8;930,379167;31,1;23,65;19,4;78,958333;3,091667;
2023-04-05;0;930,029167;30,6;23,383333;18,4;77,125;2,879167;
2023-04-06;,6;930,141667;30,8;22,241667;18,9;82,875;2,841667;
2023-04-07;9,8;931,066667;27,7;22,320833;19,4;87,875;1,595833;
2023-04-08;,4;932,633333;25,8;21,720833;20,4;92,166667;1,954167;
2023-04-09;2,6;933,208333;30,1;23,2;19,5;83,5;2,433333;
2023-04-10;4,6;933,558333;28,9;22,133333;19,6;88,833333;2,083333;
2023-04-11;8;932,033333;30;23,325;19,1;83,208333;2,666667;
2023-04-12;0;930,725;31,1;23,858333;19,2;78;2,795833;
2023-04-13;0;929,516667;32;24,529167;19,7;77,75;3,116667;
2023-04-14;,2;930,629167;27;21,858333;20,6;88,25;2,5875;
2023-04-15;11,8;931,975;30,8;23,695833;18,7;79,041667;2,329167;
2023-04-16;0;931,3;31,4;24,7375;20,8;77,833333;2,866667;
2023-04-17;9,4;928,104167;31,6;24,116667;20,2;78,583333;3,091667;
2023-04-18;0;926,345833;29;23,433333;19,9;85,625;4,004167;
2023-04-19;36,4;929,8625;22,6;20,95;20,1;97,833333;2,408333;
2023-04-20;3,6;933,716667;25,4;19,179167;12,5;68,833333;2,504167;
2023-04-21;0;932,020833;27,4;19,883333;14,1;65,958333;3,35;
2023-04-22;0;931,7875;30,8;22,333333;16,6;67,708333;3,479167;
2023-04-23;0;932,670833;29,7;21,783333;18,4;84,5;3,420833;
2023-04-24;21,2;933,141667;29,5;23,266667;19;79,25;3,658333;
2023-04-25;0;933,5625;29,9;22,370833;19,2;83,333333;3,266667;
2023-04-26;2,6;933,291667;29,2;21,816667;19;86,5;2,770833;
2023-04-27;33,2;932,404167;28,5;22,316667;18,1;86;3,254167;
2023-04-28;0;932,875;28,9;22,641667;17,4;82,458333;2,4;
2023-04-29;0;933,145833;30,9;23,341667;17,1;73,458333;2,408333;
2023-04-30;0;932,8;31,7;23,6875;17,4;71,125;2,775;
2023-05-01;0;933,058333;31,4;23,845833;17,5;67,375;3,166667;
2023-05-02;0;932,133333;30,8;23,783333;17,5;59,208333;2,883333;
2023-05-03;0;932,3625;30,2;23,154167;18,1;65,625;2,629167;
2023-05-04;0;933,0125;30,2;23,491667;18,2;61,75;2,920833;
2023-05-05;0;934,0625;31,3;23,654167;16,8;64,25;3,125;
2023-05-06;0;934,079167;31,5;23,9125;18,1;66,708333;2,891667;
2023-05-07;0;932,645833;31,5;24,225;18,4;61,5;3,3;
2023-05-08;0;933,9375;30,6;23,633333;17,5;65,625;3,133333;
2023-05-09;0;934,575;28,4;22,679167;18,1;71,25;2,545833;
2023-05-10;0;933,7625;29;23,041667;17,9;72,708333;2,370833;
2023-05-11;0;932,770833;29,4;23,125;19;74,166667;2,7;
2023-05-12;0;933,95;27,3;20,495833;13,9;57,708333;2,520833;
2023-05-13;0;934,641667;28,3;19,65;11,6;49,791667;2,358333;
2023-05-14;0;935,870833;29;20,145833;12,1;58,708333;2,758333;
2023-05-15;0;936,345833;27,7;19,9125;12,2;58,791667;2,8375;
