Nome: REGISTRO
Codigo Estacao: A766
Latitude: -24.53305554
Longitude: -47.86416666
Altitude: 35
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1010,616667;31,4;24,858333;19,8;85,277778;null;
2023-01-02;0;1007,191304;33,4;25,591304;20,6;85,625;null;
2023-01-03;6;1003,3625;32,7;25,758333;21,1;84,6;null;
2023-01-04;28,6;1006,021739;26,2;21,578261;21,2;100;null;
2023-01-05;15,4;1010,295833;23,8;20,620833;18,6;99,692308;null;
2023-01-06;2,4;1013,782609;24,9;20,886957;18,3;96,8125;null;
2023-01-07;2,8;1015,416667;27,6;21,9125;17,5;76,384615;null;
2023-01-08;1,2;1014,354167;26,4;21,7125;18,5;96,722222;null;
2023-01-09;6,2;1012,531818;25,7;21,468182;19,4;98,307692;null;
2023-01-10;1;1010,7;25,8;22,452174;19,7;100;null;
2023-01-11;1,2;1008,534783;31,6;24,36087;21,8;null;null;
2023-01-12;null;1005,940909;32,6;24,977273;20,6;88,846154;null;
2023-01-13;,4;1004,308696;33,3;26,391304;21,5;84,214286;null;
2023-01-14;3,2;1005,679167;34,2;27,729167;22,7;84,636364;null;
2023-01-15;0;1008,316667;33,5;26,816667;23,1;94,470588;null;
2023-01-16;0;1009,134783;31;26,952174;24,5;95,142857;null;
2023-01-17;0;1010,383333;33,4;27,35;24;90,263158;null;
2023-01-18;,2;1012,054545;32,1;26,790909;23,4;86,3125;null;
2023-01-19;0;1011,347826;31,9;26,313043;22,5;88,173913;null;
2023-01-20;0;1008,375;30,7;24,516667;22,5;96,352941;null;
2023-01-21;0;1004,672727;33,3;25,804545;20,5;77,846154;null;
2023-01-22;0;1002,933333;36,3;26,233333;21;81,4375;null;
2023-01-23;0;1004,8125;33,4;25,733333;22,8;89,666667;null;
2023-01-24;17,6;1005,683333;32,9;25,879167;21,4;83;null;
2023-01-25;0;1007,282609;34,3;26,769565;21,2;78,866667;null;
2023-01-26;0;1008,504167;33;26,270833;20,7;75,210526;null;
2023-01-27;0;1009,820833;30,2;24,045833;18;87,473684;null;
2023-01-28;0;1009,556522;33,3;25,886957;20,3;85,529412;null;
2023-01-29;0;1006,965217;37,5;27,7;21,2;79,176471;null;
2023-01-30;13,6;1006,483333;30,1;24,733333;21,2;91,625;null;
2023-01-31;2;1006,43913;32,2;25,126087;22,4;null;null;
2023-02-01;6,4;1007,5125;33,2;25,791667;22,6;91,230769;1,291667;
2023-02-02;24,4;1007,686957;34,7;26,3;23,4;90,142857;1,682609;
2023-02-03;9,6;1005,608333;33,7;27,2;22,8;76,333333;2,4875;
2023-02-04;,2;1005,983333;33,7;27,279167;22,6;84,375;2,633333;
2023-02-05;,2;1007,283333;32,5;25,641667;22,6;94,15;1,2875;
2023-02-06;23,2;1007,658333;33;25,8625;22,4;85,916667;1,5625;
2023-02-07;4,8;1009,882609;29,7;24,865217;22,9;null;1,821739;
2023-02-08;6,4;1009,6;31,9;25,120833;20;79,642857;2,05;
2023-02-09;0;1009,573913;32,6;25,182609;19,4;81,866667;1,952174;
2023-02-10;0;1009,073913;33;26,021739;20,8;86,5;2,226087;
2023-02-11;,2;1009,259091;29,6;25,263636;22,9;97,333333;1,231818;
2023-02-12;1,2;1008,147826;32,6;25,795652;22,1;89,142857;1,730435;
2023-02-13;0;1007,718182;34,8;25,645455;22,2;null;1,463636;
2023-02-14;3,4;1005,8;35,6;26,247826;21,9;86;1,469565;
2023-02-15;5,2;1002,313043;36,4;27,869565;22,6;81,117647;2,621739;
2023-02-16;,4;1000,345833;36,7;27,295833;23;78,411765;2,1125;
2023-02-17;2,8;1001,345833;33,5;25,9625;21,8;89,466667;2,2125;
2023-02-18;8,4;1010,369565;26,3;22,804348;23;null;2,3;
2023-02-19;19,8;1015,8;23;20,266667;19,2;100;2,508333;
2023-02-20;1,8;1011,573913;28,5;22,652174;19,6;null;1,491304;
2023-02-21;3,4;1009,895833;31,3;24,7875;21,7;92,384615;1,65;
2023-02-22;,8;1013,208696;28,9;24,321739;21,4;98,5625;2,165217;
2023-02-23;0;1013,325;27,6;24,116667;22,4;null;1,208333;
2023-02-24;2,6;1008,5375;34,8;25,520833;21,8;null;1,720833;
2023-02-25;20,8;1006,25;35,8;27,004167;22;68,916667;2,070833;
2023-02-26;0;1008,5625;35,5;27,425;21,5;78,4375;1,566667;
2023-02-27;6,2;1014,479167;30,8;25,2375;22,6;90,428571;1,854167;
2023-02-28;0;1015,554167;24,4;23,054167;21,9;null;1,4625;
2023-03-01;16,2;1012,583333;30,3;23,991667;20,4;null;1,495833;
2023-03-02;2,6;1009,95;32,7;25,0125;20,5;84,5;1,733333;
2023-03-03;,2;1008,954167;33,1;26,258333;22,6;88,230769;1,866667;
2023-03-04;2,6;1008,458333;32,3;25,841667;23,1;90,75;1,758333;
2023-03-05;30,2;1006,058333;34,3;24,816667;20,6;84,166667;2,4375;
2023-03-06;6,4;1005,204348;31,1;24,086957;20,8;89,923077;1,769565;
2023-03-07;,4;1006,45;34,9;26,55;21;73;1,591667;
2023-03-08;0;1007,925;36,6;27,466667;20,8;78,4;1,670833;
