Nome: CACHOEIRA PAULISTA
Codigo Estacao: A769
Latitude: -22.68888888
Longitude: -45.00555555
Altitude: 586
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;2,6;948,716667;29,6;23,15;18,1;80,875;,7;
2023-01-02;,2;946,491667;31,3;23,9;17,9;73,5;,916667;
2023-01-03;0;944,56087;29,9;23,704348;19,3;75,130435;1,569565;
2023-01-04;0;943,529167;29,8;24,070833;21,2;80,333333;,870833;
2023-01-05;13,4;946,117391;23,6;19,686957;18,4;99,391304;1,347826;
2023-01-06;11,8;949,852174;21,8;18,608696;17,8;99,217391;1,391304;
2023-01-07;9;951,856522;22,4;18,369565;16,1;95,782609;,321739;
2023-01-08;2;950,9;23,9;19,65;17,3;94,416667;,291667;
2023-01-09;6,6;949,216667;23,2;20,345833;18,9;99,375;,329167;
2023-01-10;9,8;948,265217;28,9;23,065217;19,5;83,826087;,5;
2023-01-11;,2;947,945833;28,6;23,0625;20,1;88,958333;,7;
2023-01-12;3,4;945,808696;29,5;23,652174;20;83,409091;1,078261;
2023-01-13;8,8;945,572727;31,7;24,513636;20;78,545455;1,236364;
2023-01-14;,6;946,616667;32,5;25,420833;19,5;74,708333;1,804167;
2023-01-15;0;948,054167;34,5;25,804167;19,9;76,541667;,916667;
2023-01-16;4,8;947,547826;33;25,365217;20,1;80,565217;1,030435;
2023-01-17;0;948,491667;32,6;25,833333;20,6;74,166667;,608333;
2023-01-18;0;949,875;32,4;24,2;20,8;81,125;,966667;
2023-01-19;0;949,5;30,7;22,3875;19;88,416667;,795833;
2023-01-20;50,4;947,3625;25,2;21,345833;18,6;93,75;,416667;
