Nome: URUGUAIANA
Codigo Estacao: A809
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.29
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;999,375;39,5;28,441667;22,5;51,208333;4,383333;
2023-01-02;8,8;999,858333;31,5;25,4375;21,8;65,166667;2,891667;
2023-01-03;0;1000,316667;32,5;25,545833;18;36,833333;2,454167;
2023-01-04;0;1001,382609;34,6;26,882609;19,2;40,086957;2,426087;
2023-01-05;0;1002,6375;36,7;28,170833;20;40,916667;3,179167;
2023-01-06;0;1005,330435;37,4;29,569565;21,3;35,478261;3,865217;
2023-01-07;0;1007,729167;36,1;28,033333;19,7;40,083333;4,620833;
2023-01-08;0;1006,916667;35,6;27,845833;19,6;42,833333;3,9125;
2023-01-09;0;1003,245833;36;28,625;21,1;42,041667;3,466667;
2023-01-10;0;1000,825;37,8;29,541667;21,9;39,416667;2,9125;
2023-01-11;0;1000,175;38,3;27,929167;21;52,833333;3,458333;
2023-01-12;2,2;998,530435;35,5;27,26087;21,3;60,521739;1,756522;
2023-01-13;0;998,778261;26,7;23,395652;21,7;71,391304;2,26087;
2023-01-14;0;1001,8;32,7;24,358333;14,6;50,125;1,820833;
2023-01-15;0;1003,720833;35,5;26,883333;17,4;41,875;2,333333;
2023-01-16;0;1003,170833;36,9;29,1375;21,5;45,666667;3,525;
2023-01-17;0;1003,1375;38,6;31,441667;24,7;40,458333;4,616667;
2023-01-18;0;1005,082609;38,7;30,521739;23,5;48,043478;3,956522;
2023-01-19;0;1004,226087;38,5;30,465217;23,8;54,478261;4,152174;
2023-01-20;0;999,008696;40,1;31,03913;24,1;52,130435;3,530435;
