Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.89055555
Longitude: -54.47999999
Altitude: 272.84
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;978,604348;36,5;29,147826;22,3;44,73913;2,004348;
2023-01-02;7,8;977,545833;29,4;24,891667;21,1;79,333333;2,025;
2023-01-03;,4;977,0625;30,8;24,604167;19,1;63,083333;1,791667;
2023-01-04;,4;979,183333;33,1;24,391667;15,7;54,583333;1,483333;
2023-01-05;0;980,983333;34,2;25,833333;18,1;44,583333;1,533333;
2023-01-06;0;983,625;34;26,141667;17,1;39,625;2,225;
2023-01-07;0;985,579167;33,5;25,883333;17,8;42,791667;2,6625;
2023-01-08;0;984,570833;33,2;25,458333;17,3;47,75;1,933333;
2023-01-09;,2;981,321739;34,2;26,582609;18,3;47;1,834783;
2023-01-10;0;980,179167;33,3;24;17,9;65,416667;2,020833;
2023-01-11;0;979,495833;35,3;25,1375;15,9;58,75;1,1625;
2023-01-12;1;977,173913;32,1;22,904348;18,3;75,217391;1,804348;
2023-01-13;40,2;976,595833;25,4;21,395833;19;86,833333;1,870833;
2023-01-14;,4;978,8625;28,3;21,945833;16,7;78,666667;1,245833;
2023-01-15;2,6;980,645833;32,6;25,791667;19,1;66,541667;1;
2023-01-16;2;980,934783;34,4;27,034783;20,6;67,043478;1,521739;
2023-01-17;,2;981,4;36,3;28,2;22,4;62,708333;1,933333;
2023-01-18;0;983,5;35,2;27,429167;19,8;63,166667;1,4125;
2023-01-19;0;982,7125;35,8;28,054167;19,9;58,541667;1,9125;
2023-01-20;0;978,491304;34,9;28,108696;21,4;55,652174;1,795652;
2023-01-21;0;975,35;35,5;26,545833;22,7;66,333333;2,433333;
2023-01-22;2,8;975,4;33;25,979167;19,8;71,375;1,383333;
2023-01-23;0;977,1375;35,6;27,975;20,3;60,25;1,258333;
2023-01-24;0;976,8125;36,8;28,220833;20,1;52,625;1,4625;
2023-01-25;,6;977,791667;37,4;26,875;20,2;64,541667;1,7125;
2023-01-26;12;977,954167;36,1;25,854167;20,1;68,708333;1,554167;
2023-01-27;5,8;978,595652;36,2;27,256522;20,3;66,434783;1,417391;
2023-01-28;1,8;979,845833;36,7;27,941667;20,8;60,458333;1,479167;
2023-01-29;,8;979,729167;35,3;26,833333;21,7;70,541667;1,783333;
2023-01-30;,2;977,1;33;25,579167;20;72,041667;1,575;
2023-01-31;,2;977,208333;33,3;26,5875;21,3;66,875;1,3;
2023-02-01;1,6;978,9125;35,6;28,4125;23;61,375;1,379167;
2023-02-02;0;978,6875;34,8;26,825;23,2;66,375;1,270833;
2023-02-03;1,4;977,5625;27,6;23,966667;21,4;82,75;1,341667;
2023-02-04;5,8;980,545833;30,7;23,875;18,6;71,125;1,891667;
2023-02-05;1;981,816667;31,2;22,816667;14;57,5;1,408333;
2023-02-06;,4;980,3125;34,2;25,104167;15,6;46,625;1,629167;
2023-02-07;0;980,356522;36,4;26,721739;15,7;46,652174;1,430435;
2023-02-08;,2;979,4875;36,6;27,691667;17,7;48,5;1,666667;
2023-02-09;0;980,241667;34,4;26,441667;21,4;57,875;2,345833;
2023-02-10;3,6;979,722727;34,8;27,259091;22,4;57,409091;1,586364;
2023-02-11;0;980,220833;36,4;27,416667;19,7;53,916667;1,579167;
2023-02-12;0;978,713043;37,2;28,065217;20,2;44,304348;1,695652;
2023-02-13;1;976,883333;36,6;27,954167;19,8;54,541667;1,641667;
2023-02-14;,4;976,7;31,6;25,983333;23,5;74,125;2,191667;
2023-02-15;25,2;975,533333;29,2;24,158333;21,2;79,541667;1,4125;
2023-02-16;,6;971,754167;33,2;24,808333;17,7;70,916667;1,6375;
2023-02-17;1,2;976,343478;26,8;19,66087;18,6;77,130435;2,813043;
2023-02-18;,4;988,1875;23,9;15,2125;7,5;53,5;2,075;
2023-02-19;0;986,666667;29,6;19,754167;12,4;58,583333;2,054167;
2023-02-20;1,6;983,675;25,6;21,966667;16,7;72,375;1,95;
2023-02-21;0;982,765217;31,6;22,8;15;68,347826;1,321739;
2023-02-22;0;983,083333;33,4;25,3125;18,1;59,375;1,658333;
2023-02-23;1,2;982,2875;31,1;24,420833;21,7;71,416667;1,795833;
2023-02-24;,4;979,808333;29,3;23,4625;20,1;80,5;1,183333;
2023-02-25;1,8;977,6375;31,6;24,475;20,8;78,083333;2,004167;
2023-02-26;0;981,770833;27,4;22,708333;17,4;81,291667;1,5875;
2023-02-27;,2;986,2875;33;24,366667;17,5;68,25;1,366667;
2023-02-28;0;985,4;32,8;24,6875;17,7;65,666667;1,458333;
2023-03-01;,2;981,925;32,2;25,554167;19,7;65,75;1,666667;
2023-03-02;0;980,104167;30,6;24,458333;21;74,875;1,545833;
2023-03-03;0;979,0625;24,3;22,429167;21,1;89,958333;1,75;
2023-03-04;0;978,873913;26;22,691304;21,2;89,565217;1,221739;
2023-03-05;0;980,625;30;23,570833;19;78,666667;1,579167;
2023-03-06;0;979,0375;30,2;23,408333;16,6;74,333333;1,870833;
2023-03-07;0;977,079167;31,9;24,670833;17,7;73,583333;1,395833;
2023-03-08;0;978,908696;32,5;24,756522;17,7;71,173913;1,243478;
2023-03-09;,2;981,766667;32,3;25,591667;19,7;73,416667;1,325;
2023-03-10;0;981,920833;33,4;26,016667;19,2;70,75;1,166667;
2023-03-11;0;981,33913;34;26,534783;18,8;67,086957;1,404348;
2023-03-12;0;982,058333;32,5;26,475;21;65,291667;2,120833;
2023-03-13;,8;982,029167;32,5;25,8125;19,9;67,708333;1,8875;
2023-03-14;1,4;981,978261;29,3;24,66087;22,6;78,565217;1,695652;
2023-03-15;,2;981,734783;29,4;24,808696;22,2;81,869565;1,73913;
2023-03-16;0;981,1625;32,1;25,895833;22,2;76,375;1,675;
2023-03-17;,8;981,795652;32,9;26,369565;20,8;72,521739;1,3;
2023-03-18;2;982,425;34,8;26,291667;21,4;71,041667;1,5;
2023-03-19;,2;981,654167;34,6;26,191667;19,1;67,041667;1,379167;
2023-03-20;0;982,058333;34,2;26,033333;19,8;68,333333;1,258333;
2023-03-21;5,8;982,95;35,1;26,579167;19,9;65,041667;1,408333;
2023-03-22;0;983,8875;36;27,0625;21,3;65,708333;1,9125;
2023-03-23;0;983,952174;34,8;26,386957;20,3;68,782609;1,595652;
2023-03-24;4,4;983,591667;34;25,658333;21,5;73,833333;1,1375;
2023-03-25;2,8;981,491667;32,3;24,3125;21,2;80,791667;1,491667;
2023-03-26;8,2;984,291304;27,9;22,591304;18,4;77,347826;1,947826;
2023-03-27;0;984,93913;29,8;22,134783;16,3;61;1,913043;
2023-03-28;0;981,066667;31,4;22,783333;14,2;64,625;1,504167;
2023-03-29;0;979,743478;35,3;26,934783;20,3;61,73913;1,726087;
2023-03-30;44,8;983,2375;28,4;21,708333;18,8;82,458333;2,45;
2023-03-31;,2;983,9875;31,3;23,004167;16,4;78,291667;1,3625;
2023-04-01;0;985,583333;25,8;20,95;15,5;58,875;2,416667;
2023-04-02;0;983,966667;30,3;19,525;10,3;51,5;1,654167;
2023-04-03;0;981,354167;31;20,9875;11,4;61,125;1,570833;
2023-04-04;0;981,456522;30,7;21,026087;12,9;63,304348;1,56087;
2023-04-05;0;982,570833;26,5;22,004167;19;71,75;2,091667;
2023-04-06;8;983,645833;21,6;19,845833;18,1;88,708333;1,566667;
2023-04-07;6,6;983,233333;26,2;20,504167;16,8;80,875;1,716667;
2023-04-08;0;984,2625;27,8;20,8375;15,4;77,583333;1,2;
2023-04-09;,8;984,769565;29,1;22,5;17;74,913043;1,495652;
2023-04-10;0;985,770833;30,2;22,333333;15;75;1,275;
2023-04-11;0;982,891667;31,7;23,133333;15,1;69,666667;1,433333;
2023-04-12;0;980,3875;31,8;23,445833;15,7;69,875;1,3;
2023-04-13;9,6;979,533333;24;20,220833;18,1;88,416667;1,5625;
2023-04-14;,2;981,6;26,9;20,745833;18;75,041667;2,608333;
2023-04-15;0;983,020833;28,4;20,820833;15,1;74,708333;1,5625;
2023-04-16;,6;981,191667;27,3;21,816667;18,2;81,833333;1,466667;
2023-04-17;15,6;976,733333;26,3;21,541667;19,3;81,666667;1,483333;
2023-04-18;0;975,358333;23,9;17,575;12,4;70,5;1,570833;
2023-04-19;0;978,575;22,5;15,308333;8,2;66,958333;2,1;
2023-04-20;0;986,0375;22,7;14,120833;5,8;67,541667;1,4875;
2023-04-21;,2;985,673913;25,6;16,617391;8,9;59,608696;1,765217;
2023-04-22;0;986,854167;27,2;17,391667;8,9;65,458333;1,066667;
2023-04-23;0;986,53913;28,3;19,3;12,3;64,434783;1,5;
2023-04-24;0;985,817391;28,7;20,456522;13,6;64,652174;1,395652;
2023-04-25;8,2;984,295833;23,5;19,404167;18,1;86,333333;1,720833;
2023-04-26;10,4;983,129167;23,8;18,475;14,8;84,541667;1,441667;
2023-04-27;0;984,1125;25;17,4125;11,3;78,458333;,920833;
2023-04-28;,2;984,656522;26,9;18,691304;11,8;71,26087;1,252174;
2023-04-29;0;983,729167;27,5;19,533333;11,6;71,208333;1,795833;
2023-04-30;0;982,7375;29,5;21,216667;14,4;72,166667;1,741667;
2023-05-01;,6;982,741667;29,6;22,575;17,7;73,791667;1,645833;
2023-05-02;10,8;981,708696;24,7;20,747826;19,2;90,608696;1,186957;
2023-05-03;28;981,891667;21,3;19,304167;18,7;93,833333;1,775;
2023-05-04;4,4;984,2;19,8;18,441667;17,3;93,458333;,8875;
2023-05-05;4,6;984,720833;21,5;19,895833;17,9;94,041667;1,3125;
2023-05-06;19;984,595833;24,3;21,466667;19,4;93,833333;,904167;
2023-05-07;,6;982,466667;23,4;20,379167;19,5;95,166667;1,270833;
2023-05-08;2,4;986,929167;20,7;16,816667;15;83,916667;1,733333;
2023-05-09;1,2;988,556522;23,5;15,295652;8,2;77,826087;1,091304;
2023-05-10;0;988,045833;22,5;14,841667;7,3;76,458333;1,291667;
2023-05-11;,2;987,533333;20,5;13,6;7,4;74,833333;1,425;
2023-05-12;0;988,554167;21,7;14,05;7,8;67,708333;1,625;
2023-05-13;0;987,85;22,5;13,575;6,3;74,708333;,966667;
2023-05-14;0;988,7375;25,1;13,875;5,7;71,125;1,104167;
2023-05-15;0;989,204167;26,6;15,358333;6,7;71,166667;1,004167;
2023-05-16;0;987,820833;26,8;15,8;7,7;69,583333;1,029167;
2023-05-17;,8;985,416667;26,6;16,716667;8,5;68,75;1,291667;
2023-05-18;0;987,204167;26,1;17,083333;10;72,916667;1,3125;
2023-05-19;0;985,958333;25,5;16,45;8,7;75,416667;1,2375;
2023-05-20;,4;985,608333;23,3;16,2625;9,3;80,75;1,045833;
2023-05-21;1;983,279167;18,4;16,1625;14,8;89,5;null;
2023-05-22;3,8;983,070833;25;18,758333;14,9;80,25;null;
2023-05-23;0;985,5875;28,4;20,525;14,9;75,291667;null;
2023-05-24;,2;984,625;28,5;21,4125;15,8;71,416667;null;
2023-05-25;1,2;984,520833;28,1;20,245833;14;69,333333;null;
2023-05-26;0;981,441667;28,9;22,279167;17,5;63,25;null;
2023-05-27;37;984,545833;24,1;19,308333;17,7;88,458333;null;
2023-05-28;2,2;988,979167;20,4;16,55;14,5;79,625;null;
2023-05-29;0;988,475;21,9;14,554167;9,7;82,541667;null;
2023-05-30;0;987,96087;25,4;16,373913;10,8;79,086957;null;
2023-05-31;,2;988,2875;23,7;16,541667;11,3;83,791667;null;
2023-06-01;,2;989,254167;24,7;17,083333;11,1;80,625;null;
2023-06-02;,2;986,441667;24,8;17,204167;10,9;78,333333;null;
2023-06-03;0;985,375;25,6;17,7375;11,8;77,541667;null;
2023-06-04;,2;987,458333;26,4;18,95;13;78,75;null;
2023-06-05;0;989,1;26,4;19,320833;13,2;76;null;
2023-06-06;0;987,033333;25,6;19,266667;14,3;75,708333;null;
2023-06-07;0;987,433333;25,6;19,208333;13,2;75,666667;null;
2023-06-08;0;986,3875;26,6;19,104167;12,9;75;null;
2023-06-09;,2;982,726087;27,8;19,986957;13,7;67,478261;null;
2023-06-10;0;980,9125;25,1;20,045833;15,3;72,916667;null;
2023-06-11;36,2;984,295833;22,6;13,316667;10,2;83,5;null;
2023-06-12;,2;991,383333;14,3;8,283333;3,8;67,583333;null;
2023-06-13;0;994,6125;11,2;8,1375;5,4;69,25;null;
2023-06-14;0;990,9625;12,6;11,1875;6,8;87,833333;null;
2023-06-15;16,2;986,034783;17,1;13,508696;10,4;92,478261;null;
2023-06-16;6;988,8;16,6;13,5375;12,4;90,208333;null;
2023-06-17;0;992,791304;17,3;12,069565;10;84,086957;null;
2023-06-18;,2;992,434783;17,7;9,365217;2,6;79,478261;null;
2023-06-19;,2;989,565217;20,6;11,16087;4,5;78,913043;null;
2023-06-20;0;988,265217;22,5;14,591304;9,7;77,956522;null;
2023-06-21;0;984,0125;17;15,329167;13,4;88,041667;null;
2023-06-22;12,8;982,995833;21,5;17,308333;14,7;91,25;null;
2023-06-23;23,8;981,381818;20,8;18,531818;15,9;92,227273;null;
2023-06-24;null;981,752174;27,6;20,469565;15,7;76,304348;null;
2023-06-25;0;984,045833;27,6;21,6;16,4;71,125;null;
2023-06-26;,2;984,570833;27,6;21,35;17;71,625;null;
2023-06-27;0;984,033333;26,5;19,820833;15,2;72,083333;null;
2023-06-28;0;986,895455;22,5;16,468182;12,3;84,227273;null;
2023-06-29;2,2;991,7125;17,8;13,783333;10,2;85,875;null;
2023-06-30;,4;989,954167;21,4;15,883333;11,4;87,916667;null;
2023-07-01;3,2;989,058333;24,3;18,170833;14,9;90,333333;null;
2023-07-02;,2;986,554167;23,7;17,325;11,9;88,958333;null;
2023-07-03;,4;987,008333;24,8;17,841667;10,6;82,833333;null;
2023-07-04;0;986,791667;24,2;17,6125;12,6;79,541667;null;
2023-07-05;,2;985,966667;25;17,5875;11,3;76,166667;null;
2023-07-06;0;982,5625;25,7;18,929167;13,1;73,458333;null;
2023-07-07;,6;980,329167;21,8;18,0375;15,7;83,5;null;
2023-07-08;31,6;979,666667;24,2;18,283333;15;85,125;null;
2023-07-09;0;982,033333;24;17,779167;13,2;86,958333;null;
2023-07-10;0;981,347826;21,7;19,652174;15,6;92,478261;null;
2023-07-11;4,6;980,570833;19,9;17,829167;15,7;91,083333;null;
2023-07-12;38,8;973,2625;19,9;17,383333;16,1;94,083333;null;
2023-07-13;40,8;982,208333;14,2;10,5375;9,7;90,875;null;
2023-07-14;3;991,054167;11,1;7,6625;3,4;86,041667;null;
2023-07-15;,2;987,466667;17,3;9,1625;2,3;85,083333;null;
2023-07-16;0;986,913043;18,4;11,721739;6,1;83,130435;null;
2023-07-17;0;989,795833;14,2;10,1375;6,1;76,416667;null;
2023-07-18;0;993,556522;15,9;8,591304;3,2;74,086957;null;
2023-07-19;0;994,333333;21,6;12,741667;6,3;75,625;null;
2023-07-20;0;991,130435;23,9;17,726087;10,2;75,043478;null;
2023-07-21;,6;987,554167;28,3;21,120833;15,8;71,791667;null;
2023-07-22;0;984,2125;29,2;23,3375;18,8;63,375;null;
2023-07-23;0;986,691667;28,8;22,2375;16,9;65,708333;null;
2023-07-24;0;987,245833;29;21,595833;15,2;68,375;null;
2023-07-25;0;983,970833;24,8;19,491667;14,6;78,291667;null;
2023-07-26;0;984,133333;21,4;17,979167;16,8;84,583333;null;
2023-07-27;0;988,991667;20,2;14,029167;8,3;82,25;null;
2023-07-28;1;990,825;20,5;15,508333;10,6;76,541667;null;
2023-07-29;,2;992,325;20;12,2375;6,4;71,791667;null;
2023-07-30;0;989,404167;24,3;14,433333;5,3;78,25;null;
2023-07-31;0;989,804167;26,1;18,558333;12,4;80,375;null;
2023-08-01;0;988,116667;27,6;19,575;11,6;77,166667;null;
2023-08-02;,2;986,366667;29;20,666667;14,3;75,208333;null;
2023-08-03;0;986,673913;29,5;20,5;13,3;71,565217;null;
2023-08-04;0;985,279167;30,4;20,820833;13,2;69,125;null;
2023-08-05;0;985,879167;29,8;21,104167;13,2;69,958333;null;
2023-08-06;0;982,925;30,3;21,8125;14,8;63,458333;null;
2023-08-07;3,4;985,729167;22;19,279167;17,8;79,791667;null;
2023-08-08;4,6;989,7875;23,3;16,9875;12,4;77,916667;null;
2023-08-09;39,6;985,7;20,5;16,866667;14,5;90,25;null;
2023-08-10;2,6;980,608333;26,6;19,8625;14,4;83,333333;null;
2023-08-11;35,4;979,575;26,2;20,975;17,5;82,583333;null;
2023-08-12;0;988,704167;21,8;15,295833;11,4;59,75;null;
2023-08-13;0;992,8;17,1;9,5875;4;61,166667;null;
2023-08-14;0;988,85;22,9;12,008333;2,7;69,75;null;
2023-08-15;0;985,679167;27,9;17,695833;8,6;71,541667;null;
2023-08-16;0;983,966667;30,4;22,15;15,7;66,25;null;
2023-08-17;0;980,808333;31,5;23,666667;16,7;64,291667;null;
2023-08-18;1;976,945833;22,8;17,504167;16,5;82,208333;null;
2023-08-19;16,8;980,658333;20,3;15,083333;10,9;77,125;null;
2023-08-20;0;978,7875;23,2;14,6625;7,6;81,958333;null;
2023-08-21;0;978,220833;26,4;18,054167;10;80,791667;null;
2023-08-22;0;971,704167;31,6;24,508333;16,7;69,708333;null;
2023-08-23;0;969,979167;32,9;26,995833;22,5;61,041667;null;
2023-08-24;0;976,879167;24,2;17,7875;15,7;76,958333;null;
2023-08-25;0;983,083333;20,7;13,920833;9,1;55,625;null;
2023-08-26;0;989,269565;18,2;11,86087;5,3;57,869565;null;
2023-08-27;,6;991,225;18,1;11,016667;4,9;52,125;null;
2023-08-28;0;989,375;21,5;12,025;4,4;60,875;null;
2023-08-29;0;987,526087;24,4;15,808696;8,6;66,695652;null;
2023-08-30;0;984,179167;27,4;17,604167;8,5;65,666667;null;
2023-08-31;0;984,552174;29,1;19,856522;11,8;63,826087;null;
2023-09-01;9,2;981,6;20,9;17,929167;16,1;83,291667;null;
2023-09-02;76;978,104348;21,7;18,626087;16,4;90,217391;null;
2023-09-03;5,6;975,775;25,3;20,433333;17;86,875;null;
2023-09-04;31,4;975,091304;22,6;19,434783;19,9;93,913043;null;
2023-09-05;33,8;989,2;20,7;15,079167;12;83,666667;null;
2023-09-06;0;987,45;26,2;17,520833;10;74,708333;null;
2023-09-07;1,8;981,758333;28,4;21,354167;15,8;73;null;
2023-09-08;43,2;981,729167;21,5;19,225;18,1;89,041667;null;
2023-09-09;14,8;983,695833;24,3;19,416667;17,6;87,458333;null;
2023-09-10;,4;983,6875;28,2;21,241667;15,4;81,666667;null;
2023-09-11;0;978,95;33,7;25,379167;19,3;64,208333;null;
2023-09-12;,4;978,425;27,8;20,520833;20;79,583333;null;
2023-09-13;,2;978,220833;19,3;14,883333;13,8;93,125;null;
2023-09-14;0;988,641667;17,2;11,858333;8,3;77,125;null;
2023-09-15;,2;986,791667;22,9;13,329167;5,2;66,583333;null;
2023-09-16;0;979,908333;30;19,2;9,8;55,75;null;
2023-09-17;0;978,129167;34,5;25,516667;17,1;56,166667;null;
2023-09-18;4;978,770833;33,8;26,5375;21;60,791667;null;
2023-09-19;6,4;981,508333;24;21,791667;20,4;88,833333;null;
2023-09-20;4,2;982,8125;31,6;24,3125;19,3;77,375;null;
2023-09-21;0;979,441667;34,4;27,279167;21,4;70,291667;null;
2023-09-22;0;978,345833;32,7;26,0375;22,2;70,083333;null;
2023-09-23;0;977,104167;35,7;27,225;20,3;61,75;null;
2023-09-24;0;976,025;35,5;27,608333;21,9;71,875;null;
2023-09-25;0;976,786957;29,2;22,647826;19,1;76,217391;null;
2023-09-26;0;972,565217;35,4;24,004348;19,1;75,086957;null;
2023-09-27;,2;982,191667;21,9;16,141667;13,7;77,625;null;
2023-09-28;0;983,9;24,9;16,1125;8,4;65,916667;null;
2023-09-29;0;983,9;28;20,158333;12,8;67;null;
2023-09-30;0;983,716667;27,6;21,379167;15,6;68,791667;null;
2023-10-01;0;983,283333;26,8;19,9125;15,2;61,916667;null;
2023-10-02;0;979,6625;28,3;18,6125;9,4;52,708333;null;
2023-10-03;0;975,4;26,7;18,25;11,8;74,333333;null;
2023-10-04;42,4;974,608333;28,2;21,1875;18,5;81,125;null;
2023-10-05;,2;978,541667;25,6;18,483333;13,3;65,458333;null;
2023-10-06;0;977,186957;20,8;17,726087;14,2;77,869565;null;
2023-10-07;42,6;980,6;20,4;19,120833;17;92,041667;null;
2023-10-08;4,4;983,1125;23,7;18,666667;16,2;78,5;null;
2023-10-09;0;985,45;26,6;18,595833;12,6;73,375;null;
2023-10-10;0;982,254167;29,9;21,016667;12,6;64,416667;null;
2023-10-11;0;978,25;22,8;20,233333;18,1;81,333333;null;
2023-10-12;51,8;982,633333;19,7;14,65;12,5;85,25;null;
2023-10-13;0;987,629167;22,3;15,845833;12;69,583333;null;
2023-10-14;0;986,195833;28,7;18,833333;10,5;67,083333;null;
2023-10-15;0;983,636364;28,2;22,845455;18,4;69,454545;null;
2023-10-16;0;978,179167;29,4;24,7875;22,4;73,458333;null;
2023-10-17;52,6;981,729167;21,5;19,695833;18,4;93,791667;null;
2023-10-18;51,2;984,670833;19,4;17,333333;15,2;93,666667;null;
2023-10-19;43,4;984,643478;18,9;17,156522;15,3;94,652174;null;
2023-10-20;51,4;984,070833;29,1;22,529167;16,2;78,416667;null;
2023-10-21;0;982,479167;32,9;25,083333;18,2;71,375;null;
2023-10-22;,2;980,9;28,7;24,716667;21;72,708333;null;
2023-10-23;0;979,166667;24,4;21,7375;21,8;84,291667;null;
2023-10-24;5,4;979,266667;22,9;19,854167;17,2;92,583333;null;
2023-10-25;,2;979,454167;27,3;21,258333;16,9;73,708333;null;
2023-10-26;0;977,483333;28,5;20,133333;12,4;63,791667;null;
2023-10-27;0;974,616667;28,4;21,6375;15,9;65,833333;null;
2023-10-28;58,6;972,883333;23,8;20,0875;19,5;94,041667;null;
2023-10-29;23,4;973,004348;30,7;23,556522;17,5;75,695652;null;
2023-10-30;59,6;976,554167;24,8;20,670833;18,8;87,375;null;
2023-10-31;6,8;979,370833;29;21,55;16,2;76,541667;null;
2023-11-01;0;979,013043;31,3;23,143478;17,6;72,478261;null;
2023-11-02;27,4;975,016667;26,9;21,804167;18,9;86,166667;null;
2023-11-03;56,4;976,604167;22,1;17,916667;17,7;87;null;
2023-11-04;,4;984,545455;20,9;15,145455;12;72,090909;null;
2023-11-05;0;983,565217;27,5;17,734783;9,2;60,913043;null;
2023-11-06;,8;982,791667;32,4;22,275;12,9;57,041667;null;
2023-11-07;,4;980,383333;34,7;25,629167;17,3;52,208333;null;
2023-11-08;0;978,908333;31,6;24,895833;19,9;62,875;null;
2023-11-09;27;979,75;26,2;23,183333;20,8;81,125;null;
2023-11-10;2;978,208333;31,4;24,604167;18,5;77,291667;1,666667;
2023-11-11;0;973,229167;36,3;30,508333;24,3;59,916667;2,475;
2023-11-12;,2;972,770833;36,8;29,654167;25;62,125;2,391667;
2023-11-13;41,2;977,091304;26,5;21,682609;19;86,565217;3,16087;
2023-11-14;30,8;977,625;21,1;19,883333;19,1;92,833333;2,4375;
2023-11-15;12;974,629167;30,1;23,1875;18,8;84,5;1,683333;
