Nome: CACAPAVA DO SUL
Codigo Estacao: A812
Latitude: -30.54527777
Longitude: -53.46694443
Altitude: 420.82
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;962,995833;34,6;27,691667;21;46,708333;null;
2023-01-02;9,8;959,904167;30,3;23,7875;20,3;76,166667;null;
2023-01-03;2,8;961,158333;27,7;21,491667;14,9;54,416667;null;
2023-01-04;0;962,841667;31,2;23,533333;16,6;49,75;null;
2023-01-05;0;965,913043;31,7;24,156522;17,6;54,304348;null;
2023-01-06;0;969,391667;29,9;22,729167;16,5;59,541667;null;
2023-01-07;0;971,933333;29,6;21,9125;15,8;61,666667;null;
2023-01-08;0;970,283333;29,6;22,2;16,4;66,791667;null;
2023-01-09;0;966,666667;30,5;22,4;16;66,958333;null;
2023-01-10;0;964,266667;31,5;22,733333;16,7;71,291667;null;
2023-01-11;0;962,804167;33,8;24,495833;16,9;58,875;null;
2023-01-12;2,4;960,004167;31,4;24,795833;19,1;60,166667;null;
2023-01-13;,6;959,286957;25,5;20,769565;19;90,565217;null;
2023-01-14;10,6;962,130435;26,7;20,313043;16,1;77,73913;null;
2023-01-15;0;966,008333;29,1;22,795833;17,1;60,041667;null;
2023-01-16;0;966,241667;32,4;23,970833;17,7;65,041667;null;
2023-01-17;0;967,182609;32,1;24,308696;18,7;73,173913;null;
2023-01-18;0;969,617391;29,8;23,43913;19,4;77,173913;null;
2023-01-19;0;968,347826;30;23,73913;20,2;81,043478;null;
2023-01-20;0;963,420833;32,8;24,683333;20;73,666667;null;
2023-01-21;0;959,017391;25,9;22,047826;19,5;89,956522;null;
2023-01-22;20,8;958,6625;31,5;25,408333;20,1;69,666667;null;
2023-01-23;0;961,266667;33,3;26,583333;20,2;53,375;null;
2023-01-24;0;960,870833;34,5;26,066667;18,8;60,458333;null;
2023-01-25;0;962,220833;34,8;26,816667;20,3;62,916667;null;
2023-01-26;0;962,608333;30,2;23,133333;21;82,833333;null;
2023-01-27;43;962,478261;33;25,404348;19,1;74,608696;null;
2023-01-28;0;963,816667;33,6;26,604167;22,8;69,333333;null;
2023-01-29;,4;964,570833;30,1;23,845833;19,3;74,875;null;
2023-01-30;0;961,633333;30,3;23,4375;18,1;71,125;null;
2023-01-31;0;960,434783;32,9;26,547826;20,7;55,478261;null;
2023-02-01;0;963,070833;33,2;26,383333;21,5;68,125;null;
2023-02-02;0;963,725;32,3;24,016667;20;78,916667;null;
2023-02-03;42,6;961,691667;27,6;22,1875;19,1;82,541667;null;
2023-02-04;0;963,383333;25,7;20,820833;17,7;71,833333;null;
2023-02-05;0;964,0625;26,9;20,829167;16;67,583333;null;
2023-02-06;0;964,163636;29,9;23,945455;18,4;68,363636;null;
2023-02-07;0;964,831818;31,9;25,554545;20,2;57,454545;null;
2023-02-08;0;963,73913;34,1;25,795652;19;56,043478;null;
