Nome: ALEGRETE
Codigo Estacao: A826
Latitude: -29.70916666
Longitude: -55.52555554
Altitude: 120.88
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;994,695833;38,8;28,991667;21,4;49,125;1,883333;
2023-01-02;4;993,8625;31,8;25,3875;21,4;70,416667;1,791667;
2023-01-03;0;995,066667;30,7;23,5;16,1;45,333333;1,65;
2023-01-04;0;995,917391;35;25,221739;14,2;47,869565;,904348;
2023-01-05;0;997,808333;35,9;27,691667;19,4;41,75;2,341667;
2023-01-06;0;1001,145455;35,2;27,695455;20,1;43,363636;2,736364;
2023-01-07;0;1003,441667;34,1;26,116667;18,7;48,583333;3,133333;
2023-01-08;0;1002,1625;34,8;26,404167;19;52,25;2,558333;
2023-01-09;0;998,7375;35,5;27,275;19,8;49,625;2,445833;
2023-01-10;0;996,441667;34,7;26,616667;20,8;55,791667;2,054167;
2023-01-11;0;995,569565;37,8;27,604348;17,8;53,130435;1,621739;
2023-01-12;5;993,573913;33,9;25,395652;20,4;68,73913;1,265217;
2023-01-13;,8;993,191304;27,4;21,96087;20,2;83,565217;1,552174;
2023-01-14;2;996,395833;29,6;21,945833;14,7;66,25;1,295833;
2023-01-15;,2;998,669565;33;25,669565;17,5;57,130435;1,826087;
2023-01-16;0;998,558333;35,6;27,754167;20,7;55,291667;2,008333;
2023-01-17;0;998,829167;37,6;29,666667;22,7;49;2,466667;
2023-01-18;0;1000,93913;36,4;28,856522;22;57,869565;2,756522;
2023-01-19;0;1000,1;36,6;28,417391;22,7;63,652174;2,581818;
2023-01-20;0;994,559091;38,7;30,327273;22,3;54,636364;2,072727;
2023-01-21;0;991,521739;33,9;25,826087;23,6;73,826087;1,617391;
2023-01-22;11,4;992,1875;35,6;26,975;21;68,916667;1,033333;
2023-01-23;,2;994,041667;37,7;28,483333;19,9;53,208333;1,254167;
2023-01-24;0;993,154167;39,3;29,758333;19,8;42,666667;1,441667;
2023-01-25;0;993,945833;39,5;30,408333;23,3;46,208333;1,870833;
2023-01-26;0;994,566667;32,5;26,629167;24,9;69,083333;1,829167;
2023-01-27;17,8;994,929167;37,9;28,733333;20,6;64,75;1,3375;
2023-01-28;0;996,791304;36,1;26,891304;22,9;71,652174;1,43913;
2023-01-29;15,8;997,613636;33,5;26,977273;21;64,863636;1,795455;
2023-01-30;0;994,095652;34;27,3;21,2;57;2,121739;
2023-01-31;0;993,359091;36,6;27,618182;19;50,045455;1,036364;
2023-02-01;0;995,291304;37,3;28,452174;20,3;51,782609;1,46087;
2023-02-02;null;995,440909;37,2;28,181818;23,9;64,227273;2,772727;
2023-02-03;3;995,575;29,1;23,729167;19,9;78,875;1,866667;
2023-02-04;2,4;998,682609;30,9;23,413043;17,6;65,26087;1,852174;
2023-02-05;0;998,866667;32,1;22,920833;14,1;54,291667;1,0875;
2023-02-06;0;997,154167;34,8;25,908333;16,3;51,208333;1,129167;
2023-02-07;0;997,081818;37,6;28,304545;18,4;45,454545;1,263636;
2023-02-08;0;995,752174;39,5;29,504348;19,6;43,652174;1,795652;
2023-02-09;,4;996,9625;35,1;26,6625;20,4;63,833333;1,9125;
2023-02-10;,2;null;34,8;null;21,8;62,9375;null;
2023-02-11;null;996,829167;38,2;29,991667;21,4;47,625;1,470833;
2023-02-12;0;994,785714;39,3;null;19,7;39,714286;1,414286;
2023-02-13;0;992,230435;38,7;31,413043;23,6;41,173913;1,847826;
2023-02-14;4,4;991,781818;36,7;27,640909;23,8;65,818182;2,522727;
2023-02-15;,6;992,227273;33,9;25,218182;18,1;70,227273;1,372727;
2023-02-16;0;987,516667;35,9;26,454167;21,1;64,708333;2,241667;
2023-02-17;24,4;995,578261;21,8;17,817391;13,7;61,608696;2,665217;
2023-02-18;0;1006,756522;23,6;15,526087;7,7;52,565217;1,734783;
2023-02-19;0;1005,7875;27,4;18,566667;9,4;53,875;2,241667;
2023-02-20;0;1000,804167;32,2;23,725;18,2;58;2,591667;
2023-02-21;0;1000,45;31,3;23,920833;18;64,708333;1,9625;
2023-02-22;0;1000,830435;33,6;25,830435;19,4;58,304348;2,304348;
2023-02-23;0;998,7;34,9;25,345455;20,6;65,454545;1,922727;
2023-02-24;8,4;996,933333;28,5;23,066667;20,6;86,208333;1,325;
2023-02-25;2;993,170833;33,1;25,3375;18,6;69,166667;1,9;
2023-02-26;,2;997,4375;35,5;26,4875;18;57,041667;1,2125;
2023-02-27;0;1002,783333;35,1;25,604167;20,2;59,958333;1,358333;
2023-02-28;,8;1002,116667;35,3;27,2875;19;58,125;1,704167;
2023-03-01;0;998,056522;36,4;27,691304;19,9;57,347826;1,63913;
2023-03-02;0;996,8;29,9;24,904167;20,5;71,166667;1,3625;
2023-03-03;,8;995,130435;27,4;23,426087;21;86,304348;1,282609;
2023-03-04;57;995,1875;30,9;24,395833;21;85,625;1,316667;
2023-03-05;2,8;998,466667;30,1;24,220833;18,8;77,291667;1,5125;
2023-03-06;,2;997,1;29,6;23,65;19,1;76;2,045833;
2023-03-07;0;994,295833;32,3;26,0125;21,2;72,291667;1,291667;
2023-03-08;0;994,682609;34,8;27,952174;21,8;65,26087;,930435;
2023-03-09;0;997,920833;35,4;27,929167;21,2;63,75;1,170833;
2023-03-10;0;998,8125;34,7;27,7;21,6;66,833333;1,279167;
2023-03-11;0;998,873913;34;27,365217;21,3;67,434783;2,086957;
2023-03-12;0;999,436364;34,3;27,727273;21,3;65,727273;2,627273;
2023-03-13;0;999,083333;34,6;28,3;22,7;63,875;2,4125;
2023-03-14;0;998,347826;34,4;26,717391;23,2;73,043478;2,1;
2023-03-15;null;998,128571;31,6;null;23;83,285714;1,519048;
2023-03-16;5,2;998,029167;31,2;24,8375;22,8;87,166667;1,5375;
2023-03-17;11;998,570833;33,7;26,245833;22,2;81,208333;1,4;
2023-03-18;14,4;999,613636;33,3;26,013636;21,5;79;1,304545;
2023-03-19;2;998,479167;34,6;26,679167;21,1;76,583333;1,1375;
2023-03-20;,2;998,679167;35,1;26,341667;22;77,666667;1,2;
2023-03-21;0;1000,7375;29,9;24,604167;21,1;82;2,166667;
2023-03-22;0;1001,813636;30,1;24,713636;20,6;77,545455;2,454545;
2023-03-23;0;1001,091667;32,3;24,645833;21;80;2,075;
2023-03-24;4,6;1000,7875;32,5;25,445833;20,4;79,541667;1,266667;
2023-03-25;6,6;997,8625;27,2;23,879167;21,5;87,791667;1,704167;
2023-03-26;5,6;1001,870833;27,7;22,095833;17,6;77,458333;1,3375;
2023-03-27;0;1003,041667;27,2;20,9125;15,9;68,708333;1,633333;
2023-03-28;0;998,175;31,7;22,4375;15,7;63,791667;1,770833;
2023-03-29;0;995,85;35,1;24,829167;18,7;70,875;1,520833;
2023-03-30;10,8;999,104167;27,5;22,541667;19,3;80,791667;1,241667;
2023-03-31;,2;1001,075;29,1;23,483333;19,8;83,416667;1,3375;
2023-04-01;0;1004,945833;23,1;17,308333;11,2;64;1,841667;
2023-04-02;,2;1002,35;26,5;18,358333;11,5;67,041667;1,741667;
2023-04-03;0;998,875;28,7;20,3;13,2;67,666667;1,620833;
2023-04-04;0;999,566667;25,2;20,354167;16,2;78,125;1,2;
2023-04-05;0;1000,975;28;22,425;17,5;69,583333;2,604167;
2023-04-06;0;1001,6875;24,1;20,995833;18,8;75,666667;3,083333;
2023-04-07;0;1002,229167;25,9;19,891667;15,4;76,708333;2,004167;
2023-04-08;0;1003,058333;27,4;20,8875;16;72,666667;1,770833;
2023-04-09;0;1002,608333;29,2;21,6875;16,4;74,791667;1,816667;
2023-04-10;0;1002,654167;31,1;22,683333;16,4;70,166667;,858333;
2023-04-11;0;999,225;32,8;22,575;12,7;67,208333;1,025;
2023-04-12;0;996,183333;33,3;24,05;17,8;69,708333;1,241667;
2023-04-13;6,8;998,529167;22,1;18,45;15,9;80,666667;2,270833;
2023-04-14;,2;1001,370833;23,5;17,866667;13,1;69;2,5;
2023-04-15;0;1001,920833;26,2;19,566667;14,6;71,583333;2,483333;
2023-04-16;0;999,241667;24,4;20,145833;17,4;82,083333;1,866667;
2023-04-17;0;995,566667;23,1;17,783333;15,8;80,833333;1,629167;
2023-04-18;0;992,9875;24,7;15,983333;9,3;68,958333;1,433333;
2023-04-19;0;994,895833;23,5;14,5625;8,1;58,375;2,133333;
2023-04-20;0;1004,166667;21,1;12,970833;6,1;72,041667;1,058333;
2023-04-21;0;1003,175;27,7;16,225;6,7;61,875;1,725;
2023-04-22;0;1004,141667;27,4;18,508333;11,6;64,25;1,029167;
2023-04-23;0;1004,433333;27,7;20,470833;14,4;62,416667;1,725;
2023-04-24;0;1003,179167;29,7;22,225;14,7;59,333333;2,195833;
