Nome: PASSO FUNDO
Codigo Estacao: A839
Latitude: -28.226805
Longitude: -52.403582
Altitude: 680.67
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;934,983333;34,2;26,183333;19,7;55,125;3,495833;
2023-01-02;17,8;932,55;27,5;23,020833;19,4;80,5;3,608333;
2023-01-03;17,8;931,558333;27,8;22,954167;19,8;73,416667;1,891667;
2023-01-04;1,8;933,758333;27,8;22,183333;17,2;58,375;2,554167;
2023-01-05;0;936,458333;28,5;21,970833;13,7;46,458333;3,633333;
2023-01-06;0;939,245833;28,4;21,995833;15,4;50,75;4,166667;
2023-01-07;0;941,145833;27,7;21,1625;14,2;57,291667;4,116667;
2023-01-08;0;939,8375;28,3;21,6875;15,3;58,166667;3,429167;
2023-01-09;0;936,8875;29,7;22,6875;16,1;57,625;2,975;
2023-01-10;0;935,820833;29,8;21,179167;17,8;70,083333;3,870833;
2023-01-11;2,4;934,716667;30,6;22,133333;14,8;63,458333;2,745833;
2023-01-12;0;932,570833;31,1;22,045833;17,6;68,958333;2,416667;
2023-01-13;2,2;931,3125;25,1;19,420833;17,2;87,958333;2,504167;
2023-01-14;17,2;933,283333;26;20,395833;16,7;83,875;1,783333;
2023-01-15;,4;935,983333;25,4;21,0875;19,4;88,791667;2,333333;
2023-01-16;62;936,491667;30,1;22,95;17,7;81,833333;2,104167;
2023-01-17;1;937,383333;31,4;23,883333;18,8;78,208333;2,7375;
2023-01-18;1,2;939,170833;30,4;23,879167;18,8;72,416667;3,4875;
2023-01-19;0;938,416667;30;23,366667;18,5;73,208333;3,491667;
2023-01-20;0;934,216667;30,7;23,766667;17,4;68,708333;2,7375;
2023-01-21;0;931,145833;31,9;24,4125;19,2;70,416667;3,3125;
2023-01-22;,4;930,525;30,3;24,220833;19,3;73,5;2,3625;
