Nome: BENTO GONCALVES
Codigo Estacao: A840
Latitude: -29.164581
Longitude: -51.534202
Altitude: 623.27
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;941,7125;33,3;26,5375;20,8;53,041667;3,195833;
2023-01-02;,6;938,483333;29,7;24,258333;21,2;70,083333;3,704167;
2023-01-03;12,8;938,120833;27,7;21,8125;18,6;75,416667;2,366667;
2023-01-04;0;940,283333;27,8;21,9375;16,5;54,958333;2,220833;
2023-01-05;0;943,329167;28,3;22,470833;16,1;43,041667;3,154167;
2023-01-06;0;946,582609;27,8;21,569565;15,8;54,217391;3,713043;
2023-01-07;0;948,7125;28,3;20,7875;14,1;59,375;3,4;
2023-01-08;0;947,220833;27,8;21,075;16;61,958333;3,041667;
2023-01-09;0;943,9375;30,3;22,229167;16,8;62,083333;3,2;
2023-01-10;0;942,533333;30;20,741667;18,4;72,333333;3,920833;
2023-01-11;9,6;941,078261;30,6;22,169565;14,9;62,434783;2,13913;
2023-01-12;0;938,720833;33;23,870833;19,3;65,083333;2,795833;
2023-01-13;,2;937,286957;29;21,391304;19;79,565217;2,273913;
2023-01-14;29,4;939,525;26;20,620833;17,4;83,291667;2,016667;
2023-01-15;,2;942,991667;24,9;21,083333;18,6;85,291667;2,025;
2023-01-16;,6;943,3625;29;23,195833;19,2;78,25;2,295833;
2023-01-17;8,2;944,3875;30,2;23,845833;19,9;74,041667;2,791667;
2023-01-18;0;946,5625;29,2;22,991667;19,5;79,666667;2,820833;
2023-01-19;0;945,413636;29,7;24,240909;19,9;72,318182;2,509091;
2023-01-20;0;941,191667;32,2;24,070833;18,6;67,208333;2,5875;
2023-01-21;0;937,533333;33,5;23,058333;20;73,666667;3,2625;
2023-01-22;18,4;936,704348;30,5;23,808696;19;73,608696;2,143478;
2023-01-23;0;939,091667;29,2;23,85;20,1;72,875;2,116667;
2023-01-24;,6;939,158333;32,1;24,175;17,3;59,916667;2,304167;
2023-01-25;0;940,145833;33,2;26,4;20,7;55,166667;2,725;
2023-01-26;0;940,691667;33,6;24,6375;21,1;66,083333;3,595833;
2023-01-27;3,6;941,116667;32,9;24,904167;19,9;61,625;3;
2023-01-28;0;941,891667;33;25,370833;22,4;63,583333;2,8125;
2023-01-29;,4;941,633333;29,3;23,504167;20,1;73,875;2,816667;
2023-01-30;0;939,041667;31,7;23,729167;18,6;67,416667;2,1625;
2023-01-31;2,2;938,636364;29,9;24,077273;20,3;72,818182;2,704545;
2023-02-01;0;940,841667;31,1;24,766667;19,1;72,125;2,720833;
2023-02-02;0;941,05;32,4;24,304167;20,4;72,291667;2,658333;
2023-02-03;7,8;938,495833;25,7;21,7625;20,5;86,041667;1,570833;
2023-02-04;16;940,216667;25,5;20,679167;18;81,666667;2,670833;
2023-02-05;0;941,633333;26,7;20,479167;14,9;65,041667;2,125;
2023-02-06;0;942,027273;28,8;22,677273;16,8;60,454545;1,909091;
2023-02-07;0;942,66087;30,8;24,056522;18,4;56,73913;2,856522;
2023-02-08;0;941,958333;32;24,970833;19,1;56,833333;3,183333;
2023-02-09;1,8;942,241667;26,9;21,995833;18,4;75,833333;2,7875;
2023-02-10;,4;942,2;30,9;23,783333;19,7;69;2,225;
2023-02-11;7,6;942,795652;31,6;24,165217;18;57,826087;2,591304;
2023-02-12;,2;941,204348;32,9;24,795652;17,3;52,913043;2,556522;
2023-02-13;0;939,691304;33,7;26,552174;20,6;53,652174;2,973913;
2023-02-14;0;938,03913;30,6;24,826087;22,1;67,478261;3,713043;
2023-02-15;40,2;936,313043;24;20,63913;18,2;86,608696;1,804348;
2023-02-16;0;933,516667;29,5;23,079167;18,3;73,708333;1,695833;
2023-02-17;10,6;935,075;25,8;19,183333;17,2;81,166667;2,383333;
2023-02-18;0;947,156522;19,6;13,447826;8,3;56,521739;2,517391;
2023-02-19;0;948,775;24,3;16,933333;10,9;57,583333;3,208333;
2023-02-20;,6;945,645833;18,8;17,175;16,2;84,375;2,758333;
2023-02-21;48,4;944,025;25,5;19,075;15,5;83,083333;1,666667;
2023-02-22;,2;945,956522;28,9;20,56087;14,9;75,695652;2,169565;
2023-02-23;0;944,965217;22,1;19,586957;18,5;80,391304;3,369565;
2023-02-24;0;941,345833;25,6;19,670833;16,8;81,208333;1,875;
2023-02-25;,2;938,708333;22,9;19,483333;17;85,5;2,433333;
2023-02-26;3,4;943,020833;24,3;20,275;17,9;81,125;2,070833;
2023-02-27;1;947,9;28,6;21,445833;15,8;74,916667;2,229167;
2023-02-28;0;947,7;29,2;22,583333;17,3;65,041667;2,816667;
2023-03-01;0;944,15;28,9;22,466667;18,6;69,416667;2,895833;
2023-03-02;,2;942,329167;28;21,7;18,5;78,791667;2,245833;
2023-03-03;8,4;941,441667;24,8;21,316667;18,7;83,833333;2,591667;
2023-03-04;10,6;939,941667;27,5;21,595833;19,4;85,166667;3,341667;
2023-03-05;7,8;941,054167;24,7;20,504167;18;84,666667;2,5625;
2023-03-06;,4;939,95;22,2;19,629167;18;90,416667;2,041667;
2023-03-07;5,4;937,929167;26,3;21,325;18,9;86,833333;1,920833;
2023-03-08;,2;940,229167;29,8;23,895833;19,5;73,708333;2,820833;
2023-03-09;0;943,6;29,3;24,130435;19,7;68,26087;2,269565;
2023-03-10;0;944,054167;30,2;23,8375;19,6;69;2,95;
2023-03-11;0;944,279167;29,6;23,608333;19;73,083333;2,975;
2023-03-12;0;945,386957;28,9;23,608696;18,4;70,913043;2,730435;
2023-03-13;0;945,441667;29,2;23,358333;19,6;71,958333;3,141667;
2023-03-14;8,6;945,025;28,7;23,208333;19,3;73,375;3,720833;
2023-03-15;0;944,726087;28,4;23,973913;20,5;68,043478;3,426087;
2023-03-16;0;944,047826;29,6;23,934783;19,1;65,478261;3,243478;
2023-03-17;0;944,3;30,6;24,404167;19,5;65,708333;3,35;
2023-03-18;null;944,366667;31,3;null;18,6;65,904762;2,452381;
2023-03-19;0;943,208333;31;24,145833;18,5;62,125;2,5125;
2023-03-20;0;943,3;31,3;24,041667;20,4;63,833333;2,245833;
2023-03-21;6,2;945,266667;29,3;22,7625;19,5;79,958333;2,25;
2023-03-22;0;946,709091;30,4;23,554545;20;75,727273;2,4;
2023-03-23;0;945,75;30,3;22,495833;20,5;80,5;2,883333;
2023-03-24;8,8;945,633333;26,6;21,458333;18,8;87,458333;1,9;
2023-03-25;0;942,958333;27,5;21,583333;18,7;83,208333;3,0625;
2023-03-26;24;943,441667;22,7;19,291667;17,3;86,791667;3,345833;
2023-03-27;,2;946,333333;23,8;18,725;15,1;74,916667;1,920833;
2023-03-28;0;943,329167;28,4;20,8;15,5;70,958333;3,229167;
2023-03-29;0;942,108333;29,5;22,558333;19,1;74,708333;3,229167;
2023-03-30;8,4;944,195833;23,8;19,891667;17,2;82,25;2,208333;
2023-03-31;,2;944,270833;27,6;21,366667;16,8;80,291667;2,208333;
2023-04-01;,8;945,754167;23,1;15,6625;10,3;69,875;2,608333;
2023-04-02;0;945,8625;23,9;16,1;10,3;71,541667;2,1125;
2023-04-03;0;943,2375;27,4;19,4375;13,5;68,541667;2,979167;
2023-04-04;0;942,945833;26,5;20,083333;16,1;73,25;2,75;
2023-04-05;0;945,0375;23,4;18,7875;15,6;80,083333;2,695833;
2023-04-06;0;945,566667;18,4;17,058333;17;86,041667;2,704167;
2023-04-07;12,8;944,920833;20,8;17,05;15,1;86,833333;1,8625;
2023-04-08;1,4;945,9875;21,4;17,933333;15,6;86,25;2,341667;
2023-04-09;0;946,620833;26,7;20,129167;16,3;77,541667;2,508333;
