Nome: BOM JARDIM DA SERRA - MORRO DA IGREJA
Codigo Estacao: A845
Latitude: -28.12694443
Longitude: -49.47972221
Altitude: 1790.38
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;822,520833;21,7;16,008333;10,8;79,583333;null;
2023-01-02;16;819,1875;21,4;14,608333;11,9;95,791667;null;
2023-01-03;,2;816,9125;20,1;14,6625;13,3;98,083333;null;
2023-01-04;10,8;817,945833;13,5;10,2;7,3;null;null;
2023-01-05;1,4;821,195833;16;11,258333;6,7;null;null;
2023-01-06;0;824,025;13,5;9,833333;7,1;null;null;
2023-01-07;,4;825,7125;12,8;9,416667;7,3;null;null;
2023-01-08;9,8;824,529167;14,8;10,445833;6,2;null;null;
2023-01-09;5,4;822,4875;16,4;11,833333;8,6;null;null;
2023-01-10;,6;821,345833;20,5;13,433333;10,1;null;null;
2023-01-11;7,4;820,266667;20,9;13,7625;9,4;null;null;
2023-01-12;,2;819,175;22,4;16,55;11,4;null;null;
2023-01-13;0;817,583333;21,7;15,766667;13,4;null;null;
2023-01-14;5,4;818,491667;21,9;14,85;13;null;null;
2023-01-15;41,4;821,8875;16,5;14,020833;12,5;null;null;
2023-01-16;15,2;822,5375;19,4;15,254167;12,3;null;null;
2023-01-17;15,2;823,825;20,6;15,454167;13,9;null;null;
2023-01-18;22,4;825,154167;19,1;15,025;14;null;null;
2023-01-19;70,4;824,375;18,4;14,275;13;null;null;
2023-01-20;41,2;820,9125;17,6;13,841667;12,3;null;null;
2023-01-21;3,6;817,920833;21,5;15,108333;11,3;null;null;
2023-01-22;69;816,945833;18,7;15,358333;12,9;null;null;
2023-01-23;29,4;818,975;19,3;14,845833;13;null;null;
2023-01-24;12,2;819,266667;20,9;16,545833;11,2;null;null;
2023-01-25;0;821;22;16,354167;12,4;null;null;
2023-01-26;29;821,279167;20,7;15,283333;12,1;null;null;
2023-01-27;3,8;821,5625;23;15,325;10,1;null;null;
2023-01-28;,2;822,416667;22,6;18,308333;15,4;null;null;
2023-01-29;4,4;821,0375;20;15,5;14,3;null;null;
2023-01-30;12;818,870833;19,8;14,866667;12,5;null;null;
2023-01-31;1,4;818,870833;20,8;15,3875;13;null;null;
2023-02-01;18,6;820,795833;20,9;16,158333;12,6;null;null;
2023-02-02;20;820,920833;21,1;15,85;12,5;null;null;
2023-02-03;30,4;817,704167;20,6;15,379167;13,2;null;null;
2023-02-04;17,6;818,233333;20,5;14,858333;12,4;null;null;
2023-02-05;,8;819,258333;18,9;13,65;9,9;null;null;
2023-02-06;0;820,566667;18;13,3625;11,3;null;null;
2023-02-07;0;822,066667;18,8;13,945833;9,7;null;null;
2023-02-08;0;821,866667;19,9;14,1;10,6;null;null;
2023-02-09;29;821,8;20,2;14,375;10,6;null;null;
2023-02-10;24,6;821,854167;19;14,366667;11,9;null;null;
2023-02-11;7,6;821,933333;19,3;14,85;11,6;null;null;
2023-02-12;,2;821,25;21,2;16,3;9,3;null;null;
2023-02-13;,2;820,575;21,7;16,345833;11,1;null;null;
2023-02-14;0;819,170833;22,8;16,375;12,4;null;null;
2023-02-15;22,2;815,441667;19,6;15,191667;13,2;null;null;
2023-02-16;1;813,945833;19,3;14,7875;11,9;null;null;
2023-02-17;,4;813,808333;16;14,216667;13,5;null;null;
2023-02-18;5,6;821,179167;18,1;10,7125;8,9;null;null;
2023-02-19;,2;825,020833;13;6,9625;2;null;null;
2023-02-20;8,4;822,729167;14,4;12,4625;6,9;null;null;
2023-02-21;68,2;821,129167;15,7;12,2125;11;null;null;
2023-02-22;25,8;823,916667;18,1;12,7125;9,1;null;null;
2023-02-23;1,4;823,458333;16,1;12,575;11,5;null;null;
2023-02-24;8,4;819,745833;15,7;13,1125;11;null;null;
2023-02-25;5,6;818,095833;21,8;15,608333;12,8;null;null;
2023-02-26;0;821,904167;18,4;14,325;13,6;null;null;
2023-02-27;7;825,991667;16,4;13,1375;10,5;null;null;
2023-02-28;0;826,408333;19,1;14,270833;10,9;null;null;
2023-03-01;,2;823,283333;17,8;13,5125;11;null;null;
2023-03-02;,4;821,916667;20,5;14,695833;12,2;null;null;
2023-03-03;3,8;821,470833;18,7;15,029167;13,6;null;null;
2023-03-04;7,8;819,816667;20,7;15,033333;13,4;null;null;
2023-03-05;5,2;818,025;15,9;13,754167;12,5;null;null;
2023-03-06;52,4;817,004167;18,5;13,795833;12,4;null;null;
2023-03-07;13,8;817,558333;16,9;13,741667;12,7;null;null;
2023-03-08;,8;820,458333;22,7;15,925;12,9;null;null;
2023-03-09;17,4;822,979167;18;14,695833;12,2;null;null;
2023-03-10;3,6;823,45;19,3;14,783333;13,3;null;null;
2023-03-11;17,2;823,2375;19;14,333333;12,6;null;null;
2023-03-12;12,8;824,408333;15,8;13,829167;12,7;null;null;
2023-03-13;29;824,8125;18,8;14,529167;12,3;null;null;
2023-03-14;15;824,683333;19,4;14,754167;12,3;null;null;
2023-03-15;,2;824,566667;17,4;14,2;12,5;null;null;
2023-03-16;,8;823,6625;20,6;14,7625;10,6;null;null;
2023-03-17;,8;823,958333;21,2;14,516667;12;null;null;
2023-03-18;,4;823,670833;19;15,425;10,9;null;null;
2023-03-19;,2;822,620833;22,1;15,291667;10,1;null;null;
2023-03-20;,2;822,979167;21,3;16,254167;14,1;null;null;
2023-03-21;3;824,320833;23,2;16,191667;14;null;null;
2023-03-22;40,4;825,825;20,3;14,7875;12,5;null;null;
2023-03-23;13;825,141667;18;14,783333;13,5;null;null;
2023-03-24;9,2;824,079167;18,9;15,920833;13;null;null;
2023-03-25;16;822,629167;19,5;14,395833;11,7;null;null;
2023-03-26;7;820,583333;17,7;14,125;12,4;null;null;
2023-03-27;,2;822,975;13,7;10,225;7,4;null;null;
2023-03-28;1;822,3125;19,6;11,65;8,3;null;null;
2023-03-29;1,8;822,4125;21,9;14,245833;10,3;null;null;
2023-03-30;20,8;822,575;21,1;15,625;11,2;null;null;
2023-03-31;1;822,3375;21,8;15,791667;12;null;null;
2023-04-01;0;820,483333;15,6;11,954167;11,5;null;null;
2023-04-02;,2;821,945833;15,4;9,529167;5,7;null;null;
2023-04-03;,4;821,6375;20,1;12,366667;6,2;null;null;
2023-04-04;,4;821,483333;19,4;13,316667;10,4;null;null;
2023-04-05;4,8;822,504167;14,8;11,495833;9,9;null;null;
2023-04-06;9,2;822,741667;12,2;10,370833;9,8;null;null;
2023-04-07;17,4;821,75;12;10,1125;8,9;null;null;
2023-04-08;12,2;823,1;13,1;10,579167;9;null;null;
2023-04-09;6,4;824,583333;14,7;11,3625;9,9;null;null;
2023-04-10;1,4;825,291667;18,3;12,570833;10,1;null;null;
2023-04-11;,4;823,4875;18,9;13,491667;10,9;null;null;
2023-04-12;0;821,275;20,2;14,833333;11,6;null;null;
2023-04-13;0;819,3625;18,9;13,6625;12,1;null;null;
2023-04-14;20,6;820,575;12,3;10,658333;9,7;null;null;
2023-04-15;18,2;822,6125;12,7;10,3625;8,9;null;null;
2023-04-16;6,8;820,895833;12,8;11,341667;10;null;10,595833;
2023-04-17;18,8;815,116667;19,4;13,154167;10,6;null;6,370833;
2023-04-18;6;811,970833;16,9;11,375;9,1;null;3,9375;
2023-04-19;0;810,754167;8,9;5,0375;3,8;null;12,170833;
2023-04-20;1,8;818,0125;10,7;5,020833;,9;null;8,829167;
2023-04-21;,4;823,545833;14,1;7,941667;4,2;null;5,120833;
2023-04-22;,4;824,541667;14,9;9,054167;6,9;null;6,995833;
2023-04-23;0;825,629167;12,4;9,204167;6,8;null;3,841667;
2023-04-24;6;825,941667;13;10,229167;9;null;6,1875;
2023-04-25;1,4;824,179167;16;10,7375;8,5;null;9,066667;
