Nome: FOZ DO IGUACU
Codigo Estacao: A846
Latitude: -25.60194444
Longitude: -54.48305554
Altitude: 235.09
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;982,429167;37,5;29,6125;21,3;58,541667;3,504167;
2023-01-02;44,2;981,870833;30,3;24,75;20,9;81,541667;2,604167;
2023-01-03;5;980,525;30,6;23,316667;21,1;89,125;1,7375;
2023-01-04;36,2;982,158333;30,9;23,658333;18,3;72,125;1,85;
2023-01-05;0;984,616667;32,4;24,7625;17,5;58,625;1,975;
2023-01-06;0;986,883333;32,4;23,791667;16,3;58,208333;2,1625;
2023-01-07;0;988,375;30,8;23,816667;18;56,958333;2,283333;
2023-01-08;0;987,633333;31,9;24,679167;19,3;59,375;1,941667;
2023-01-09;0;985,15;31,7;23,904167;19,8;71,5;1,666667;
2023-01-10;2;984,154167;28,2;22,979167;19,1;81,458333;1,6875;
2023-01-11;1,8;983,458333;32,8;25,6125;19,5;72,541667;1,795833;
2023-01-12;0;980,929167;32,9;26,625;20,4;72,083333;2,191667;
2023-01-13;0;979,8875;30,3;24,208333;20,5;79,791667;2,483333;
2023-01-14;6,4;981,991667;28,5;23,529167;19,9;82,5;1,225;
2023-01-15;,8;984,7;29,1;24,395833;20,7;82,166667;,795833;
2023-01-16;0;984,604167;33,5;26,379167;20,2;74,208333;,6125;
2023-01-17;0;985,0875;34,2;25,7125;21,3;77,708333;1,345833;
2023-01-18;,2;986,983333;33,6;24,858333;19,8;80,5;1,908333;
2023-01-19;14,4;986,225;32,6;25,7875;19,8;74,041667;1,616667;
2023-01-20;0;982,416667;33,5;26,495833;20,1;71,291667;2,016667;
2023-01-21;0;979,579167;32,7;25,816667;21;76,708333;1,883333;
2023-01-22;33,2;980,104167;26,2;23,520833;21,3;85,375;1,733333;
2023-01-23;,8;981,554167;32,8;25,55;19,3;76,458333;,608333;
2023-01-24;0;980,9375;33,3;27,129167;21,1;68,25;1,845833;
2023-01-25;0;981,441667;35,2;28,045833;21,1;63,666667;1,679167;
2023-01-26;0;981,445833;34,8;27,8625;21,4;63,125;2,045833;
2023-01-27;0;982,129167;35;27,629167;21,7;65,083333;1,870833;
2023-01-28;0;983,4125;35,4;27,129167;20,9;67,875;2,0375;
2023-01-29;0;983,4625;33,4;24,820833;21,7;84,166667;1,333333;
2023-01-30;36,4;981;31,6;24,5;20,4;83,833333;1,533333;
2023-01-31;36,8;981,725;28,7;23,516667;20,5;90,708333;1,470833;
2023-02-01;45,6;983,079167;31,4;25,445833;20,4;78,875;1,170833;
2023-02-02;0;982,654167;32,8;26,766667;22,5;78,5;1,404167;
2023-02-03;8,4;982,133333;27,9;23,420833;21,3;90,958333;1,8625;
2023-02-04;27;984,191667;29,7;23,320833;20,2;87,625;,858333;
2023-02-05;25;985,225;30,9;24,283333;18,9;76,125;,7625;
2023-02-06;0;984,133333;33;25,1375;18,1;66,333333;1,483333;
2023-02-07;0;984,320833;33,8;26,258333;19,2;61,875;1,716667;
2023-02-08;0;983,708333;34,5;26,516667;19,5;59,708333;1,920833;
2023-02-09;0;983,258333;34,6;26,4625;19,1;64,291667;2,05;
2023-02-10;0;983,4875;31,4;25,583333;22,8;75,208333;2,470833;
2023-02-11;0;983,654167;31,8;24,9375;18,5;74,666667;1,8625;
2023-02-12;0;982,391667;33;26,545833;20,9;73,541667;1,720833;
2023-02-13;0;981,770833;33,4;26,4125;22,4;72,208333;3,716667;
2023-02-14;0;981,245833;29,3;24,704167;22,4;83,625;3,0375;
2023-02-15;63,8;979,645833;28,6;23,795833;21,5;85,416667;2,25;
2023-02-16;,2;976,070833;30,7;24,016667;18,6;82,541667;2,633333;
2023-02-17;25;978,883333;26,7;22,691667;20;82,5;3,041667;
2023-02-18;0;989,8625;24,5;17,283333;8,6;56,25;2,875;
2023-02-19;0;988,733333;29,5;19,45;10,5;71,125;2,033333;
2023-02-20;10,2;987,408333;22,7;19,791667;18,1;88,916667;2,0125;
2023-02-21;9,2;985,958333;29,9;21,2125;13,9;81,833333;,708333;
2023-02-22;0;986,408333;32,3;24,341667;18,6;79,125;1,970833;
2023-02-23;0;986,291667;31,7;23,104167;19,4;85,833333;2,404167;
2023-02-24;16,8;983,816667;28,9;23,1625;19,9;84,5;1,870833;
2023-02-25;0;982,6875;31,9;25,604167;21,7;77,166667;2,870833;
2023-02-26;5,4;985,233333;27,2;23,8625;21,4;83,083333;2,2625;
2023-02-27;1,8;989,754167;26,8;22,225;19,2;89,875;,925;
2023-02-28;0;988,895833;31,3;23,525;19,1;80,416667;2,654167;
2023-03-01;,2;986,529167;29,9;23,8125;18,8;78,375;2,625;
2023-03-02;0;984,345833;28;23,320833;20,1;82,416667;2,175;
2023-03-03;0;983,0875;24,7;22,370833;20,9;91,875;1,308333;
2023-03-04;81,2;983,075;32,5;25,129167;21,1;81,708333;1,866667;
2023-03-05;,2;983,408333;30;23,641667;18,9;83,041667;1,758333;
2023-03-06;,2;981,208333;31,7;24,083333;17,6;75,583333;1,45;
2023-03-07;0;980,529167;33,9;25,183333;17,9;69,541667;1,55;
2023-03-08;0;983,1625;27,3;23,754167;19,8;83,458333;1,879167;
2023-03-09;5,8;985,475;26,7;22,4375;20,9;89,416667;2,933333;
2023-03-10;6,2;985,183333;32,7;24,8625;19,5;77,916667;2,070833;
2023-03-11;0;984,6625;32,7;25,970833;20,9;77,916667;1,8125;
2023-03-12;0;984,8625;32,8;25,854167;20,4;75,875;2,720833;
2023-03-13;2,2;985,233333;28,6;23,3625;21,9;90,166667;2,133333;
2023-03-14;17,6;984,870833;30,2;24,204167;21,8;87;3,229167;
2023-03-15;6,6;984,8625;30,3;24,708333;22;84,916667;3,270833;
2023-03-16;1,4;984,520833;32;25,1375;21,3;83,333333;2,975;
2023-03-17;0;985,033333;32,3;25,879167;22,1;78,916667;2,433333;
2023-03-18;0;985,783333;34,2;26,420833;21,9;73,75;2,3375;
2023-03-19;0;985,658333;34,7;25,729167;19,8;76,25;1,958333;
2023-03-20;0;986,058333;35,2;25,8875;19,5;72,375;1,754167;
2023-03-21;0;986,233333;35,7;26,3;19,8;73,666667;1,658333;
2023-03-22;0;987,145833;33,8;26,558333;20,9;74,625;2,341667;
2023-03-23;0;987,408333;35,4;27,4875;22,1;68,25;3,079167;
2023-03-24;0;986,916667;34,6;26,491667;21,1;75,458333;1,179167;
2023-03-25;0;985,416667;34,1;25,55;21,3;79,25;2,120833;
2023-03-26;5;987,354167;28,8;24,375;21,4;79,791667;1,575;
2023-03-27;0;986,95;30,7;22,645833;15,8;71,208333;1,0875;
2023-03-28;0;984,520833;32,5;24,625;17,8;76,041667;2,470833;
2023-03-29;0;984,020833;35,6;27,8375;22,4;70,458333;2,579167;
2023-03-30;3,2;987,4875;26,5;21,891667;18;83,041667;2,108333;
2023-03-31;0;987,479167;31,3;23,308333;17;81;1,183333;
2023-04-01;0;987,208333;29,3;24,245833;19,7;78,041667;1,845833;
2023-04-02;0;986,1375;30,3;20,758333;11,5;66,416667;1,491667;
2023-04-03;0;984,795833;32,2;23,091667;15,1;74,041667;2,65;
2023-04-04;0;984,508333;32,7;24,508333;19,4;75,625;1,616667;
2023-04-05;0;985,0125;25,2;21,8;19,5;84,375;1,6125;
2023-04-06;17,8;985,779167;20,9;19,758333;18,7;94,916667;1,466667;
2023-04-07;25,2;985,795833;25,3;21,495833;18,7;89,666667;1,2125;
2023-04-08;0;987,120833;28,3;21,970833;18,2;83,833333;1,279167;
2023-04-09;0;988,25;30,9;22,929167;16,8;81,791667;1,416667;
2023-04-10;0;989,1125;30,6;24,2;19,8;76,958333;2,091667;
2023-04-11;,2;986,741667;30,9;24,058333;19,3;76,833333;2,275;
2023-04-12;0;984,283333;31,4;24,016667;18,1;74,75;2,045833;
2023-04-13;0;982,208333;25,4;20,520833;18,1;88,875;2,258333;
2023-04-14;12,8;983,7125;27,2;21,591667;18,3;85,666667;1,183333;
2023-04-15;0;986,183333;26,1;21,291667;18,2;88,75;1,058333;
2023-04-16;,6;984,991667;26;21,858333;19,7;94,666667;,966667;
2023-04-17;25,2;979,970833;22,4;21,35;20,7;96,666667;,933333;
2023-04-18;5,4;978,225;25,6;21,070833;18,5;80,291667;2,2;
2023-04-19;0;984,183333;22,1;16,708333;10,8;75,208333;1,858333;
2023-04-20;0;989,066667;21,8;16,158333;9,9;68,291667;1,216667;
2023-04-21;0;988,6375;25,9;16,820833;10;72,541667;3,166667;
2023-04-22;0;989,716667;26,7;18,166667;11,5;71,375;1,970833;
2023-04-23;0;989,25;27;19,225;12,5;78,708333;2,025;
2023-04-24;0;988,741667;28,5;21,820833;16,5;75,666667;2,891667;
2023-04-25;32;988,091667;25,4;20,070833;18,4;89,458333;3,6;
2023-04-26;54,4;987,316667;25,1;19,616667;16,1;87,291667;1,05;
2023-04-27;,2;987,479167;24,6;18,620833;13,6;83,833333;1,120833;
2023-04-28;,2;987,620833;26;18,554167;12,5;80,041667;1,491667;
2023-04-29;0;987,491667;27,6;20,029167;15;82,416667;2,85;
2023-04-30;,2;986,879167;28,2;21,270833;15,9;77,833333;3,7625;
2023-05-01;0;986,775;28,9;22,266667;17,1;78,875;2,808333;
2023-05-02;0;985,116667;28,5;22,520833;19,6;87,25;2,345833;
2023-05-03;60;986,058333;21,6;20,745833;20,7;96,166667;1,725;
2023-05-04;6,4;987,745833;24,5;20,204167;18,5;93,916667;,55;
2023-05-05;0;987,979167;29,4;23,654167;19,4;85,791667;2,554167;
2023-05-06;0;988,104167;28;23,7875;21,2;86,583333;2,058333;
2023-05-07;0;986,279167;28,8;23,2;20,2;85,875;2,583333;
2023-05-08;2,6;989,829167;22;19;17,5;91,583333;1,791667;
2023-05-09;0;991,041667;23,6;17,529167;13,4;84,583333;1,141667;
2023-05-10;,2;990,504167;24;15,758333;8,6;81,625;1,1875;
2023-05-11;0;990,166667;22,6;14,95;8,7;79,208333;1,375;
2023-05-12;0;990,954167;22,3;14,641667;8,8;76,666667;1,008333;
2023-05-13;,2;991,095833;23,3;13,991667;6,3;77,458333;,845833;
2023-05-14;0;992,2375;24,7;15,158333;8,2;77,958333;1,220833;
2023-05-15;,2;992,75;25,5;16,5875;10,2;78,208333;1,5625;
2023-05-16;0;991,008333;26,3;16,8;10,2;79;1,454167;
2023-05-17;,2;989,016667;26,7;17,558333;12,1;77,708333;2,783333;
2023-05-18;,2;990,891667;25,3;18,1625;11,8;75,666667;2,454167;
2023-05-19;,2;989,741667;24,2;17,154167;11,6;85,083333;1,704167;
2023-05-20;,2;988,979167;22,3;16,816667;12,9;90,083333;1,941667;
2023-05-21;0;986,529167;21;17,625;14,8;90,75;1,683333;
2023-05-22;7,6;987,0125;21,9;18,033333;15,9;91,958333;3,15;
2023-05-23;,8;989,229167;28,1;20,8875;16,3;79,416667;2,583333;
2023-05-24;0;988,395833;28,3;21,079167;16,8;77,666667;3,4;
2023-05-25;0;987,891667;28,4;20,929167;15,7;72,583333;3,733333;
2023-05-26;0;986,204167;28,5;21,7375;16,3;74,083333;3,804167;
2023-05-27;36;986,904167;22,8;19,291667;18,5;91;2,345833;
2023-05-28;46;989,654167;23;18,716667;16,5;90,375;1,445833;
2023-05-29;0;990,591667;24,1;17,391667;12,3;90,125;1,391667;
2023-05-30;,2;991,441667;21,5;18,375;15;88,833333;2,216667;
2023-05-31;0;991,8125;24,7;18,058333;14;83,75;2,054167;
2023-06-01;,2;992,704167;24,9;17,6375;12,5;86,416667;1,35;
2023-06-02;,2;990,191667;25,8;18,283333;13,5;83,166667;2,575;
2023-06-03;0;989,4;26,2;18,325;12,3;78,333333;3,3125;
2023-06-04;,2;991,254167;27,1;19,029167;14,1;82,291667;2,558333;
2023-06-05;0;992,166667;26,3;19,191667;14,8;81,25;2,245833;
2023-06-06;0;990,708333;26,1;18,929167;14,7;80,708333;2,9625;
2023-06-07;0;991,154167;26,8;18,695833;13,4;78,583333;2,2125;
2023-06-08;,2;990,3625;27,2;18,966667;13,9;80,375;2,441667;
2023-06-09;0;987,516667;27,6;19,120833;12,8;73,833333;2,825;
2023-06-10;0;986,15;25,8;19,441667;14,5;78,416667;2,116667;
2023-06-11;0;985,745833;22,9;17,958333;17;87,333333;3,291667;
2023-06-12;26,6;991,3625;17,5;12,1375;9,8;82,25;3,2875;
2023-06-13;0;994,570833;11,2;9,220833;8,3;82,5;3,158333;
2023-06-14;12,4;null;12,4;null;8,3;97,588235;null;
2023-06-15;null;null;null;null;null;null;null;
2023-06-16;null;null;null;null;null;null;null;
2023-06-17;null;null;17,3;null;null;84,769231;null;
2023-06-18;null;995,22381;18,2;null;6,3;82,666667;1,542857;
2023-06-19;,2;992,766667;23,1;14,270833;7,6;81,666667;3,5;
2023-06-20;0;992,029167;23,8;15,5;8,8;80,875;2,9625;
2023-06-21;0;987,7625;23,5;17,2125;12,7;85,333333;2,7125;
2023-06-22;,8;986,941667;21,8;18,225;15,9;91,583333;2,1375;
2023-06-23;19,4;985,691667;20,3;18,245833;16,6;90,833333;3,629167;
2023-06-24;8,2;986,4625;28,1;20,2;14,4;77,583333;3,345833;
2023-06-25;0;988,875;27,9;20,1375;14,1;77,625;2,145833;
2023-06-26;0;989,225;27,8;20,141667;14,9;76,375;2,175;
2023-06-27;0;988,45;27;19,479167;13,3;73,208333;3,158333;
2023-06-28;0;990,5875;27,2;19,191667;13;78,458333;1,6375;
2023-06-29;0;993,095833;25,9;18,5;12,6;82,5;,658333;
2023-06-30;0;993,1875;25,5;19,675;15;79,916667;2,029167;
