Nome: DIONISIO CERQUEIRA
Codigo Estacao: A848
Latitude: -26.286562
Longitude: -53.633114
Altitude: 807.54
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;921,4125;32;26,429167;22;57,125;4,404167;
2023-01-02;17,2;919,85;27,8;22,2875;19,1;82,583333;3,091667;
2023-01-03;,2;918,391667;23,9;19,895833;19,4;93,083333;2,316667;
2023-01-04;84;919,525;25,9;19,9875;16;75,583333;3,2625;
2023-01-05;0;922,270833;27,6;22,541667;16,9;49,708333;2,775;
2023-01-06;0;924,433333;26,8;21,783333;16,5;47,666667;3,995833;
2023-01-07;0;925,995833;26,6;21,1625;14,6;55,375;3,491667;
2023-01-08;0;925,204167;26,5;21,383333;16,3;59,166667;3,6;
2023-01-09;0;922,85;27;21,629167;18;66;3,354167;
2023-01-10;7,4;921,804167;26,5;21,829167;19,3;71,541667;3,2375;
2023-01-11;0;921,2875;29;22,4625;17,9;70,458333;2,9875;
2023-01-12;1,6;919,316667;28,5;23,479167;20,7;71,333333;2,85;
2023-01-13;,6;917,829167;23,4;20,108333;19,3;87;4,079167;
2023-01-14;7,4;919,508333;23,5;20,104167;17,5;87,416667;2,325;
2023-01-15;4,2;922,116667;25,5;20,925;18,8;87,625;1,7625;
2023-01-16;7,4;922,616667;28,8;23,504167;19,7;75,958333;1,716667;
2023-01-17;0;923,5375;29,3;23,229167;21,9;78,75;3,05;
2023-01-18;47;924,845833;28,8;22,016667;18,9;80,875;3,341667;
2023-01-19;1;924,079167;28,3;23,054167;19,3;72,041667;3,1125;
2023-01-20;0;920,7;29,2;23,741667;19,6;70,208333;3,1875;
2023-01-21;0;918,108333;30,3;24,379167;20,4;71,625;3,583333;
2023-01-22;2,4;917,933333;24,3;21,975;20,5;83,666667;2,7375;
2023-01-23;,2;919,516667;28,8;23,308333;19,8;78,416667;1,083333;
2023-01-24;0;919,5875;30;24,9375;19,6;59,333333;2,508333;
2023-01-25;0;920,454167;30,7;26,741667;23,2;49;2,745833;
2023-01-26;0;920,420833;30,4;26,675;22,7;48,083333;2,8875;
2023-01-27;0;921,0375;30,6;25,383333;21,4;55,583333;3,3125;
2023-01-28;0;922,225;31,7;26,208333;23,2;53,375;3,091667;
2023-01-29;0;921,729167;28,8;23,429167;21,8;73,541667;2,841667;
2023-01-30;2,8;918,8625;28,8;22,795833;19,2;74,166667;3,316667;
2023-01-31;11,4;919,533333;25,9;21,708333;18,9;89,833333;3,4375;
2023-02-01;,2;921,041667;28,3;23,025;19,3;81,75;2,979167;
2023-02-02;,2;920,904167;28,1;23,35;20,8;83,666667;2,316667;
2023-02-03;22,6;919,379167;24,3;20,783333;18,6;92;2,508333;
2023-02-04;12,2;921,445833;24,5;20,879167;18,2;86,208333;2,225;
2023-02-05;0;922,725;26,7;22,075;18;64,875;1,866667;
2023-02-06;0;922,095833;28,3;23,725;19,6;47,791667;2,1375;
2023-02-07;0;922,691667;29,4;25,083333;21,3;43,25;2,1125;
2023-02-08;0;922,1;30,2;25,358333;21,4;47,625;2,675;
2023-02-09;0;922;31;25,983333;22,3;53,166667;2,445833;
2023-02-10;0;922,020833;25,1;21,691667;20,9;74,5;3,829167;
2023-02-11;5,8;921,704167;29,1;23,008333;18,1;67;3,083333;
2023-02-12;0;920,983333;29,3;24,858333;20,8;65,708333;2,6625;
2023-02-13;0;920,029167;28,7;23,970833;20;72,875;3,979167;
2023-02-14;,4;919,341667;24,6;21,166667;19,8;93,833333;3,479167;
2023-02-15;17,4;917,108333;24,9;21,016667;19,2;90,666667;3,233333;
2023-02-16;,4;914,383333;26,7;20,929167;18,6;90,875;3,025;
2023-02-17;38,2;915,991667;20,4;19,020833;18,1;93,541667;4,129167;
2023-02-18;0;925,295833;20;13,55;7,7;60,791667;5,008333;
2023-02-19;0;925,441667;25,9;17,8625;9,9;70,083333;3,5625;
2023-02-20;9,8;924,158333;19;16,716667;16,6;90,833333;3,145833;
2023-02-21;27,6;923,016667;25,8;19,25;13,6;82;1,9125;
2023-02-22;0;924,283333;28,2;22,241667;18,9;75,416667;2,841667;
2023-02-23;,2;924,008333;27,2;21,845833;20;83,333333;3,816667;
2023-02-24;21,4;921,075;22,7;19,3125;17,5;96,791667;3,179167;
2023-02-25;5,2;920,3875;26,2;21,608333;18;87,333333;3,004167;
