Nome: PARANAPOEMA
Codigo Estacao: A850
Latitude: -22.65833333
Longitude: -52.13444444
Altitude: 308.7
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;976,133333;33,2;26,7125;22,5;74,625;2,658333;
2023-01-02;4,4;974,883333;29,8;23,879167;23;85,291667;2,466667;
2023-01-03;14,4;973,220833;30,7;24,491667;20,2;81,208333;1,379167;
2023-01-04;24,2;972,358333;29;23,370833;20;86,125;2,4375;
2023-01-05;4,2;975,820833;25,5;22,133333;19,4;74,125;4,345833;
2023-01-06;0;977,9375;27,6;22,795833;17,4;69,791667;4,033333;
2023-01-07;0;979,258333;28,3;23,495833;18,4;63,541667;6,525;
2023-01-08;0;978,7375;29,6;23,770833;18,1;67,125;4,75;
2023-01-09;0;976,8125;29,8;24,291667;20,3;72;3,629167;
2023-01-10;0;976,191667;31,8;25,466667;21,5;72,958333;3,754167;
2023-01-11;9,2;976,316667;31,1;23,2875;20,7;83,416667;2,175;
2023-01-12;35,4;974,75;29,8;24,083333;19,9;83,875;1,679167;
2023-01-13;19,2;972,9875;30,7;24,825;20,6;82,666667;3,033333;
2023-01-14;56,4;974,4875;31,2;24,391667;21;82,583333;3,058333;
2023-01-15;0;976,916667;31,9;25,895833;21,8;77,416667;1,766667;
2023-01-16;0;976,666667;32,8;25,941667;22;78,25;1,708333;
2023-01-17;,4;977,458333;32,8;26,433333;22,8;75,541667;1,933333;
2023-01-18;0;978,383333;34,4;27,458333;23,3;69,625;3,254167;
2023-01-19;1,4;977,975;33;26,5125;21,7;72,125;2,295833;
2023-01-20;0;975,133333;30,6;25,720833;22,5;77,125;2,404167;
2023-01-21;0;972,933333;31,6;24,579167;21;82,416667;1,529167;
2023-01-22;13,4;972,775;31,4;24,1125;20,6;85,25;2,4875;
2023-01-23;6,8;973,829167;31;25,329167;21,1;79,708333;1,5625;
2023-01-24;0;972,9875;33,8;26,9625;21,8;74,916667;1,5125;
2023-01-25;0;973,845833;33,7;27,308333;21,2;69,375;2,454167;
2023-01-26;0;973,770833;34,6;26,8375;20,9;59,291667;2,766667;
2023-01-27;0;974,279167;34,1;27,220833;21,4;58,25;3,729167;
2023-01-28;0;975,933333;34;27,775;23,6;68,583333;2,241667;
