Nome: ITAPOA
Codigo Estacao: A851
Latitude: -26.08138888
Longitude: -48.64166666
Altitude: 6.18
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1013,783333;28,8;25,2125;19,2;81,458333;1,7;
2023-01-02;,2;1010,0625;28,8;25,466667;20,7;83,708333;1,804167;
2023-01-03;0;1005,970833;30,1;25,133333;21,6;88,833333;1,441667;
2023-01-04;23,4;1009,941667;23,8;20,2375;19,2;92,708333;2,0125;
2023-01-05;7,4;1013,7;27,3;22,008333;18,3;81,125;1,325;
2023-01-06;0;1017,408333;27,9;21,7;14,7;78,625;1,725;
2023-01-07;1,8;1019,4;27,1;22,558333;16,7;79,833333;1,9125;
2023-01-08;2,6;1017,983333;27,2;22,658333;18,6;82,833333;1,5875;
2023-01-09;,2;1015,716667;25,9;22,816667;19,5;81,791667;1,066667;
2023-01-10;0;1013,691667;27,9;23,679167;20;83,041667;1,454167;
2023-01-11;1,6;1011,116667;27,9;24,475;21,1;87,541667;1,208333;
2023-01-12;,6;1008,420833;29,7;24,841667;21,4;88,75;1,083333;
2023-01-13;1,2;1006,725;30,3;25,141667;21,2;84,833333;1,316667;
2023-01-14;,4;1007,995833;31,3;25,779167;19,7;84,416667;1,229167;
2023-01-15;14;1011,925;28,1;24,733333;22,7;90,958333;1,354167;
2023-01-16;8,8;1012,925;27,8;24,875;22,9;88,25;1,5;
2023-01-17;1,6;1014,15;29,8;25,5625;23,2;87,875;1,541667;
2023-01-18;85,8;1015,7625;29,5;25,145833;22,1;86,833333;1,5;
2023-01-19;29,6;1015,145833;28,8;24,7125;22,1;89,541667;1,158333;
2023-01-20;5,6;1011,541667;28,4;24,958333;22,9;88,875;,941667;
2023-01-21;8,8;1007,591667;29,2;24,866667;19,3;85,958333;1,404167;
2023-01-22;0;1005,508333;30,8;24,254167;20,2;89,291667;1,129167;
2023-01-23;34,4;1007,8875;30,1;25,3125;20,9;85,125;1,141667;
