Nome: FREDERICO WESTPHALEN
Codigo Estacao: A854
Latitude: -27.39555555
Longitude: -53.42944443
Altitude: 489.42
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;955,133333;34,6;27,583333;20,6;55,458333;1,675;
2023-01-02;42,6;953,483333;28,7;23,679167;19,9;83,291667;1,983333;
2023-01-03;6;952,508333;30;22,658333;21,4;87,625;1,395833;
2023-01-04;4,6;954,391667;29,6;22,65;17,2;67,291667;2;
2023-01-05;0;956,870833;30,4;22,929167;17;51,833333;1,404167;
2023-01-06;0;959,520833;29,8;23,216667;17,6;47,875;2,170833;
2023-01-07;0;961,320833;28,9;23,116667;17,5;53,583333;2,170833;
2023-01-08;0;960,2875;29,9;22,895833;17,4;57,5;1,395833;
2023-01-09;0;957,4125;31,5;23,8;17,8;58,625;1,375;
2023-01-10;0;956,4125;27,5;22,145833;18,5;72,583333;1,866667;
2023-01-11;0;955,3875;32,7;23,979167;15,4;63,291667;1,229167;
2023-01-12;0;953,2875;31,6;23,095833;18;74,833333;1,354167;
2023-01-13;,6;952,208333;24,8;19,958333;18,4;90,083333;1,25;
2023-01-14;65,8;954,208333;26,2;20,754167;15,9;87,916667;,691667;
2023-01-15;0;956,4625;29,7;23,3375;19,2;83,458333;,508333;
2023-01-16;0;956,925;30,4;24,445833;18,8;77,875;,975;
2023-01-17;0;957,5875;33,6;25,520833;21,4;74,333333;2,125;
2023-01-18;0;959,4125;32,7;24,566667;18,9;78,791667;1,683333;
2023-01-19;18;958,729167;31,3;24,25;19;76,916667;1,416667;
2023-01-20;0;954,725;32,7;25,825;20,7;66,375;1,366667;
2023-01-21;0;951,820833;33,6;24,929167;20,6;73,458333;1,604167;
2023-01-22;24,2;951,533333;29,5;24,070833;19,6;81,625;1,5625;
2023-01-23;,2;953,266667;32,4;25,333333;20,4;76,458333;1,370833;
2023-01-24;,6;953,433333;33,4;24,8125;18,4;67,125;1,008333;
2023-01-25;,2;954,1375;34,1;26,108333;19,4;60,416667;1,295833;
2023-01-26;0;954,141667;34,1;26,9;21,8;57,25;1,966667;
2023-01-27;0;954,920833;33,9;26,654167;21,7;59,541667;1,491667;
2023-01-28;0;955,970833;34,7;26,570833;20,3;62,458333;1,3125;
2023-01-29;0;955,7125;31,3;23,841667;22,5;80,666667;1,65;
2023-01-30;10,4;953,125;29,9;23,041667;19;84,75;,895833;
2023-01-31;0;953,308333;31,6;24,766667;19,3;75,541667;1,541667;
2023-02-01;0;955,108333;32,4;25,4125;19,5;74,041667;,904167;
2023-02-02;0;954,683333;32,4;24,858333;20,6;77,791667;1,275;
2023-02-03;23,6;953,291667;25;22,008333;21,1;92,916667;1,420833;
2023-02-04;11;955,733333;27,5;21,066667;16,2;84,041667;1,1625;
