Nome: CURITIBANOS
Codigo Estacao: A860
Latitude: -27.2886111
Longitude: -50.60416666
Altitude: 978.1
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;905,2875;29,6;22,116667;16,2;71,666667;3,345833;
2023-01-02;0;902,545833;25,8;21,091667;17,8;79,458333;3,225;
2023-01-03;1,4;899,795833;28,3;21,541667;17,5;79,083333;1,858333;
2023-01-04;20,2;902,154167;23;17,070833;12,9;82,291667;2,520833;
2023-01-05;1,8;905,229167;24,3;17,304167;8,9;66,833333;2,229167;
2023-01-06;0;908,175;23,9;17,833333;12,2;69,791667;3,720833;
2023-01-07;0;909,941667;23,9;17,383333;12,6;72,333333;4,604167;
2023-01-08;0;908,875;23,7;17,379167;11,7;72,541667;3,225;
2023-01-09;0;906,4125;26;18,579167;14,9;73,416667;3,229167;
2023-01-10;0;905,158333;25,1;19,0125;15,9;80,75;2,604167;
2023-01-11;4,8;903,65;29;21,033333;15,2;71,75;2,545833;
2023-01-12;0;901,741667;29,5;22,2125;17;70,583333;2,566667;
2023-01-13;0;900,3875;28,4;20,808333;17,4;77,291667;3,195833;
2023-01-14;1;901,620833;30,2;20,675;15,6;78,666667;2,8625;
2023-01-15;12,4;904,908333;25,5;20,275;18,1;87,5;2,008333;
2023-01-16;2;905,266667;27,3;21,6;18,7;84,041667;2,404167;
2023-01-17;3,8;906,929167;27,5;20,345833;18,3;89,291667;2,379167;
2023-01-18;56,4;908,1125;26,2;19,983333;17;86,166667;2,6;
2023-01-19;3,4;907,420833;26,8;20,7125;18,2;83,541667;2,85;
2023-01-20;1,2;904,058333;27,1;20,675;16,6;78,25;2,933333;
2023-01-21;0;900,7625;28,5;21,745833;16;73,791667;2,575;
2023-01-22;,2;899,7375;26,8;21,275;17,5;80,041667;3,183333;
2023-01-23;1,2;901,891667;27,4;19,9375;17,2;81,791667;2,704167;
2023-01-24;2,4;902,270833;29,2;20,5375;12,3;64,75;1,979167;
2023-01-25;0;903,366667;30,4;22,958333;17;62,708333;2,3875;
2023-01-26;0;903,9875;29;22,629167;17,1;67,958333;3,254167;
2023-01-27;0;904,641667;30,1;21,258333;14,7;65,791667;2,729167;
2023-01-28;0;905,095833;30,8;22,670833;17,1;67,916667;2,516667;
2023-01-29;0;904,058333;27;20,775;18,8;83,666667;2,5125;
2023-01-30;26,4;901,825;25,8;19,470833;16,8;85,625;2,129167;
2023-01-31;2,8;901,9875;27;20,479167;16,3;82,708333;1,970833;
2023-02-01;0;903,458333;27,7;21,925;17,2;81,583333;2,058333;
2023-02-02;1,2;903,495833;29,5;21,866667;18,5;78,25;1,975;
2023-02-03;,2;901,083333;26,8;20,4;18;86,875;2,716667;
2023-02-04;30,2;902,370833;25,8;19,716667;16,5;82,291667;3,0625;
2023-02-05;0;904,033333;25,6;19,3;13,8;72,625;3,120833;
2023-02-06;0;904,3625;27,4;19,783333;11,2;60,666667;1,654167;
2023-02-07;0;905,3;28,4;21,595833;15,7;66,458333;2,325;
2023-02-08;0;904,970833;29,2;22,308333;16;65,458333;2,6125;
2023-02-09;0;905,3375;28,8;19,8;16,9;81,916667;2,745833;
2023-02-10;9,4;905,154167;27,8;18,883333;17,3;86,791667;2,333333;
2023-02-11;31;904,8625;28,3;20,566667;13,7;73,291667;1,920833;
2023-02-12;0;904,0875;30,2;22,545833;16,4;70,916667;2,454167;
2023-02-13;,2;903,2875;29,7;22,379167;15,9;70,291667;2,508333;
2023-02-14;0;902,0125;27,2;21,525;18,8;84,125;3,033333;
2023-02-15;4,2;898,879167;23,9;20,016667;17,5;87,916667;2,245833;
2023-02-16;9,4;896,708333;27,4;20,245833;16,5;84,875;1,570833;
2023-02-17;,2;897,229167;23,7;19,7;17,7;85,625;2,8;
2023-02-18;2,4;906,520833;20,9;15,591667;11,9;77,666667;3,0625;
2023-02-19;,2;909,891667;18,4;14,1125;10,5;83,25;4,0625;
2023-02-20;6,2;906,5875;20;16,533333;14,1;93,416667;2,5875;
2023-02-21;27,6;904,933333;25,2;18,991667;15,3;83,458333;2,35;
2023-02-22;0;907,554167;27,5;20,329167;15;78,5;2,954167;
2023-02-23;,2;907,591667;25,9;18,491667;17;86,875;3,725;
2023-02-24;27,4;903,7875;22,2;18,366667;15,4;88,166667;2,104167;
2023-02-25;1;902,15;27,9;20,8375;16,6;79,25;3,041667;
2023-02-26;0;905,408333;22,5;18,795833;16,3;84,458333;1,695833;
2023-02-27;3;909,708333;25,7;19,291667;14,4;80,291667;2,3125;
2023-02-28;,2;910,120833;24,8;19,554167;16,2;78,666667;3,4125;
2023-03-01;0;906,933333;26,5;20,125;17,3;78,375;3,258333;
2023-03-02;5,4;905,2875;26,9;19,6875;16,2;86,208333;2,133333;
2023-03-03;24,4;904,366667;26,9;19,991667;17,1;86,75;2,9625;
2023-03-04;13,8;903,533333;25,9;20,2875;18,2;85,208333;3,733333;
2023-03-05;11,4;902,216667;25;19,291667;16,9;87,166667;2,479167;
2023-03-06;8;901,070833;23,1;18,158333;16,2;91,541667;2,333333;
2023-03-07;14,8;901,216667;26;19,479167;16,5;87,791667;2,25;
2023-03-08;,6;903,679167;29,7;21,595833;17;77,458333;2,408333;
2023-03-09;11,4;906,404167;26;20,004167;17;86,541667;1,725;
2023-03-10;1;906,316667;26,9;20,391667;16,4;81,625;2,575;
2023-03-11;,2;906,183333;26,6;20,866667;16,8;78,541667;2,933333;
2023-03-12;0;907,3125;25;19,8625;17,6;82,708333;3,85;
2023-03-13;,2;907,7;23,6;19,5375;17,9;85,708333;4,391667;
2023-03-14;2;907,770833;23,9;19,695833;17,4;82,333333;4,579167;
2023-03-15;0;907,595833;25,7;20,4375;17,9;80,541667;4,4375;
2023-03-16;0;907,033333;25,4;19,85;16,4;79,875;3,566667;
2023-03-17;0;907,479167;25,5;20,6125;17;78,458333;3,5;
2023-03-18;0;907,108333;28,1;20,891667;16,4;72,833333;2,0875;
2023-03-19;0;906,216667;29,3;21,1875;15,7;68,166667;2,5125;
2023-03-20;0;906,079167;29,7;21,754167;15,5;70,791667;2,416667;
2023-03-21;1,8;907,229167;30,8;21,470833;16,1;75,375;2,058333;
2023-03-22;40,8;909,066667;27,4;20,766667;14,7;84,208333;2,866667;
2023-03-23;4;908,879167;27,7;20,816667;18,2;84,625;3,3625;
2023-03-24;28,2;907,570833;28,7;21,1625;17;83,25;2,341667;
2023-03-25;0;906,391667;28,4;20,466667;17,6;84,25;2,9875;
2023-03-26;18,2;905,466667;24,8;19,7625;17,4;82,5;3,316667;
2023-03-27;,2;907,425;25;17,054167;9,9;75,291667;1,708333;
2023-03-28;0;906,583333;26,5;19,120833;14;79,25;3,770833;
2023-03-29;0;906,095833;28;19,3375;17,4;87,583333;3,0625;
2023-03-30;45;906,458333;24,9;18,283333;14,2;86,375;1,95;
