Nome: ITAJAI
Codigo Estacao: A868
Latitude: -26.95083333
Longitude: -48.76194444
Altitude: 9.76
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1013,316667;28,2;24,879167;21,5;79,75;2,170833;
2023-01-02;0;1009,329167;29,4;25,195833;22,4;80,833333;1,933333;
2023-01-03;0;1005,854167;31,1;24,5375;22,9;81,916667;1,45;
2023-01-04;25,4;1009,716667;21,5;20,275;17,3;87,791667;,983333;
2023-01-05;3;1013,679167;27,3;21,716667;17;77,958333;2,195833;
2023-01-06;,2;1017,504167;26,7;21,6375;16,8;76,083333;2,404167;
2023-01-07;2,2;1019,475;25,9;21,75;18,3;77,166667;2,508333;
2023-01-08;,4;1017,829167;26,9;21,766667;17;77;2,529167;
2023-01-09;0;1015,2625;27,4;22,295833;17,4;75,833333;1,970833;
2023-01-10;0;1013,191667;27,7;22,858333;19,1;79,541667;2,120833;
2023-01-11;,2;1010,5;31,6;24,995833;21,3;79,958333;1,708333;
2023-01-12;0;1007,675;31,6;25,4;21,9;81,375;1,583333;
2023-01-13;0;1006,308333;32,3;25,4625;23,1;81,291667;1,804167;
2023-01-14;14,6;1007,8375;33,5;24,720833;20,8;82,708333;2,020833;
2023-01-15;4;1011,725;28,1;23,995833;21,6;85,458333;1,375;
2023-01-16;,4;1012,458333;29,8;25,133333;22,5;79,916667;1,7125;
2023-01-17;0;1014,004167;28,2;24,9375;22,8;81,875;1,045833;
2023-01-18;0;1015,741667;26,3;23,704167;21,6;87,208333;1,2;
2023-01-19;0;1015,016667;28;24,495833;21,5;83,958333;1,704167;
2023-01-20;0;1011,154167;29,7;24,454167;21;83,208333;1,795833;
2023-01-21;,2;1006,945833;30;25,066667;21,3;80,333333;2,054167;
2023-01-22;0;1005,079167;27,9;25,1125;22,4;82,5;1,029167;
