Nome: CIDADE GAUCHA
Codigo Estacao: A869
Latitude: -23.35916666
Longitude: -52.93194443
Altitude: 365.79
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;969,629167;33,5;27,041667;22,5;69,083333;2,125;
2023-01-02;0;968,533333;27,1;22,870833;22,4;86,541667;1,1625;
2023-01-03;22,6;966,666667;29,8;23,733333;20,1;85,833333;,833333;
2023-01-04;31,4;966,304167;25,6;22,491667;20,7;88,875;1,366667;
2023-01-05;1;969,7375;29,1;22,4875;17,3;68,833333;2,495833;
2023-01-06;0;971,933333;29;22,833333;16,6;69,083333;1,9625;
2023-01-07;0;973,225;29,7;23,291667;17,4;64,708333;3;
2023-01-08;0;972,6375;30,3;23,825;17,5;64,458333;2,595833;
2023-01-09;0;970,666667;30,3;24,679167;20,1;69,333333;2;
2023-01-10;0;970,054167;29,8;23,679167;20,6;78,458333;1,616667;
2023-01-11;4;969,7375;31,2;24,654167;20,1;78,916667;1,0375;
2023-01-12;0;968,15;30,2;23,345833;20,2;84,125;1,35;
2023-01-13;2,6;966,341667;30,4;24,3;20,8;82,541667;1,758333;
2023-01-14;40,2;968,041667;30,6;22,6375;20,3;88,916667;1,3875;
2023-01-15;54,8;970,545833;30,4;24,854167;21,2;81,5;1,458333;
2023-01-16;,2;970,345833;34,2;26,558333;21,4;73,458333;,716667;
2023-01-17;0;971,2875;30;25,525;22,1;78,208333;1,258333;
2023-01-18;,4;972,333333;33,9;26,354167;22,3;73,375;2,258333;
2023-01-19;3,4;971,816667;32,3;25,425;20,8;74,791667;1,525;
2023-01-20;,2;968,804167;29,7;24,458333;20,9;80,166667;1,183333;
2023-01-21;0;966,358333;33,8;25,3375;20,4;77,833333;1,004167;
2023-01-22;0;966,158333;32,2;25,308333;20,7;77,125;,933333;
2023-01-23;0;967,395833;32;25,341667;20,8;77,916667;,554167;
2023-01-24;0;966,8;34,7;27,304167;21,9;66,375;,904167;
2023-01-25;0;967,566667;34,9;27,5625;20,5;62,5;1,179167;
2023-01-26;0;967,7625;34,3;27,554167;21,2;53,916667;1,379167;
2023-01-27;0;968,15;34,4;27,341667;21,3;53,833333;1,695833;
2023-01-28;0;969,566667;34,2;28,154167;23;65,25;1,2;
2023-01-29;0;969,325;34,2;26,9875;22,8;71,5;1,283333;
2023-01-30;4,6;967,666667;28,9;23,533333;21,9;89,416667;,970833;
2023-01-31;29;968,4125;23,9;22,470833;21,3;94;,525;
2023-02-01;17;969,633333;30,6;24,291667;21,3;84,75;1,091667;
2023-02-02;14,6;969,866667;32,5;24,120833;21,7;87,541667;,704167;
2023-02-03;21,2;969,254167;26,2;22,841667;21,3;91,958333;1,033333;
2023-02-04;4,6;970,308333;31;24,858333;21,3;81;1,354167;
2023-02-05;,2;970,625;32,9;26,225;21;68,333333;,495833;
2023-02-06;0;969,8125;33,1;26,05;19,3;64,75;,641667;
2023-02-07;0;970,108333;34,1;26,604167;20,2;69,291667;,604167;
2023-02-08;0;969,8;34,2;26,4125;20,7;68,375;,6875;
2023-02-09;0;969,575;34,9;27,866667;22;61,125;,975;
2023-02-10;0;969,704167;30,9;25,020833;21,7;78,25;1,320833;
2023-02-11;13;969,533333;29,3;23,475;21;86,625;1,191667;
2023-02-12;15;968,991667;31,7;24,979167;21,2;79,375;,995833;
2023-02-13;0;969,266667;29,8;23,520833;20,9;86,5;1,504167;
2023-02-14;7,6;968,3875;33;24,8;21,6;82,916667;1,254167;
2023-02-15;2,8;965,479167;29,9;24,5875;21,1;82,791667;1,6875;
2023-02-16;40;963,591667;28,4;22,341667;20,8;90,916667;,8125;
2023-02-17;84,6;964,7625;28;22,104167;18,4;85;1,345833;
2023-02-18;0;970,933333;30,2;23,183333;17,3;70;2,8;
2023-02-19;0;972,845833;27,3;23,195833;20,4;69,041667;2,758333;
2023-02-20;,2;972,166667;23,9;20,479167;19,1;86,583333;1,791667;
2023-02-21;10,8;971,4375;28;22,3875;19,1;86,75;1,554167;
2023-02-22;,4;972,6375;31,4;24,033333;20,4;82,041667;1,520833;
2023-02-23;5,8;972,891667;28,5;23,358333;21,6;89,291667;1,4;
2023-02-24;41;970,870833;25,5;21,5125;18,9;88,916667;1,55;
2023-02-25;,2;969,695833;30;23,358333;18,2;82,541667;,5375;
2023-02-26;13,4;971,820833;26,7;23,55;19,6;84,041667;,766667;
2023-02-27;0;974,791667;27,8;23,7375;20;82,541667;1,045833;
2023-02-28;1,8;974,4375;31,4;25,0625;21,5;74,666667;2,433333;
2023-03-01;15,2;973,104167;30,6;22,516667;18,9;81,916667;1,854167;
2023-03-02;5,4;970,791667;30,1;24,075;21,2;81,458333;,8375;
2023-03-03;0;969,575;30,9;25,075;20,7;77,791667;1,0375;
2023-03-04;0;969,770833;32,9;26,754167;21,4;73,25;1;
2023-03-05;0;968,554167;33,1;25,783333;20,3;73;,866667;
2023-03-06;0;966,225;32,9;26,229167;20,5;67,291667;1,045833;
2023-03-07;0;966,929167;34,9;26,195833;19,5;68,833333;1,204167;
2023-03-08;4,2;969,629167;32;25,441667;20,8;76,208333;1,1875;
2023-03-09;0;970,7;31,7;25,491667;23,2;74,833333;1,454167;
2023-03-10;,8;970,966667;30,2;24,495833;21,2;78,333333;1,858333;
2023-03-11;1,2;970,520833;29,6;23,658333;21,1;83,583333;,904167;
2023-03-12;27,2;970,520833;28,9;23,2125;19,2;87,791667;1,104167;
2023-03-13;,6;970,9625;28,9;23,683333;22;86,791667;1,375;
2023-03-14;1,2;971,195833;28,3;23,979167;22;85,25;1,6;
2023-03-15;1;971,220833;29,8;24,541667;21,1;81,166667;1,404167;
2023-03-16;0;970,625;29,8;24,3875;21,9;80,541667;1,3;
2023-03-17;0;971,020833;31,4;25,441667;21,7;73,5;1,5875;
2023-03-18;0;971,845833;32,1;25,55;21,3;72,041667;1,25;
2023-03-19;0;971,729167;33,6;24,558333;20,3;76,583333;1,070833;
2023-03-20;1,2;971,779167;32,6;25,279167;20,3;73,458333;,866667;
2023-03-21;,2;972,108333;33,3;26,4875;20,8;65,791667;,704167;
2023-03-22;0;973,208333;33,9;27,229167;21;62,166667;1,208333;
2023-03-23;0;973,408333;33,3;27,4;22,6;61,666667;1,129167;
2023-03-24;0;972,633333;34,7;27,816667;20,4;59,291667;,541667;
2023-03-25;0;971,491667;34,9;26,870833;21;66,125;1,129167;
2023-03-26;0;971,975;34,6;26,7625;20,5;68,25;,583333;
2023-03-27;0;971,091667;34,2;26,729167;20,6;65,75;1,5375;
2023-03-28;0;971,191667;33,5;25,8625;21;70,583333;1,666667;
2023-03-29;0;970,7375;34,9;26,9875;22,7;67,916667;1,129167;
2023-03-30;,8;972,5375;30,6;24,766667;21,4;73,833333;1,25;
2023-03-31;,8;972,108333;34,1;25,925;20;67,416667;,695833;
2023-04-01;0;971,316667;35,3;26,725;20,2;61,791667;1,4;
2023-04-02;0;970,529167;33,2;26,3375;21;56,458333;1,570833;
2023-04-03;0;971,1625;32,3;25,433333;19,3;63,416667;1,479167;
2023-04-04;0;970,1875;32,9;26,05;19,8;61,083333;,716667;
2023-04-05;0;969,7875;32,6;26,095833;20,5;58,291667;1,216667;
2023-04-06;0;970,258333;29,1;23,745833;21,5;72,541667;1,9625;
2023-04-07;2;970,6;29,5;23,370833;19,8;79,708333;,65;
2023-04-08;0;972,058333;29,8;23,829167;20,2;77,791667;,791667;
2023-04-09;0;973,666667;30,6;24,4125;20,3;72,625;1,120833;
2023-04-10;0;974,529167;31,1;24,825;19,8;64,041667;1,3125;
2023-04-11;0;972,583333;31,3;24,833333;18,6;57,958333;1,091667;
2023-04-12;0;970,0125;34;25,383333;18,8;55,708333;,716667;
2023-04-13;0;968,166667;32,8;25,05;19,5;69,875;,733333;
2023-04-14;7,2;969,016667;29,4;23,0125;19,7;82,416667;,779167;
2023-04-15;0;971,620833;28,5;23,591667;20,2;81,666667;,666667;
2023-04-16;0;970,783333;30,7;24,820833;20,8;75,125;1,375;
2023-04-17;64,2;966,283333;25,8;21,754167;20,3;94;,75;
2023-04-18;34;962,854167;25,2;21,841667;20,9;93,458333;1;
2023-04-19;19,2;969,091667;26,1;19,216667;13,2;70,541667;1,358333;
2023-04-20;0;973,7125;25;18,6375;13,5;66,041667;,7875;
2023-04-21;0;974,058333;25,7;18,395833;11,9;58;1,745833;
2023-04-22;0;974,045833;28,1;20,116667;14;62,416667;,891667;
2023-04-23;0;974,091667;29,2;22,195833;16,4;64,083333;1,745833;
2023-04-24;0;974,645833;29,5;23,508333;18,3;62,75;1,816667;
2023-04-25;1,2;974,2875;27,7;22,083333;18;74,833333;2,325;
2023-04-26;51,8;973,158333;25,3;20,458333;17,4;87,291667;,7625;
2023-04-27;0;971,820833;27,1;21,583333;18,3;75,916667;,745833;
2023-04-28;0;972,641667;27,6;20,258333;14,6;75,125;,520833;
2023-04-29;0;973,6625;27,3;21,383333;16,7;73;1,141667;
2023-04-30;0;973,2625;29,1;21,616667;15,9;70,958333;,995833;
2023-05-01;0;973,016667;30,2;22,8375;17;66,916667;,4625;
2023-05-02;0;971,458333;29,3;23,025;18;73;,770833;
2023-05-03;0;971,883333;29,3;23,283333;20,6;72,708333;1,333333;
2023-05-04;0;972,8875;31,3;24,383333;19,7;71,416667;,5125;
2023-05-05;0;974,141667;31,8;25,2125;20,6;69,458333;,904167;
2023-05-06;0;974,1375;31,3;24,941667;20,2;67,416667;,720833;
2023-05-07;0;972,566667;30,1;24,033333;19,8;74,75;,833333;
2023-05-08;0;973,8625;28,5;23,766667;20,9;80,583333;,704167;
2023-05-09;0;974,608333;30;23,525;20,1;79,541667;,391667;
2023-05-10;0;973,875;30;22,720833;18,2;70,208333;,5875;
2023-05-11;0;973,229167;27,6;18,491667;10,1;57,458333;1,120833;
2023-05-12;0;974,408333;26,2;17,229167;10,1;57;,879167;
2023-05-13;0;975,479167;25,6;16,85;8,4;62,666667;,6125;
