Nome: RANCHO QUEIMADO
Codigo Estacao: A870
Latitude: -27.6786111
Longitude: -49.04194444
Altitude: 881
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;917,195833;27,3;20,9125;17,5;null;2,091667;
2023-01-02;0;913,8;25,4;21,229167;18,1;null;2,766667;
2023-01-03;0;910,770833;24,7;19,925;19,4;null;2,470833;
2023-01-04;24;912,8875;18,2;16,008333;14,5;null;2,0125;
2023-01-05;2;916,608333;23,2;17,033333;9,6;null;1,8;
2023-01-06;,2;920,120833;23,1;16,283333;9,5;null;2,308333;
2023-01-07;0;922,195833;20,6;15,6875;10,9;null;2,029167;
2023-01-08;2,8;920,716667;23,2;16,658333;10,6;null;1,5375;
2023-01-09;,2;918,308333;23,8;17,791667;13,2;null;1,533333;
2023-01-10;,2;916,504167;25,3;18,829167;14,9;null;2,454167;
2023-01-11;35,2;914,825;26,3;19,616667;16,1;null;2,2125;
2023-01-12;8,2;912,654167;30,6;21,629167;15,8;null;1,795833;
2023-01-13;,8;911,3125;27,3;21,208333;16,3;null;1,870833;
2023-01-14;0;912,475;30,1;21,475;18,2;null;2,8625;
2023-01-15;10,4;916,170833;24,6;19,516667;17,9;null;1,758333;
2023-01-16;34,4;916,816667;25,1;20,1;17,4;null;1,533333;
2023-01-17;5;918,216667;25,1;20,404167;17,3;null;1,420833;
2023-01-18;13,6;919,654167;25;20,154167;18,7;null;1,575;
2023-01-19;50,2;919,1875;25;19,779167;18;null;1,375;
2023-01-20;6,8;915,6875;25,2;20,029167;17,9;null;1,783333;
2023-01-21;0;911,7875;27,9;21,029167;17;null;2,225;
2023-01-22;13,4;910,2125;25,1;20,883333;16,5;null;1,8125;
2023-01-23;,4;912,675;27,7;20,220833;17,6;null;1,65;
2023-01-24;13,4;912,920833;28,3;20,025;12,5;null;1,791667;
2023-01-25;0;914,641667;29,7;21,975;18,2;null;1,7125;
2023-01-26;6,2;915,875;26,6;21,379167;18,3;null;2,375;
2023-01-27;0;916,4;26,4;20,1625;16,5;null;2,2625;
2023-01-28;0;916,241667;28,9;20,95;17,1;null;2,716667;
