Nome: JAPIRA
Codigo Estacao: A871
Latitude: -23.77333332
Longitude: -50.18055554
Altitude: 692.88
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;935,345833;30,6;24,095833;19,5;74,208333;1,270833;
2023-01-02;0;933,358333;27,6;22,325;18,6;81,708333;1,191667;
2023-01-03;0;931,025;28,6;22,629167;19,4;81,875;,479167;
2023-01-04;14,8;930,383333;23,1;19,85;19;92,291667;1,295833;
2023-01-05;34,4;934,091667;21,5;18,216667;15,9;82,125;1,691667;
2023-01-06;,2;936,5875;24,9;19,2125;14,6;71,75;3,679167;
2023-01-07;0;938,170833;24,3;19,191667;13,9;71,041667;3,5875;
2023-01-08;0;937,470833;25,1;20,041667;15,4;74,5;2,854167;
2023-01-09;,2;935,720833;23,8;20,379167;17,3;78,875;3,0125;
2023-01-10;0;935,158333;25,9;20,8125;17,4;82,958333;1,1875;
2023-01-11;0;934,620833;27,3;21,4375;19,7;87,291667;,383333;
2023-01-12;5,8;932,941667;27,8;21,391667;18,6;85,75;,245833;
2023-01-13;,2;931,825;28,7;21,583333;18,4;87;,475;
2023-01-14;7,2;933,004167;27,3;22,0875;19,2;86,458333;,733333;
2023-01-15;24,4;935,108333;29;23,304167;20,2;85,208333;,55;
2023-01-16;16,2;935,008333;30,5;24,45;19,8;77,75;,179167;
2023-01-17;0;936,129167;29,7;23,883333;19,4;80,25;,470833;
2023-01-18;0;937,141667;29,4;23,9625;20;76,583333;1,004167;
2023-01-19;0;936,525;29,4;23,2875;19,2;75,708333;,675;
2023-01-20;28;933,991667;26,8;21,8875;19,2;85,5;,608333;
2023-01-21;1;931,35;27,4;22,091667;18,8;82,916667;,5625;
2023-01-22;2,2;930,725;29,1;23,066667;19,8;82,791667;,416667;
2023-01-23;4,4;931,6;28,6;22,8375;18,9;84,166667;,666667;
2023-01-24;0;931,758333;30,3;23,916667;18,5;74,166667;,445833;
2023-01-25;0;933,045833;30;24,370833;19,2;66,416667;1,1125;
2023-01-26;0;933,147826;30;23,686957;18;64,826087;2,373913;
