Nome: CLEVELANDIA
Codigo Estacao: A876
Latitude: -26.41722221
Longitude: -52.3486111
Altitude: 966.06
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;905,6;28,8;23,016667;18;null;3,9875;
2023-01-02;11;903,608333;23,5;20,145833;17,6;null;2,975;
2023-01-03;1;901,795833;24,2;19,3375;17,8;null;2,475;
2023-01-04;67,6;902,708333;23,5;18,308333;13,9;null;3,554167;
2023-01-05;0;905,604167;25,6;18,866667;12;null;3,645833;
2023-01-06;0;907,9875;26,1;18,820833;12,1;null;4,420833;
2023-01-07;0;909,454167;25,4;18,2875;12,6;null;4,866667;
2023-01-08;0;908,570833;26,1;18,975;12,7;null;4,116667;
2023-01-09;0;906,466667;25,5;19,004167;14,9;null;3,829167;
2023-01-10;1,2;905,466667;25,9;19,608333;17;null;3,441667;
2023-01-11;7,4;904,870833;27;19,966667;15,6;null;3,045833;
2023-01-12;0;903,1125;27,1;19,7375;15,7;null;2,804167;
2023-01-13;13;901,458333;25,9;19,270833;16,3;null;2,991667;
2023-01-14;1,2;902,8875;26,2;19,691667;16,5;null;2,904167;
2023-01-15;1;905,504167;26;20,9;18;null;2,733333;
2023-01-16;1;906,083333;27,9;21,808333;17,6;null;2,566667;
2023-01-17;,6;907,433333;27,2;20,179167;18,7;null;2,870833;
2023-01-18;,8;908,670833;26,5;19,791667;17,7;null;3,45;
2023-01-19;,4;907,716667;25,6;19,625;16,9;null;3,395833;
2023-01-20;,2;904,45;27,6;21,183333;17,1;null;3,729167;
2023-01-21;,2;901,945833;27,3;21,545833;17;null;2,858333;
2023-01-22;,2;901,454167;25,1;20,520833;18,4;null;2,858333;
2023-01-23;0;902,916667;26,7;20,8;16,1;null;1,929167;
2023-01-24;,2;903,304167;28,5;21,2875;14,8;null;2,3875;
2023-01-25;0;904,25;30,3;22,791667;16,6;null;2,291667;
2023-01-26;,2;904,3125;29,5;23,104167;17,4;null;2,620833;
2023-01-27;0;904,941667;29,3;22,491667;15,9;null;3,0875;
2023-01-28;0;906,0125;29,2;22,725;16,7;null;2,6625;
2023-01-29;0;905,2625;28,1;21,108333;17,9;null;2,1875;
2023-01-30;0;902,554167;27,2;20,6;16,9;null;2,604167;
2023-01-31;0;903,2125;25,2;20,2625;17,6;null;2,9;
2023-02-01;null;904,7125;27,6;20,820833;16,7;null;2,254167;
2023-02-02;null;904,533333;25,1;20,758333;18,1;null;1,975;
2023-02-03;null;902,766667;25,2;19,879167;18,2;null;3,0625;
2023-02-04;null;904,4625;25;19,016667;16,5;null;2,545833;
2023-02-05;null;905,820833;24,6;19,129167;13,7;null;2,016667;
2023-02-06;null;905,65;26,1;19,95;13,8;null;1,966667;
2023-02-07;null;906,3;27,1;20,5625;13,4;null;2,425;
2023-02-08;null;905,795833;29;21,741667;16,2;null;2,654167;
2023-02-09;null;905,929167;26,6;20,979167;16,8;null;3,270833;
2023-02-10;null;905,770833;25;19,858333;17;null;3,341667;
2023-02-11;null;905,354167;27,8;20,204167;15,3;null;3,241667;
2023-02-12;null;904,766667;28,7;22,179167;17,1;null;3,295833;
2023-02-13;null;904,054167;27,7;21,5375;15,9;null;3,054167;
