Nome: TEUTONIA
Codigo Estacao: A882
Latitude: -29.44916666
Longitude: -51.82333332
Altitude: 81
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1001,4125;38,1;29,0875;19,9;52,791667;1,958333;
2023-01-02;0;998,166667;34,3;27,691667;24;67,541667;2,6625;
2023-01-03;,8;999,433333;31,1;25,35;21,1;65,833333;1,683333;
2023-01-04;0;1001,754167;33,1;25,075;18,5;56,208333;1,870833;
2023-01-05;0;1004,729167;33,3;24,775;14,9;49,125;1,729167;
2023-01-06;0;1008,595833;32,5;23,733333;14,7;57,5;2,179167;
2023-01-07;0;1011,220833;31,9;23,291667;14,6;59,708333;2,320833;
2023-01-08;0;1009,533333;32;23,554167;16,2;64,083333;1,979167;
2023-01-09;0;1005,616667;34,3;24,716667;16,5;63,041667;1,654167;
2023-01-10;0;1003,6375;33,4;23,3375;18,3;75,875;1,633333;
2023-01-11;2,8;1002,091667;35,5;24,8;15,3;63,416667;1,529167;
2023-01-12;0;998,895833;36,4;25,433333;18,3;61,208333;2,233333;
2023-01-13;0;997,7875;32,4;25,395833;21,4;70,416667;2,233333;
2023-01-14;0;1000,654167;30,7;25,1375;21;70,166667;2,370833;
2023-01-15;0;1004,704167;29,3;24,654167;21,1;71,625;1,7625;
2023-01-16;0;1004,683333;34,2;26,908333;21,1;68,333333;1,895833;
2023-01-17;0;1005,754167;34,9;26,695833;19,9;68,875;2,1;
2023-01-18;0;1008,4625;31,4;25,570833;21,1;74,833333;2,370833;
2023-01-19;0;1007,025;34,1;27,133333;22,7;70,583333;2,533333;
2023-01-20;0;1001,9625;35,9;27,129167;19,9;66,333333;1,741667;
2023-01-21;0;997,654167;37,7;25,575;20,5;75,083333;2,441667;
2023-01-22;23,6;996,9125;34,6;26,708333;21,4;71,583333;1,833333;
2023-01-23;,2;999,675;31,9;26,183333;21,9;73,083333;1,945833;
2023-01-24;0;999,408333;36,1;27,125;18,8;62,625;1,583333;
2023-01-25;,2;1000,395833;37,4;28,583333;20,6;61,916667;1,7125;
2023-01-26;0;1001,216667;39;26,441667;20,8;69,958333;2,008333;
2023-01-27;1,4;1001,0625;37,1;28,254167;20,9;60,541667;2,120833;
2023-01-28;0;1002,125;37,8;26,8125;22,5;71,916667;2,020833;
2023-01-29;2,4;1002,791667;33,3;25,991667;22;76,041667;1,979167;
2023-01-30;,2;999,954167;35,4;26,266667;19,2;68,166667;1,658333;
2023-01-31;0;998,908333;33,8;26,933333;21,9;66,916667;1,820833;
2023-02-01;3,8;1001,25;36,4;27,558333;20,3;68,791667;1,741667;
2023-02-02;0;1001,791667;35,6;27,404167;21,2;69,083333;2,195833;
2023-02-03;3,2;999,504167;27,7;24,766667;23,1;84,041667;1,208333;
2023-02-04;14,6;1001,816667;29;24,2625;21,4;73,458333;2,716667;
2023-02-05;0;1003,154167;30,4;22,958333;15,2;65,791667;2,3375;
2023-02-06;0;1003,1;33,9;25,229167;17,8;62,875;1,2875;
2023-02-07;0;1003,425;35,9;26,65;18,1;58,541667;1,7;
2023-02-08;0;1002,383333;38,2;27,566667;18;55;1,791667;
2023-02-09;2,2;1002,770833;33;26,508333;22,4;68,333333;1,9875;
2023-02-10;,2;1002,6125;37;27,908333;20,9;61,5;1,775;
2023-02-11;0;1003,1875;38,1;27,75;17,9;53,291667;2,2;
2023-02-12;0;1001,720833;37,9;27,3375;17;52,541667;1,6375;
2023-02-13;0;999,129167;39,2;29,916667;19,4;46,041667;2,4375;
2023-02-14;0;997,325;38,1;30,133333;28,1;53,083333;4,045833;
2023-02-15;77,4;997,470833;29,4;23,925;20,3;81,833333;1,675;
2023-02-16;,2;993,75;34,7;26,4875;20,8;71,083333;1,241667;
2023-02-17;18,4;997,0375;27,3;21,429167;19,8;77,416667;3,166667;
2023-02-18;0;1011,004167;23;16,870833;11,8;53,791667;2,158333;
2023-02-19;0;1012,370833;27,9;18,029167;8,9;67,916667;2,016667;
2023-02-20;0;1008,4;21,1;18,45;16,1;86,916667;1,245833;
2023-02-21;8,2;1006,383333;28,9;22,55;18,7;80,666667;1,329167;
