Nome: CAMPOS NOVOS
Codigo Estacao: A898
Latitude: -27.3886111
Longitude: -51.21583333
Altitude: 963
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;906,608333;31,1;23,058333;16,4;67,791667;4,020833;
2023-01-02;0;904,041667;25,8;21,6125;18,1;77,75;3,695833;
2023-01-03;0;901,945833;28,6;21,383333;18,2;78,541667;2,2125;
2023-01-04;14,6;903,920833;24,4;18,316667;13,6;76,833333;3,720833;
2023-01-05;,2;906,833333;24,9;18,291667;10,7;61,875;3,908333;
2023-01-06;0;909,618182;25,4;18,668182;12,1;63,909091;5,527273;
2023-01-07;0;911,329167;24,3;17,754167;12,1;70,833333;5,633333;
2023-01-08;0;910,191667;25,3;18,233333;12;70,125;4,325;
2023-01-09;0;907,743478;25,5;19,265217;14,9;70,130435;4,113043;
2023-01-10;0;906,7;24,8;19,675;16,8;77,583333;3,595833;
2023-01-11;0;905,240909;29,1;21,813636;15,3;65,772727;3,095455;
2023-01-12;0;903,4375;29,6;21,816667;16,7;71,208333;2,9625;
2023-01-13;26,8;902,217391;26,6;19,747826;16,5;85,217391;2,656522;
2023-01-14;7;903,434783;26,1;20,695652;15,6;81,391304;2,091304;
2023-01-15;5;906,440909;22,4;20,313636;18,1;88,363636;3,559091;
2023-01-16;1;906,733333;28,2;21,983333;18,7;82,083333;2,6875;
2023-01-17;14;908,245833;27,6;20,675;17,8;89,375;3,554167;
2023-01-18;33,8;909,395652;27,7;20,834783;17;82,956522;4,030435;
2023-01-19;6,8;908,604545;27,2;21,268182;17,2;79,136364;3,922727;
2023-01-20;0;905,4;27,4;21,091667;16,6;78;3,425;
2023-01-21;0;902,369565;29;22,221739;16;74,913043;2,995652;
2023-01-22;1,4;901,45;26,4;21,854167;19,2;80,875;3,029167;
2023-01-23;3,4;903,4;27,5;19,95;16,3;83,041667;3,116667;
2023-01-24;1,6;903,733333;28,8;20,941667;12,4;65,541667;2,304167;
2023-01-25;,2;904,679167;30,6;23,125;14,8;60,5;2,629167;
2023-01-26;0;904,945833;29,6;23,158333;17,6;67,541667;3,904167;
2023-01-27;0;905,647826;29,3;21,726087;14,1;63,826087;3,782609;
2023-01-28;0;906,178261;31;23,195652;15,7;63,086957;2,765217;
2023-01-29;0;905,113043;28,3;21,282609;17,9;82;2,782609;
2023-01-30;2,8;903,054167;24,9;19,729167;16,4;88,041667;2,358333;
2023-01-31;10,8;903,234783;26;21,169565;17,1;83,695652;2,03913;
2023-02-01;1,2;904,6875;28;22,391667;18,2;78,666667;1,954167;
2023-02-02;0;904,6;27,1;22,186957;17,3;81,434783;2,517391;
2023-02-03;1,4;902,5375;24,9;20,304167;18,2;89,125;3,029167;
2023-02-04;7,4;904,004167;24,5;18,854167;16,1;87,166667;2,416667;
2023-02-05;,2;905,5875;24,4;19,0375;14,2;74,583333;2,5375;
2023-02-06;0;905,586364;26,8;21,495455;12,7;50,318182;1,609091;
2023-02-07;0;906,326087;28,6;21,556522;14;60,826087;2,56087;
