Nome: Santa Vitoria do Palmar - Barra do Chui
Codigo Estacao: A899
Latitude: -33.74222221
Longitude: -53.37222221
Altitude: 7.41
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1010,670833;26,9;23,3375;20,8;88,5;5,7125;
2023-01-02;0;1003,8625;29,2;24,1;22,8;77,666667;5,95;
2023-01-03;,4;1007,508333;29,2;21,095833;13,6;73,75;3,8;
2023-01-04;0;1009,929167;25,9;21,920833;17,6;67,958333;6,608333;
2023-01-05;0;1015,4;26,9;22,666667;19,2;68,541667;5,075;
2023-01-06;0;1019,233333;27,7;22,841667;19;76,916667;5,483333;
2023-01-07;0;1022,1375;27,8;23,895833;21,6;75,125;7,0125;
2023-01-08;0;1020,420833;28;23,825;21,2;73,75;6,891667;
2023-01-09;0;1016,220833;28,4;23,095833;19,5;77,291667;5,95;
2023-01-10;0;1012,820833;28,3;23,620833;20;77,416667;6,016667;
2023-01-11;2;1009,0625;28,9;24,141667;19,9;83,125;4,7375;
2023-01-12;45,8;1006,454167;27,5;23,254167;19,5;84,291667;5,770833;
2023-01-13;0;1007,579167;25;22,804167;21,2;80,916667;4,633333;
2023-01-14;0;1008,579167;27,7;23,191667;17,2;68,75;3,579167;
2023-01-15;0;1013,258333;28,7;22,9375;16,7;72,625;3,633333;
2023-01-16;0;1014,25;28,9;23,35;18,4;78,416667;4,308333;
2023-01-17;0;1016,725;28,5;24,3;19,4;71,291667;5,616667;
2023-01-18;0;1019,616667;28;24,5625;22,5;72,541667;7,954167;
2023-01-19;0;1018,066667;27,8;24,495833;22,7;75,75;7,804167;
2023-01-20;0;1012,1125;27,6;24,316667;21;80,875;7,204167;
2023-01-21;0;1004,891667;28,9;24,85;22,6;83,166667;4,2875;
2023-01-22;4,2;1003,608333;31;24,475;19,5;76,75;6,195833;
2023-01-23;,2;1008,029167;27,6;23,270833;18,9;74,375;5,1375;
2023-01-24;0;1008,595833;29,9;22,541667;14,5;67,5;3,516667;
2023-01-25;0;1009,641667;30,3;23,795833;17,7;77,125;4,433333;
2023-01-26;0;1010,041667;27,9;24,6625;21,7;84,083333;4,595833;
2023-01-27;0;1009,033333;31,4;26,554167;22,4;84,583333;3,683333;
2023-01-28;3,6;1011,2;27,9;24,7875;22,6;91,166667;2,5875;
2023-01-29;2,2;1012,808333;27,1;24,675;22,8;83,458333;8,8;
2023-01-30;1,4;1009,35;29;25,016667;21,4;81,25;6,325;
2023-01-31;0;1007,866667;29;24,479167;19,2;83,25;3,379167;
2023-02-01;0;1011,179167;28,3;24,9125;20,4;82;4,954167;
2023-02-02;0;1012,833333;27;24,404167;23,3;78,541667;7,029167;
2023-02-03;8,4;1010,325;24,2;22,504167;20,3;87,958333;9,666667;
2023-02-04;65;1009,5;25,9;22,4875;20,4;81,5;11,275;
2023-02-05;15;1009,491667;26,1;22,5875;19,4;83,708333;9,1875;
2023-02-06;0;1010,270833;31,4;23,779167;17;74,583333;3,033333;
2023-02-07;0;1011,975;29;24,275;18,2;80,333333;3,908333;
2023-02-08;0;1010,429167;32,5;24,445833;22;82,458333;5,083333;
2023-02-09;2;1010,2125;29;23,783333;18,4;80,291667;3,004167;
2023-02-10;,2;1010,691667;29,7;24,579167;18,5;87,125;3,479167;
2023-02-11;0;1010,6625;34,2;26,554167;23,1;80,625;4,679167;
2023-02-12;0;1008,954167;34,8;26,616667;22,2;72,708333;4,266667;
2023-02-13;0;1004,833333;36,5;27,091667;23,1;76,166667;6,045833;
2023-02-14;,2;1003,491667;32,1;26,533333;22,6;79,916667;4,145833;
2023-02-15;0;1006,625;26,5;23,933333;22,2;62,041667;7,45;
2023-02-16;0;1000,275;30,5;22,366667;19,3;76,833333;3,708333;
2023-02-17;4,8;1002,5375;20,4;17,104167;13,5;71,208333;6,979167;
2023-02-18;,2;1015,4;23,4;15,895833;10;62,791667;6,441667;
2023-02-19;0;1021,804167;25,1;17,65;9,9;62,458333;3,829167;
2023-02-20;0;1018,458333;26,4;20,770833;14,1;70,375;3,816667;
2023-02-21;,2;1015,941667;27,1;23,316667;20,5;79,541667;5,783333;
2023-02-22;0;1017,041667;27,3;22,504167;17,4;77,875;4,691667;
