Nome: CUIABA
Codigo Estacao: A901
Latitude: -15.559295
Longitude: -56.062951
Altitude: 241.56
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;989,385714;34,6;null;25,6;58,285714;null;
2023-01-02;0;988,377273;35,8;29,418182;27,2;60,363636;null;
2023-01-03;null;988,38;31,7;null;24,6;65,3;null;
2023-01-04;null;988,919048;31,6;null;24,5;67,428571;null;
2023-01-05;null;989,033333;28,7;null;23,9;77,619048;null;
2023-01-06;null;989,22381;32,9;null;23,3;64,619048;null;
2023-01-07;0;990,447619;34,2;null;23,4;47,952381;null;
2023-01-08;null;990,461905;34,1;null;24,1;53,047619;null;
2023-01-09;null;989,694737;33,3;null;25,2;57,842105;null;
2023-01-10;null;990,468182;33,2;28,868182;25,4;58,772727;null;
2023-01-11;0;991,395238;31,9;null;25,6;67,190476;null;
2023-01-12;null;989,533333;32,9;null;22,9;69,285714;null;
2023-01-13;null;988,814286;32,6;null;24,2;64,285714;null;
2023-01-14;null;991,22;32,4;null;22;67,6;null;
2023-01-15;null;991,673913;33,1;27,021739;22,1;67;null;
2023-01-16;,6;990,008333;35,2;27,875;23,6;68,375;null;
2023-01-17;null;990,278947;33,6;null;22,2;70;null;
2023-01-18;null;991,68;34,1;null;22,3;69,9;null;
2023-01-19;null;991,810526;34,8;null;23,2;59,578947;null;
2023-01-20;2;991,047826;34,7;27,569565;22,8;66,478261;null;
2023-01-21;null;988,657143;34,2;null;24,6;62,52381;null;
2023-01-22;null;null;33,7;null;24,2;69,117647;null;
2023-01-23;null;989,275;34;null;24,9;64,3;null;
2023-01-24;null;989,421053;30,9;null;23;71,631579;null;
2023-01-25;null;988,395455;30,8;26,204545;24,5;75,136364;null;
2023-01-26;7,2;987,509524;31,7;null;23,4;77,238095;null;
2023-01-27;null;987,847368;26,7;null;23,1;83,052632;null;
2023-01-28;null;989,884211;30,3;null;22,6;73,526316;null;
2023-01-29;null;990,256522;33,4;26,847826;23,7;68,956522;null;
2023-01-30;1,2;989,069565;34,1;28,343478;24,5;61,913043;null;
2023-01-31;,2;988,985714;32,2;null;24,8;70,333333;null;
2023-02-01;null;990,128571;32,4;null;23,8;72,666667;null;
2023-02-02;0;989,886364;35,5;29,118182;24,8;63,272727;null;
2023-02-03;null;990,863158;33,7;null;23,1;67,842105;null;
2023-02-04;null;992,969565;32,4;26,756522;24;71,478261;null;
2023-02-05;0;992,195455;34;28,331818;24,3;62,818182;null;
