Nome: ALTO ARAGUAIA
Codigo Estacao: A909
Latitude: -17.33944444
Longitude: -53.22444443
Altitude: 753.28
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;928;31,6;25,030435;20,9;73;2,352174;
2023-01-02;,4;926,877273;29,7;23,636364;21,5;79,823529;1,868182;
2023-01-03;51,6;926,5125;29,1;23,166667;19,2;69,307692;2,679167;
2023-01-04;3,4;926,218182;28,4;21,895455;19,7;null;2,681818;
2023-01-05;44,2;926,314286;27,7;null;19,3;null;2,304762;
2023-01-06;3;926,327273;25,9;21,722727;20,5;null;2,445455;
2023-01-07;5,8;927,291304;29,1;22,930435;20,5;75,416667;2,33913;
2023-01-08;1,4;928,257143;27,9;null;21,2;null;1,77619;
2023-01-09;null;927,704762;28,1;null;20,1;null;2,995238;
2023-01-10;null;928,704762;26,8;null;19,4;null;3,02381;
2023-01-11;null;929,180952;27,1;null;20,1;null;1,942857;
2023-01-12;null;927,414286;27,9;null;19,7;null;2,519048;
2023-01-13;null;927,077273;28;22,268182;19,5;null;3,059091;
2023-01-14;6,2;927,904762;27,5;null;19,3;67,769231;2,871429;
2023-01-15;null;929,263636;30,5;23,5;18,4;70,9375;1,977273;
2023-01-16;0;928,158333;30,5;23,479167;20,1;76,833333;1,666667;
2023-01-17;9,6;928,257143;29,1;null;18,6;78;2,533333;
2023-01-18;null;929,72381;29,4;null;18;71,8;1,809524;
2023-01-19;null;929,65;31,6;null;19,6;69,875;1,725;
2023-01-20;null;927,828571;31,3;null;19,2;61,888889;2,838095;
2023-01-21;null;927,005263;27,5;null;20,4;83,214286;2,573684;
