Nome: JUARA
Codigo Estacao: A914
Latitude: -11.28027777
Longitude: -57.52666666
Altitude: 263.43
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,6;980,666667;32,2;26,075;21,8;81,791667;,6875;
2023-01-02;23,6;980,425;28,1;24,083333;21,9;92,791667;,9125;
2023-01-03;30,2;980,3875;30,6;25,270833;21,8;83,083333;1,520833;
2023-01-04;,4;980,525;33,3;25,945833;22,7;82,416667;1,1625;
2023-01-05;23,6;981,1125;30,9;24,804167;21,7;86,666667;1,683333;
2023-01-06;1,8;981,875;28,6;24,2625;22,4;88,916667;1,4625;
2023-01-07;14,6;982,6875;29,6;23,679167;22,6;92,458333;1,383333;
2023-01-08;28;982,6375;29;23,608333;21,8;91,041667;1,05;
2023-01-09;10,4;982,029167;27,6;23,395833;22,4;93,458333;,654167;
2023-01-10;49,6;983,1875;29,2;23,654167;21,7;89,666667;1,195833;
2023-01-11;3;982,491667;32,2;25,0625;21,8;84;,933333;
2023-01-12;,6;980,933333;33;25,320833;22,3;85,708333;,725;
2023-01-13;9,8;981,033333;30,1;23,758333;22,5;91,041667;1,266667;
2023-01-14;8,8;981,9625;31,7;24,875;21,1;82,875;,645833;
2023-01-15;2,8;982,3875;33,5;26,420833;22,2;78,875;1,229167;
2023-01-16;1,8;981,058333;33,9;26,083333;21,6;81,375;1,020833;
2023-01-17;13,2;981,058333;32,2;25,616667;22,3;82,208333;,883333;
2023-01-18;0;981,8625;32,6;26,125;22,7;78,791667;,866667;
2023-01-19;1;983,295833;31,6;24,7375;21,4;84,958333;,983333;
2023-01-20;10,4;982,191667;33,3;25,966667;21,3;78,666667;,908333;
2023-01-21;0;981,095833;29;24,4125;22,1;88,5;,720833;
2023-01-22;6,6;980,5625;32,8;25,008333;21;84,166667;1,2625;
2023-01-23;4,2;981,475;31,6;25,2375;22;84,916667;,745833;
2023-01-24;33,6;981,316667;32,1;25,8375;21,8;82,5;1,533333;
2023-01-25;0;980,004167;30,5;24,979167;23;88,625;,683333;
2023-01-26;4,4;979,666667;30,9;25,329167;22,7;86,208333;1,166667;
2023-01-27;14,4;980,3125;28;24,066667;21,8;90,916667;1,0625;
2023-01-28;2,2;981,3;28,8;24,283333;22,2;87,791667;1,016667;
2023-01-29;11,4;981,7875;29,6;23,845833;21,2;87,791667;1,325;
2023-01-30;2,2;980,608333;32,7;25,320833;21,6;81,25;1,075;
2023-01-31;10,8;980,804167;30,5;25,133333;21,6;84,458333;1,508333;
2023-02-01;,2;981,1375;33,6;26,279167;22,3;80,333333;,883333;
2023-02-02;0;981,220833;33,1;25,879167;22,4;83,166667;,85;
2023-02-03;2;982,170833;32;25,65;21,7;84,875;1,1375;
2023-02-04;57,2;983,916667;28,7;24,004167;21,4;90,25;,708333;
2023-02-05;13;983,0375;33;25,6;21,4;85,25;,7;
2023-02-06;9,6;982,175;28,2;24,504167;23,1;89,5;,995833;
2023-02-07;,8;981,595833;33,1;25,116667;22,1;83,208333;1,15;
2023-02-08;,2;980,833333;33,4;25,629167;22,2;82,708333;,745833;
2023-02-09;2;981,295833;33,5;25,1625;22,9;85,958333;1,1625;
2023-02-10;32,8;980,8125;33,2;25,729167;21;80,791667;,645833;
2023-02-11;3,6;980,116667;33,9;25,754167;22,7;84,916667;,970833;
2023-02-12;,6;979,8875;33,9;25,879167;21,3;80,708333;,954167;
2023-02-13;0;979,308333;34,9;27,254167;22,9;77,541667;,870833;
2023-02-14;0;979,179167;35,6;28,216667;23,2;75,625;,6;
2023-02-15;,2;979,8375;32,8;26,3625;21,7;77,333333;1,416667;
2023-02-16;15,8;978,720833;31,6;24,841667;21,7;86,541667;1,1875;
2023-02-17;,2;978,870833;32,3;25,241667;23,2;88,958333;1,270833;
2023-02-18;20,8;981,7;28,6;23,6875;21,1;89,125;2,0625;
2023-02-19;1,2;980,179167;31,3;24,941667;21,1;83,541667;1,6;
2023-02-20;1;980,25;30;23,916667;22,4;90,416667;1,429167;
2023-02-21;45,8;981,825;27,2;23,6875;21,8;90;,795833;
2023-02-22;1,4;983,4125;30,2;24,6125;22,1;86,416667;,791667;
2023-02-23;4,8;983,620833;34;26,291667;22,8;82,125;,816667;
2023-02-24;0;981,9;34,9;26,404167;22,9;82,041667;,675;
2023-02-25;20;982,125;32,1;25,4375;21,1;83,708333;1,0625;
2023-02-26;,4;981,879167;33,8;26,279167;21,6;82,333333;,833333;
2023-02-27;6,6;982,775;33,2;26,7375;21,8;79,083333;,954167;
2023-02-28;,6;983,358333;33,8;26,6125;22,6;79,25;1,258333;
2023-03-01;2,2;982,7;32,5;25,8375;22,4;81,791667;,9625;
