Nome: QUERENCIA
Codigo Estacao: A916
Latitude: -12.60305555
Longitude: -52.1625
Altitude: 355
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;970,845833;32,6;25,841667;21,8;83,541667;,4875;
2023-01-02;0;970,166667;31,4;24,833333;22,3;87,625;,779167;
2023-01-03;2,2;970,395833;30,8;23,9625;19,8;87,833333;,995833;
2023-01-04;39,2;971;30,7;24,791667;21,7;87,125;1,441667;
2023-01-05;1,2;970,8625;29,1;24,5625;22,1;88,416667;1,0125;
2023-01-06;51,6;972,3;25,2;22,5875;20,4;94,541667;1,683333;
2023-01-07;7,8;972,9;29,6;23,8875;21,6;91,541667;1,1625;
2023-01-08;6;972,958333;29;23,95;21,2;87,916667;1,566667;
2023-01-09;11;972,3125;28;23,45;20,9;90,458333;1,166667;
2023-01-10;17,6;973,2375;27,2;23,020833;20,7;91,041667;1,0875;
2023-01-11;7;973,4375;27,9;23,770833;20,5;88,25;,745833;
2023-01-12;,2;971,058333;31,5;25,5625;21,3;81,416667;,666667;
2023-01-13;0;971,216667;27,3;22,975;22,6;91,875;,754167;
2023-01-14;19,2;972,233333;30,9;24,983333;19,8;82,666667;,466667;
2023-01-15;,2;972,3;31,1;25,354167;22,1;84,916667;,870833;
2023-01-16;12,4;970,816667;30,8;23,2625;21,1;89,583333;,920833;
2023-01-17;17,6;971,3625;29,1;22,295833;19,7;89,458333;,591667;
2023-01-18;0;972,5125;31,9;24,004167;18;80,416667;,329167;
2023-01-19;,2;973,391667;29,6;23,795833;20;83,25;,979167;
2023-01-20;0;972,279167;31,1;25,191667;21,1;78,583333;1,0125;
2023-01-21;0;970,520833;31,7;26,0375;21,6;77,375;1,225;
2023-01-22;61;971,666667;27,5;23,070833;20,3;89,166667;1,545833;
2023-01-23;5,8;971,6125;29,5;23,525;20,9;90,25;,833333;
2023-01-24;11,2;971,0125;30,9;24,25;21,5;88,416667;1,25;
2023-01-25;23;969,5875;31,8;25,125;20,9;84,291667;,8;
2023-01-26;7;968,866667;31,2;25,254167;21,7;83,833333;1,3125;
2023-01-27;35,8;970,366667;26,9;23,566667;21,5;91,5;1,654167;
2023-01-28;31,4;972,245833;30,1;22,85;20,2;89,416667;1,2125;
2023-01-29;19,6;971,729167;31;24,195833;20,7;85,791667;,333333;
2023-01-30;12,2;970,429167;30,8;24,1875;21,9;88;,5125;
2023-01-31;6,8;970,370833;32;24,183333;19,9;87;,341667;
2023-02-01;,8;970,708333;34;26,2125;21,7;79,625;,583333;
2023-02-02;3,4;971,6;32,7;26,020833;21;80,166667;1,133333;
2023-02-03;0;972,1625;31,4;26,670833;23,2;80,125;1,05;
2023-02-04;2,4;973,8875;26,6;24,054167;21,8;90,041667;,595833;
2023-02-05;0;972,975;32,7;25,395833;20,2;78,583333;,5125;
2023-02-06;0;971,6125;32,8;24,529167;20,4;83,166667;,583333;
2023-02-07;2,4;971,291667;32,4;24,154167;21,2;87,541667;,566667;
2023-02-08;24,2;970,758333;32,8;24,145833;20,7;86,916667;,641667;
2023-02-09;,2;971,175;31,9;24,554167;21,1;86;,754167;
2023-02-10;4,6;970,5625;33,7;25,170833;20,4;80,25;,4875;
2023-02-11;0;969,766667;34,6;26,991667;21,2;74,833333;,541667;
2023-02-12;0;969,679167;34,2;25,266667;22,1;83,958333;,508333;
2023-02-13;3,4;969,841667;34,6;26,325;21,2;78,666667;,4;
2023-02-14;,2;969,129167;36,1;27,770833;22;73,541667;,229167;
2023-02-15;0;969,216667;32,9;26,129167;22,8;82,375;1,058333;
2023-02-16;0;968,254167;34,1;26,583333;20,8;75,916667;,779167;
2023-02-17;0;968,5625;34,3;25,433333;22;82,708333;1,370833;
2023-02-18;17,2;970,183333;30,8;25,241667;21,2;82;,620833;
2023-02-19;,6;970,070833;25,4;23,108333;22,5;93,208333;,845833;
2023-02-20;5,2;971,125;30,2;23,1;21,5;90,5;,6625;
2023-02-21;3;972,295833;29,4;23,4875;20,7;88,416667;,354167;
2023-02-22;,8;974,0125;30,1;23,991667;21,4;88,416667;,466667;
2023-02-23;5;973,920833;33,2;25,041667;21,5;83,791667;,641667;
2023-02-24;,4;971,883333;34;26,933333;21,7;73,583333;,7125;
2023-02-25;0;971,345833;34,2;26,025;22,3;78,583333;,995833;
2023-02-26;0;972,529167;33,4;25,354167;20,8;81,083333;,629167;
2023-02-27;1,4;972,7625;33,9;25,333333;21,5;84,5;,7125;
2023-02-28;16;973,479167;30,6;24,0375;21,2;89,75;,833333;
2023-03-01;21,6;972,8625;32,5;25,1125;20,7;82,125;,304167;
2023-03-02;,2;971,008333;34,5;26,029167;21,6;78,166667;,741667;
2023-03-03;0;971,2625;30,7;24,208333;22,1;89;,470833;
2023-03-04;4,2;971,408333;33,3;25,445833;20,9;82,666667;,675;
2023-03-05;,2;970,958333;34,3;25,254167;22,2;84,083333;,629167;
2023-03-06;,8;969,508333;33,9;25,833333;22,2;83,375;,504167;
2023-03-07;106,2;970,4125;31,6;25,141667;21,5;86,208333;,954167;
2023-03-08;18,6;971,516667;30,4;24,658333;20,7;83;,725;
2023-03-09;,2;971,95;30,1;24,979167;22,2;86,083333;,720833;
2023-03-10;0;971,075;33,6;26,925;22,6;76,708333;,533333;
2023-03-11;29,4;971,341667;30,5;24,2125;20,4;87,25;1,045833;
2023-03-12;5,6;971,475;31,9;25,170833;21,5;83,791667;,679167;
2023-03-13;14,6;972,1;30,6;24,866667;21,8;86,875;,791667;
2023-03-14;61,2;973,070833;27,3;23,4375;21;90;1,0125;
2023-03-15;,2;971,566667;30,9;24,895833;21,7;85,666667;,379167;
2023-03-16;12,2;970,4625;29,5;24,083333;21,8;87,75;,720833;
2023-03-17;,2;970,4375;27,4;23,441667;22,3;91,625;,554167;
2023-03-18;12,4;971,0375;27,4;22,579167;20,8;94,5;,704167;
2023-03-19;59,2;972,1;23,9;22,233333;21,1;96,083333;,754167;
2023-03-20;5,8;972,116667;26,4;23,275;21,7;91,75;,416667;
2023-03-21;11,6;972,570833;28,6;23,441667;21,5;90,833333;,516667;
2023-03-22;5;972,875;28,6;23,804167;21,5;89,541667;,495833;
2023-03-23;4,6;972,945833;29,9;24,008333;20,6;88,666667;,583333;
2023-03-24;1,2;972,166667;33,2;25,704167;21,1;82,25;,533333;
2023-03-25;0;971,733333;32;25,720833;21,1;81,541667;,4;
2023-03-26;0;972,083333;33,1;25,925;21,1;78,25;,670833;
2023-03-27;0;971,695833;30,9;24,383333;22,4;87,416667;,545833;
2023-03-28;11,6;971,725;31,3;25,166667;21;81,875;,6875;
2023-03-29;,2;971,458333;31,4;24,9875;21,4;86,125;,570833;
2023-03-30;3,6;972,466667;31,9;25,566667;21,1;81,958333;,366667;
2023-03-31;,2;971,979167;33,9;26,3375;21,7;79,5;,691667;
2023-04-01;1;971,554167;32,9;24,85;21,8;86,083333;1,2125;
2023-04-02;3,8;971,283333;31,2;24,654167;22,2;86,708333;,933333;
2023-04-03;14,4;971,925;29;23,8625;20,9;86,208333;1,0375;
2023-04-04;,2;970,6375;31,5;24,7375;19,4;81,166667;,475;
2023-04-05;0;969,629167;32,9;25,708333;20,8;79,833333;,4875;
2023-04-06;0;969,9625;31,1;24,225;20,7;87,208333;,65;
2023-04-07;6,6;970,858333;30,4;24,541667;21,2;86,916667;,508333;
2023-04-08;,2;971,9875;30,9;24,970833;21,8;87,125;,533333;
2023-04-09;0;972,466667;32,9;25,5;21,5;83,083333;,7125;
2023-04-10;29,2;973,1875;31,7;24,883333;21,4;84,625;,583333;
2023-04-11;1,2;972,404167;29,2;24,216667;20,7;88,75;,5875;
2023-04-12;1,6;970,7125;32,2;25,770833;21,3;84,791667;,35;
2023-04-13;1,2;969,8;31,6;24,520833;22,6;90,791667;,354167;
2023-04-14;,4;970,3;31,7;25,591667;21,3;84,333333;,383333;
2023-04-15;0;971,216667;32,7;26,8375;22;79,375;,341667;
