Nome: COTRIGUACU
Codigo Estacao: A919
Latitude: -9.90638888
Longitude: -58.57222221
Altitude: 265
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;4,8;980,941667;32,3;25,9625;22,4;79,75;,9;
2023-01-02;5;981,141667;26,6;24,241667;23,3;null;1,5875;
2023-01-03;15;981,2375;29,6;23,6;21,4;null;1,166667;
2023-01-04;9,6;980,9875;32,1;25,858333;22,1;77,615385;1,254167;
2023-01-05;0;981,604167;26,8;24,279167;22,7;null;,745833;
2023-01-06;25,4;982,65;30,4;24,795833;22,1;null;1,358333;
2023-01-07;7;983,333333;28,7;24,033333;22;91,538462;1,345833;
2023-01-08;,6;982,983333;30;24,270833;21,9;null;1,475;
2023-01-09;16,8;982,3;30,6;23,975;22,1;null;,966667;
2023-01-10;57,2;983,429167;30,5;23,3;21,6;null;1,045833;
2023-01-11;28,8;982,720833;32,6;24,933333;21,2;null;1,0625;
2023-01-12;9,6;981,245833;32;24,629167;22,1;null;,9125;
2023-01-13;29;981,4;28,8;23,941667;22,4;null;1,445833;
2023-01-14;24,6;982,254167;30,6;23,9625;20,6;null;1,041667;
2023-01-15;,2;982,570833;32,5;25,454167;21,4;80,928571;1,054167;
2023-01-16;0;981,166667;32,5;25,8375;21,5;76,846154;1,145833;
2023-01-17;17,4;981,6875;28,1;23,279167;21,2;null;1,216667;
2023-01-18;13,4;982,325;30,9;24,725;20,9;80,714286;1,170833;
2023-01-19;0;983,329167;31,3;24,6875;21;null;,845833;
2023-01-20;9,6;982,720833;32,9;25,133333;21,4;80,307692;,9375;
2023-01-21;,2;981,5625;31,7;24,020833;21,2;86,666667;1,229167;
2023-01-22;6,6;981,254167;31,2;23,825;20,9;null;1,195833;
2023-01-23;9,6;982,008333;32;25,1125;21,9;82,538462;1,1375;
2023-01-24;0;981,766667;30,9;25,029167;22,1;82,153846;,820833;
2023-01-25;0;980,5125;29,3;24,35;22;89,416667;1,2875;
2023-01-26;18,4;980,2875;30,3;24,5125;22,2;88,153846;1,545833;
2023-01-27;9,4;980,920833;25,8;23,3375;21,7;null;,845833;
2023-01-28;11,6;981,183333;30,1;24,55;22,2;86,769231;1,154167;
2023-01-29;12,6;982,2875;25,4;22,5875;21,5;null;,775;
2023-01-30;24,2;980,841667;32,2;24,525;20,9;null;1,041667;
2023-01-31;91,4;981,566667;29,4;23,954167;21,2;null;1,645833;
2023-02-01;1,8;981,4625;34,5;25,341667;20,5;null;,7375;
2023-02-02;12;981,595833;32,9;25,533333;21,7;81,583333;1,141667;
2023-02-03;23,4;982,6375;30,1;24,4;20,7;null;1,033333;
2023-02-04;1,6;984,066667;27,9;24,0625;21,7;null;,7;
2023-02-05;7,8;983,125;33;26,070833;22,5;78,615385;,9375;
2023-02-06;11,4;982,45;24,8;22,954167;22,7;null;,904167;
2023-02-07;39;981,641667;32,5;24,270833;20,9;null;1,095833;
2023-02-08;46,8;981,1625;32,2;24,883333;21,7;null;,833333;
2023-02-09;6;981,529167;31,1;25,366667;22,3;null;,8625;
2023-02-10;1,6;980,941667;33,8;26,325;22;71,384615;1,05;
2023-02-11;21,8;980,875;32;24,079167;22;85,416667;1,329167;
2023-02-12;,2;980,116667;32,1;25,058333;21,2;null;1,054167;
2023-02-13;37,8;979,525;34,1;25,858333;22,8;81,153846;1,070833;
2023-02-14;0;979,575;34,7;27,25;21,9;71,714286;,925;
2023-02-15;46,4;980,529167;29,4;24,9375;21,4;83,571429;1,433333;
2023-02-16;,2;979,05;32,5;25,133333;21,9;81,615385;1,191667;
2023-02-17;0;979,375;31,5;25,233333;22,8;83,166667;1,4375;
2023-02-18;11,4;981,870833;28,8;23,420833;21,9;null;1,583333;
2023-02-19;,6;980,220833;31,9;25,125;20,7;80,333333;1,341667;
2023-02-20;0;980,658333;28;23,895833;22,5;92,083333;1,583333;
2023-02-21;90,2;981,891667;30,6;23,7125;21,9;null;1,241667;
2023-02-22;12,8;983,695833;29,3;23,883333;22;null;,7625;
2023-02-23;3,8;983,808333;32,6;25,983333;22;77,384615;,95;
2023-02-24;,2;982,1875;33,7;25,5625;22,4;null;,854167;
2023-02-25;18,4;982,3875;32;25,029167;20,3;79,846154;1,091667;
2023-02-26;,2;982,083333;33,2;25,633333;21,7;78,583333;1,083333;
2023-02-27;1;982,604167;33,6;26,7;22,1;72,461538;1,291667;
2023-02-28;13,2;983,770833;30,4;24,354167;21,1;null;1,008333;
2023-03-01;4,2;982,870833;32,3;24,504167;21,9;null;,829167;
2023-03-02;7,6;981,245833;31,8;24,8625;22,3;85,333333;1,070833;
2023-03-03;1,2;980,408333;34,2;25,991667;22,1;null;,8625;
2023-03-04;3,2;980,7375;33,2;26,154167;22,9;79,916667;1,2375;
2023-03-05;6,8;981,4625;32,6;25,725;22,4;84,384615;1,3125;
2023-03-06;3,2;980,408333;31,7;25,666667;23,4;87,666667;,983333;
2023-03-07;1;980,745833;31,9;25,975;22,4;81,428571;1,3375;
2023-03-08;77,8;981,420833;29,2;23,958333;22,4;null;1,3625;
2023-03-09;18;981,445833;31,3;24,816667;21,5;79;,966667;
2023-03-10;,6;981,8125;29;23,775;22,7;null;,904167;
2023-03-11;14,4;981,475;32,4;24,770833;22;83,166667;1,291667;
2023-03-12;,2;982,175;30,2;24,929167;22,3;86,4;1,129167;
2023-03-13;7,2;983,45;25,8;23,279167;21,5;93;1,2875;
2023-03-14;,8;983,545833;30,6;24,325;20,7;81,166667;,820833;
2023-03-15;0;982,054167;32,3;24,995833;21,8;82,866667;,920833;
2023-03-16;0;981,1125;30,7;24,9;22,8;null;1,1875;
2023-03-17;23,4;980,479167;31,1;24,65;21,9;null;1,025;
2023-03-18;28,8;981,083333;26;23,075;22,2;null;1,479167;
2023-03-19;12;981,1;30;24,441667;21,4;82,583333;1,616667;
2023-03-20;24;981,033333;27,1;23,454167;21,6;null;1,616667;
2023-03-21;2,6;980,566667;30,5;24,7875;21,6;79,461538;1,704167;
2023-03-22;7;981,808333;30,6;23,75;21,6;null;1,691667;
2023-03-23;,6;982,5875;29,2;23,579167;21,1;86,083333;1,066667;
2023-03-24;,2;982,133333;30,2;24,4625;22,2;null;1,008333;
2023-03-25;12,4;981,604167;33,3;26,2875;22;75,846154;,9125;
2023-03-26;,8;982,241667;33,6;26,075;22,7;76,083333;1,054167;
2023-03-27;7;982,758333;28,9;22,929167;21,8;null;,929167;
2023-03-28;2,6;981,375;33,6;25,1;20,1;73,916667;,908333;
2023-03-29;59;981,641667;29,8;24,458333;21,1;null;1,258333;
2023-03-30;,2;982,266667;32,2;24,7;21,5;null;,995833;
2023-03-31;38,8;982,9;30,1;23,958333;21,7;null;1,041667;
2023-04-01;10,6;982,1;32,1;24,845833;22,2;null;,675;
2023-04-02;,6;981,995833;30,1;24,966667;22,9;87,333333;1,1;
2023-04-03;,8;981,925;30,1;23,733333;20,6;82,916667;1,025;
2023-04-04;,2;980,25;33,5;25,754167;21,1;null;,8875;
2023-04-05;49;979,920833;32,9;24,958333;21,9;null;1,0875;
2023-04-06;73;981,0375;24,2;22,745833;21,7;null;,908333;
2023-04-07;60,6;981,208333;31;24,183333;20,8;82,75;1,083333;
2023-04-08;,2;982,091667;31,9;24,879167;22,3;null;,970833;
2023-04-09;0;982,55;31,8;25,416667;22,2;null;1,295833;
2023-04-10;,4;983,141667;31,5;24,666667;22,6;null;1,125;
2023-04-11;9,6;982;31,9;25,541667;22,6;null;1,091667;
2023-04-12;0;980,325;33,2;26,020833;22,3;78,833333;,8375;
2023-04-13;0;979,404167;33,8;26,45;22,7;76,923077;1,1;
2023-04-14;,6;979,541667;32,5;26,104167;22,6;82,714286;1,008333;
2023-04-15;28;981,320833;32,3;25,441667;21,1;null;,820833;
2023-04-16;,2;980,966667;33,4;25,725;22,3;82,583333;,920833;
2023-04-17;,2;979,270833;32,8;26,229167;22,3;77,5;1,125;
2023-04-18;0;979,0375;32,5;26,2875;22,1;80,933333;1,145833;
2023-04-19;0;980,95;33,8;26,4625;22,9;82,333333;1,145833;
2023-04-20;6,2;982,6125;29,5;24,995833;22,9;null;1,2;
2023-04-21;,6;980,0875;31,3;25,2;22;83,75;1,195833;
2023-04-22;4,6;980,379167;29,1;24,2875;20,8;89;1,291667;
2023-04-23;29;981,929167;31,9;25,041667;21,4;83,307692;1,358333;
2023-04-24;,2;981,408333;32,7;25,608333;21,1;77;1,2;
2023-04-25;0;982,508333;33,4;25,55;21,4;77,666667;,825;
2023-04-26;0;982,4125;33,5;25,504167;21,4;82;,908333;
2023-04-27;0;982,320833;32,4;25,008333;22,7;null;,725;
2023-04-28;25;982,479167;33,9;26,2625;22;null;,804167;
2023-04-29;,2;982,270833;34,6;26,745833;21,7;73,5;,9125;
2023-04-30;0;982,479167;33,7;26,8125;22,7;77,166667;,7625;
2023-05-01;0;982,2;34,1;26,5125;22;77,692308;,958333;
2023-05-02;1,4;982,629167;31,9;25,420833;21,8;84,764706;1,1;
2023-05-03;,2;981,8875;32,9;25,595833;21,7;null;,833333;
2023-05-04;25;981,904167;33;25,133333;21,7;null;,820833;
2023-05-05;1;982,545833;32,3;25,679167;22,2;79,916667;,9625;
2023-05-06;0;982,8375;32,1;25,1625;23,2;null;,816667;
2023-05-07;46;981,933333;32,9;26,2;22,2;79,666667;,995833;
2023-05-08;0;983,070833;30;25,270833;23,1;null;,7625;
2023-05-09;,2;983,479167;32,8;26,05;22,5;80,166667;1,079167;
2023-05-10;,2;982,541667;33;26,095833;22,5;75,846154;1,304167;
2023-05-11;0;982,1625;29,9;24,754167;21,3;83,769231;1,154167;
2023-05-12;0;982,95;32,6;25,654167;21,4;78,769231;,729167;
2023-05-13;0;983,5375;32,7;25,995833;22,7;81,875;1,133333;
2023-05-14;0;984,145833;33,6;26,075;21,6;74,076923;1,1875;
2023-05-15;0;984,416667;33,2;25,816667;20,8;71,357143;1,3125;
2023-05-16;0;983,295833;32,9;25,233333;19,9;77,444444;1,125;
2023-05-17;0;982,6375;33,2;25,5875;20,1;75,5;,954167;
2023-05-18;0;983,55;34,4;26,275;22,1;78,230769;,783333;
2023-05-19;0;982,7125;33,6;26;20,9;77,0625;1,1125;
2023-05-20;0;981,241667;34,4;26,045833;20,2;69;1,1;
2023-05-21;0;980,1625;33,8;26,229167;20,4;72,857143;,975;
2023-05-22;0;980,75;34;26,4125;21,8;77,785714;,975;
2023-05-23;0;981,6125;34,2;26,545833;21,7;69,923077;1,1;
2023-05-24;0;980,9375;33;25,7125;20,7;74,333333;1,079167;
2023-05-25;0;980,8375;35;26,404167;21,4;69,538462;1,004167;
2023-05-26;0;981,870833;34,6;26,633333;21,2;67,142857;1,170833;
2023-05-27;0;982,7375;34,3;26,408333;20,8;68,142857;1,025;
2023-05-28;0;982,716667;34,6;26,416667;20,3;67,5;,8;
2023-05-29;0;982;33,8;25,3;20,7;83,235294;1,308333;
2023-05-30;,4;982,816667;34,3;26,479167;21,9;70,357143;1,454167;
2023-05-31;0;984,445833;31,4;25,579167;22,5;87,708333;1,308333;
2023-06-01;0;984,991667;29,9;24,8125;22,7;89,470588;1,2625;
2023-06-02;,2;983,441667;33,6;25,579167;21,9;77,375;1,2;
2023-06-03;,2;982,35;34,1;25,6625;20,9;76,625;1,133333;
2023-06-04;0;983,420833;35;27,120833;21,7;74,555556;1,1875;
2023-06-05;0;984,258333;34,7;25,945833;21,6;82,458333;1,833333;
2023-06-06;0;983,320833;33,8;25,895833;20,9;71,9375;1,15;
2023-06-07;0;983,895833;33,3;25,620833;21;80,9;,85;
2023-06-08;0;984,175;34,6;26,658333;21,2;79,826087;1,225;
2023-06-09;0;983,779167;34,2;26,520833;21,7;73,823529;,808333;
2023-06-10;0;983,241667;34,5;26,008333;19,9;71;,920833;
2023-06-11;0;983,004167;34,9;26,520833;20,8;72,1875;,891667;
2023-06-12;0;982,816667;34,6;26,283333;22,3;80,833333;,729167;
2023-06-13;19;984,7625;24,8;21,9125;21,8;94,769231;2,295833;
2023-06-14;2,6;987,645833;18,4;14,983333;13,2;94,526316;2,5125;
2023-06-15;0;987,170833;26,9;18,5375;13,5;85,458333;2,108333;
2023-06-16;,2;986,058333;31,1;22,166667;15,4;81,421053;1,4625;
2023-06-17;0;986,375;30,8;23,704167;18,6;78,888889;1,916667;
2023-06-18;0;985,9;31,3;23,470833;18,8;79,047619;1,825;
2023-06-19;0;985,158333;33;24,05;17,8;70,375;1,233333;
2023-06-20;0;984,5125;34,1;26,1625;21,2;78,708333;1,079167;
2023-06-21;0;983,283333;34,4;25,708333;19,8;70,875;,970833;
2023-06-22;0;982,966667;33,7;25,083333;18;66,9375;,991667;
2023-06-23;0;982,758333;34,3;25,091667;18,4;72,5;1,008333;
2023-06-24;0;982,85;34,3;25,4875;18,8;68,125;,820833;
2023-06-25;0;983,445833;33,9;25,291667;19,2;74,722222;,9875;
2023-06-26;0;983,291667;34,7;25,2875;18,9;66,5625;1,095833;
2023-06-27;0;983,1375;33,6;24,533333;18;69,944444;1,004167;
2023-06-28;0;984,104167;34;24,9375;18,8;71,578947;1;
2023-06-29;0;984,858333;34,6;24,779167;17,9;72,625;1,5375;
2023-06-30;0;984,808333;34,5;24,645833;17;69,863636;,95;
2023-07-01;0;984,3375;34,2;24,416667;17;72,666667;1,191667;
2023-07-02;0;983,058333;34,3;24,125;15,9;69,086957;1,020833;
2023-07-03;0;983,308333;34,3;23,008333;14,2;66,55;,9;
2023-07-04;0;983,579167;34,8;24,175;15,7;64,368421;,7625;
2023-07-05;0;984,045833;34,8;24,4625;17;69,95;,995833;
2023-07-06;0;982,816667;34,6;25,2625;17,9;69,65;,933333;
2023-07-07;0;982,570833;34,7;25,220833;18,6;72,2;,945833;
2023-07-08;0;982,895833;34,2;25,2375;18,2;68,055556;,933333;
2023-07-09;0;983,420833;34,7;25,570833;18,3;67,611111;,8625;
2023-07-10;0;983,025;35,5;26,375;19,3;71,05;1,016667;
2023-07-11;0;982,2875;36,1;25,6875;18;67,166667;,954167;
2023-07-12;0;980,970833;35,1;25,741667;19,2;73,631579;,945833;
2023-07-13;0;981,454167;33,8;26,120833;20,5;74,833333;,8625;
2023-07-14;0;982,429167;30;23,370833;19,8;83,285714;2,120833;
2023-07-15;0;982,3;33,4;24,504167;18,8;76,708333;1,95;
2023-07-16;0;982,995833;35,7;25,716667;19,4;68,823529;1,029167;
2023-07-17;0;983,75;36,9;26,2125;18,2;63,684211;1,033333;
2023-07-18;0;985,158333;36,8;26,270833;18,4;68,416667;1,066667;
2023-07-19;0;986,725;36,4;25,95;18,7;66,833333;1,5;
2023-07-20;0;986,1375;36,4;25,716667;17,7;67,125;1,220833;
2023-07-21;0;985,191667;35,5;25,091667;16,8;64,291667;1,270833;
2023-07-22;0;985,304167;34;23,8;15,6;65;1,220833;
2023-07-23;0;985,866667;34,6;23,558333;14,4;67,416667;1,058333;
2023-07-24;0;985,945833;35;25,05;17,2;68,708333;1,1625;
2023-07-25;0;983,708333;35,1;25,204167;17,2;69;1,045833;
2023-07-26;0;982,683333;35,3;25,4375;17,3;68,608696;,966667;
2023-07-27;0;983,7125;36,1;25,825;17,7;65,954545;1,025;
2023-07-28;0;984,716667;36,7;26,008333;17,8;64,416667;1,308333;
2023-07-29;0;985,045833;36,5;25,441667;17,3;63,583333;1,383333;
2023-07-30;0;984,545833;36,2;26,108333;17,4;64,375;1,320833;
2023-07-31;0;985,3125;37,8;27,016667;18,6;64,458333;,958333;
2023-08-01;0;984,795833;37,7;27,35;19,6;65,958333;1,091667;
2023-08-02;0;984,333333;37;26,791667;19,6;70,791667;,979167;
2023-08-03;0;984,145833;36,8;26,754167;19,1;65,136364;,991667;
2023-08-04;0;983,795833;37,1;26,55;18,1;61,75;,929167;
2023-08-05;0;984,108333;36,5;26,404167;18,2;65,708333;,9625;
2023-08-06;0;983,591667;37,3;27,166667;19;66,833333;,9125;
2023-08-07;0;984,2375;38;27,816667;20,2;68,458333;,85;
2023-08-08;0;984,120833;38,3;28,695833;22,1;66,791667;1,045833;
2023-08-09;0;983,020833;37,3;28,183333;20,9;67,625;,866667;
