Nome: VILA BELA DA SANTISSIMA TRINDADE
Codigo Estacao: A922
Latitude: -15.06277777
Longitude: -59.87305554
Altitude: 213
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;24,4;985,408333;33,7;26,229167;22,1;78,291667;1,866667;
2023-01-02;0;984,45;32,9;26,9875;24,6;78,708333;1,933333;
2023-01-03;13,2;984,5875;27,8;24,6875;23,8;87,958333;1,554167;
2023-01-04;47,6;985,566667;25,2;23,2375;22,5;91,416667;1,5;
2023-01-05;21;986,454167;30,5;24,025;21;84,041667;,920833;
2023-01-06;,2;986,625;33,2;26,0375;22,4;78,458333;1,3875;
2023-01-07;0;987,166667;34,8;27,104167;20,8;68,833333;1,566667;
2023-01-08;0;986,566667;35,4;27,279167;20,7;69,125;1,029167;
2023-01-09;0;985,6625;33,7;27,208333;23;73,041667;1,920833;
2023-01-10;0;986,708333;30,5;26,166667;23,5;77,958333;1,970833;
2023-01-11;0;986,829167;32,6;27,129167;23;73,791667;2,0625;
2023-01-12;0;985,283333;30,3;25,404167;24;83,208333;2,070833;
2023-01-13;1,8;984,15;31,5;26,325;23,2;76,916667;3,233333;
2023-01-14;2,2;986,733333;28,5;24,541667;22,7;79,666667;2,720833;
2023-01-15;5,6;987,604167;33;25,045833;21,5;80,583333;1,179167;
2023-01-16;6,2;986,966667;31,1;25,220833;22,9;83,666667;1,295833;
2023-01-17;17,8;986,9;29,4;24,683333;21,6;85,125;1;
