Nome: PRIMAVERA DO LESTE
Codigo Estacao: A923
Latitude: -15.57999999
Longitude: -54.3811111
Altitude: 680
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,4;936,491304;30,7;24,426087;20,6;77,478261;2,504348;
2023-01-02;,4;935,669565;27,6;23,113043;21,4;83,73913;3,021739;
2023-01-03;null;935,195238;29,5;null;20,6;78,761905;2,414286;
2023-01-04;,4;935,504545;28,3;22,85;20,4;81,909091;4,090909;
2023-01-05;7,4;935,277273;27,1;22,281818;19,9;85,227273;2,490909;
2023-01-06;18,8;935,2625;28,4;22,6875;20,4;84,125;1,820833;
2023-01-07;null;936,785;28,5;null;19,4;73,7;2,18;
2023-01-08;null;937,155;28,6;null;19;76,8;2,44;
2023-01-09;null;936,54;30;null;20;78,65;3,6;
2023-01-10;null;937,409091;29,6;23,030435;20,2;80,304348;3,654545;
2023-01-11;7,2;937,995238;28,6;null;20,8;81;3,22381;
2023-01-12;null;936,142857;29,2;null;19,9;83,190476;3,366667;
2023-01-13;13;935,663636;29,3;22,990909;19,9;80,409091;4;
2023-01-14;10;937,545455;27,7;22,690909;17,6;77,045455;2,468182;
2023-01-15;,6;938,017391;30,4;23,130435;18;78,652174;2,078261;
2023-01-16;0;936,682609;30,7;23,621739;19,6;79,217391;,943478;
2023-01-17;null;936,585714;31,7;23,309091;19,8;78,409091;2,052381;
2023-01-18;,2;938,186364;31;24,2;18,3;72,5;1,945455;
2023-01-19;0;938,482609;31,7;24,817391;19,6;68,608696;1,086957;
2023-01-20;48,2;937,43913;30,9;23,056522;19,2;78;1,713043;
2023-01-21;null;935,494737;30,1;null;20,4;78,65;2,915789;
2023-01-22;6,2;935,542857;30;null;19,8;82,52381;3,119048;
2023-01-23;17,8;936,008696;30,1;22,8;20,1;82,869565;3,778261;
2023-01-24;77,4;935,813043;28,1;22,421739;18,7;81,956522;3,678261;
2023-01-25;null;934,719048;28,8;null;19,3;81,380952;1,471429;
2023-01-26;39,8;933,973913;29;23,230435;20,6;83,695652;2,382609;
