Nome: BRASNORTE (NOVO MUNDO)
Codigo Estacao: A927
Latitude: -12.52194443
Longitude: -58.23138888
Altitude: 426.2
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,8;961,979167;30,5;24,520833;20,9;88,416667;,004167;
2023-01-02;2;961,333333;28,8;23,475;21,6;94,541667;,566667;
2023-01-03;35,6;961,425;28,1;23,329167;20,8;93,291667;,1;
2023-01-04;9,6;961,791667;28,7;23,333333;21,5;92,958333;,05;
2023-01-05;3,6;961,929167;30;23,925;20,9;88,083333;,420833;
2023-01-06;,4;962,725;29,5;23,745833;21,3;88,666667;0;
2023-01-07;17,8;963,35;30,6;24,404167;21,4;86,291667;,195833;
2023-01-08;0;963,295833;30,1;24,2;21,6;88,875;,145833;
2023-01-09;,2;962,695833;30,2;23,9875;20,4;88,25;,716667;
2023-01-10;0;963,7125;30,8;23,625;20,4;87,5;,425;
2023-01-11;1,2;963,533333;31,3;24,925;20,9;84,791667;,633333;
2023-01-12;0;962,129167;30,5;25,133333;22,1;86,25;,258333;
2023-01-13;6;961,8125;28,8;23,470833;21,1;90,916667;,6625;
2023-01-14;5,2;963,125;31,1;23,3625;20,3;89,666667;,020833;
2023-01-15;1;963,85;30,5;24,033333;20,9;87,833333;,104167;
2023-01-16;0;962,354167;31,1;25,266667;21,7;82,958333;,091667;
2023-01-17;49;962,579167;28,4;22,604167;20,4;94,5;,016667;
2023-01-18;32,8;963,195833;30,6;24,333333;21,2;83,333333;,254167;
2023-01-19;1,6;964,479167;31,5;24,6875;19,9;80,458333;,554167;
2023-01-20;0;963,454167;31,6;24,970833;21,3;81,375;,133333;
2023-01-21;0;961,991667;29,6;24,325;21,1;86,041667;,1625;
