Nome: SALTO DO CEU
Codigo Estacao: A936
Latitude: -15.12472221
Longitude: -58.12722221
Altitude: 300.83
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;976,075;31,4;25,658333;21,9;83,166667;,866667;
2023-01-02;null;975,045833;33,6;26,608333;23,1;79,958333;1,204167;
2023-01-03;null;975;29,6;24,475;23;88,333333;,770833;
2023-01-04;null;975,879167;26;23,725;22;90,333333;,758333;
2023-01-05;null;975,975;29,9;24,770833;22;82,625;,7875;
2023-01-06;null;976,7375;32,7;25,941667;21,2;70,958333;,975;
2023-01-07;null;977,583333;34;25,429167;18,6;67,916667;1,075;
2023-01-08;null;977,254167;34,9;25,758333;18,2;66,458333;1,245833;
2023-01-09;null;976,1;35,4;26,970833;20,6;66,958333;1,554167;
2023-01-10;null;977,266667;31;24,641667;23;82,416667;1,504167;
2023-01-11;null;977,570833;31;24,25;21,1;85,875;1,0125;
2023-01-12;null;975,7875;31,6;24,379167;21,5;86,208333;1,066667;
2023-01-13;null;974,733333;32,7;26,279167;21,5;74,5;2,266667;
2023-01-14;null;977,091667;31,3;24,9875;22,8;80,708333;1,575;
2023-01-15;null;978,225;31,6;24,195833;21,6;87,5;,495833;
2023-01-16;null;977,154167;32;24,9;22;84,375;,75;
2023-01-17;null;977,1125;32,4;24,579167;21;81,916667;,866667;
2023-01-18;null;978,245833;32,6;24,916667;21,9;80,708333;,995833;
2023-01-19;null;979,0125;34,4;25,454167;20,4;77,166667;,825;
2023-01-20;null;977,633333;34,7;25,045833;21,1;81,25;,85;
2023-01-21;null;975,175;34,3;26,425;22,7;74,333333;1,5;
2023-01-22;null;974,833333;34,9;27,454167;22,4;71,333333;1,6;
2023-01-23;null;975,975;32,2;25,3125;22,8;83,708333;1,354167;
2023-01-24;null;976,333333;29,6;23,4875;20,6;89,333333;1,129167;
2023-01-25;null;975,375;30,3;23,829167;21,2;90,416667;,6375;
2023-01-26;null;974,704167;29,6;25,083333;22;81,791667;1,5125;
2023-01-27;null;974,858333;28,5;24,083333;22,3;85,916667;,820833;
2023-01-28;null;976,095833;27,1;23,733333;21,9;89,5;,770833;
2023-01-29;null;976,545833;31,3;25,35;22,3;81,75;1,254167;
2023-01-30;null;975,429167;34;26,725;21,5;70,291667;1,675;
2023-01-31;null;975,754167;31,3;25,15;21,9;83,625;,854167;
2023-02-01;null;976,841667;31,1;25,15;21,9;82,333333;,391667;
2023-02-02;null;976,958333;31,1;25,05;22,2;85,583333;,583333;
2023-02-03;null;977,8125;33;24,6375;21,9;85,541667;,670833;
2023-02-04;null;979,895833;31;23,595833;20,9;87,791667;,479167;
2023-02-05;null;978,8625;33,2;25,6875;20,7;76,708333;,8125;
2023-02-06;null;977,920833;33,1;25,933333;21,6;76,666667;1,525;
2023-02-07;null;977,466667;32,1;25,095833;21,6;80,583333;,65;
2023-02-08;null;976,704167;33,1;26,141667;22,9;78,791667;1,0125;
2023-02-09;null;976,7125;33,1;26,158333;22,8;81,958333;,804167;
2023-02-10;null;977,029167;33;24,908333;22,2;87,583333;,470833;
2023-02-11;null;976,279167;31,3;24,5625;23;90,666667;,408333;
2023-02-12;null;975,495833;33,5;25,975;22,6;81,125;1,241667;
