Nome: PONTES E LACERDA
Codigo Estacao: A937
Latitude: -15.23444444
Longitude: -59.3461111
Altitude: 272.53
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;21,8;976,558333;31,8;25,154167;20,4;80,041667;,825;
2023-01-02;,2;975,583333;32,4;25,675;22,2;81,416667;1,329167;
2023-01-03;59,6;975,608333;26,5;23,504167;22,3;88,875;,966667;
2023-01-04;25,4;976,441667;24;22,370833;22;92,416667;,841667;
2023-01-05;22,8;977,104167;27,6;23,3;20,5;85,083333;,708333;
2023-01-06;,2;977,566667;32;24,629167;20,3;78,458333;,508333;
2023-01-07;0;978,241667;32,6;24,8125;18,6;74,875;,720833;
2023-01-08;0;977,754167;33,1;24,820833;17,8;70,958333;,7125;
2023-01-09;0;976,7125;33,8;25,120833;18,5;75,333333;,925;
2023-01-10;0;977,6625;30,2;25,541667;22,3;78,125;1,220833;
2023-01-11;0;977,8125;32,2;25,554167;20,1;76;1,1375;
2023-01-12;0;976,279167;30,6;23,879167;21,3;84,041667;1,595833;
2023-01-13;11,2;975,270833;29,3;24,491667;21;82,291667;1,620833;
2023-01-14;7,2;977,558333;29,3;24,445833;21,8;78,166667;1,566667;
2023-01-15;1,2;978,508333;31,7;24,35;20;80,583333;,816667;
2023-01-16;,4;977,979167;30,6;23,425;21,7;88,958333;,579167;
2023-01-17;43,6;977,8125;29,4;23,825;20,5;82,916667;,908333;
2023-01-18;21;978,741667;30,8;24,341667;21,6;81,666667;,8625;
2023-01-19;16,8;979,854167;32,4;24,441667;19,4;80,75;,8;
2023-01-20;0;978,029167;32,9;25,4;20,6;76,791667;1,045833;
2023-01-21;0;975,883333;31,7;25,354167;21;76,791667;1,6625;
2023-01-22;3,4;975,391667;33;25,695833;20,5;77,125;1,3625;
2023-01-23;2,6;976,266667;31,4;25,525;20,9;80;1,379167;
2023-01-24;8,6;976,408333;29,1;25,1125;22,3;81,166667;1,775;
2023-01-25;0;975,4875;32;24,108333;22,2;84,958333;,75;
2023-01-26;11,2;975,575;25,4;22,983333;21,5;88,208333;1,316667;
2023-01-27;5,2;975,573913;29,6;23,234783;21;87,347826;,943478;
2023-01-28;19,6;976,504167;25,8;22,958333;20,8;89,958333;,625;
2023-01-29;,2;976,995833;30,5;24,129167;21,8;84,875;1,233333;
2023-01-30;5,2;976,204167;31,1;24,908333;21,1;78,708333;1,6875;
2023-01-31;,2;976,341667;30,4;23,575;20,8;85,375;1,3125;
2023-02-01;39,2;977,429167;31,2;24,095833;21;83,333333;,995833;
2023-02-02;1,8;977,55;31,7;24,779167;20,9;83,5;,8625;
2023-02-03;3,4;978,470833;31,2;24,75;20,9;82;1,208333;
2023-02-04;,6;980,291667;30,2;24,35;21,5;82,208333;,533333;
2023-02-05;,2;979,4625;33;25,795833;21,7;76,916667;,908333;
2023-02-06;30;978,616667;30,1;24,2625;20,9;83,166667;1,275;
2023-02-07;,4;978,070833;31,8;24,995833;20,6;79,916667;,85;
2023-02-08;0;977,208333;32,9;25,829167;22;77,291667;,883333;
2023-02-09;0;977,504167;29,7;24,979167;21,8;83,625;,720833;
2023-02-10;0;977,420833;31,8;24,129167;21,7;85,291667;,708333;
2023-02-11;2,8;976,695833;31,9;24,058333;21,9;86,833333;,475;
2023-02-12;1,2;975,895833;32,7;25,6375;22,6;81,791667;,779167;
2023-02-13;0;975,858333;31,7;25,179167;23;82,625;1,233333;
2023-02-14;5,8;976,041667;33,2;25,054167;21;82,333333;,929167;
2023-02-15;14,6;975,904167;31,6;24,170833;21,7;86,375;,85;
2023-02-16;5,8;973,575;31,6;24,520833;21,5;84,125;1,325;
2023-02-17;5,4;974,9625;29,9;23,5375;22,1;87,958333;1,1;
2023-02-18;25,6;979,241667;25,2;21,775;20,6;85,5;1,791667;
2023-02-19;,8;979,3625;27,6;21,666667;17,8;65,916667;1,708333;
2023-02-20;0;977,479167;30;23,616667;18,3;72,375;1,020833;
2023-02-21;0;977,095833;29,2;24,225;21,4;83,791667;,566667;
2023-02-22;5,4;978,708333;30,7;24,4125;21,8;84,541667;1,070833;
2023-02-23;21,8;980,0125;31,5;24,704167;22,3;84,458333;,841667;
2023-02-24;8,2;978,583333;33,1;24,620833;19,9;81,791667;,679167;
2023-02-25;6,2;977,3125;32,7;25,658333;21,1;80,625;,929167;
2023-02-26;1;978,179167;32;25,483333;21,2;79,166667;,766667;
2023-02-27;0;979,754167;33,6;26,054167;22,7;80,083333;1,2625;
2023-02-28;49,6;981,020833;31,1;24,475;20,1;81,291667;1,104167;
2023-03-01;0;978,8375;32,8;25,958333;21,2;77,5;1,075;
2023-03-02;0;977,0375;33,4;25,154167;21;78,125;,883333;
2023-03-03;4,8;976,904167;31,1;24,7;21,3;82,291667;,945833;
2023-03-04;,4;977,4;33,7;25,6875;21,3;80,333333;,758333;
2023-03-05;6,4;977,966667;32,4;25,341667;21,6;82,291667;,670833;
2023-03-06;,2;975,9125;33,4;26,35;22,1;80,125;,895833;
2023-03-07;5,4;975,479167;32,5;25,870833;21,6;82,041667;1,216667;
2023-03-08;5,8;976,8375;30,1;24,504167;22,7;86,958333;,8125;
2023-03-09;7,8;977,4125;32,3;24,2875;20;83,416667;,629167;
2023-03-10;3,8;977,429167;30,8;24,920833;22;85;,754167;
2023-03-11;34,2;977,516667;29,8;24,708333;22,2;84,208333;1,2;
2023-03-12;,4;977,391667;28,8;23,929167;21,2;86,541667;,883333;
2023-03-13;8;977,858333;29;23,666667;21,9;87,875;1,2625;
2023-03-14;9,6;978,379167;29,6;23,791667;20,7;82,916667;1,6375;
2023-03-15;,4;977,708333;30,5;24,545833;20,1;81,375;,9625;
2023-03-16;0;976,566667;32,5;24,954167;20,6;80,583333;1,0375;
2023-03-17;1,8;976,458333;29,9;23,525;21,8;87,666667;,675;
2023-03-18;19,2;975,7125;31,6;23,941667;20,1;84,333333;,454167;
2023-03-19;51,2;975,654167;26,2;22,95;21,5;89,583333;,966667;
2023-03-20;5,8;975,345833;28,6;23,8;21,8;86,791667;,866667;
2023-03-21;18,2;975,470833;27,6;23,208333;21,6;89,375;,658333;
2023-03-22;9,6;977,008333;27,1;23,2875;21,9;89,625;1,141667;
2023-03-23;15,2;978,891667;29,3;24,370833;21,4;81,375;,8875;
2023-03-24;,4;979,341667;31,6;25,5;21,7;77,416667;1,183333;
2023-03-25;0;978,8375;32,4;24,045833;20,4;84,041667;,75;
2023-03-26;11;979,241667;33,3;25,866667;20,2;77,541667;,8125;
2023-03-27;0;979,233333;32,2;25,1;21,7;82,791667;,829167;
2023-03-28;3,8;977,858333;34,4;24,629167;20,8;81,291667;,691667;
2023-03-29;1,4;977,645833;32,4;24,325;20,5;83,625;,670833;
2023-03-30;1,4;979,120833;32,6;24,5;20,8;82,75;,625;
2023-03-31;,4;979,291667;33,9;25,691667;19,7;75,375;,545833;
2023-04-01;0;978,883333;31,5;24,8875;20,5;80,125;,904167;
2023-04-02;5,2;977,666667;32;24,991667;20,8;80,375;,779167;
2023-04-03;,2;977,291667;30,2;23,229167;20,3;85,833333;,954167;
2023-04-04;6,4;976,441667;30,9;23,916667;19,7;83,75;,65;
2023-04-05;35,6;976,595833;29,2;23,433333;21;85,583333;1,058333;
2023-04-06;1,4;977,654167;26,5;22,720833;20,6;86,583333;,7125;
2023-04-07;,8;978,041667;28,8;23,15;20,4;85,583333;,766667;
2023-04-08;38;979,6;29,4;23,9625;20,7;82,916667;1,275;
2023-04-09;0;980,116667;29,5;24,05;22,1;83,375;,8625;
2023-04-10;,4;979,8375;32,2;24,529167;20,7;82,958333;,625;
2023-04-11;3;978,325;31,6;24,883333;20,9;82,625;,5125;
2023-04-12;,2;976,416667;32,2;25,479167;21,2;80,541667;,825;
2023-04-13;0;975,408333;32,1;25,6;20,9;79,666667;,808333;
2023-04-14;0;976,108333;32,4;24,495833;22;85,208333;,729167;
2023-04-15;78,4;978,279167;31,3;24,2125;21,3;85,125;,7625;
2023-04-16;,2;977,4125;31,6;24,508333;22,3;86,583333;,716667;
2023-04-17;18,8;974,770833;30,6;24,2625;21,7;87,916667;,658333;
2023-04-18;13,6;973,679167;30,5;25,120833;21;83,458333;1,166667;
2023-04-19;,6;977,366667;27,9;23,270833;21,6;90,375;,645833;
2023-04-20;4,8;981,2875;28;23,245833;20,7;71,375;2,05;
2023-04-21;0;978,279167;29,4;21,270833;13,2;71,541667;1,1;
2023-04-22;0;977,783333;31;24,041667;17,9;72,5;1,295833;
2023-04-23;0;979,020833;29,9;24,654167;21,6;73,875;1,541667;
2023-04-24;0;978,758333;31,9;24,870833;21,5;77,625;,8375;
2023-04-25;3,2;979,325;32,1;25,308333;21,6;80,166667;,695833;
2023-04-26;,2;979,341667;32,8;25,670833;20,6;79,666667;,4375;
2023-04-27;0;979,395833;30,8;24,0125;21,6;87,083333;,866667;
2023-04-28;5,6;979,4375;32,1;24,729167;20,2;81,541667;,7125;
2023-04-29;,2;978,708333;33,7;24,966667;20,3;81;,804167;
2023-04-30;1,8;978,358333;32,5;25,35;21,2;81,875;,941667;
2023-05-01;,2;978,758333;32,1;24,754167;20,4;82,541667;,766667;
2023-05-02;0;978,4125;32;24,358333;19,7;81,375;,920833;
2023-05-03;19;979,025;28,3;23,4125;21;87,416667;,758333;
2023-05-04;,6;979,629167;27,5;23,075;20,6;85,458333;1,491667;
2023-05-05;14,4;980,116667;29,9;24,6625;21,9;83,583333;1,133333;
2023-05-06;,2;980,833333;27,1;24,1125;21,7;83,791667;1,1375;
2023-05-07;0;979,3125;32,1;24,708333;21;82;,833333;
2023-05-08;0;980,945833;26;23,1125;21,9;91,166667;,508333;
2023-05-09;60,8;982,25;25,9;23;21,7;87;1,141667;
2023-05-10;0;981,316667;27;22,9125;20,5;84,458333;1,358333;
2023-05-11;0;980,758333;27;22,845833;20,3;83,208333;1,5375;
2023-05-12;0;981,504167;27,9;23,191667;20,3;80,625;1,691667;
2023-05-13;0;982,15;28,1;22,616667;18,8;74,25;1,604167;
2023-05-14;0;982,629167;28,5;21,829167;15,7;74,083333;1,258333;
2023-05-15;0;982,716667;30,5;22,258333;15,7;72,916667;1,008333;
2023-05-16;0;981,091667;30,7;22,025;14,9;71,625;1,0625;
2023-05-17;,2;979,620833;32,1;22,033333;15;75,333333;,345833;
2023-05-18;0;980,2875;32,6;23,604167;17;74,5;,5625;
2023-05-19;,2;979,4875;33,4;24,033333;17,9;75,708333;,633333;
2023-05-20;0;978,566667;33,5;24,929167;18,7;69,375;,875;
2023-05-21;0;976,770833;32,7;23,583333;17,4;73,166667;,804167;
2023-05-22;0;977,5625;32,2;24,15;19,3;78;,595833;
2023-05-23;0;978,9875;32,6;24,979167;19,8;74,958333;,741667;
2023-05-24;0;978,066667;33;24,083333;18;74,208333;,579167;
2023-05-25;0;977,8875;32,4;23,9375;17,3;71,541667;,758333;
2023-05-26;0;978,370833;32,7;24,3625;18,7;76,708333;,766667;
2023-05-27;0;979,4375;33,3;25,195833;19,5;75,666667;,641667;
2023-05-28;0;980,745833;27,2;23,441667;21,7;83,5;1,091667;
2023-05-29;,8;981,616667;22,1;18,925;16,5;85,25;1,6;
2023-05-30;,2;982,233333;22,1;19,6375;17,1;88,208333;1,1625;
2023-05-31;23,2;982,9375;24,8;20,945833;18,2;85,708333;1,333333;
2023-06-01;0;983,058333;28,6;22,3875;18,8;82,125;1,104167;
2023-06-02;0;981,0875;31;23,558333;17,9;78;,833333;
2023-06-03;0;979,395833;32,2;24,154167;18,5;78,458333;,683333;
2023-06-04;8,2;981,4625;29,5;24,0875;21,1;84;,641667;
2023-06-05;,8;982,754167;29,9;24,329167;21,2;78,083333;,8125;
2023-06-06;,2;981,279167;30,2;22,720833;16,8;74,583333;,929167;
2023-06-07;0;981,2125;31,4;21,629167;15,3;74,416667;,3875;
2023-06-08;0;981,425;32,4;22,720833;15,6;75,666667;,6875;
2023-06-09;0;980,141667;32,5;23,9125;17,8;76,916667;,783333;
2023-06-10;0;979,570833;32,1;23,729167;17,9;76,791667;,8625;
2023-06-11;0;979,5125;31,9;23,666667;18,2;78,541667;,745833;
2023-06-12;2,8;982,5125;23,9;18,916667;18,7;90;1,379167;
2023-06-13;1,4;988,520833;13,9;11,2125;10,6;85,125;1,975;
2023-06-14;0;988,933333;15,5;10,970833;8,1;72,541667;1,854167;
2023-06-15;0;986,7375;20,6;13,858333;9;68,333333;1,4;
2023-06-16;,6;985,354167;23,3;16,1875;10,8;67,625;1,05;
2023-06-17;0;986,225;24,5;17,341667;12;65,25;1,295833;
2023-06-18;0;984,941667;26,5;17,9875;10,4;68,458333;1,045833;
2023-06-19;0;982,741667;31,3;18,941667;10,7;75,791667;,2125;
2023-06-20;0;981,9875;32;21,158333;13,8;74,916667;,175;
2023-06-21;0;980,0875;32,4;22,366667;15,3;75,666667;,25;
2023-06-22;0;979,558333;32,7;22,979167;16,2;75;,275;
2023-06-23;0;979,241667;32,9;22,141667;14,6;72,541667;,3625;
2023-06-24;0;979,175;32,9;22,125;14,8;73,208333;,3375;
2023-06-25;0;980,520833;33,2;22,716667;15,5;72;,054167;
2023-06-26;0;980,320833;32,7;22,654167;15,7;70,375;,270833;
2023-06-27;0;979,891667;32,7;22,404167;14,8;71,166667;,258333;
2023-06-28;0;981,441667;32,1;22,504167;15,7;72,125;,1125;
2023-06-29;0;983,066667;30,5;22,595833;15,3;68,541667;1,0875;
2023-06-30;0;983,141667;31,2;23,541667;16,6;65,875;1,1875;
2023-07-01;0;982,379167;31,3;22,620833;15,7;65,708333;,6625;
2023-07-02;0;980,220833;32,2;21,0875;12,1;66,833333;,191667;
2023-07-03;0;980,141667;32,3;20,25;11,9;68,958333;,133333;
2023-07-04;0;980,129167;32,5;20,229167;11,5;67,708333;,433333;
2023-07-05;0;980,566667;32,6;20,770833;12,1;69,208333;,308333;
2023-07-06;0;978,875;33,8;21,275;12,6;67,291667;,725;
2023-07-07;0;978,341667;33,2;22,35;15,2;68,583333;,995833;
2023-07-08;0;978,708333;33,1;22,6375;15,4;69,583333;1,120833;
2023-07-09;0;979,5;33,6;23,004167;15,5;69,666667;,9125;
2023-07-10;0;979,154167;33,9;23,3875;15,6;71,25;,833333;
2023-07-11;0;978,125;34,4;23,75;16,5;71,125;,816667;
2023-07-12;0;976,141667;33,7;22,991667;15;67,958333;1,254167;
2023-07-13;0;979,391667;32;21,304167;15,6;73,291667;1,595833;
2023-07-14;0;983,520833;22,9;16,941667;14,1;63,666667;3,004167;
2023-07-15;0;980,391667;30,5;19,195833;11,3;68,375;,645833;
2023-07-16;0;980,370833;32,8;21,875;13,5;71,083333;,3625;
2023-07-17;0;981,366667;33,8;23,808333;16,5;68,666667;,525;
2023-07-18;0;984,429167;29,7;23,020833;17;65,541667;1,9;
2023-07-19;0;986,7625;27;20,045833;13,2;60,166667;1,775;
2023-07-20;0;984,208333;34;21,770833;12,4;68,25;,4875;
2023-07-21;0;982,2;34,5;23,725;15,5;61,041667;,395833;
