Nome: MORRINHOS
Codigo Estacao: A003
Latitude: -17.745066
Longitude: -49.101698
Altitude: 751.09
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1;929,391667;30;23,575;19,9;78,916667;1,220833;
2023-01-02;,4;928,025;28;23,595833;21,3;77,833333;,995833;
2023-01-03;1;927,720833;28;23,341667;21;78,375;1,8125;
2023-01-04;9,8;927,75;26,4;22,470833;19;80,708333;2,745833;
2023-01-05;2,2;927,391667;27,6;23,170833;19,2;78,416667;2,729167;
2023-01-06;12,4;928,241667;25,3;22,1375;20,7;85,5;2,766667;
2023-01-07;21,6;929,716667;26,3;21,6625;19,7;84,791667;2;
2023-01-08;109,6;929,654167;24,7;21,479167;19,9;90,25;1,904167;
2023-01-09;35;929,682609;27,6;21,83913;19,5;86,043478;1,782609;
2023-01-10;15,8;930,191667;28,4;21,9375;19,2;83,958333;1,179167;
2023-01-11;5,6;930,225;30,1;23,8125;19,6;74,208333;2,041667;
2023-01-12;4,2;928,754167;29,3;23,55;19,4;77;1,6;
2023-01-13;2,6;928,370833;29,8;22,966667;20,6;76,541667;2,675;
2023-01-14;26,8;929,4625;29,9;22,8625;18,8;76,375;1,7125;
2023-01-15;2,2;930,041667;30,7;23,741667;19,7;80,375;,7875;
2023-01-16;1,8;928,878261;31,2;25,034783;21,3;73,869565;1,378261;
2023-01-17;0;928,916667;31,4;25,083333;20,9;68,875;1,295833;
2023-01-18;0;930,175;30,9;24,2;19,7;70,875;1,104167;
2023-01-19;1;930,291667;32,1;23,908333;19,6;72,375;1,0375;
2023-01-20;,2;929,108333;28,5;22,883333;19,8;76,875;1,470833;
2023-01-21;36;928,195833;26,7;22,125;18,8;81;2,420833;
2023-01-22;0;927,208333;28,3;23,308333;20,2;77;2,654167;
2023-01-23;5,8;927,754167;28,3;22,733333;20,1;82,166667;2,633333;
2023-01-24;1,8;927,179167;28,5;23,591667;20,7;77,208333;2,983333;
2023-01-25;37,6;926,6375;28,6;23,641667;19,9;79,083333;1,458333;
2023-01-26;36,6;926,1;29,9;22,754167;19,3;82,291667;1,683333;
2023-01-27;11,6;927,7375;29;23,129167;18,9;76,583333;1,545833;
2023-01-28;9;930,104167;30,5;23,4875;19,6;75,583333;1,570833;
2023-01-29;9;929,566667;30,2;23,975;20,9;76,375;1,1375;
2023-01-30;26,2;928,470833;30,1;22,2125;18,4;80,75;1,0875;
2023-01-31;2,6;928,558333;29;22,845833;18,3;80,083333;1,004167;
2023-02-01;,2;929,2125;30,9;24,220833;20,5;75,333333;1,216667;
2023-02-02;0;929,425;32,3;25,579167;20,1;67,041667;1,125;
2023-02-03;0;929,558333;31,7;24,533333;19,5;71,541667;1,379167;
2023-02-04;4,6;930,920833;31,2;24,2125;20;75,875;1,733333;
2023-02-05;0;930,6875;31,7;24,541667;20,3;74,833333;1,3875;
2023-02-06;1;929,758333;30,4;23,008333;19,9;78,416667;1,066667;
2023-02-07;8,2;929,55;30,3;23,7875;18,5;76,958333;,741667;
2023-02-08;1,2;928,4;30,9;24,341667;19,6;75,333333;,9;
2023-02-09;2,4;929,329167;31,2;23,466667;20,7;78,791667;1,483333;
2023-02-10;13;929,341667;29,9;22,558333;18,9;80,041667;1,195833;
2023-02-11;30,8;929,3625;28,1;22,266667;19,1;85,583333;1,475;
2023-02-12;23,8;928,370833;30,3;24,154167;20,3;80,333333;1,075;
2023-02-13;,2;928,758333;31;24,320833;19,6;74,458333;1,254167;
2023-02-14;0;928,220833;33,4;26,05;20,5;70,958333;1,195833;
2023-02-15;0;926,6875;34;26,395833;20,6;67,541667;1,425;
2023-02-16;0;925,441667;32,1;25,604167;20,5;65,791667;1,583333;
2023-02-17;0;926,0625;32,4;25,045833;20,9;69,75;1,570833;
2023-02-18;0;928,145833;27,9;22,966667;21,1;79,5;1,4875;
2023-02-19;0;928,170833;31,9;24,45;19,9;74,125;1,645833;
2023-02-20;0;929,054167;31;24,4;19;70,583333;1,708333;
2023-02-21;1,4;930,141667;30,3;23,5125;19,6;73,5;1,641667;
2023-02-22;0;931,891667;31,7;23,166667;18,2;74,125;1,6625;
2023-02-23;28;932,333333;30,6;22,775;19,9;80,166667;1,233333;
2023-02-24;,6;930,391667;31,5;23,5;19,9;79,25;,9125;
2023-02-25;1,2;929,308333;32,2;23,791667;20,8;80,625;1,4625;
2023-02-26;2,6;930,5375;33,4;25,245833;19,9;74,041667;1;
2023-02-27;0;931,204167;32,9;25,9375;19,6;68,625;1,154167;
2023-02-28;0;931,420833;32,5;25,645833;19,5;65,791667;1,204167;
2023-03-01;2,8;931,229167;29,9;22,5125;20,1;78,333333;1,125;
2023-03-02;5,4;929,9125;32,4;23,308333;18,1;74,958333;1,429167;
2023-03-03;3;929,233333;31,8;23,625;20,1;75,666667;1,033333;
2023-03-04;7,4;929,766667;31,8;25,070833;20,7;71,416667;,783333;
2023-03-05;,2;928,883333;31,1;24,395833;20,6;73,291667;,625;
2023-03-06;0;927,0625;32,5;24,708333;21,4;69,125;1,708333;
2023-03-07;2,6;928,625;29,1;22,604167;20,3;78,083333;1,9;
2023-03-08;24,8;929,441667;30,9;22,3125;18,9;78,833333;1,5125;
2023-03-09;34,2;930,329167;28,8;22,991667;19,6;77,75;1,845833;
2023-03-10;27;929,904167;30,3;23,195833;18,5;76,791667;1,604167;
2023-03-11;8,2;929,675;27,2;21,6125;19,6;84,541667;1,879167;
2023-03-12;5;929,520833;30,7;22,916667;17,9;77,25;,8375;
2023-03-13;,2;930,008333;24,5;22,191667;20,6;85,083333;1,016667;
2023-03-14;10,4;930,533333;26;21,7875;19,7;85,375;1,0875;
2023-03-15;2;929,4625;29;22,995833;20,5;82,958333;1,054167;
2023-03-16;4,6;928,566667;28,2;22,875;20,5;80,458333;1,1875;
2023-03-17;,6;929,1375;26,3;20,966667;20,1;88,041667;,95;
2023-03-18;85,4;929,558333;28,9;22,420833;18,6;80,125;,941667;
2023-03-19;6,4;929,620833;29,4;22,845833;19,4;77,541667;,970833;
2023-03-20;26,8;930,208333;28,9;21,479167;18,3;82,583333;1,5625;
2023-03-21;13;930,65;30,9;22,495833;18,6;79,083333;1,9625;
2023-03-22;20,8;931,266667;30,5;23,254167;18,8;76,791667;1,308333;
2023-03-23;0;931,220833;31,5;24,620833;19,3;71,125;1,691667;
2023-03-24;0;930,879167;32,3;24,670833;18,8;67,958333;,795833;
2023-03-25;0;930,245833;32,3;24,9375;18,9;62,916667;1,020833;
2023-03-26;0;930,570833;33,7;24,779167;17,6;61,416667;,8125;
2023-03-27;0;929,633333;33,5;24,870833;18,4;63,666667;,6375;
2023-03-28;0;929,479167;33,2;24,425;19,1;69,875;1,233333;
2023-03-29;5,8;929,925;32,2;24,795833;19,2;69,458333;1,104167;
2023-03-30;0;930,979167;33;25,454167;19,1;62,916667;,929167;
2023-03-31;0;930,225;32,9;24,975;18,2;61,583333;,8;
