Nome: PORANGATU
Codigo Estacao: A005
Latitude: -13.30944444
Longitude: -49.11749999
Altitude: 365
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;9,8;969,631818;33;25,636364;21,7;82,090909;,354545;
2023-01-02;6;968,743478;32;25,686957;22,3;83,130435;,686957;
2023-01-03;,2;969,038095;30,9;null;22,4;84,857143;1,07619;
2023-01-04;null;970,022727;29,6;24,568182;21,7;87,409091;1,027273;
2023-01-05;0;969,63913;30,6;25,765217;22,3;82,695652;,882609;
2023-01-06;35,6;971,119048;25,7;null;21,1;93,285714;1,095238;
2023-01-07;null;971,886364;29,4;23,886364;21,6;88;,772727;
2023-01-08;11,2;971,404545;30,1;24,977273;21,4;84,681818;,604545;
2023-01-09;null;971,45;27,8;null;21,5;86,6;,955;
2023-01-10;0;971,333333;31,9;null;20,9;80,142857;1,057143;
2023-01-11;null;971,659091;31,5;25,559091;22,2;83,136364;1,136364;
2023-01-12;null;969,754545;30,8;24,845455;23,4;86,818182;,6;
2023-01-13;20,6;969,828571;26,3;null;20,2;90,761905;,795238;
2023-01-14;null;970,455;31,1;null;20,4;79,3;1,045;
2023-01-15;null;970,304545;33,4;26,545455;22;79,5;,409091;
2023-01-16;4,2;968,736364;33,4;27,590909;20,8;75,136364;1,15;
2023-01-17;4;969,973913;28;24,608696;20,8;83,434783;1,386957;
2023-01-18;0;970,995455;32,9;24,472727;20,5;82,863636;,813636;
2023-01-19;7,6;971,859091;31,1;23,436364;21;89,227273;,8;
2023-01-20;null;970,961905;31,4;null;20,7;80,857143;,390476;
2023-01-21;0;969,452174;31,6;25,930435;22,6;81,608696;,843478;
2023-01-22;5,6;970,228571;28,5;null;21,4;85,857143;1,557143;
2023-01-23;null;970,395455;30,2;24,790909;21,1;84,409091;,395455;
2023-01-24;0;969,573913;28,4;24,552174;21,9;88,434783;,917391;
2023-01-25;0;968,180952;32,5;null;21,2;82,761905;,57619;
2023-01-26;null;null;null;null;null;null;null;
2023-01-27;null;null;null;null;null;null;null;
2023-01-28;null;null;null;null;null;null;null;
2023-01-29;null;970,089474;31,1;null;null;81,578947;,715789;
2023-01-30;null;968,822727;31,7;25,563636;21,4;80,545455;1,259091;
2023-01-31;0;968,478261;33,9;27,578261;22,2;71,086957;,886957;
2023-02-01;0;969,169565;33,3;26,634783;22,1;75,782609;1,317391;
2023-02-02;null;970,715;30;null;22,3;88,55;,255;
2023-02-03;8,6;971,23913;29,8;25,921739;22,7;84;1,021739;
2023-02-04;null;972,068182;32,6;25,768182;22,2;85,454545;,686364;
2023-02-05;4,6;971,469565;33,4;26,108696;22,2;82,956522;,817391;
2023-02-06;null;969,961905;33,3;null;21,6;78,857143;,714286;
2023-02-07;0;969,217391;35,4;27,547826;22,9;75,391304;,678261;
2023-02-08;,8;969,178261;33,2;27,16087;21,9;74,913043;,804348;
2023-02-09;,2;969,504762;34,1;null;23,1;77,52381;,971429;
2023-02-10;,4;968,863636;34,5;27,136364;23,1;75,5;1,131818;
2023-02-11;0;968,140909;36,2;28,790909;22,8;67;1,136364;
2023-02-12;null;968,281818;33,2;27,395455;23,4;73,681818;1,490909;
2023-02-13;0;968,325;36,1;null;22,9;69,8;1,13;
2023-02-14;null;967,554545;37,2;29,845455;23,1;63,772727;1,404545;
2023-02-15;0;967,630435;34,9;28,526087;24;73,869565;1,386957;
2023-02-16;0;967,426316;35;null;23,9;77,210526;,842105;
2023-02-17;null;null;30,9;null;null;null;null;
2023-02-18;null;968,5;33,3;null;22,3;79,666667;1,233333;
2023-02-19;1,6;968,766667;28,5;24,779167;22;85,291667;1,3125;
2023-02-20;0;969,245455;33,8;26,872727;22,4;75,363636;,836364;
2023-02-21;0;970,447619;32,2;null;21,7;76,142857;1,380952;
2023-02-22;null;972,619048;28,2;null;21,1;86,857143;,757143;
2023-02-23;1,8;972,1;35,3;26,578261;20,8;76,521739;1,695652;
2023-02-24;11,6;970,686364;32,8;25,963636;21,8;81,863636;,636364;
2023-02-25;,2;969,781818;32,8;27,172727;23,5;75,636364;1,263636;
2023-02-26;null;970,921739;34,4;27,521739;22,8;76,73913;,504348;
2023-02-27;,2;971,208333;35,8;26,854167;22,8;80,875;,816667;
2023-02-28;4,2;972,052174;33;25,191304;22,1;82,826087;,921739;
2023-03-01;3;972,013636;32,7;24,954545;22,1;85,318182;1,586364;
2023-03-02;12,2;969,869565;33,2;26,06087;21,7;80,608696;1,121739;
2023-03-03;17,8;969,690909;30,7;26,090909;23,2;81,409091;1,481818;
2023-03-04;null;969,786364;33,9;25,640909;22,2;84,363636;,936364;
2023-03-05;0;969,178261;34,3;26,930435;22,1;78,521739;,691304;
2023-03-06;0;968;31,4;26,716667;23,1;80,166667;,445833;
2023-03-07;0;969,291304;30,9;24,26087;22,5;88,130435;1,052174;
2023-03-08;null;969,728571;30;null;20,5;83,47619;,880952;
2023-03-09;40,8;970,645455;28,8;23,936364;19,2;85,136364;1,463636;
2023-03-10;,2;969,466667;34,6;27,279167;20,9;76,041667;,8375;
2023-03-11;0;969,290476;30,4;null;23,3;86,238095;,904762;
2023-03-12;5,8;969,386364;31,5;25,618182;21,8;83,954545;,822727;
2023-03-13;10;970,186364;30,3;25,531818;21,5;84,772727;,627273;
2023-03-14;null;971,240909;28,1;23,777273;21,2;89,318182;1,8;
2023-03-15;10,6;969,990909;30,7;24,472727;21,3;88,863636;,772727;
2023-03-16;,2;969,673913;29;23,769565;21,7;89,782609;,934783;
2023-03-17;5,6;968,990909;31;24,727273;22,3;87;,722727;
2023-03-18;null;970,384211;27,7;null;20,8;91,631579;1,005263;
2023-03-19;9,2;971,304762;25,5;null;21,4;93,190476;1,37619;
2023-03-20;null;970,62381;29,8;null;21,5;82,761905;,709524;
2023-03-21;,2;971,691667;26,6;23,191667;22;93,291667;,866667;
2023-03-22;6,8;971,654167;29,9;24,170833;21;87,083333;,841667;
2023-03-23;,2;971,122727;32;26,659091;22;75,5;1,304545;
2023-03-24;0;970,5;33,9;27,029167;22,3;74,75;1,191667;
2023-03-25;0;970,017391;34,5;27,6;21,9;68,521739;,786957;
2023-03-26;0;970,156522;34,6;27,534783;22,9;73,73913;,8;
2023-03-27;6,6;969,933333;34,3;26,541667;23,1;82,916667;,491667;
2023-03-28;15;970,45;31,2;24,254167;21,7;86,583333;1,429167;
2023-03-29;0;969,966667;33,5;26,579167;21,2;73,041667;,908333;
2023-03-30;0;970,833333;33,7;27,208333;21,5;70,5;,379167;
2023-03-31;0;970,1125;34,6;27,704167;22,3;73,333333;,545833;
2023-04-01;0;969,645833;31,7;26,454167;22,8;81,166667;,854167;
2023-04-02;0;970,082609;31,5;24,513043;21,9;85,782609;1,304348;
2023-04-03;6;970,0375;30,7;24,720833;21,8;86,291667;,654167;
2023-04-04;0;969,216667;32,1;25,241667;20,9;77,25;,9125;
2023-04-05;0;968,195833;33,4;26,220833;21,3;73,5;,55;
2023-04-06;0;968,513043;31,5;25,391304;22,3;83,782609;,617391;
2023-04-07;0;969,441667;29,3;24,758333;22,5;88,5;,525;
2023-04-08;,2;969,920833;34,1;25,7125;22,1;84,875;,720833;
2023-04-09;1,2;970,358333;34,6;26,2125;22,7;84,166667;,6375;
2023-04-10;,8;971,658333;30,6;25,179167;23,1;88,25;,816667;
2023-04-11;0;970,720833;31;25,879167;22,2;85,041667;,616667;
2023-04-12;0;969,1;34;27,36087;22,3;76,043478;,921739;
2023-04-13;7,8;968,0875;30,9;26,454167;23;82,541667;,695833;
2023-04-14;,2;968,765217;33,2;27,495652;23;77,826087;,986957;
2023-04-15;0;969,408333;34,8;27,9125;22,5;73,375;,429167;
2023-04-16;0;968,717391;35,3;28,221739;23;73,434783;,43913;
2023-04-17;0;966,725;34;25,954167;22,5;84,166667;,570833;
2023-04-18;0;966,647826;33,3;25,113043;21,5;85,086957;,865217;
2023-04-19;2;969,804348;31,7;25,404348;21,8;85,217391;,508696;
2023-04-20;0;970,479167;33,1;26,475;22,2;79,333333;,979167;
2023-04-21;0;968,454167;34,3;27,095833;22,2;77,083333;1,095833;
2023-04-22;0;968,925;33,3;27,345833;22,3;72,791667;1,55;
2023-04-23;0;970,120833;32,9;27,029167;22,5;69,125;1,704167;
2023-04-24;1,2;970,858333;33,1;26,533333;21,2;70,291667;1,141667;
2023-04-25;2;971,770833;32,9;26,6875;21,9;71,291667;1,208333;
2023-04-26;,2;970,9625;33,9;27,3;21,7;67,958333;,745833;
2023-04-27;0;970,345833;34,9;27,091667;21,1;68,375;,533333;
2023-04-28;0;970,920833;34,9;27,4375;21,6;70,25;,4875;
2023-04-29;0;970,995833;34,9;27,683333;21,8;69,458333;,479167;
2023-04-30;0;970,7375;34,4;27,091667;21,7;73,083333;,679167;
