Nome: PARANA
Codigo Estacao: A010
Latitude: -12.615
Longitude: -47.87194443
Altitude: 284.96
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;979,072727;33,2;26,004545;20,3;69,954545;,390909;
2023-01-02;null;977,904545;33,3;26,95;22,6;66,545455;,195455;
2023-01-03;null;978,131818;30,9;25,945455;22;71,545455;,359091;
2023-01-04;null;979,695238;30,6;null;22,4;80,238095;,2;
2023-01-05;null;979,275;30,3;24,591667;21,5;77,208333;,4375;
2023-01-06;null;980,430435;30,7;24,952174;22;75,695652;,391304;
2023-01-07;null;981,042857;31,7;null;22,5;77,380952;,519048;
2023-01-08;null;980,527273;33,5;25,486364;22,1;74,136364;,445455;
2023-01-09;null;980,836364;30,9;24,227273;20,2;77;,431818;
2023-01-10;null;980,07;33,5;null;20,9;74,15;,1;
2023-01-11;null;980,695238;32,8;null;21,8;71,190476;,047619;
2023-01-12;null;978,97619;32,4;null;23,1;72,619048;,07619;
2023-01-13;null;978,727273;25,8;23,5;21,5;83,5;0;
2023-01-14;null;979,71;29,9;null;21,1;83,35;,185;
2023-01-15;null;979,482609;33,7;24,856522;20,1;77,695652;,078261;
2023-01-16;null;978,004348;34;27,508696;21,8;67,478261;,226087;
2023-01-17;null;979,463636;27,2;23,559091;20,9;82,227273;,663636;
2023-01-18;null;979,970833;29,5;24,633333;20,3;76,041667;,25;
2023-01-19;null;981,077273;31,9;24,236364;19,9;75,454545;,863636;
2023-01-20;null;980,3;32,8;25,265217;20,6;71,565217;,195652;
2023-01-21;null;978,952381;30,6;null;22,6;75,095238;,214286;
2023-01-22;null;979,785714;26,4;null;19,7;82,571429;,847619;
2023-01-23;null;979,504762;31,5;null;20;72,571429;,414286;
2023-01-24;null;978,568182;32;24,872727;21,2;76,818182;,545455;
2023-01-25;null;976,677273;34,3;26,945455;20,6;67,272727;,481818;
2023-01-26;null;977,259091;30,9;24,277273;21,2;78,181818;,881818;
2023-01-27;null;978,666667;31,6;null;21,5;76,095238;,609524;
2023-01-28;null;979,986364;31;23,827273;19,7;80,454545;,177273;
2023-01-29;null;979,408333;30,2;24,141667;20,9;79,291667;,291667;
2023-01-30;null;978,043478;31,9;25,1;21,4;75,173913;,434783;
2023-01-31;null;977,695652;34,7;26,456522;20,3;67,565217;,291304;
2023-02-01;null;978,286364;34,1;26,754545;21,8;67,636364;,318182;
2023-02-02;null;979,868182;32,8;25,45;21,2;74,818182;,613636;
2023-02-03;null;980,768182;31,1;25,218182;22,2;78,090909;,359091;
2023-02-04;null;981,217391;34,3;25,704348;22,3;75,043478;,256522;
2023-02-05;null;980,836364;34,3;25,568182;20,6;72,818182;,445455;
2023-02-06;null;979,17;34,4;null;22;73,35;,495;
2023-02-07;null;978,458333;34,2;25,9125;20,9;73,041667;,2375;
2023-02-08;null;978,540909;33,3;26,418182;19,1;69,681818;,340909;
2023-02-09;null;978,528571;34,5;null;22,4;72,380952;,319048;
2023-02-10;null;977,871429;34,7;null;21,7;66,095238;,304762;
2023-02-11;null;977,309091;35,9;28,245455;21,9;62,318182;,436364;
2023-02-12;null;977,785714;33,8;null;22,3;69,857143;,52381;
2023-02-13;null;977,480952;35,5;null;22,5;65,285714;,304762;
2023-02-14;null;976,804762;35,8;null;23;67,095238;,109524;
2023-02-15;null;976,740909;35,1;28,413636;23;65,863636;,559091;
2023-02-16;null;975,775;34,5;27,4375;23;68,25;,975;
2023-02-17;null;976,613636;33;25,336364;23;77,454545;,595455;
2023-02-18;null;977,652381;32,8;null;21,8;73,095238;,409524;
2023-02-19;null;978,047619;29,5;null;22,9;81,619048;,757143;
2023-02-20;null;978,885714;32,6;null;20,2;75,857143;,580952;
2023-02-21;null;979,495238;32,2;null;21,5;69,857143;,27619;
2023-02-22;null;981,490909;31,1;24,740909;20,6;77,272727;,613636;
2023-02-23;null;981,0125;33,3;25,520833;21,1;74,25;,358333;
2023-02-24;null;979,621739;33,8;27,291304;22,1;68;,834783;
2023-02-25;null;978,918182;31,7;26,127273;21,8;75,954545;,213636;
2023-02-26;null;980,1625;33,6;26,679167;21,4;71,208333;,291667;
2023-02-27;null;980,2625;34,5;26,695833;22,6;72,166667;,608333;
2023-02-28;null;981,370833;30,8;24,920833;21,7;78,166667;,745833;
2023-03-01;null;980,9;31,9;25,45;21,4;74;,436364;
2023-03-02;null;978,842857;33,4;null;21,8;69,47619;,4;
2023-03-03;null;978,917391;30,2;24,865217;21,9;77,956522;,626087;
2023-03-04;null;978,726316;33,4;null;20,9;66,684211;,452632;
2023-03-05;null;978,509524;32,5;null;22;72,619048;,395238;
2023-03-06;null;977,078261;33,7;27,343478;23,8;72,956522;,321739;
2023-03-07;null;978,386364;29,6;23,868182;23,2;82,954545;,45;
2023-03-08;null;978,952381;32,2;null;21,1;76,142857;,561905;
2023-03-09;null;979,272727;31,9;25,65;21,2;75,545455;,209091;
2023-03-10;null;978,513043;35,3;27,73913;22,4;69,086957;,434783;
2023-03-11;null;978,2125;33,4;26,729167;23;73,625;1,0875;
2023-03-12;null;978,234783;34,2;27,347826;23,5;67,782609;,886957;
2023-03-13;null;979,231818;31,3;24,936364;20,7;77,636364;,790909;
2023-03-14;null;979,65;32,4;null;21,7;72,3;,675;
2023-03-15;null;979,513043;29,8;23,873913;21,3;82,173913;,243478;
2023-03-16;null;978,790476;30,9;null;21,2;75,904762;,090476;
2023-03-17;null;978,295455;31,4;24,131818;22;81;,268182;
2023-03-18;null;980,394737;24,4;null;19,9;90,105263;,810526;
2023-03-19;null;981,041667;26,8;22,175;20,9;88,875;,370833;
2023-03-20;null;980,404348;28,7;23,756522;21,2;81,956522;,152174;
2023-03-21;null;981,227273;25,8;22,168182;21;86,772727;,372727;
2023-03-22;null;981,227273;30,7;23,254545;20,3;81,818182;,613636;
2023-03-23;null;980,504762;32,4;null;21,2;70,904762;,619048;
2023-03-24;null;979,734783;33,4;26,495652;20,6;68,086957;,66087;
2023-03-25;null;979,26087;34,1;26,126087;20,3;70,478261;,334783;
2023-03-26;null;979,704545;29,2;25,4;22,7;77,954545;,295455;
2023-03-27;null;979,45;31,8;24,179167;21,9;82,333333;,245833;
2023-03-28;null;979,791667;29,5;23,7875;20,8;83,208333;,2;
2023-03-29;null;979,365217;32;25,691304;20,3;72,652174;,504348;
2023-03-30;null;979,991667;33,9;26,783333;21,5;69,416667;,404167;
