Nome: SAO MIGUEL DO ARAGUAIA
Codigo Estacao: A031
Latitude: -12.82055554
Longitude: -50.33583333
Altitude: 210
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;986,336364;34,2;27,877273;23,8;81,545455;1,463636;
2023-01-02;0;985,621739;33;27,108696;23,8;86,608696;1,791304;
2023-01-03;0;985,991667;33;26,6125;23,2;86,458333;2,325;
2023-01-04;0;986,843478;31,4;26,078261;23,3;86,782609;1,713043;
2023-01-05;9,6;986,731818;31,6;25,754545;21,5;88,136364;1,372727;
2023-01-06;31,6;988,226087;27,1;23,947826;22,1;96,695652;1,930435;
2023-01-07;null;988,747368;29,2;null;22,8;89,578947;1,615789;
2023-01-08;null;988,538095;31,2;null;22;85,238095;1,633333;
2023-01-09;5,6;988,340909;31,2;25,581818;21,8;84,818182;2,1;
2023-01-10;null;988,595455;31,7;26,65;22,1;79,136364;1,85;
2023-01-11;47,2;989,095455;30,2;25,145455;20,3;84,772727;1,472727;
2023-01-12;1,4;986,566667;33,9;null;21,2;79,761905;1,242857;
2023-01-13;0;986,809091;26,4;24,3;24,4;95,772727;1,877273;
2023-01-14;null;987,609091;32,9;26,540909;20;83,545455;2,081818;
2023-01-15;null;987,285714;34,1;null;23,5;78,047619;1,438095;
2023-01-16;0;985,886364;31,8;26,877273;24,4;86,318182;1,777273;
2023-01-17;null;987,25;26,4;23,581818;23,5;95,863636;2,395455;
2023-01-18;3,6;988,217391;33,5;25,73913;20,5;80,043478;1,856522;
2023-01-19;0;989,1375;30,9;24,166667;21,3;92,083333;1,291667;
2023-01-20;4,8;987,995652;32,2;25,965217;21,9;83,217391;1,417391;
2023-01-21;0;986,204167;32,9;26,145833;23,2;86,791667;1,5125;
2023-01-22;61,8;987,530435;28,3;24,333333;21,9;89,291667;2,156522;
2023-01-23;0;987,369565;31,1;25,443478;22,3;88,565217;1,421739;
