Nome: MONTE ALEGRE DE GOIAS
Codigo Estacao: A032
Latitude: -13.25361111
Longitude: -46.89027777
Altitude: 552
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;950,22381;31,6;null;21;76;1,009524;
2023-01-02;2;949,104167;33,6;26,675;20,6;64,25;1,204167;
2023-01-03;1,4;949,073913;29,8;24,582609;21,7;75,434783;1,108696;
2023-01-04;,6;950,566667;27,4;null;20,3;84,190476;,757143;
2023-01-05;null;950,230435;29,2;22,830435;21,1;88;,978261;
2023-01-06;0;951,07619;28,1;null;20,6;79,904762;1,504762;
2023-01-07;null;951,9;27,1;null;21,6;84,809524;,890476;
2023-01-08;,2;951,3875;31,6;24,05;20,8;82,083333;1,245833;
2023-01-09;0;951,773913;28,9;23,317391;19,8;83,652174;1,134783;
2023-01-10;,4;951,126087;33,1;25,734783;20,6;73;,943478;
2023-01-11;,2;951,713043;30,2;25;20,5;72,913043;2,043478;
2023-01-12;0;950,131818;31,1;24,895455;20,4;73,727273;1,040909;
2023-01-13;0;949,704167;28;23,404167;20,9;87,333333;1,270833;
2023-01-14;,4;950,481818;30,9;23,981818;21,2;80,454545;1,540909;
2023-01-15;0;950,520833;32,1;24,991667;19,9;76,208333;1,079167;
2023-01-16;0;949,2;32,7;26,541667;21,4;68,666667;1,15;
2023-01-17;0;949,979167;30,7;24,3875;20,4;74,458333;1,791667;
2023-01-18;0;950,904348;31,3;25,13913;19,2;70,043478;1,447826;
2023-01-19;0;951,745833;32,2;23,404167;18;78,333333;1,925;
2023-01-20;,2;951,1375;30,3;24,366667;20,6;75,708333;,875;
2023-01-21;2,2;949,854545;30,5;24,477273;21;75,818182;1,077273;
2023-01-22;0;950,318182;25,2;22,654545;20,2;87,136364;1,440909;
2023-01-23;1,2;950,229167;30,2;24,608333;20,2;72,458333;,658333;
2023-01-24;,2;949,327273;31,1;25,518182;20,6;70,818182;,745455;
2023-01-25;0;947,8;32,7;26,070833;20,6;70,666667;,5125;
2023-01-26;,4;948,469565;27,6;23,213043;21,8;82,73913;1,421739;
2023-01-27;0;949,682609;27,4;22,456522;20,7;88,782609;,826087;
2023-01-28;,2;950,982609;30,5;23,508696;19,9;78,565217;1,478261;
2023-01-29;0;950,416667;29,5;23,975;19,9;78,375;1,220833;
2023-01-30;0;948,9625;32,4;25,241667;21,3;73,5;,333333;
2023-01-31;0;948,995652;33,3;25,804348;20,5;68,434783;,695652;
2023-02-01;0;949,745833;32,1;25,775;21,8;69;,816667;
2023-02-02;8,2;950,790909;30,5;25,309091;20,1;75,681818;,613636;
2023-02-03;2,6;951,591304;29,4;23,330435;20,6;86,695652;1,134783;
2023-02-04;,4;952,130435;31,8;25,26087;21,4;79,956522;,169565;
2023-02-05;0;951,6875;31,4;24,508333;20,8;80,583333;,691667;
2023-02-06;0;950,334783;31,7;24,147826;20,6;80,695652;,278261;
2023-02-07;,2;949,554167;32,8;25,666667;20,4;74,166667;,704167;
2023-02-08;0;949,395652;32,1;25,634783;19,9;70,608696;,786957;
2023-02-09;0;949,65;33,3;26,525;21;68,583333;,4625;
2023-02-10;0;949,195833;33,5;26,845833;21,5;62,333333;,379167;
2023-02-11;0;948,808696;34,1;26,730435;20,6;61,913043;,534783;
2023-02-12;0;948,868182;33,3;28,068182;22,6;58,909091;1,263636;
2023-02-13;0;948,743478;35;27,143478;20,8;64,217391;,730435;
2023-02-14;0;948,343478;34,8;28,33913;22,1;56,956522;,973913;
2023-02-15;0;947,9875;34,2;27,366667;18,3;52,958333;1,2125;
2023-02-16;0;946,881818;33,6;27,736364;22,5;64;1,513636;
2023-02-17;0;947,554167;31,9;25,0125;21,5;75,125;1,379167;
2023-02-18;4;948,821739;31,5;24,173913;20,7;78,086957;,9;
2023-02-19;,2;949,121739;30,9;24,26087;21,1;76,913043;1,295652;
2023-02-20;5,4;949,85;32,1;23,627273;19,2;79,045455;1,113636;
2023-02-21;0;950,622727;31,7;24,7;20,2;70,636364;1,281818;
2023-02-22;17,6;952,216667;32,1;24,4625;19,4;77,166667;1,270833;
2023-02-23;,8;952;32,6;25,7625;21,5;71,416667;1,733333;
2023-02-24;2,4;950,904167;32,9;25,279167;21;76,708333;1,295833;
2023-02-25;0;949,830435;33;26,382609;21,3;72,478261;1,086957;
2023-02-26;,2;951,154167;32,8;25,154167;19,2;79,333333;1,179167;
2023-02-27;0;951,233333;33,1;26,929167;21;70,375;1,016667;
2023-02-28;0;952,025;32,1;26,095833;21,8;73,75;1,308333;
2023-03-01;0;951,977273;30,9;24,404545;20,9;79,727273;,768182;
2023-03-02;0;950,395455;32,9;26,145455;21,4;70,181818;1,472727;
2023-03-03;null;950,033333;32,9;null;20,6;75,714286;1,82381;
2023-03-04;0;949,942857;32,8;null;20,4;69,666667;1,409524;
2023-03-05;null;949,327273;33,7;26,363636;20,9;71,772727;,581818;
2023-03-06;0;948,326087;32;25,269565;20,8;78,043478;1,091304;
2023-03-07;0;949,534783;25,3;22,878261;21,7;86,391304;,695652;
2023-03-08;0;950,372727;30,9;24,127273;19,7;77,409091;1,409091;
2023-03-09;,2;950,234783;32,5;25,56087;21,5;70;1,678261;
2023-03-10;0;949,829167;33,7;26,495833;20,9;65,666667;,879167;
2023-03-11;0;949,208696;31,6;25,913043;20,9;69,695652;1,430435;
2023-03-12;0;949,591304;31,7;25,326087;20;78,478261;1,165217;
2023-03-13;0;950,221739;31,7;24,347826;20,5;81,913043;1,652174;
2023-03-14;0;950,663636;31,4;24,654545;21,6;79,863636;1,722727;
2023-03-15;0;950,130435;30,8;23,386957;20,1;80,73913;1,573913;
2023-03-16;0;949,873913;27,2;23,4;20,5;85,043478;1;
2023-03-17;,2;949,309091;30,9;24,259091;21,3;79,5;1,840909;
2023-03-18;0;951,513043;23,5;21,165217;20,3;92,173913;1,504348;
2023-03-19;,2;951,704348;27,9;21,991304;19,4;87,565217;1,204348;
2023-03-20;0;951,382609;26,8;22,126087;19,9;88,391304;1,173913;
2023-03-21;0;951,96087;27,8;22,1;20,1;88,826087;1,273913;
2023-03-22;0;952,178261;29,4;23,491304;19,8;82,347826;1,291304;
