Nome: ITUMBIARA
Codigo Estacao: A035
Latitude: -18.40972222
Longitude: -49.19194444
Altitude: 491.17
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,6;957,131818;31,3;25,009091;22,1;79,272727;2,645455;
2023-01-02;0;955,608696;28,8;24,569565;22,4;83,130435;2,204348;
2023-01-03;22;955,377273;28,3;23,559091;20,5;84,363636;1,704545;
2023-01-04;null;955,068182;29,8;24,440909;21,3;79,772727;2,309091;
2023-01-05;67,2;955,113043;29,7;23,382609;20,9;85;1,652174;
2023-01-06;null;955,885714;27,1;null;21,1;89,190476;1,366667;
2023-01-07;null;957,477273;26,6;22,395455;20,3;87,5;2,059091;
2023-01-08;85,6;957,365217;28,5;22,434783;21;89,826087;2,095652;
2023-01-09;78,8;957,121739;30,6;23,143478;20,6;83,913043;2,726087;
2023-01-10;null;957,87;30,1;null;20,4;82,25;1,59;
2023-01-11;null;957,904762;32,3;null;21,2;76,285714;1,485714;
2023-01-12;null;955,980952;30;null;20,4;83,619048;1,6;
2023-01-13;13,8;955,822727;31,9;24,686364;21,3;79,045455;1,845455;
2023-01-14;null;956,84;32,6;null;20,2;74;2,31;
2023-01-15;3,4;957,772727;32,4;25,904545;21,5;75,181818;1,259091;
2023-01-16;0;956,304167;31,9;26,541667;22,5;76,958333;1,883333;
2023-01-17;0;956,657143;32,6;null;21,7;66,809524;2,119048;
2023-01-18;null;957,875;32,7;null;21,5;69,45;1,605;
2023-01-19;0;957,93913;32,3;24,95;19,8;72,958333;1,756522;
2023-01-20;16,8;956,52;30,1;null;20,7;82,75;1,95;
2023-01-21;null;955,780952;28,8;null;19,7;86,428571;2,328571;
2023-01-22;3;954,65;30,9;24,136364;20,2;81,636364;1,486364;
2023-01-23;11,2;955,331818;30,4;23,959091;20,2;81,318182;1,509091;
2023-01-24;5,4;954,681818;31;24,636364;21,3;79,636364;1,336364;
2023-01-25;null;954,018182;31,6;25,272727;20,6;76,909091;1,372727;
2023-01-26;35,2;953,536364;32,4;25,35;20,4;77,045455;2,104545;
2023-01-27;null;955,271429;30,4;null;21,4;78,714286;2,3;
2023-01-28;null;957,955;30,6;null;20,9;79,05;1,715;
2023-01-29;,2;957,291667;31;24,425;22;79,875;1,379167;
2023-01-30;7;956,195652;31,8;23,908696;20,3;80,391304;1,343478;
2023-01-31;,8;956,213636;30,1;23,4;20;85,272727;1,854545;
2023-02-01;12;956,930435;31,2;24,947826;21;80;1,43913;
2023-02-02;null;956,785714;33,6;null;21,3;68,666667;1,866667;
2023-02-03;0;957,03913;32,9;24,769565;20,5;79,695652;1,508696;
2023-02-04;41;958,613636;33,1;24,822727;20;77,5;1,536364;
2023-02-05;2,2;958,46087;32,4;24,682609;21,1;79,347826;1,373913;
2023-02-06;null;957,32381;33,6;null;20,9;78,952381;1,704762;
2023-02-07;53;957,231818;32,9;25,872727;20,3;70,954545;1,195455;
2023-02-08;0;956,108696;32,9;24,669565;20,8;79,130435;1,295652;
2023-02-09;21,6;956,847826;32,4;24,582609;21,1;79,391304;1,673913;
2023-02-10;0;957,15;30,3;23,759091;20,9;81,909091;1,277273;
2023-02-11;null;956,972727;29;24,645455;21,3;80,272727;2,059091;
2023-02-12;6,6;956,15;29,8;24,704545;21,9;82,045455;1,431818;
2023-02-13;null;956,485714;30,8;null;21;79,238095;1,67619;
2023-02-14;0;956,008696;33,4;26,578261;21,4;74,086957;1,030435;
2023-02-15;null;954;33,5;null;21,9;75,904762;1,557143;
2023-02-16;0;952,908333;34,3;25,925;20,5;72,291667;1,775;
2023-02-17;12,4;953,731818;31,7;24,281818;20,8;81,5;2,040909;
2023-02-18;null;955,966667;29,7;null;21,8;81,952381;1,57619;
2023-02-19;0;955,978261;32;25,734783;21,5;77,173913;2,034783;
2023-02-20;0;956,908696;31,9;25,234783;20,9;74,130435;1,508696;
2023-02-21;28,8;958,1;29,2;23,281818;20,3;81,545455;1,336364;
2023-02-22;2,6;959,547826;32,2;24,634783;19,3;75,086957;2,108696;
2023-02-23;1,6;960,133333;32,1;24,3375;20,6;80,333333;1,633333;
2023-02-24;17,4;958,243478;32;23,991304;20,6;83,391304;1,256522;
2023-02-25;2;956,847619;32,4;null;21,2;81,952381;1,252381;
2023-02-26;7,2;958,258333;33,2;26,141667;21,2;76;1,529167;
2023-02-27;0;959,033333;34,6;26,15;20,9;70,5;1,425;
2023-02-28;0;959,158333;33,3;26,320833;21,1;68,916667;1,9625;
2023-03-01;0;958,763636;32,3;24,809091;21,2;75,545455;1,595455;
2023-03-02;null;957,214286;32,1;null;19,7;70;2,271429;
2023-03-03;0;956,672727;32,3;25,359091;20,5;73,409091;2,295455;
2023-03-04;0;957,35;32,8;25,872727;20,7;75,136364;1,827273;
2023-03-05;13;956,577273;32;25,554545;21,5;76,590909;1,359091;
2023-03-06;,2;954,626087;31,9;24,252174;21,5;80,869565;1,708696;
2023-03-07;32,6;956,186364;29,3;22,968182;20,8;87,181818;2,163636;
2023-03-08;null;957,219048;29,7;null;19,2;80,952381;1,980952;
2023-03-09;9,4;958,1625;28,7;22,8625;20,3;84,875;2,2875;
2023-03-10;20,2;957,778261;30,6;23,930435;20,8;83,869565;1,46087;
2023-03-11;35,8;957,681818;27,4;22,754545;20,6;88,590909;1,127273;
2023-03-12;null;957,27619;31,3;null;20,3;73,190476;1,452381;
2023-03-13;,8;957,759091;25,5;23,3;21,9;88,590909;1,313636;
2023-03-14;null;958,405;28,9;null;20,6;84,55;1,145;
2023-03-15;null;957,182609;30;24,208696;21,7;81,956522;1,678261;
2023-03-16;0;956,295455;29,1;24,340909;21,9;79,954545;1,340909;
2023-03-17;0;957;28,3;23,481818;20,7;83,136364;1,027273;
2023-03-18;null;957,473684;29,9;null;20,5;79,210526;1,089474;
2023-03-19;,8;957,268182;31,2;24,209091;19,5;78,545455;1,422727;
2023-03-20;9,6;958,078261;29,8;23,73913;20,2;80;2,073913;
2023-03-21;,2;958,2;32,2;null;20,1;70,095238;1,985714;
2023-03-22;2,4;959,1;32;25,204545;20;73,954545;1,804545;
2023-03-23;0;958,952174;32,7;25,86087;19,8;71,26087;2,191304;
2023-03-24;0;958,630435;32,9;26,3;20,8;68,173913;1,582609;
2023-03-25;0;957,756522;33,4;26,691304;20,8;65,26087;1,943478;
2023-03-26;0;958,15;34,5;25,8625;18,7;64,125;1,279167;
2023-03-27;0;957,170833;34,7;26,141667;18,9;66,666667;1,3375;
2023-03-28;0;957,095833;33,6;25,566667;18,9;70,291667;1,829167;
2023-03-29;0;957,5;33,3;26,016667;20,7;70,958333;2,008333;
2023-03-30;0;958,6;33,5;26,241667;20,5;68,708333;1,3;
2023-03-31;0;957,883333;34,5;25,970833;19,9;66,916667;1,591667;
2023-04-01;3,8;956,972727;33,4;24,727273;19,4;72,863636;1,077273;
2023-04-02;0;956,041667;33,5;25,354167;19,9;70,583333;,783333;
2023-04-03;0;957,270833;30,4;23,9625;19,1;70,958333;1,758333;
2023-04-04;0;956,5875;31,4;24,895833;19,3;68,625;1,9125;
2023-04-05;0;955,970833;31,7;24,6875;18,8;69,666667;2,341667;
2023-04-06;,2;955,63913;32,2;24,978261;19,9;72,608696;1,856522;
2023-04-07;null;956,377273;31,8;24,445455;21,5;79,363636;1,436364;
2023-04-08;24,6;957,858333;29,6;23,666667;21,1;83,5;,979167;
2023-04-09;10,6;958,795833;29,1;23,8;20,5;80,958333;,6625;
2023-04-10;0;959,1625;29,7;23,966667;20,5;82,375;1,329167;
2023-04-11;,6;958,033333;30,4;23,883333;20,5;81,416667;1,554167;
2023-04-12;10,8;957,378261;28,7;23,469565;21,1;84,652174;1,856522;
2023-04-13;,6;955,573913;31,3;23,769565;20,5;82,695652;1,93913;
2023-04-14;34,8;956,265217;29,2;23,656522;20;82,26087;1,278261;
2023-04-15;,4;957,459091;31,2;25,65;21;75,363636;1,063636;
2023-04-16;0;957,004167;32;24,941667;19,6;74,541667;1,233333;
2023-04-17;0;953,666667;33,5;24,891667;18,4;75,958333;1,320833;
2023-04-18;0;951,754167;32,1;25,641667;21,7;76,833333;1,558333;
2023-04-19;8,4;954,641667;27,5;24,1;22,4;83,583333;1,445833;
2023-04-20;2;958,933333;27;22,4125;18;64,583333;1,4625;
2023-04-21;0;958,158333;28,8;21,083333;13,8;71,875;1,3625;
2023-04-22;0;958,079167;29;24,116667;20,2;73,5;3,791667;
2023-04-23;2,8;959,2875;29,6;23,866667;20,9;74,291667;2,8625;
2023-04-24;0;959,8375;29,6;24,341667;20,8;71,75;2,533333;
2023-04-25;0;959,925;30,9;23,95;18,5;75,125;1,925;
2023-04-26;0;959,016667;30,7;23,545833;20,6;78,333333;1,633333;
2023-04-27;2,2;957,654167;31,8;23,191667;18,9;82,208333;1,191667;
2023-04-28;13;958,166667;31,8;24,8;20,4;77,916667;,904167;
2023-04-29;0;958,7;32,6;25,083333;19,5;71,791667;1,104167;
2023-04-30;0;958,7875;31,8;23,804167;17,3;70,333333;1,175;
2023-05-01;0;958,875;30,7;22,85;16,2;67,666667;1,158333;
2023-05-02;0;957,8375;31,6;21,945833;14,4;68,083333;,925;
2023-05-03;null;null;30;null;13,1;71,3125;null;
