Nome: CRISTALINA
Codigo Estacao: A036
Latitude: -16.78499999
Longitude: -47.61305555
Altitude: 1211.08
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;16;881,808333;26,3;20,554167;17,1;83,75;2,670833;
2023-01-02;6,4;880,441667;27,1;22,166667;18,8;71,541667;3,320833;
2023-01-03;5,4;880,15;27,1;20,416667;17,4;82,083333;2,066667;
2023-01-04;2,4;880,3;25,6;20,3;18;82,791667;3,1;
2023-01-05;8,8;879,904167;26,7;20,920833;18,2;81,291667;3,725;
2023-01-06;17,2;880,720833;22,1;19,7875;17,3;87,333333;3,666667;
2023-01-07;3;881,995833;25,3;20,2625;17,5;81,583333;2,7625;
2023-01-08;17,4;882,070833;24,5;19,45;17,8;87,583333;2,654167;
2023-01-09;21,6;882,041667;24,7;19,158333;17,6;87,25;2,783333;
2023-01-10;7,4;882,316667;26,8;20,925;16,9;72,916667;2,158333;
2023-01-11;60;882,620833;28,4;21,304167;16,2;74,666667;2,5125;
2023-01-12;0;881,15;26,4;20,6875;18,3;80,958333;2,220833;
2023-01-13;4,6;880,670833;27,1;20,845833;18,5;81,458333;2,720833;
2023-01-14;47,6;881,6125;28,2;20,808333;17,5;74,5;2,620833;
2023-01-15;0;882,3;27,8;22,116667;18,8;75,166667;1,7;
2023-01-16;9,6;881,254167;27,6;21,845833;17,4;73,333333;1,854167;
2023-01-17;0;881,383333;27,4;22,041667;18,7;69,166667;2,975;
2023-01-18;0;882,3625;28,6;22,141667;17,6;68,5;2,141667;
2023-01-19;0;882,516667;26,8;21,875;19;73,333333;1,941667;
2023-01-20;3,2;881,55;25,8;20,741667;18,4;75,541667;2,1125;
2023-01-21;2;880,416667;22,9;19,566667;18,3;85,083333;2,85;
2023-01-22;5,6;879,604167;26,8;20,320833;17,7;82,791667;3,5125;
2023-01-23;2,6;879,920833;26,4;20,533333;17,8;83,333333;3,25;
2023-01-24;0;879,566667;27,5;20,895833;17,8;81,166667;3,566667;
2023-01-25;18,4;878,991667;27,7;21,508333;18,5;81,458333;2,3;
2023-01-26;7;878,816667;21,9;19,891667;19,5;85,958333;2,3;
2023-01-27;4;880,295833;26,6;20,329167;18;79,833333;3,070833;
2023-01-28;,8;882,175;26,3;20,55;17,4;79,583333;2,075;
2023-01-29;0;881,783333;27,1;20,7;17,6;80,25;1,720833;
2023-01-30;4,6;880,604167;26,7;20,645833;17,7;80,625;1,554167;
2023-01-31;10,6;880,870833;27,9;21,7625;18,1;75,666667;2,108333;
2023-02-01;0;881,508333;28,5;22,425;18,2;69,5;2,15;
2023-02-02;0;882,070833;29,5;23,091667;18,8;59,666667;2,708333;
2023-02-03;0;882,133333;29,5;23,379167;18,8;58,083333;3,108333;
2023-02-04;0;883,1;29,8;22,679167;18,3;70,666667;2,516667;
2023-02-05;32,2;882,829167;27,4;22,008333;14,5;70,875;2,645833;
2023-02-06;0;881,816667;27,5;21,525;19;78,666667;2,35;
2023-02-07;1;881,533333;29,6;22,8875;17,8;63,416667;1,533333;
2023-02-08;,2;880,8625;29,8;23,620833;19,1;65,291667;1,958333;
2023-02-09;0;881,525;28,5;22,35;19;72,833333;2,270833;
2023-02-10;0;881,270833;28,5;22,691667;18,4;69,541667;2,5875;
2023-02-11;0;881,2375;28,8;22,5875;18;69,291667;2,379167;
2023-02-12;0;880,683333;29,5;23,6375;19,6;62,416667;2,904167;
2023-02-13;0;881,208333;29,3;23,079167;17,8;69,666667;2,008333;
2023-02-14;0;880,8125;30,8;24,3;19,5;63,125;2,079167;
2023-02-15;0;879,658333;31,6;25,504167;21,3;51,791667;2,733333;
2023-02-16;0;878,1125;30,6;24,254167;18,7;62,75;2,7375;
2023-02-17;2,6;878,754167;28,5;22,895833;19,1;67,916667;2,195833;
2023-02-18;1,4;880,295833;28,5;21,679167;17,9;75,5;2,608333;
2023-02-19;0;880,745833;28,1;22,05;18,2;74,75;3,154167;
2023-02-20;0;881,295833;26,9;20,645833;17,4;78,333333;2,55;
2023-02-21;1,8;882,179167;29,2;21,2625;17;72,166667;2,220833;
2023-02-22;10,8;883,891667;26,6;20,420833;17,3;80,25;2,129167;
2023-02-23;8,8;884,183333;25,5;20,483333;18,1;82,166667;2,308333;
2023-02-24;4,6;882,479167;29,2;21,625;16,9;72,916667;1,770833;
2023-02-25;0;881,654167;28,8;23,708333;19,6;68,083333;2,470833;
2023-02-26;0;882,933333;30;23,675;19,3;64,875;2,129167;
2023-02-27;0;883,666667;29,7;23,883333;19,7;60,708333;2,225;
2023-02-28;0;883,7875;30;23,191667;17,9;64,083333;2,654167;
2023-03-01;0;883,504167;29,3;22,454167;19,1;67,916667;2,708333;
2023-03-02;10,4;882,2375;27,7;20,2125;16,7;77,958333;2,158333;
2023-03-03;11,8;881,7125;28,2;21,679167;18;74,041667;1,875;
2023-03-04;2,8;882,1625;28,6;22,8625;17,9;63,458333;2,033333;
2023-03-05;0;881,075;30,4;24,016667;19,2;51,083333;1,65;
2023-03-06;0;879,816667;30,9;24,391667;20;53,708333;2,708333;
2023-03-07;1,2;881,1375;23,2;20,241667;18,4;81,791667;2,445833;
2023-03-08;4;881,783333;26;20,345833;17,4;81,25;2,925;
2023-03-09;6;882,441667;25,3;20,758333;18,2;82,875;1,729167;
2023-03-10;1,8;882,1625;25,9;20,970833;18,8;80,541667;1,6375;
2023-03-11;8;881,45;26,9;20,720833;18,4;80,916667;1,895833;
2023-03-12;0;881,591667;27,8;20,370833;17,5;81,958333;2,1;
2023-03-13;23;881,883333;27;21,929167;18,6;76,958333;2,408333;
2023-03-14;12,6;882,304167;25,1;20,941667;18,8;81,958333;2,104167;
2023-03-15;,4;881,408333;26,4;21,125;18,2;78,125;2,391667;
2023-03-16;4,4;880,7;25,5;20,433333;18;81,458333;2,195833;
2023-03-17;7,8;880,795833;26,6;21,704167;18,9;71,916667;2,325;
2023-03-18;0;881,6125;25,6;20,691667;17,5;77,25;2,229167;
2023-03-19;4,6;881,8;27,6;21,4125;18,6;71,875;3,016667;
2023-03-20;11,6;882,083333;24,7;20,308333;17,1;77,875;3,033333;
2023-03-21;0;882,5375;26,8;20,479167;17,8;81,208333;2,7625;
2023-03-22;0;883,3375;27;21,0875;16,6;73,458333;2,7875;
2023-03-23;,4;883,566667;25,6;20,716667;18,4;79,291667;1,95;
2023-03-24;16,4;883,145833;27,8;21,825;17,8;66,833333;2,266667;
2023-03-25;0;882,654167;28,8;22,6875;17,2;52,041667;2,491667;
2023-03-26;0;882,9875;29,5;23,5;19,3;50,416667;1,7625;
2023-03-27;0;882,079167;30,6;24,383333;20;51,416667;1,491667;
2023-03-28;0;881,970833;28,7;23,233333;18,6;62,333333;2,2875;
2023-03-29;0;882,445833;28,2;22,425;17,9;64,708333;3,066667;
2023-03-30;0;883,375;29,5;22,570833;17,1;50,458333;1,995833;
2023-03-31;0;882,5125;29,7;23,7625;18,7;48,375;1,7125;
2023-04-01;0;881,216667;30,2;23,783333;19,3;52,958333;1,579167;
2023-04-02;,2;880,845833;28;22,629167;20,2;62,833333;2,079167;
2023-04-03;4,8;881,708333;24,3;19,158333;16,2;77,291667;2,329167;
2023-04-04;,2;881,1125;25,5;19,95;16,8;78,958333;3,104167;
2023-04-05;0;880,541667;26,6;19,954167;17,2;79;2,329167;
2023-04-06;2;880,333333;27,9;21,954167;17,8;72;2,679167;
2023-04-07;0;881,066667;26,2;21,05;18,4;79,583333;1,5625;
2023-04-08;,8;881,7875;27,7;21,454167;19,1;80,333333;1,620833;
2023-04-09;3,2;882,729167;27,3;21,141667;17,1;81,916667;2,191667;
2023-04-10;7,4;883,154167;25,6;20,704167;18,3;85,583333;2,270833;
2023-04-11;8,2;882,583333;24,8;19,983333;17;88,291667;3,191667;
2023-04-12;12,2;881,766667;26,5;20,695833;18,2;83,375;2,241667;
2023-04-13;2,6;880,320833;27,9;21,4625;17,8;81,208333;2,2125;
2023-04-14;44,8;880,829167;27,4;20,870833;17,9;81,75;2,5875;
2023-04-15;1;881,8625;29,3;22,420833;18,7;75,041667;1,708333;
2023-04-16;,4;881,4625;29,1;22,233333;18,1;74,541667;1,791667;
