Nome: MATEIROS
Codigo Estacao: A040
Latitude: -10.43444444
Longitude: -45.92194443
Altitude: 791
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;4,8;924,2375;29,5;23,829167;19,1;71,041667;3,65;
2023-01-02;0;923,6;30,4;23,916667;17,9;67,833333;3,6;
2023-01-03;0;923,970833;28,8;22,8;20,3;82,708333;3,241667;
2023-01-04;48,8;924,629167;29,1;22,445833;18;80,75;2,220833;
2023-01-05;3;924,641667;23,8;20,895833;20,6;91,833333;2,204167;
2023-01-06;30,4;925,316667;27,7;22,070833;19;82,833333;2;
2023-01-07;0;925,958333;29,2;22,908333;19,4;82,291667;2,129167;
2023-01-08;3,2;925,416667;28,3;22,666667;19,5;83,208333;1,841667;
2023-01-09;36;925,416667;29,3;23,5;17,9;76,666667;2,854167;
2023-01-10;0;925,216667;30;23,9;18,5;76,583333;2,383333;
2023-01-11;,2;925,979167;28,2;22,35;20;85,916667;1,845833;
2023-01-12;18,8;924,170833;29,6;23,270833;19,4;83,041667;1,758333;
2023-01-13;4,4;923,441667;29,2;23,7625;19,9;81,375;2,420833;
2023-01-14;0;924,2375;30;23,25;19,7;83,083333;2,3875;
2023-01-15;5,8;924,641667;30,1;23,35;18,7;80,166667;2,5125;
2023-01-16;0;923,816667;28,7;23,645833;19,4;75,458333;3,0875;
2023-01-17;0;924,0875;27,3;22,8125;19,9;78,125;2,9625;
2023-01-18;0;924,720833;28,7;23,266667;18,9;75,083333;3,091667;
2023-01-19;0;925,983333;24,4;20,6875;19,5;89,083333;2,2375;
2023-01-20;4,4;925,425;28,3;21,8625;18,3;84,958333;1,879167;
2023-01-21;,2;924,241667;28,4;22,65;19,5;82,291667;2,470833;
2023-01-22;0;924,55;29;21,7;19;87,708333;2,545833;
2023-01-23;10,8;924,654167;29,1;22,679167;18;81,125;1,545833;
2023-01-24;0;923,754167;30,1;23,020833;18,7;80,625;2,15;
2023-01-25;0;922,416667;29,7;22,408333;18,4;82,125;2,925;
2023-01-26;10,6;922,529167;28,1;21,204167;18,9;88,875;2,195833;
2023-01-27;17,4;923,508333;28,5;22,141667;17,8;82,708333;2,183333;
2023-01-28;37,2;925,016667;25,3;20,591667;18,2;90,75;2,829167;
2023-01-29;9,2;924,2375;28,2;22,295833;17,4;81,25;2,629167;
2023-01-30;0;923,145833;28,6;23;18,3;72,416667;2,683333;
2023-01-31;0;923,15;29,6;23,179167;17,6;74,25;2,720833;
2023-02-01;0;924,0125;27,6;22,1625;17,7;81,291667;3,479167;
2023-02-02;0;925,195833;29,2;22,791667;18,1;81,791667;2,85;
2023-02-03;21,2;925,733333;26,8;22,104167;18,2;87,25;2,4875;
2023-02-04;12;926,183333;26,8;22,533333;18,6;85,666667;2,483333;
2023-02-05;0;925,595833;28,6;22,629167;18,8;83,708333;1,920833;
2023-02-06;4,8;924,333333;29,7;23,116667;18,6;80,25;2,008333;
2023-02-07;0;924,108333;27,2;21,929167;17,8;84,958333;1,895833;
2023-02-08;38;923,991667;28,9;22,975;18,1;81,458333;2,25;
2023-02-09;0;924,279167;29,2;23,791667;17,9;72,833333;2;
2023-02-10;0;923,658333;29,8;23,8625;17,3;68,791667;2,620833;
2023-02-11;0;923,108333;30,4;23,904167;19;74,958333;2,8125;
2023-02-12;0;923,295833;30;23,9125;18,5;75,166667;2,845833;
2023-02-13;0;923,116667;31,1;24,620833;18,2;68,958333;2,279167;
2023-02-14;0;922,708333;31;24,745833;17,9;72,5;2,841667;
2023-02-15;,2;922,6625;29,6;24,541667;20,8;73,291667;2,729167;
2023-02-16;,2;921,720833;29,8;23,020833;19,3;82;2,479167;
2023-02-17;0;922,320833;26,7;21,45;19,6;87,375;2,375;
